Country,Lat,Long,Classification
Antarctica,-77.85,166.651,Improved
Antigua & Barbuda,17.11667,-61.7,Eutrophic
Australia,-34.459,118.888,Hypoxic
Australia,-34.407017,150.900178,Eutrophic
Australia,-34.088639,151.126756,Hypoxic
Australia,-33.295881,115.689164,Hypoxic
Australia,-33.902,120.074,Hypoxic
Australia,-37.889,147.971,Hypoxic
Australia,-43.26667,147.11667,Hypoxic
Australia,-34.992956,116.968453,Hypoxic
Australia,-31.351744,115.500914,Eutrophic
Australia,-34.984828,117.960883,Hypoxic
Australia,-35.027,117.157,Hypoxic
Australia,-32.603767,115.717086,Hypoxic
Australia,-34.067,151.108,Hypoxic
Australia,-27.076,153.151,Eutrophic
Australia,-28.875367,153.588203,Hypoxic
Australia,-38.26,141.703,Hypoxic
Australia,-32.009278,115.816686,Hypoxic
Australia,-33.632717,115.141578,Hypoxic
Australia,-33.306603,151.495942,Hypoxic
Australia,-33.63655,115.414386,Hypoxic
Australia,-35,117.345,Hypoxic
Australia,-34.376589,150.920144,Eutrophic
Australia,-33.508989,151.348778,Eutrophic
Australia,-33.490894,151.422275,Eutrophic
Australia,-37.052769,149.908964,Eutrophic
Australia,-33.766697,151.293494,Eutrophic
Australia,-33.7479,151.296314,Eutrophic
Australia,-33.578644,151.255956,Eutrophic
Australia,-34.544,150.873,Eutrophic
Australia,-33.784331,151.283553,Eutrophic
Australia,-33.424069,151.446069,Eutrophic
Australia,-41.039,145.84,Eutrophic
Australia,-43.05,147.36667,Hypoxic
Australia,-41.16,146.335,Eutrophic
Australia,-41.042,145.88,Eutrophic
Australia,-40.987028,145.738628,Eutrophic
Australia,-41.148794,146.168428,Eutrophic
Australia,-41.168,146.37,Eutrophic
Australia,-42.849,147.615,Eutrophic
Australia,-28.863506,114.638767,Eutrophic
Australia,-28.168175,114.251847,Eutrophic
Australia,-29.258125,114.921331,Eutrophic
Australia,-35.039,117.919,Eutrophic
Barbados,13.08333,-59.61667,Eutrophic
Belgium,51.333,3,Eutrophic
Belgium,51.32598,4.272241,Improved
Belize,18.333,-88.083,Hypoxic
Brazil,-27.55,-48.45,Hypoxic
Brazil,-22.7803,-43.1263,Hypoxic
Brazil,-22.4124,-41.8228,Hypoxic
Brazil,-31.1,-51.25,Hypoxic
Brazil,-8.08,-34.9,Hypoxic
Brazil,-22.9723,-43.2122,Hypoxic
Brazil,-20.254,-40.327,Hypoxic
Brazil,-22.9521,-42.7723,Eutrophic
Brazil,-22.91667,-42.55,Eutrophic
Brazil,-22.97083,-43.8775,Eutrophic
Brazil,-25.06667,-47.9,Eutrophic
Brazil,-24.66667,-47.4,Eutrophic
Brazil,-24,-46.35,Eutrophic
Canada,44.97,-67.013,Hypoxic
Canada,48.7,-68.65,Hypoxic
Canada,46.39,-62.99,Hypoxic
Chile,-36.7,-73.03333,Eutrophic
Chile,-42.533,-72.55,Hypoxic
Chile,-33.025,-71.61667,Eutrophic
China,38.88333,118.41667,Eutrophic
China,31,124,Hypoxic
China,30.43583,121.01389,Eutrophic
China,22.34,114.28,Hypoxic
China,22.568697,113.752181,Hypoxic
China,22.445469,114.193528,Hypoxic
China,35.595347,122.982894,Eutrophic
China,24.39083,118.24333,Eutrophic
Colombia,10.31417,-75.54806,Hypoxic
Colombia,10.43417,-75.50111,Eutrophic
Colombia,10.15806,-75.5,Eutrophic
Costa Rica,8.615,-83.318,Hypoxic
