Food product,Eutrophying emissions per 1000kcal,Eutrophying emissions per kilogram,Eutrophying emissions per 100g protein
Oatmeal,4.281357225,11.23,8.638461538
Rice,9.51437873,35.07,49.3943662
Potatoes,4.7540983610000005,3.48,20.47058824
Cassava,0.708418891,0.69,7.666666667
Other Pulses,5.008797653999999,17.08,7.97758057
Peas,2.173410405,7.52,3.3843384339999996
Nuts,3.113821138,19.15,11.72688304
Groundnuts,2.437931034,14.14,5.401069519
Tomatoes,39.52631579,7.51,68.27272727
Onions & Leeks,8.756756757,3.24,24.92307692
Root Vegetables,4.351351351,1.61,16.1
Brassicas,29.47058824,5.01,45.54545455
Citrus Fruit,7.0,2.24,37.33333333
Bananas,5.483333332999999,3.29,36.55555556
Apples,3.020833333,1.45,48.33333333
Berries & Grapes,10.73684211,6.12,61.2
Coffee,197.3571429,110.52,138.15
Dark Chocolate,16.84332689,87.08,174.16
Beef (beef herd),110.4065934,301.41,151.1584754
Beef (dairy herd),133.8058608,365.29,185.0506586
Lamb & Mutton,30.64037855,97.13,48.54072964
Pig Meat,31.958159000000002,76.38,47.20642769
Poultry Meat,26.32432432,48.7,28.11778291
Milk,17.75,10.65,32.27272727
Cheese,25.41860465,98.37,44.55163043
Eggs,15.11111111,21.76,19.61067051
Fish (farmed),131.35195530000001,235.12,103.1001973
