Afghanistan,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,65286.0,X
1,Total area of the country (excl. coastal water),1967,65286.0,X
2,Total area of the country (excl. coastal water),1972,65286.0,X
3,Total area of the country (excl. coastal water),1977,65286.0,X
4,Total area of the country (excl. coastal water),1982,65286.0,X
5,Total area of the country (excl. coastal water),1987,65286.0,X
6,Total area of the country (excl. coastal water),1992,65286.0,X
7,Total area of the country (excl. coastal water),1997,65286.0,X
8,Total area of the country (excl. coastal water),2002,65286.0,X
9,Total area of the country (excl. coastal water),2007,65286.0,X
10,Total area of the country (excl. coastal water),2012,65286.0,X
11,Total area of the country (excl. coastal water),2017,65286.0,E
12,Total area of the country (excl. coastal water),2018,65286.0,E
13,Cultivated area (arable land + permanent crops),1962,7760.0,X
14,Cultivated area (arable land + permanent crops),1967,7979.0,X
15,Cultivated area (arable land + permanent crops),1972,8046.0,X
16,Cultivated area (arable land + permanent crops),1977,8050.0,X
17,Cultivated area (arable land + permanent crops),1982,8054.0,X
18,Cultivated area (arable land + permanent crops),1987,8045.0,X
19,Cultivated area (arable land + permanent crops),1992,8030.0,X
20,Cultivated area (arable land + permanent crops),1997,7790.0,X
21,Cultivated area (arable land + permanent crops),2002,7753.0,X
22,Cultivated area (arable land + permanent crops),2007,7910.0,X
23,Cultivated area (arable land + permanent crops),2012,7910.0,X
24,Cultivated area (arable land + permanent crops),2017,7910.0,X
25,Total population,1962,9351.441,X
26,Total population,1967,10399.926,X
27,Total population,1972,11791.215,X
28,Total population,1977,13171.306,X
29,Total population,1982,12882.528,X
30,Total population,1987,11604.534,X
31,Total population,1992,14485.546,X
32,Total population,1997,19357.126,X
33,Total population,2002,22600.77,X
34,Total population,2007,27100.536,X
35,Total population,2012,31161.376,X
36,Total population,2017,36296.113,X
37,Total population,2018,37171.921,X
38,Rural population,1962,8507.016,X
39,Rural population,1967,9276.202,X
40,Rural population,1972,10267.199,X
41,Rural population,1977,11170.461,X
42,Rural population,1982,10563.504,X
43,Rural population,1987,9166.105,X
44,Rural population,1992,10995.568,X
45,Rural population,1997,14373.573,X
46,Rural population,2002,17086.91,X
47,Rural population,2007,20464.923,X
48,Rural population,2012,23280.663,X
49,Rural population,2017,26558.609,X
50,Rural population,2018,27099.874,X
51,Urban population,1962,838.852,X
52,Urban population,1967,1096.428,X
53,Urban population,1972,1454.741,X
54,Urban population,1977,1897.077,X
55,Urban population,1982,2186.141,X
56,Urban population,1987,2336.656,X
57,Urban population,1992,2985.663,X
58,Urban population,1997,4008.032,X
59,Urban population,2002,4893.013,X
60,Urban population,2007,6151.869,X
61,Urban population,2012,7416.295,X
62,Urban population,2017,8971.472,X
63,Urban population,2018,9273.302,X
64,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.7338,I
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.71,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.6934,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.6934,I
68,Gross Domestic Product (GDP),1962,546666678.0,X
69,Gross Domestic Product (GDP),1967,1673333419.0,X
70,Gross Domestic Product (GDP),1969,1408888923.0,X
71,GDP per capita,1972,136.117015,X
72,GDP per capita,1977,226.005343,X
73,GDP per capita,1982,269.723949,X
74,GDP per capita,1987,251.026688,X
75,GDP per capita,1992,248.51889,X
76,GDP per capita,1997,164.092893,X
77,GDP per capita,2002,194.958382,X
78,GDP per capita,2007,389.985586,X
79,GDP per capita,2012,694.885618,X
80,GDP per capita,2017,605.557362,X
81,GDP per capita,2018,563.983834,X
82,Number of people undernourished (3-year average),1992,3800.0,X
83,Number of people undernourished (3-year average),1997,8400.0,X
