Albania,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,2875.0,X
1,Total area of the country (excl. coastal water),1967,2875.0,X
2,Total area of the country (excl. coastal water),1972,2875.0,X
3,Total area of the country (excl. coastal water),1977,2875.0,X
4,Total area of the country (excl. coastal water),1982,2875.0,X
5,Total area of the country (excl. coastal water),1987,2875.0,X
6,Total area of the country (excl. coastal water),1992,2875.0,X
7,Total area of the country (excl. coastal water),1997,2875.0,X
8,Total area of the country (excl. coastal water),2002,2875.0,X
9,Total area of the country (excl. coastal water),2007,2875.0,X
10,Total area of the country (excl. coastal water),2012,2875.0,X
11,Total area of the country (excl. coastal water),2017,2773.0,E
12,Total area of the country (excl. coastal water),2018,2773.0,E
13,Cultivated area (arable land + permanent crops),1962,487.0,X
14,Cultivated area (arable land + permanent crops),1967,556.0,X
15,Cultivated area (arable land + permanent crops),1972,624.0,X
16,Cultivated area (arable land + permanent crops),1977,692.0,X
17,Cultivated area (arable land + permanent crops),1982,709.0,X
18,Cultivated area (arable land + permanent crops),1987,714.0,X
19,Cultivated area (arable land + permanent crops),1992,703.0,X
20,Cultivated area (arable land + permanent crops),1997,700.0,X
21,Cultivated area (arable land + permanent crops),2002,699.0,X
22,Cultivated area (arable land + permanent crops),2007,698.0,X
23,Cultivated area (arable land + permanent crops),2012,696.0,X
24,Cultivated area (arable land + permanent crops),2017,691.1,X
25,Cultivated area (arable land + permanent crops),2018,696.0,X
26,Total population,1962,1737.686,X
27,Total population,1967,1998.74,X
28,Total population,1972,2254.056,X
29,Total population,1977,2518.685,X
30,Total population,1982,2790.275,X
31,Total population,1987,3124.894,X
32,Total population,1992,3245.886,X
33,Total population,1997,3099.752,X
34,Total population,2002,3126.187,X
35,Total population,2007,3033.998,X
36,Total population,2012,2914.096,X
37,Total population,2017,2884.169,X
38,Total population,2018,2882.74,X
39,Rural population,1962,1198.718,X
40,Rural population,1967,1371.628,X
41,Rural population,1972,1529.743,X
42,Rural population,1977,1684.337,X
43,Rural population,1982,1832.278,X
44,Rural population,1987,2009.561,X
45,Rural population,1992,2033.508,X
46,Rural population,1997,1854.74,X
47,Rural population,2002,1762.229,X
48,Rural population,2007,1545.166,X
49,Rural population,2012,1333.585,X
50,Rural population,2017,1190.155,X
51,Rural population,2018,1164.388,X
52,Urban population,1962,538.926,X
53,Urban population,1967,627.065,X
54,Urban population,1972,724.101,X
55,Urban population,1977,833.535,X
56,Urban population,1982,956.036,X
57,Urban population,1987,1111.775,X
58,Urban population,1992,1207.079,X
59,Urban population,1997,1238.301,X
60,Urban population,2002,1356.8,X
61,Urban population,2007,1478.741,X
62,Urban population,2012,1586.454,X
63,Urban population,2017,1740.032,X
64,Urban population,2018,1769.975,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.3278,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.253,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.2174,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.2174,I
69,Gross Domestic Product (GDP),1972,2397526448.0,X
70,Gross Domestic Product (GDP),1977,2760746397.0,X
71,Gross Domestic Product (GDP),1982,2280424885.0,X
72,Gross Domestic Product (GDP),1987,2378194810.0,X
73,Gross Domestic Product (GDP),1992,1516149180.0,X
74,Gross Domestic Product (GDP),1997,2224654241.0,X
75,Gross Domestic Product (GDP),2002,4355865889.0,X
76,Gross Domestic Product (GDP),2007,10677322220.0,X
77,Gross Domestic Product (GDP),2012,12319779604.0,X
78,Gross Domestic Product (GDP),2016,11861356451.0,X
79,GDP per capita,1972,1063.749953,X
80,GDP per capita,1977,1096.460184,X
81,GDP per capita,1982,817.850818,X
82,GDP per capita,1987,761.91567,X
83,GDP per capita,1992,467.862514,X
84,GDP per capita,1997,719.244989,X
85,GDP per capita,2002,1396.545492,X
86,GDP per capita,2007,3530.969114,X
87,GDP per capita,2012,4219.046254,X
88,GDP per capita,2017,4445.132198,X
89,GDP per capita,2018,5131.908959,X
90,"Agriculture, value added (% GDP)",1972,38.178962,X
91,"Agriculture, value added (% GDP)",1977,38.318367,X
92,"Agriculture, value added (% GDP)",1982,36.800789,X
93,"Agriculture, value added (% GDP)",1987,38.54186,X
94,"Agriculture, value added (% GDP)",1992,56.172816,X
95,"Agriculture, value added (% GDP)",1997,31.543343,X
96,"Agriculture, value added (% GDP)",2002,22.025174,X
97,"Agriculture, value added (% GDP)",2007,17.153623,X
98,"Agriculture, value added (% GDP)",2012,18.766799,X
99,"Agriculture, value added (% GDP)",2016,19.849976,X
100,Number of people undernourished (3-year average),2002,200.0,X
101,Number of people undernourished (3-year average),2007,300.0,X
102,Number of people undernourished (3-year average),2012,100.0,X
103,Number of people undernourished (3-year average),2017,100.0,X
104,Number of people undernourished (3-year average),2018,100.0,X
105,Prevalence of undernourishment (3-year average),2001,7.2,X
106,Prevalence of undernourishment (3-year average),2007,8.8,X
107,Prevalence of undernourishment (3-year average),2012,4.1,X
108,Prevalence of undernourishment (3-year average),2014,3.9,X
109,Total population with access to safe drinking-water (JMP),1997,95.8,X
110,Total population with access to safe drinking-water (JMP),2002,96.1,X
111,Total population with access to safe drinking-water (JMP),2007,95.9,X
112,Total population with access to safe drinking-water (JMP),2012,95.4,X
113,Total population with access to safe drinking-water (JMP),2017,95.1,I
114,Total population with access to safe drinking-water (JMP),2018,95.1,I
115,Long-term average annual precipitation in volume,1962,42.69375,E
116,Long-term average annual precipitation in volume,1967,42.69375,E
117,Long-term average annual precipitation in volume,1972,42.69375,E
118,Long-term average annual precipitation in volume,1977,42.69375,E
119,Long-term average annual precipitation in volume,1982,42.69375,E
120,Long-term average annual precipitation in volume,1987,42.69375,E
121,Long-term average annual precipitation in volume,1992,42.69375,E
122,Long-term average annual precipitation in volume,1997,42.69375,E
123,Long-term average annual precipitation in volume,2002,42.69375,E
124,Long-term average annual precipitation in volume,2007,42.69375,E
125,Long-term average annual precipitation in volume,2012,42.69375,E
126,Long-term average annual precipitation in volume,2017,41.17905,E
127,Long-term average annual precipitation in volume,2018,41.17905,E
128,Interannual variability (WRI),2017,1.2,I
129,Interannual variability (WRI),2018,1.2,I
130,Seasonal variability (WRI),2017,2.4,I
131,Seasonal variability (WRI),2018,2.4,I
132,Flood occurrence (WRI),2017,2.7,I
133,Flood occurrence (WRI),2018,2.7,I
134,Surface water: entering the country (total),1962,3.3,OF
135,Surface water: entering the country (total),1967,3.3,OF
136,Surface water: entering the country (total),1972,3.3,OF
137,Surface water: entering the country (total),1977,3.3,OF
138,Surface water: entering the country (total),1982,3.3,OF
139,Surface water: entering the country (total),1987,3.3,OF
140,Surface water: entering the country (total),1992,3.3,OF
141,Surface water: entering the country (total),1997,3.3,OF
142,Surface water: entering the country (total),2002,3.3,OF
143,Surface water: entering the country (total),2007,3.3,OF
144,Surface water: entering the country (total),2012,3.3,OF
145,Surface water: entering the country (total),2017,3.3,OF
146,Surface water: leaving the country to other countries (total),1962,11.5,OF
147,Surface water: leaving the country to other countries (total),1967,11.5,OF
148,Surface water: leaving the country to other countries (total),1972,11.5,OF
149,Surface water: leaving the country to other countries (total),1977,11.5,OF
150,Surface water: leaving the country to other countries (total),1982,11.5,OF
151,Surface water: leaving the country to other countries (total),1987,11.5,OF
152,Surface water: leaving the country to other countries (total),1992,11.5,OF
153,Surface water: leaving the country to other countries (total),1997,11.5,OF
154,Surface water: leaving the country to other countries (total),2002,11.5,OF
155,Surface water: leaving the country to other countries (total),2007,11.5,OF
156,Surface water: leaving the country to other countries (total),2012,11.5,OF
157,Surface water: leaving the country to other countries (total),2017,11.5,OF
158,Groundwater: entering the country (total),1962,0.0,E
159,Groundwater: entering the country (total),1967,0.0,E
160,Groundwater: entering the country (total),1972,0.0,E
161,Groundwater: entering the country (total),1977,0.0,E
162,Groundwater: entering the country (total),1982,0.0,E
163,Groundwater: entering the country (total),1987,0.0,E
