Andorra,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,47.0,X
1,Total area of the country (excl. coastal water),1967,47.0,X
2,Total area of the country (excl. coastal water),1972,47.0,X
3,Total area of the country (excl. coastal water),1977,47.0,X
4,Total area of the country (excl. coastal water),1982,47.0,X
5,Total area of the country (excl. coastal water),1987,47.0,X
6,Total area of the country (excl. coastal water),1992,47.0,X
7,Total area of the country (excl. coastal water),1997,47.0,X
8,Total area of the country (excl. coastal water),2002,47.0,X
9,Total area of the country (excl. coastal water),2007,47.0,X
10,Total area of the country (excl. coastal water),2012,47.0,X
11,Total area of the country (excl. coastal water),2017,47.0,E
12,Total area of the country (excl. coastal water),2018,47.0,E
13,Cultivated area (arable land + permanent crops),1962,1.0,X
14,Cultivated area (arable land + permanent crops),1967,1.0,X
15,Cultivated area (arable land + permanent crops),1972,1.0,X
16,Cultivated area (arable land + permanent crops),1977,1.0,X
17,Cultivated area (arable land + permanent crops),1982,1.0,X
18,Cultivated area (arable land + permanent crops),1987,1.0,X
19,Cultivated area (arable land + permanent crops),1992,1.0,X
20,Cultivated area (arable land + permanent crops),1997,1.0,X
21,Cultivated area (arable land + permanent crops),2002,0.85,X
22,Cultivated area (arable land + permanent crops),2007,0.77,X
23,Cultivated area (arable land + permanent crops),2012,0.76,X
24,Cultivated area (arable land + permanent crops),2017,0.82,X
25,Cultivated area (arable land + permanent crops),2018,0.83,X
26,Total population,1962,15.37,X
27,Total population,1967,20.758,X
28,Total population,1972,26.892,X
29,Total population,1977,32.771,X
30,Total population,1982,39.114,X
31,Total population,1987,48.455,X
32,Total population,1992,58.888,X
33,Total population,1997,64.327,X
34,Total population,2002,70.049,X
35,Total population,2007,82.684,X
36,Total population,2012,82.427,X
37,Total population,2017,77.001,X
38,Total population,2018,77.006,X
39,Rural population,1962,5.616,X
40,Rural population,1967,5.264,X
41,Rural population,1972,4.491,X
42,Rural population,1977,3.467,X
43,Rural population,1982,2.553,X
44,Rural population,1987,2.336,X
