Armenia,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1992,2974.0,X
1,Total area of the country (excl. coastal water),1997,2974.0,X
2,Total area of the country (excl. coastal water),2002,2974.0,X
3,Total area of the country (excl. coastal water),2007,2974.0,X
4,Total area of the country (excl. coastal water),2012,2974.0,X
5,Total area of the country (excl. coastal water),2017,2974.0,E
6,Total area of the country (excl. coastal water),2018,2974.0,E
7,Cultivated area (arable land + permanent crops),1992,483.0,X
8,Cultivated area (arable land + permanent crops),1997,498.0,X
9,Cultivated area (arable land + permanent crops),2002,491.0,X
10,Cultivated area (arable land + permanent crops),2007,506.1,X
11,Cultivated area (arable land + permanent crops),2012,505.1,X
12,Cultivated area (arable land + permanent crops),2017,504.1,X
13,Cultivated area (arable land + permanent crops),2018,504.7,X
14,Total population,1992,3442.817,X
15,Total population,1997,3133.089,X
16,Total population,2002,3033.978,X
17,Total population,2007,2932.618,X
18,Total population,2012,2884.234,X
19,Total population,2017,2944.791,X
20,Total population,2018,2951.745,X
21,Rural population,1992,1140.314,X
22,Rural population,1997,1080.782,X
23,Rural population,2002,1085.046,X
24,Rural population,2007,1063.546,X
25,Rural population,2012,1059.405,X
26,Rural population,2017,1081.248,X
27,Rural population,2018,1081.275,X
28,Urban population,1992,2302.496,X
29,Urban population,1997,2052.304,X
30,Urban population,2002,1948.851,X
31,Urban population,2007,1869.51,X
32,Urban population,2012,1822.517,X
33,Urban population,2017,1849.202,X
34,Urban population,2018,1852.877,X
35,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.4316,I
36,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.37,I
37,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.329,I
38,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.3176,I
39,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.3176,I
40,Gross Domestic Product (GDP),1992,1251990701.0,X
41,Gross Domestic Product (GDP),1997,1747514993.0,X
42,Gross Domestic Product (GDP),2002,2534163311.0,X
43,Gross Domestic Product (GDP),2007,9817806812.0,X
44,Gross Domestic Product (GDP),2012,10619320693.0,X
45,Gross Domestic Product (GDP),2017,11527458713.0,X
46,GDP per capita,1992,363.653731,X
47,GDP per capita,1997,557.761578,X
48,GDP per capita,2002,835.283238,X
49,GDP per capita,2007,3347.296067,X
50,GDP per capita,2012,3684.805034,X
51,GDP per capita,2017,3933.682101,X
52,GDP per capita,2018,4237.388785,X
53,"Agriculture, value added (% GDP)",1992,28.303063,X
54,"Agriculture, value added (% GDP)",1997,27.567149,X
55,"Agriculture, value added (% GDP)",2002,21.997248,X
56,"Agriculture, value added (% GDP)",2007,17.094531,X
57,"Agriculture, value added (% GDP)",2012,17.912682,X
58,"Agriculture, value added (% GDP)",2017,14.99426,X
59,Number of people undernourished (3-year average),1992,900.0,X
60,Number of people undernourished (3-year average),1997,600.0,X
61,Number of people undernourished (3-year average),2002,800.0,X
62,Number of people undernourished (3-year average),2007,300.0,X
63,Number of people undernourished (3-year average),2012,100.0,X
64,Number of people undernourished (3-year average),2017,100.0,X
65,Number of people undernourished (3-year average),2018,100.0,X
66,Prevalence of undernourishment (3-year average),1992,27.3,X
67,Prevalence of undernourishment (3-year average),1997,19.6,X
68,Prevalence of undernourishment (3-year average),2001,23.8,X
69,Prevalence of undernourishment (3-year average),2006,12.3,X
70,Prevalence of undernourishment (3-year average),2017,2.8,X
71,Total population with access to safe drinking-water (JMP),1992,90.7,X
72,Total population with access to safe drinking-water (JMP),1997,91.0,X
73,Total population with access to safe drinking-water (JMP),2002,93.7,X
74,Total population with access to safe drinking-water (JMP),2007,96.7,X
75,Total population with access to safe drinking-water (JMP),2012,99.7,X
76,Total population with access to safe drinking-water (JMP),2017,100.0,I
77,Total population with access to safe drinking-water (JMP),2018,100.0,I
78,Population affected by water related disease,2002,1.644,I
79,Population affected by water related disease,2007,1.644,I
80,Population affected by water related disease,2012,1.644,I
81,Population affected by water related disease,2017,1.644,I
82,Population affected by water related disease,2018,1.644,I
83,Long-term average annual precipitation in volume,1992,16.71388,E
84,Long-term average annual precipitation in volume,1997,16.71388,E
85,Long-term average annual precipitation in volume,2002,16.71388,E
86,Long-term average annual precipitation in volume,2007,16.71388,E
87,Long-term average annual precipitation in volume,2012,16.71388,E
88,Long-term average annual precipitation in volume,2017,16.71388,E
89,Long-term average annual precipitation in volume,2018,16.71388,E
90,Interannual variability (WRI),2017,1.4,I
91,Interannual variability (WRI),2018,1.4,I
92,Seasonal variability (WRI),2017,2.4,I
93,Seasonal variability (WRI),2018,2.4,I
94,Flood occurrence (WRI),2017,3.3,I
95,Flood occurrence (WRI),2018,3.3,I
96,Surface water: entering the country (total),1992,0.0,OF
97,Surface water: entering the country (total),1997,0.0,OF
98,Surface water: entering the country (total),2002,0.0,OF
99,Surface water: entering the country (total),2007,0.0,OF
100,Surface water: entering the country (total),2012,0.0,OF
101,Surface water: entering the country (total),2017,0.0,OF
103,Surface water: leaving the country to other countries (total),1996,5.28,OF
104,Surface water: leaving the country to other countries (total),2001,5.28,OF
105,Surface water: leaving the country to other countries (total),2006,5.28,OF
107,Surface water: leaving the country to other countries (total),2017,5.28,OF
108,Groundwater: entering the country (total),1992,0.0,E
109,Groundwater: entering the country (total),1997,0.0,E
110,Groundwater: entering the country (total),2002,0.0,E
111,Groundwater: entering the country (total),2007,0.0,E
112,Groundwater: entering the country (total),2012,0.0,E
113,Groundwater: entering the country (total),2017,0.0,E
114,Dependency ratio,1992,11.7132192045,E
115,Dependency ratio,1997,11.7132192045,E
116,Dependency ratio,2002,11.7132192045,E
117,Dependency ratio,2007,11.7132192045,E
118,Dependency ratio,2012,11.7132192045,E
119,Dependency ratio,2017,11.7132192045,E
120,Dependency ratio,2018,11.7132192045,E
121,Total internal renewable water resources (IRWR),1992,6.859,E
122,Total internal renewable water resources (IRWR),1997,6.859,E
123,Total internal renewable water resources (IRWR),2002,6.859,E
124,Total internal renewable water resources (IRWR),2007,6.859,E
125,Total internal renewable water resources (IRWR),2012,6.859,E
126,Total internal renewable water resources (IRWR),2017,6.859,E
127,Total internal renewable water resources (IRWR),2018,6.859,E
128,Total internal renewable water resources per capita,1992,1992.2638932014,E
129,Total internal renewable water resources per capita,1997,2189.2132652472,E
130,Total internal renewable water resources per capita,2002,2260.728324332,E
131,Total internal renewable water resources per capita,2007,2338.865818869,E
132,Total internal renewable water resources per capita,2012,2378.1010833379,E
133,Total internal renewable water resources per capita,2017,2329.1975559556,E
134,Total internal renewable water resources per capita,2018,2323.7102120949,E
135,Total renewable surface water,1992,4.858,E
136,Total renewable surface water,1997,4.858,E
