Austria,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,8388.0,X
1,Total area of the country (excl. coastal water),1967,8388.0,X
2,Total area of the country (excl. coastal water),1972,8388.0,X
3,Total area of the country (excl. coastal water),1977,8388.0,X
4,Total area of the country (excl. coastal water),1982,8388.0,X
5,Total area of the country (excl. coastal water),1987,8388.0,X
6,Total area of the country (excl. coastal water),1992,8388.0,X
7,Total area of the country (excl. coastal water),1997,8388.0,X
8,Total area of the country (excl. coastal water),2002,8388.0,X
9,Total area of the country (excl. coastal water),2007,8388.0,X
10,Total area of the country (excl. coastal water),2012,8388.0,X
11,Total area of the country (excl. coastal water),2017,8387.9,E
12,Total area of the country (excl. coastal water),2018,8387.9,E
13,Cultivated area (arable land + permanent crops),1962,1746.0,X
14,Cultivated area (arable land + permanent crops),1967,1670.0,X
15,Cultivated area (arable land + permanent crops),1972,1682.0,X
16,Cultivated area (arable land + permanent crops),1977,1627.0,X
17,Cultivated area (arable land + permanent crops),1982,1634.0,X
18,Cultivated area (arable land + permanent crops),1987,1513.0,X
19,Cultivated area (arable land + permanent crops),1992,1506.0,X
20,Cultivated area (arable land + permanent crops),1997,1479.0,X
21,Cultivated area (arable land + permanent crops),2002,1456.0,X
22,Cultivated area (arable land + permanent crops),2007,1444.0,X
23,Cultivated area (arable land + permanent crops),2012,1420.4,X
24,Cultivated area (arable land + permanent crops),2017,1395.81,X
25,Cultivated area (arable land + permanent crops),2018,1394.02,X
26,Total population,1962,7156.833,X
27,Total population,1967,7397.171,X
28,Total population,1972,7581.117,X
29,Total population,1977,7636.576,X
30,Total population,1982,7602.181,X
31,Total population,1987,7639.352,X
32,Total population,1992,7830.933,X
33,Total population,1997,8032.876,X
34,Total population,2002,8134.412,X
35,Total population,2007,8313.737,X
36,Total population,2012,8502.227,X
37,Total population,2017,8819.901,X
38,Total population,2018,8891.388,X
39,Rural population,1962,2514.678,X
40,Rural population,1967,2580.876,X
41,Rural population,1972,2629.784,X
42,Rural population,1977,2645.204,X
43,Rural population,1982,2653.123,X
44,Rural population,1987,2767.779,X
45,Rural population,1992,2943.132,X
46,Rural population,1997,3129.222,X
47,Rural population,2002,3281.833,X
48,Rural population,2007,3470.218,X
49,Rural population,2012,3650.043,X
50,Rural population,2017,3660.707,X
51,Rural population,2018,3649.748,X
52,Urban population,1962,4642.155,X
53,Urban population,1967,4816.295,X
54,Urban population,1972,4951.333,X
55,Urban population,1977,4991.372,X
56,Urban population,1982,4949.058,X
57,Urban population,1987,4871.573,X
58,Urban population,1992,4887.801,X
59,Urban population,1997,4903.654,X
60,Urban population,2002,4852.579,X
61,Urban population,2007,4841.565,X
62,Urban population,2012,4867.505,X
63,Urban population,2017,5074.746,X
64,Urban population,2018,5102.072,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.1476,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.1258,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.0776666667,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.0528,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.0528,I
70,Gross Domestic Product (GDP),1962,7756110210.0,X
71,Gross Domestic Product (GDP),1967,11579431669.0,X
72,Gross Domestic Product (GDP),1972,22060179882.0,X
73,Gross Domestic Product (GDP),1977,51547567109.0,X
74,Gross Domestic Product (GDP),1982,71272755056.0,X
75,Gross Domestic Product (GDP),1987,124172996453.0,X
76,Gross Domestic Product (GDP),1992,195071775656.0,X
77,Gross Domestic Product (GDP),1997,212786266750.0,X
78,Gross Domestic Product (GDP),2002,213387477629.0,X
79,Gross Domestic Product (GDP),2007,388671495783.0,X
80,Gross Domestic Product (GDP),2012,409425234155.0,X
81,Gross Domestic Product (GDP),2015,381817565894.0,X
82,GDP per capita,1972,2909.885164,X
83,GDP per capita,1977,6750.088928,X
84,GDP per capita,1982,9375.303621,X
85,GDP per capita,1987,16254.388651,X
86,GDP per capita,1992,24910.413058,X
87,GDP per capita,1997,26489.425051,X
88,GDP per capita,2002,26232.686226,X
89,GDP per capita,2007,46761.506621,X
90,GDP per capita,2012,48068.438729,X
91,GDP per capita,2017,47887.17438,X
92,GDP per capita,2018,52047.260459,X
93,"Agriculture, value added (% GDP)",1972,5.977634,X
94,"Agriculture, value added (% GDP)",1977,4.410136,X
95,"Agriculture, value added (% GDP)",1982,3.646039,X
96,"Agriculture, value added (% GDP)",1987,3.197493,X
97,"Agriculture, value added (% GDP)",1992,2.453335,X
98,"Agriculture, value added (% GDP)",1994,2.371546,X
99,"Agriculture, value added (% GDP)",2000,1.6473,X
100,"Agriculture, value added (% GDP)",2006,1.303189,X
101,"Agriculture, value added (% GDP)",2012,1.348551,X
102,Total population with access to safe drinking-water (JMP),1992,100.0,X
103,Total population with access to safe drinking-water (JMP),1997,100.0,X
104,Total population with access to safe drinking-water (JMP),2002,100.0,X
105,Total population with access to safe drinking-water (JMP),2007,100.0,X
106,Total population with access to safe drinking-water (JMP),2012,100.0,X
107,Total population with access to safe drinking-water (JMP),2017,100.0,I
108,Total population with access to safe drinking-water (JMP),2018,100.0,I
109,Long-term average annual precipitation in volume,1962,93.1068,E
110,Long-term average annual precipitation in volume,1967,93.1068,E
111,Long-term average annual precipitation in volume,1972,93.1068,E
112,Long-term average annual precipitation in volume,1977,93.1068,E
113,Long-term average annual precipitation in volume,1982,93.1068,E
114,Long-term average annual precipitation in volume,1987,93.1068,E
115,Long-term average annual precipitation in volume,1992,93.1068,E
116,Long-term average annual precipitation in volume,1997,93.1068,E
117,Long-term average annual precipitation in volume,2002,93.1068,E
118,Long-term average annual precipitation in volume,2007,93.1068,E
119,Long-term average annual precipitation in volume,2012,93.1068,E
120,Long-term average annual precipitation in volume,2017,93.10569,E
121,Long-term average annual precipitation in volume,2018,93.10569,E
122,Interannual variability (WRI),2017,0.9,I
123,Interannual variability (WRI),2018,0.9,I
124,Seasonal variability (WRI),2017,0.7,I
125,Seasonal variability (WRI),2018,0.7,I
126,Flood occurrence (WRI),2017,3.3,I
127,Flood occurrence (WRI),2018,3.3,I
128,Surface water: entering the country (total),1961,22.7,OF
129,Surface water: entering the country (total),1966,22.7,OF
130,Surface water: entering the country (total),1971,22.7,OF
131,Surface water: entering the country (total),1976,22.7,OF
132,Surface water: entering the country (total),1981,22.7,OF
133,Surface water: entering the country (total),1986,22.7,OF
134,Surface water: entering the country (total),1991,22.7,OF
135,Surface water: entering the country (total),1996,22.7,OF
136,Surface water: entering the country (total),2001,22.7,OF
137,Surface water: entering the country (total),2006,22.7,OF
139,Surface water: entering the country (total),2017,22.7,OF
140,Surface water: leaving the country to other countries (total),1961,77.7,OF
141,Surface water: leaving the country to other countries (total),1966,77.7,OF
142,Surface water: leaving the country to other countries (total),1971,77.7,OF
143,Surface water: leaving the country to other countries (total),1976,77.7,OF
144,Surface water: leaving the country to other countries (total),1981,77.7,OF
145,Surface water: leaving the country to other countries (total),1986,77.7,OF
146,Surface water: leaving the country to other countries (total),1991,77.7,OF
147,Surface water: leaving the country to other countries (total),1996,77.7,OF
148,Surface water: leaving the country to other countries (total),2001,77.7,OF
149,Surface water: leaving the country to other countries (total),2006,77.7,OF
151,Surface water: leaving the country to other countries (total),2017,77.7,OF
