Azerbaijan,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1992,8660.0,X
1,Total area of the country (excl. coastal water),1997,8660.0,X
2,Total area of the country (excl. coastal water),2002,8660.0,X
3,Total area of the country (excl. coastal water),2007,8660.0,X
4,Total area of the country (excl. coastal water),2012,8660.0,X
5,Total area of the country (excl. coastal water),2017,8660.0,E
6,Total area of the country (excl. coastal water),2018,8660.0,E
7,Cultivated area (arable land + permanent crops),1992,2014.8,X
8,Cultivated area (arable land + permanent crops),1997,2062.0,X
9,Cultivated area (arable land + permanent crops),2002,2063.2,X
10,Cultivated area (arable land + permanent crops),2007,2078.7,X
11,Cultivated area (arable land + permanent crops),2012,2127.7,X
12,Cultivated area (arable land + permanent crops),2017,2341.3,X
13,Cultivated area (arable land + permanent crops),2018,2352.9,X
14,Total population,1992,7471.926,X
15,Total population,1997,7925.668,X
16,Total population,2002,8277.061,X
17,Total population,2007,8724.243,X
18,Total population,2012,9264.692,X
19,Total population,2017,9845.32,X
20,Total population,2018,9949.537,X
21,Rural population,1992,3501.943,X
22,Rural population,1997,3837.012,X
23,Rural population,2002,3990.569,X
24,Rural population,2007,4118.78,X
25,Rural population,2012,4272.681,X
26,Rural population,2017,4388.663,X
27,Rural population,2018,4398.268,X
28,Urban population,1992,3969.99,X
29,Urban population,1997,4088.657,X
30,Urban population,2002,4286.446,X
31,Urban population,2007,4605.524,X
32,Urban population,2012,4992.236,X
33,Urban population,2017,5438.926,X
34,Urban population,2018,5525.646,X
35,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.303,I
36,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.303,I
37,Gross Domestic Product (GDP),1992,5297112234.0,X
38,Gross Domestic Product (GDP),1997,3962337296.0,X
39,Gross Domestic Product (GDP),2001,5707618247.0,X
40,Gross Domestic Product (GDP),2007,33049426816.0,X
41,Gross Domestic Product (GDP),2012,69679913510.0,X
42,Gross Domestic Product (GDP),2017,40866632048.0,X
43,GDP per capita,1992,708.934654,X
44,GDP per capita,1997,499.937267,X
45,GDP per capita,2002,753.417207,X
46,GDP per capita,2007,3788.202109,X
47,GDP per capita,2012,7520.835158,X
48,GDP per capita,2017,4158.357869,X
49,GDP per capita,2018,4729.900727,X
50,"Agriculture, value added (% GDP)",2012,5.13977,X
51,"Agriculture, value added (% GDP)",2017,5.607369,X
52,Number of people undernourished (3-year average),1992,1800.0,X
53,Number of people undernourished (3-year average),1997,2100.0,X
54,Number of people undernourished (3-year average),2002,1400.0,X
55,Number of people undernourished (3-year average),2007,200.0,X
56,Number of people undernourished (3-year average),2012,200.0,I
57,Number of people undernourished (3-year average),2017,200.0,I
58,Number of people undernourished (3-year average),2018,200.0,I
59,Prevalence of undernourishment (3-year average),1992,23.6,X
60,Prevalence of undernourishment (3-year average),1997,27.4,X
61,Prevalence of undernourishment (3-year average),2001,23.0,X
62,Prevalence of undernourishment (3-year average),2006,4.8,X
63,Prevalence of undernourishment (3-year average),2012,2.5,I
64,Prevalence of undernourishment (3-year average),2017,2.5,I
65,Prevalence of undernourishment (3-year average),2018,2.5,I
66,Total population with access to safe drinking-water (JMP),1992,68.9,X
67,Total population with access to safe drinking-water (JMP),1997,71.7,X
68,Total population with access to safe drinking-water (JMP),2002,75.8,X
69,Total population with access to safe drinking-water (JMP),2007,80.2,X
70,Total population with access to safe drinking-water (JMP),2012,84.5,X
71,Total population with access to safe drinking-water (JMP),2017,87.0,I
72,Total population with access to safe drinking-water (JMP),2018,87.0,I
73,Long-term average annual precipitation in volume,1992,38.7102,E
74,Long-term average annual precipitation in volume,1997,38.7102,E
75,Long-term average annual precipitation in volume,2002,38.7102,E
76,Long-term average annual precipitation in volume,2007,38.7102,E
77,Long-term average annual precipitation in volume,2012,38.7102,E
78,Long-term average annual precipitation in volume,2017,38.7102,E
79,Long-term average annual precipitation in volume,2018,38.7102,E
80,Interannual variability (WRI),2017,1.4,I
81,Interannual variability (WRI),2018,1.4,I
82,Seasonal variability (WRI),2017,2.0,I
83,Seasonal variability (WRI),2018,2.0,I
84,Flood occurrence (WRI),2017,3.0,I
85,Flood occurrence (WRI),2018,3.0,I
91,Surface water: entering the country (total),2017,19.76,OF
92,Groundwater: entering the country (total),1992,0.0,E
93,Groundwater: entering the country (total),1997,0.0,E
