Bahrain,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,69.0,X
1,Total area of the country (excl. coastal water),1967,69.0,X
2,Total area of the country (excl. coastal water),1972,69.0,X
3,Total area of the country (excl. coastal water),1977,69.0,X
4,Total area of the country (excl. coastal water),1982,69.0,X
5,Total area of the country (excl. coastal water),1987,69.0,X
6,Total area of the country (excl. coastal water),1992,71.0,X
7,Total area of the country (excl. coastal water),1997,71.0,X
8,Total area of the country (excl. coastal water),2002,71.0,X
9,Total area of the country (excl. coastal water),2007,75.0,X
10,Total area of the country (excl. coastal water),2012,77.0,X
11,Total area of the country (excl. coastal water),2017,78.0,E
12,Total area of the country (excl. coastal water),2018,78.0,E
13,Cultivated area (arable land + permanent crops),1962,3.0,X
14,Cultivated area (arable land + permanent crops),1967,3.0,X
15,Cultivated area (arable land + permanent crops),1972,3.0,X
16,Cultivated area (arable land + permanent crops),1977,6.0,X
17,Cultivated area (arable land + permanent crops),1982,4.0,X
18,Cultivated area (arable land + permanent crops),1987,4.0,X
19,Cultivated area (arable land + permanent crops),1992,5.0,X
20,Cultivated area (arable land + permanent crops),1997,5.0,X
21,Cultivated area (arable land + permanent crops),2002,5.2,X
22,Cultivated area (arable land + permanent crops),2007,4.4,X
23,Cultivated area (arable land + permanent crops),2012,4.6,X
24,Cultivated area (arable land + permanent crops),2017,4.6,X
25,Cultivated area (arable land + permanent crops),2018,4.6,X
26,Total population,1962,173.144,X
27,Total population,1967,196.063,X
28,Total population,1972,229.155,X
29,Total population,1977,303.175,X
30,Total population,1982,385.95,X
31,Total population,1987,448.971,X
32,Total population,1992,523.086,X
33,Total population,1997,594.931,X
34,Total population,2002,735.146,X
35,Total population,2007,1035.919,X
36,Total population,2012,1299.944,X
37,Total population,2017,1494.076,X
38,Total population,2018,1569.446,X
39,Rural population,1962,30.552,X
40,Rural population,1967,33.293,X
41,Rural population,1972,36.058,X
42,Rural population,1977,44.16,X
43,Rural population,1982,51.984,X
44,Rural population,1987,55.865,X
45,Rural population,1992,60.688,X
46,Rural population,1997,69.119,X
47,Rural population,2002,85.478,X
48,Rural population,2007,119.256,X
49,Rural population,2012,146.117,X
50,Rural population,2017,161.409,X
51,Rural population,2018,167.867,X
52,Urban population,1962,142.592,X
53,Urban population,1967,162.77,X
54,Urban population,1972,193.097,X
55,Urban population,1977,259.015,X
56,Urban population,1982,333.966,X
57,Urban population,1987,393.108,X
58,Urban population,1992,462.399,X
59,Urban population,1997,525.811,X
60,Urban population,2002,649.67,X
61,Urban population,2007,916.635,X
62,Urban population,2012,1154.1,X
63,Urban population,2017,1331.175,X
64,Urban population,2018,1399.126,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.3128,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.2593333333,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.2649,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.2649,I
69,Gross Domestic Product (GDP),1972,575580428.0,X
70,Gross Domestic Product (GDP),1977,2143884345.0,X
71,Gross Domestic Product (GDP),1982,4467526927.0,X
72,Gross Domestic Product (GDP),1987,3800396218.0,X
73,Gross Domestic Product (GDP),1992,5432210287.0,X
74,Gross Domestic Product (GDP),1997,7315426213.0,X
75,Gross Domestic Product (GDP),2002,9593509106.0,X
76,Gross Domestic Product (GDP),2007,21730012434.0,X
77,Gross Domestic Product (GDP),2012,30749332535.0,X
78,Gross Domestic Product (GDP),2015,31125797872.0,X
79,GDP per capita,1972,2511.751558,X
80,GDP per capita,1977,7071.441725,X
81,GDP per capita,1982,11575.40336,X
82,GDP per capita,1987,8464.643126,X
83,GDP per capita,1992,10384.90784,X
84,GDP per capita,1997,12296.280592,X
85,GDP per capita,2002,13049.765634,X
86,GDP per capita,2007,20977.122529,X
87,GDP per capita,2012,23649.385091,X
88,GDP per capita,2017,23739.143918,X
89,GDP per capita,2018,24171.328414,X
90,"Agriculture, value added (% GDP)",1972,0.829724,X
91,"Agriculture, value added (% GDP)",1977,0.890666,X
92,"Agriculture, value added (% GDP)",1982,0.815174,X
93,"Agriculture, value added (% GDP)",1987,1.057403,X
94,"Agriculture, value added (% GDP)",1992,0.767505,X
95,"Agriculture, value added (% GDP)",1997,0.730883,X
96,"Agriculture, value added (% GDP)",2002,0.569376,X
97,"Agriculture, value added (% GDP)",2007,0.292309,X
98,"Agriculture, value added (% GDP)",2012,0.275743,X
99,"Agriculture, value added (% GDP)",2016,0.331842,X
100,Total population with access to safe drinking-water (JMP),1992,94.9,X
101,Total population with access to safe drinking-water (JMP),1997,97.1,X
102,Total population with access to safe drinking-water (JMP),2002,100.0,X
103,Total population with access to safe drinking-water (JMP),2007,100.0,X
104,Total population with access to safe drinking-water (JMP),2012,100.0,X
105,Total population with access to safe drinking-water (JMP),2017,100.0,I
106,Total population with access to safe drinking-water (JMP),2018,100.0,I
107,Long-term average annual precipitation in volume,1962,0.05727,E
108,Long-term average annual precipitation in volume,1967,0.05727,E
109,Long-term average annual precipitation in volume,1972,0.05727,E
110,Long-term average annual precipitation in volume,1977,0.05727,E
111,Long-term average annual precipitation in volume,1982,0.05727,E
112,Long-term average annual precipitation in volume,1987,0.05727,E
113,Long-term average annual precipitation in volume,1992,0.05893,E
114,Long-term average annual precipitation in volume,1997,0.05893,E
115,Long-term average annual precipitation in volume,2002,0.05893,E
116,Long-term average annual precipitation in volume,2007,0.06225,E
117,Long-term average annual precipitation in volume,2012,0.06391,E
118,Long-term average annual precipitation in volume,2017,0.06474,E
119,Long-term average annual precipitation in volume,2018,0.06474,E
120,Interannual variability (WRI),2017,3.1,I
121,Interannual variability (WRI),2018,3.1,I
122,Seasonal variability (WRI),2017,0.3,I
123,Seasonal variability (WRI),2018,0.3,I
124,Flood occurrence (WRI),2017,0.0,I
125,Flood occurrence (WRI),2018,0.0,I
126,Surface water: entering the country (total),1962,0.0,OF
127,Surface water: entering the country (total),1967,0.0,OF
128,Surface water: entering the country (total),1972,0.0,OF
129,Surface water: entering the country (total),1977,0.0,OF
130,Surface water: entering the country (total),1982,0.0,OF
131,Surface water: entering the country (total),1987,0.0,OF
132,Surface water: entering the country (total),1992,0.0,OF
133,Surface water: entering the country (total),1997,0.0,OF
134,Surface water: entering the country (total),2002,0.0,OF
135,Surface water: entering the country (total),2007,0.0,OF
136,Surface water: entering the country (total),2012,0.0,OF
137,Surface water: entering the country (total),2017,0.0,OF
138,Surface water: leaving the country to other countries (total),1962,0.0,OF
139,Surface water: leaving the country to other countries (total),1967,0.0,OF
140,Surface water: leaving the country to other countries (total),1972,0.0,OF
141,Surface water: leaving the country to other countries (total),1977,0.0,OF
142,Surface water: leaving the country to other countries (total),1982,0.0,OF
143,Surface water: leaving the country to other countries (total),1987,0.0,OF
144,Surface water: leaving the country to other countries (total),1992,0.0,OF
145,Surface water: leaving the country to other countries (total),1997,0.0,OF
146,Surface water: leaving the country to other countries (total),2002,0.0,OF
147,Surface water: leaving the country to other countries (total),2007,0.0,OF
148,Surface water: leaving the country to other countries (total),2012,0.0,OF
149,Surface water: leaving the country to other countries (total),2017,0.0,OF
150,Groundwater: entering the country (total),1962,0.112,OF
151,Groundwater: entering the country (total),1967,0.112,OF
152,Groundwater: entering the country (total),1972,0.112,OF
153,Groundwater: entering the country (total),1977,0.112,OF
154,Groundwater: entering the country (total),1982,0.112,OF
155,Groundwater: entering the country (total),1987,0.112,OF
156,Groundwater: entering the country (total),1992,0.112,OF
157,Groundwater: entering the country (total),1997,0.112,OF
158,Groundwater: entering the country (total),2002,0.112,OF
159,Groundwater: entering the country (total),2007,0.112,OF
160,Groundwater: entering the country (total),2012,0.112,OF
161,Groundwater: entering the country (total),2017,0.112,OF
162,Groundwater: leaving the country to other countries (total),1962,0.0,OF
163,Groundwater: leaving the country to other countries (total),1967,0.0,OF
164,Groundwater: leaving the country to other countries (total),1972,0.0,OF
165,Groundwater: leaving the country to other countries (total),1977,0.0,OF
166,Groundwater: leaving the country to other countries (total),1982,0.0,OF
167,Groundwater: leaving the country to other countries (total),1987,0.0,OF
168,Groundwater: leaving the country to other countries (total),1992,0.0,OF
169,Groundwater: leaving the country to other countries (total),1997,0.0,OF
170,Groundwater: leaving the country to other countries (total),2002,0.0,OF
171,Groundwater: leaving the country to other countries (total),2007,0.0,OF
172,Groundwater: leaving the country to other countries (total),2012,0.0,OF
173,Groundwater: leaving the country to other countries (total),2017,0.0,OF
174,Dependency ratio,1962,96.5517241379,E
175,Dependency ratio,1967,96.5517241379,E
176,Dependency ratio,1972,96.5517241379,E
177,Dependency ratio,1977,96.5517241379,E
178,Dependency ratio,1982,96.5517241379,E
179,Dependency ratio,1987,96.5517241379,E
180,Dependency ratio,1992,96.5517241379,E
181,Dependency ratio,1997,96.5517241379,E
182,Dependency ratio,2002,96.5517241379,E
183,Dependency ratio,2007,96.5517241379,E
184,Dependency ratio,2012,96.5517241379,E
185,Dependency ratio,2017,96.5517241379,E
186,Dependency ratio,2018,96.5517241379,E
187,Total internal renewable water resources (IRWR),1962,0.004,E
188,Total internal renewable water resources (IRWR),1967,0.004,E
189,Total internal renewable water resources (IRWR),1972,0.004,E
190,Total internal renewable water resources (IRWR),1977,0.004,E
191,Total internal renewable water resources (IRWR),1982,0.004,E
192,Total internal renewable water resources (IRWR),1987,0.004,E
193,Total internal renewable water resources (IRWR),1992,0.004,E
194,Total internal renewable water resources (IRWR),1997,0.004,E
195,Total internal renewable water resources (IRWR),2002,0.004,E
196,Total internal renewable water resources (IRWR),2007,0.004,E
197,Total internal renewable water resources (IRWR),2012,0.004,E
198,Total internal renewable water resources (IRWR),2017,0.004,E
199,Total internal renewable water resources (IRWR),2018,0.004,E
200,Total internal renewable water resources per capita,1962,23.1021577415,E
201,Total internal renewable water resources per capita,1967,20.4016056064,E
202,Total internal renewable water resources per capita,1972,17.4554340948,E
203,Total internal renewable water resources per capita,1977,13.1937000082,E
204,Total internal renewable water resources per capita,1982,10.3640367923,E
205,Total internal renewable water resources per capita,1987,8.9092614,E
206,Total internal renewable water resources per capita,1992,7.6469261269,E
207,Total internal renewable water resources per capita,1997,6.723468772,E
208,Total internal renewable water resources per capita,2002,5.4410960544,E
209,Total internal renewable water resources per capita,2007,3.8613057585,E
210,Total internal renewable water resources per capita,2012,3.077055627,E
211,Total internal renewable water resources per capita,2017,2.6772399798,E
212,Total internal renewable water resources per capita,2018,2.5486700403,E
213,Total renewable surface water,1962,0.004,E
214,Total renewable surface water,1967,0.004,E
215,Total renewable surface water,1972,0.004,E
216,Total renewable surface water,1977,0.004,E
217,Total renewable surface water,1982,0.004,E
218,Total renewable surface water,1987,0.004,E
219,Total renewable surface water,1992,0.004,E
220,Total renewable surface water,1997,0.004,E
221,Total renewable surface water,2002,0.004,E
222,Total renewable surface water,2007,0.004,E
223,Total renewable surface water,2012,0.004,E
224,Total renewable surface water,2017,0.004,E
225,Total renewable surface water,2018,0.004,E
226,Total renewable groundwater,1962,0.112,E
227,Total renewable groundwater,1967,0.112,E
228,Total renewable groundwater,1972,0.112,E
229,Total renewable groundwater,1977,0.112,E
230,Total renewable groundwater,1982,0.112,E
231,Total renewable groundwater,1987,0.112,E
232,Total renewable groundwater,1992,0.112,E
233,Total renewable groundwater,1997,0.112,E
234,Total renewable groundwater,2002,0.112,E
235,Total renewable groundwater,2007,0.112,E
236,Total renewable groundwater,2012,0.112,E
237,Total renewable groundwater,2017,0.112,E
238,Total renewable groundwater,2018,0.112,E
239,Water resources: total external renewable,1962,0.112,E
240,Water resources: total external renewable,1967,0.112,E
241,Water resources: total external renewable,1972,0.112,E
242,Water resources: total external renewable,1977,0.112,E
243,Water resources: total external renewable,1982,0.112,E
244,Water resources: total external renewable,1987,0.112,E
245,Water resources: total external renewable,1992,0.112,E
246,Water resources: total external renewable,1997,0.112,E
247,Water resources: total external renewable,2002,0.112,E
248,Water resources: total external renewable,2007,0.112,E
249,Water resources: total external renewable,2012,0.112,E
250,Water resources: total external renewable,2017,0.112,E
251,Water resources: total external renewable,2018,0.112,E
252,Total renewable water resources,1962,0.116,E
253,Total renewable water resources,1967,0.116,E
254,Total renewable water resources,1972,0.116,E
255,Total renewable water resources,1977,0.116,E
256,Total renewable water resources,1982,0.116,E
257,Total renewable water resources,1987,0.116,E
258,Total renewable water resources,1992,0.116,E
259,Total renewable water resources,1997,0.116,E
260,Total renewable water resources,2002,0.116,E
261,Total renewable water resources,2007,0.116,E
262,Total renewable water resources,2012,0.116,E
263,Total renewable water resources,2017,0.116,E
264,Total renewable water resources,2018,0.116,E
265,Total renewable water resources per capita,1962,669.9625745045,E
266,Total renewable water resources per capita,1967,591.6465625845,E
267,Total renewable water resources per capita,1972,506.20758875,E
268,Total renewable water resources per capita,1977,382.6173002391,E
269,Total renewable water resources per capita,1982,300.5570669776,E
270,Total renewable water resources per capita,1987,258.3685805987,E
271,Total renewable water resources per capita,1992,221.7608576792,E
272,Total renewable water resources per capita,1997,194.9805943883,E
273,Total renewable water resources per capita,2002,157.7917855773,E
274,Total renewable water resources per capita,2007,111.9778669954,E
275,Total renewable water resources per capita,2012,89.2346131833,E
276,Total renewable water resources per capita,2017,77.639959413,E
277,Total renewable water resources per capita,2018,73.9114311674,E
278,Total agricultural water managed area,1997,3.59,I
279,Total agricultural water managed area,2002,4.0346153846,I
280,Total agricultural water managed area,2007,3.9076923077,I
281,Total agricultural water managed area,2012,3.7807692308,I
282,Total agricultural water managed area,2017,3.73,I
283,Total agricultural water managed area,2018,3.73,I
284,Area equipped for irrigation: total,1997,3.59,I
285,Area equipped for irrigation: total,2002,4.0346153846,I
286,Area equipped for irrigation: total,2007,3.9076923077,I
287,Area equipped for irrigation: total,2012,3.7807692308,I
288,Area equipped for irrigation: total,2017,3.73,I
289,Area equipped for irrigation: total,2018,3.73,I
290,% of agricultural GVA produced by irrigated agriculture,1997,81.9068859056,E
291,% of agricultural GVA produced by irrigated agriculture,2002,85.7634913446,E
