Bangladesh,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,14846.0,X
1,Total area of the country (excl. coastal water),1967,14846.0,X
2,Total area of the country (excl. coastal water),1972,14846.0,X
3,Total area of the country (excl. coastal water),1977,14846.0,X
4,Total area of the country (excl. coastal water),1982,14846.0,X
5,Total area of the country (excl. coastal water),1987,14846.0,X
6,Total area of the country (excl. coastal water),1992,14846.0,X
7,Total area of the country (excl. coastal water),1997,14846.0,X
8,Total area of the country (excl. coastal water),2002,14846.0,X
9,Total area of the country (excl. coastal water),2007,14846.0,X
10,Total area of the country (excl. coastal water),2012,14846.0,X
11,Total area of the country (excl. coastal water),2017,14797.7,E
12,Total area of the country (excl. coastal water),2018,14757.0,E
13,Cultivated area (arable land + permanent crops),1962,8877.0,X
14,Cultivated area (arable land + permanent crops),1967,9095.0,X
15,Cultivated area (arable land + permanent crops),1972,9391.0,X
16,Cultivated area (arable land + permanent crops),1977,9391.0,X
17,Cultivated area (arable land + permanent crops),1982,9378.0,X
18,Cultivated area (arable land + permanent crops),1987,9515.0,X
19,Cultivated area (arable land + permanent crops),1992,8949.0,X
20,Cultivated area (arable land + permanent crops),1997,8765.0,X
21,Cultivated area (arable land + permanent crops),2002,8753.0,X
22,Cultivated area (arable land + permanent crops),2007,8666.0,X
23,Cultivated area (arable land + permanent crops),2012,8520.0,X
24,Cultivated area (arable land + permanent crops),2017,8587.33,X
25,Cultivated area (arable land + permanent crops),2018,8602.3,X
26,Total population,1962,50752.157,X
27,Total population,1967,59034.249,X
28,Total population,1972,66625.705,X
29,Total population,1977,73463.584,X
30,Total population,1982,83932.127,X
31,Total population,1987,95671.163,X
32,Total population,1992,107983.704,X
33,Total population,1997,120160.564,X
34,Total population,2002,132478.086,X
35,Total population,2007,142660.376,X
36,Total population,2012,151005.739,X
37,Total population,2017,159685.424,X
38,Total population,2018,161376.708,X
39,Rural population,1962,48224.534,X
40,Rural population,1967,55606.492,X
41,Rural population,1972,62039.948,X
42,Rural population,1977,66212.131,X
43,Rural population,1982,72064.051,X
44,Rural population,1987,80253.098,X
45,Rural population,1992,88299.172,X
46,Rural population,1997,96063.558,X
47,Rural population,2002,102783.564,X
48,Rural population,2007,105592.037,X
49,Rural population,2012,105905.797,X
50,Rural population,2017,105622.933,X
51,Rural population,2018,105423.904,X
52,Urban population,1962,2805.603,X
53,Urban population,1967,4014.177,X
54,Urban population,1972,5557.522,X
55,Urban population,1977,8713.765,X
56,Urban population,1982,13943.28,X
57,Urban population,1987,18090.711,X
58,Urban population,1992,22922.766,X
59,Urban population,1997,27791.082,X
60,Urban population,2002,33817.103,X
61,Urban population,2007,41547.154,X
62,Urban population,2012,49821.256,X
63,Urban population,2017,59046.818,X
64,Urban population,2018,60944.245,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.5678,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.5323333333,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.5034,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.5034,I
69,Gross Domestic Product (GDP),1962,5081413340.0,X
70,Gross Domestic Product (GDP),1967,7253575399.0,X
71,Gross Domestic Product (GDP),1972,6211616978.0,X
72,Gross Domestic Product (GDP),1977,9949540465.0,X
73,Gross Domestic Product (GDP),1982,15443050924.0,X
74,Gross Domestic Product (GDP),1987,22974397200.0,X
75,Gross Domestic Product (GDP),1992,30690544964.0,X
76,Gross Domestic Product (GDP),1997,41169352757.0,X
77,Gross Domestic Product (GDP),2002,47194755390.0,X
78,Gross Domestic Product (GDP),2007,79825872642.0,X
79,Gross Domestic Product (GDP),2012,128899307875.0,X
80,Gross Domestic Product (GDP),2017,245633488923.0,X
81,Gross Domestic Product (GDP),2018,269627615528.0,X
82,GDP per capita,1972,91.891264,X
83,GDP per capita,1977,132.791745,X
84,GDP per capita,1982,179.555054,X
85,GDP per capita,1987,233.61305,X
86,GDP per capita,1992,275.939671,X
87,GDP per capita,1997,332.400569,X
88,GDP per capita,2002,345.494326,X
89,GDP per capita,2007,542.519448,X
90,GDP per capita,2012,827.725854,X
91,GDP per capita,2017,1491.67341,X
92,GDP per capita,2018,1620.668482,X
93,"Agriculture, value added (% GDP)",1962,57.02,X
94,"Agriculture, value added (% GDP)",1967,55.85,X
95,"Agriculture, value added (% GDP)",1972,42.976452,X
96,"Agriculture, value added (% GDP)",1977,37.828766,X
97,"Agriculture, value added (% GDP)",1982,33.252216,X
98,"Agriculture, value added (% GDP)",1987,33.573169,X
99,"Agriculture, value added (% GDP)",1992,28.391444,X
100,"Agriculture, value added (% GDP)",1997,24.73019,X
101,"Agriculture, value added (% GDP)",2002,21.925396,X
102,"Agriculture, value added (% GDP)",2007,17.806539,X
103,"Agriculture, value added (% GDP)",2012,16.177573,X
104,"Agriculture, value added (% GDP)",2017,13.413465,X
105,"Agriculture, value added (% GDP)",2018,13.074539,X
106,"Agriculture, value added to GDP",1962,2897349427.0,X
107,"Agriculture, value added to GDP",1967,4051301631.0,X
108,"Agriculture, value added to GDP",1969,4694023272.0,X
109,Number of people undernourished (3-year average),1992,36000.0,X
110,Number of people undernourished (3-year average),1997,44200.0,X
111,Number of people undernourished (3-year average),2001,27300.0,X
112,Prevalence of undernourishment (3-year average),1992,32.8,X
113,Prevalence of undernourishment (3-year average),1997,36.1,X
114,Prevalence of undernourishment (3-year average),2001,20.8,X
115,Total population with access to safe drinking-water (JMP),1992,69.7,X
116,Total population with access to safe drinking-water (JMP),1997,73.6,X
117,Total population with access to safe drinking-water (JMP),2002,77.5,X
118,Total population with access to safe drinking-water (JMP),2007,81.3,X
119,Total population with access to safe drinking-water (JMP),2012,84.8,X
120,Total population with access to safe drinking-water (JMP),2017,86.9,I
121,Total population with access to safe drinking-water (JMP),2018,86.9,I
122,Long-term average annual precipitation in volume,1962,395.79436,E
123,Long-term average annual precipitation in volume,1967,395.79436,E
124,Long-term average annual precipitation in volume,1972,395.79436,E
125,Long-term average annual precipitation in volume,1977,395.79436,E
126,Long-term average annual precipitation in volume,1982,395.79436,E
127,Long-term average annual precipitation in volume,1987,395.79436,E
128,Long-term average annual precipitation in volume,1992,395.79436,E
129,Long-term average annual precipitation in volume,1997,395.79436,E
130,Long-term average annual precipitation in volume,2002,395.79436,E
131,Long-term average annual precipitation in volume,2007,395.79436,E
132,Long-term average annual precipitation in volume,2012,395.79436,E
133,Long-term average annual precipitation in volume,2017,394.506682,E
134,Long-term average annual precipitation in volume,2018,393.42162,E
135,Interannual variability (WRI),2017,0.7,I
136,Interannual variability (WRI),2018,0.7,I
137,Seasonal variability (WRI),2017,3.6,I
138,Seasonal variability (WRI),2018,3.6,I
139,Flood occurrence (WRI),2017,4.9,I
140,Flood occurrence (WRI),2018,4.9,I
152,Surface water: entering the country (total),2017,1122.0,E
153,Surface water: leaving the country to other countries (total),1962,0.057,OF
154,Surface water: leaving the country to other countries (total),1967,0.057,OF
155,Surface water: leaving the country to other countries (total),1972,0.057,OF
156,Surface water: leaving the country to other countries (total),1977,0.057,OF
157,Surface water: leaving the country to other countries (total),1982,0.057,OF
158,Surface water: leaving the country to other countries (total),1987,0.057,OF
159,Surface water: leaving the country to other countries (total),1992,0.057,OF
160,Surface water: leaving the country to other countries (total),1997,0.057,OF
161,Surface water: leaving the country to other countries (total),2002,0.057,OF
162,Surface water: leaving the country to other countries (total),2007,0.057,OF
163,Surface water: leaving the country to other countries (total),2012,0.057,OF
164,Surface water: leaving the country to other countries (total),2017,0.057,OF
165,Groundwater: entering the country (total),1962,0.032,OF
166,Groundwater: entering the country (total),1967,0.032,OF
167,Groundwater: entering the country (total),1972,0.032,OF
168,Groundwater: entering the country (total),1977,0.032,OF
169,Groundwater: entering the country (total),1982,0.032,OF
170,Groundwater: entering the country (total),1987,0.032,OF
171,Groundwater: entering the country (total),1992,0.032,OF
172,Groundwater: entering the country (total),1997,0.032,OF
173,Groundwater: entering the country (total),2002,0.032,OF
174,Groundwater: entering the country (total),2007,0.032,OF
175,Groundwater: entering the country (total),2012,0.032,OF
176,Groundwater: entering the country (total),2017,0.032,OF
177,Groundwater: leaving the country to other countries (total),1962,0.032,OF
178,Groundwater: leaving the country to other countries (total),1967,0.032,OF
179,Groundwater: leaving the country to other countries (total),1972,0.032,OF
180,Groundwater: leaving the country to other countries (total),1977,0.032,OF
181,Groundwater: leaving the country to other countries (total),1982,0.032,OF
182,Groundwater: leaving the country to other countries (total),1987,0.032,OF
183,Groundwater: leaving the country to other countries (total),1992,0.032,OF
184,Groundwater: leaving the country to other countries (total),1997,0.032,OF
185,Groundwater: leaving the country to other countries (total),2002,0.032,OF
186,Groundwater: leaving the country to other countries (total),2007,0.032,OF
187,Groundwater: leaving the country to other countries (total),2012,0.032,OF
188,Groundwater: leaving the country to other countries (total),2017,0.032,OF
189,Dependency ratio,1962,91.4427659588,E
190,Dependency ratio,1967,91.4427659588,E
191,Dependency ratio,1972,91.4427659588,E
192,Dependency ratio,1977,91.4427659588,E
193,Dependency ratio,1982,91.4427659588,E
194,Dependency ratio,1987,91.4427659588,E
195,Dependency ratio,1992,91.4427659588,E
196,Dependency ratio,1997,91.4427659588,E
197,Dependency ratio,2002,91.4427659588,E
198,Dependency ratio,2007,91.4427659588,E
199,Dependency ratio,2012,91.4427659588,E
200,Dependency ratio,2017,91.4427659588,E
201,Dependency ratio,2018,91.4427659588,E
202,Total internal renewable water resources (IRWR),1962,105.0,E
203,Total internal renewable water resources (IRWR),1967,105.0,E
204,Total internal renewable water resources (IRWR),1972,105.0,E
205,Total internal renewable water resources (IRWR),1977,105.0,E
206,Total internal renewable water resources (IRWR),1982,105.0,E
207,Total internal renewable water resources (IRWR),1987,105.0,E
208,Total internal renewable water resources (IRWR),1992,105.0,E
209,Total internal renewable water resources (IRWR),1997,105.0,E
210,Total internal renewable water resources (IRWR),2002,105.0,E
211,Total internal renewable water resources (IRWR),2007,105.0,E
212,Total internal renewable water resources (IRWR),2012,105.0,E
213,Total internal renewable water resources (IRWR),2017,105.0,E
214,Total internal renewable water resources (IRWR),2018,105.0,E
215,Total internal renewable water resources per capita,1962,2068.8775848483,E
216,Total internal renewable water resources per capita,1967,1778.6285381559,E
217,Total internal renewable water resources per capita,1972,1575.9683143315,E
218,Total internal renewable water resources per capita,1977,1429.2795734006,E
219,Total internal renewable water resources per capita,1982,1251.010831645,E
220,Total internal renewable water resources per capita,1987,1097.5093926683,E
221,Total internal renewable water resources per capita,1992,972.3689418915,E
222,Total internal renewable water resources per capita,1997,873.8307852816,E
223,Total internal renewable water resources per capita,2002,792.5839145955,E
224,Total internal renewable water resources per capita,2007,736.0137618031,E
225,Total internal renewable water resources per capita,2012,695.3378109689,E
226,Total internal renewable water resources per capita,2017,657.542794889,E
227,Total internal renewable water resources per capita,2018,650.6515178138,E
228,Total renewable surface water,1962,1205.91,E
229,Total renewable surface water,1967,1205.91,E
230,Total renewable surface water,1972,1205.91,E
231,Total renewable surface water,1977,1205.91,E
232,Total renewable surface water,1982,1205.91,E
233,Total renewable surface water,1987,1205.91,E
234,Total renewable surface water,1992,1205.91,E
235,Total renewable surface water,1997,1205.91,E
236,Total renewable surface water,2002,1205.91,E
237,Total renewable surface water,2007,1205.91,E
238,Total renewable surface water,2012,1205.91,E
239,Total renewable surface water,2017,1205.91,E
240,Total renewable surface water,2018,1205.91,E
241,Total renewable groundwater,1962,21.122,E
242,Total renewable groundwater,1967,21.122,E
243,Total renewable groundwater,1972,21.122,E
244,Total renewable groundwater,1977,21.122,E
245,Total renewable groundwater,1982,21.122,E
246,Total renewable groundwater,1987,21.122,E
247,Total renewable groundwater,1992,21.122,E
248,Total renewable groundwater,1997,21.122,E
249,Total renewable groundwater,2002,21.122,E
250,Total renewable groundwater,2007,21.122,E
251,Total renewable groundwater,2012,21.122,E
252,Total renewable groundwater,2017,21.122,E
253,Total renewable groundwater,2018,21.122,E
254,Water resources: total external renewable,1962,1122.032,E
255,Water resources: total external renewable,1967,1122.032,E
256,Water resources: total external renewable,1972,1122.032,E
257,Water resources: total external renewable,1977,1122.032,E
258,Water resources: total external renewable,1982,1122.032,E
259,Water resources: total external renewable,1987,1122.032,E
260,Water resources: total external renewable,1992,1122.032,E
261,Water resources: total external renewable,1997,1122.032,E
262,Water resources: total external renewable,2002,1122.032,E
263,Water resources: total external renewable,2007,1122.032,E
264,Water resources: total external renewable,2012,1122.032,E
265,Water resources: total external renewable,2017,1122.032,E
266,Water resources: total external renewable,2018,1122.032,E
267,Total renewable water resources,1962,1227.032,E
268,Total renewable water resources,1967,1227.032,E
269,Total renewable water resources,1972,1227.032,E
270,Total renewable water resources,1977,1227.032,E
271,Total renewable water resources,1982,1227.032,E
272,Total renewable water resources,1987,1227.032,E
273,Total renewable water resources,1992,1227.032,E
274,Total renewable water resources,1997,1227.032,E
275,Total renewable water resources,2002,1227.032,E
276,Total renewable water resources,2007,1227.032,E
277,Total renewable water resources,2012,1227.032,E
278,Total renewable water resources,2017,1227.032,E
279,Total renewable water resources,2018,1227.032,E
280,Total renewable water resources per capita,1962,24176.9428637289,E
281,Total renewable water resources per capita,1967,20785.0869755284,E
282,Total renewable water resources per capita,1972,18416.7957397224,E
283,Total renewable water resources per capita,1977,16702.5883191324,E
284,Total renewable water resources per capita,1982,14619.3364073807,E
285,Total renewable water resources per capita,1987,12825.5156676626,E
286,Total renewable water resources per capita,1992,11363.1219762567,E
287,Total renewable water resources per capita,1997,10211.6032011967,E
288,Total renewable water resources per capita,2002,9262.1507227995,E
289,Total renewable water resources per capita,2007,8601.0708397404,E
290,Total renewable water resources per capita,2012,8125.7309035122,E
291,Total renewable water resources per capita,2017,7684.0576256979,E
292,Total renewable water resources per capita,2018,7603.5260305347,E
293,Total agricultural water managed area,1982,1520.0,E
294,Total agricultural water managed area,1987,2199.0,E
295,Total agricultural water managed area,1992,3100.0,E
296,Total agricultural water managed area,1997,5495.8461538462,E
297,Total agricultural water managed area,2002,5995.4615384615,E
298,Total agricultural water managed area,2007,6495.0769230769,E
299,Total agricultural water managed area,2012,6595.0,I
300,Total agricultural water managed area,2017,6595.0,I
301,Total agricultural water managed area,2018,6595.0,I
302,Area equipped for irrigation: total,1982,1520.0,E
303,Area equipped for irrigation: total,1987,2199.0,E
304,Area equipped for irrigation: total,1992,3100.0,E
305,Area equipped for irrigation: total,1997,3950.8461538462,I
306,Area equipped for irrigation: total,2002,4450.4615384615,I
307,Area equipped for irrigation: total,2007,4950.0769230769,I
308,Area equipped for irrigation: total,2012,5050.0,I
309,Area equipped for irrigation: total,2017,5050.0,I
310,Area equipped for irrigation: total,2018,5050.0,I
311,% of agricultural GVA produced by irrigated agriculture,1982,26.274775799,E
312,% of agricultural GVA produced by irrigated agriculture,1987,32.1991173652,E
313,% of agricultural GVA produced by irrigated agriculture,1992,45.620388385,E
314,% of agricultural GVA produced by irrigated agriculture,1997,55.1938649021,E
315,% of agricultural GVA produced by irrigated agriculture,2002,65.8535221043,E
316,% of agricultural GVA produced by irrigated agriculture,2007,76.0125467347,E
317,% of agricultural GVA produced by irrigated agriculture,2012,78.784749046,E
318,% of agricultural GVA produced by irrigated agriculture,2017,78.3446808899,E
319,% of agricultural GVA produced by irrigated agriculture,2018,78.2475043417,E
320,Ratio between rainfed and irrigated yields,1962,1.58,E
321,Ratio between rainfed and irrigated yields,1967,1.58,E
322,Ratio between rainfed and irrigated yields,1972,1.58,E
323,Ratio between rainfed and irrigated yields,1977,1.58,E
324,Ratio between rainfed and irrigated yields,1982,1.58,E
325,Ratio between rainfed and irrigated yields,1987,1.58,E
326,Ratio between rainfed and irrigated yields,1992,1.58,E
327,Ratio between rainfed and irrigated yields,1997,1.58,E
328,Ratio between rainfed and irrigated yields,2002,1.58,E
329,Ratio between rainfed and irrigated yields,2007,1.58,I
330,Ratio between rainfed and irrigated yields,2012,1.58,E
331,Ratio between rainfed and irrigated yields,2017,1.58,I
332,Ratio between rainfed and irrigated yields,2018,1.58,I
333,Agricultural water withdrawal as % of total renewable water resources,2012,2.5671702123,I
334,Agricultural water withdrawal as % of total renewable water resources,2017,2.5671702123,I
335,Agricultural water withdrawal as % of total renewable water resources,2018,2.5671702123,I
336,Agricultural water withdrawal,2012,31.5,I
337,Agricultural water withdrawal,2017,31.5,I
338,Agricultural water withdrawal,2018,31.5,I
339,Irrigation water requirement,2012,24.56,I
340,Irrigation water requirement,2017,24.56,I
341,Irrigation water requirement,2018,24.56,I
342,Municipal water withdrawal,1987,0.675,OF
343,Municipal water withdrawal,1992,1.9111111111,I
344,Municipal water withdrawal,1997,2.4388888889,I
345,Municipal water withdrawal,2002,2.9666666667,I
346,Municipal water withdrawal,2007,3.4944444444,I
347,Municipal water withdrawal,2012,3.6,I
348,Municipal water withdrawal,2017,3.6,I
349,Municipal water withdrawal,2018,3.6,I
350,Industrial water withdrawal,1987,0.225,OF
351,Industrial water withdrawal,1992,0.3788888889,I
