Burkina Faso,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,27422.0,X
1,Total area of the country (excl. coastal water),1967,27422.0,X
2,Total area of the country (excl. coastal water),1972,27422.0,X
3,Total area of the country (excl. coastal water),1977,27422.0,X
4,Total area of the country (excl. coastal water),1982,27422.0,X
5,Total area of the country (excl. coastal water),1987,27422.0,X
6,Total area of the country (excl. coastal water),1992,27422.0,X
7,Total area of the country (excl. coastal water),1997,27422.0,X
8,Total area of the country (excl. coastal water),2002,27422.0,X
9,Total area of the country (excl. coastal water),2007,27422.0,X
10,Total area of the country (excl. coastal water),2012,27422.0,X
11,Total area of the country (excl. coastal water),2017,27422.0,E
12,Total area of the country (excl. coastal water),2018,27422.0,E
13,Cultivated area (arable land + permanent crops),1962,2149.0,X
14,Cultivated area (arable land + permanent crops),1967,2200.0,X
15,Cultivated area (arable land + permanent crops),1972,2302.0,X
16,Cultivated area (arable land + permanent crops),1977,2635.0,X
17,Cultivated area (arable land + permanent crops),1982,2885.0,X
18,Cultivated area (arable land + permanent crops),1987,3140.0,X
19,Cultivated area (arable land + permanent crops),1992,3525.0,X
20,Cultivated area (arable land + permanent crops),1997,3850.0,X
21,Cultivated area (arable land + permanent crops),2002,4770.0,X
22,Cultivated area (arable land + permanent crops),2007,4970.0,X
23,Cultivated area (arable land + permanent crops),2012,6100.0,X
24,Cultivated area (arable land + permanent crops),2017,6100.0,X
25,Cultivated area (arable land + permanent crops),2018,6100.0,X
26,Total population,1962,4960.326,X
27,Total population,1967,5343.019,X
28,Total population,1972,5825.173,X
29,Total population,1977,6398.935,X
30,Total population,1982,7158.255,X
31,Total population,1987,8140.073,X
32,Total population,1992,9297.113,X
33,Total population,1997,10665.546,X
34,Total population,2002,12293.1,X
35,Total population,2007,14252.021,X
36,Total population,2012,16571.253,X
37,Total population,2017,19193.234,X
38,Total population,2018,19751.466,X
39,Rural population,1962,4717.598,X
40,Rural population,1967,5053.92,X
41,Rural population,1972,5476.852,X
42,Rural population,1977,5941.328,X
43,Rural population,1982,6435.889,X
44,Rural population,1987,7076.021,X
45,Rural population,1992,7964.873,X
46,Rural population,1997,8972.419,X
47,Rural population,2002,9925.754,X
48,Rural population,2007,10974.579,X
49,Rural population,2012,12301.228,X
50,Rural population,2017,13676.652,X
51,Rural population,2018,13952.881,X
52,Urban population,1962,242.728,X
53,Urban population,1967,289.099,X
54,Urban population,1972,348.321,X
55,Urban population,1977,457.607,X
56,Urban population,1982,722.366,X
57,Urban population,1987,1064.052,X
58,Urban population,1992,1332.24,X
59,Urban population,1997,1693.127,X
60,Urban population,2002,2367.346,X
61,Urban population,2007,3277.442,X
62,Urban population,2012,4269.988,X
63,Urban population,2017,5516.73,X
64,Urban population,2018,5798.77,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.6313,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.6313,I
67,Gross Domestic Product (GDP),1962,379567100.0,X
68,Gross Domestic Product (GDP),1967,450753924.0,X
69,Gross Domestic Product (GDP),1972,659833646.0,X
70,Gross Domestic Product (GDP),1977,1159127896.0,X
71,Gross Domestic Product (GDP),1982,1848063018.0,X
72,Gross Domestic Product (GDP),1987,2692719482.0,X
73,Gross Domestic Product (GDP),1992,3814199468.0,X
