Burundi,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,2783.0,X
1,Total area of the country (excl. coastal water),1967,2783.0,X
2,Total area of the country (excl. coastal water),1972,2783.0,X
3,Total area of the country (excl. coastal water),1977,2783.0,X
4,Total area of the country (excl. coastal water),1982,2783.0,X
5,Total area of the country (excl. coastal water),1987,2783.0,X
6,Total area of the country (excl. coastal water),1992,2783.0,X
7,Total area of the country (excl. coastal water),1997,2783.0,X
8,Total area of the country (excl. coastal water),2002,2783.0,X
9,Total area of the country (excl. coastal water),2007,2783.0,X
10,Total area of the country (excl. coastal water),2012,2783.0,X
11,Total area of the country (excl. coastal water),2017,2783.0,E
12,Total area of the country (excl. coastal water),2018,2783.0,E
13,Cultivated area (arable land + permanent crops),1962,930.0,X
14,Cultivated area (arable land + permanent crops),1967,1038.0,X
15,Cultivated area (arable land + permanent crops),1972,1166.0,X
16,Cultivated area (arable land + permanent crops),1977,1262.0,X
17,Cultivated area (arable land + permanent crops),1982,1250.0,X
18,Cultivated area (arable land + permanent crops),1987,1280.0,X
19,Cultivated area (arable land + permanent crops),1992,1300.0,X
20,Cultivated area (arable land + permanent crops),1997,1310.0,X
21,Cultivated area (arable land + permanent crops),2002,1351.0,X
22,Cultivated area (arable land + permanent crops),2007,1250.0,X
23,Cultivated area (arable land + permanent crops),2012,1450.0,X
24,Cultivated area (arable land + permanent crops),2017,1550.0,X
25,Cultivated area (arable land + permanent crops),2018,1550.0,X
26,Total population,1962,2907.321,X
27,Total population,1967,3253.218,X
28,Total population,1972,3569.666,X
29,Total population,1977,3854.445,X
30,Total population,1982,4379.724,X
31,Total population,1987,5027.138,X
32,Total population,1992,5685.565,X
33,Total population,1997,6122.13,X
34,Total population,2002,6704.113,X
35,Total population,2007,7862.214,X
36,Total population,2012,9245.988,X
37,Total population,2017,10827.019,X
38,Total population,2018,11175.374,X
39,Rural population,1962,2831.347,X
40,Rural population,1967,3153.148,X
41,Rural population,1972,3434.162,X
42,Rural population,1977,3674.534,X
43,Rural population,1982,4130.86,X
44,Rural population,1987,4707.438,X
45,Rural population,1992,5285.413,X
46,Rural population,1997,5646.459,X
47,Rural population,2002,6156.269,X
48,Rural population,2007,7156.384,X
49,Rural population,2012,8276.416,X
50,Rural population,2017,9483.827,X
51,Rural population,2018,9754.746,X
52,Urban population,1962,62.322,X
53,Urban population,1967,80.875,X
54,Urban population,1972,109.885,X
55,Urban population,1977,146.66,X
56,Urban population,1982,202.526,X
57,Urban population,1987,280.298,X
58,Urban population,1992,375.726,X
59,Urban population,1997,465.638,X
60,Urban population,2002,585.3,X
61,Urban population,2007,783.189,X
62,Urban population,2012,1043.294,X
63,Urban population,2017,1380.418,X
64,Urban population,2018,1461.704,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.571,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.5216,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.5026666667,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.4916,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.4916,I
70,Gross Domestic Product (GDP),1962,213500006.0,X
71,Gross Domestic Product (GDP),1967,178297143.0,X
72,Gross Domestic Product (GDP),1972,246354286.0,X
73,Gross Domestic Product (GDP),1977,543241111.0,X
74,Gross Domestic Product (GDP),1982,1045488889.0,X
75,Gross Domestic Product (GDP),1987,1162071426.0,X
76,Gross Domestic Product (GDP),1992,1086803177.0,X
77,Gross Domestic Product (GDP),1997,972854234.0,X
78,Gross Domestic Product (GDP),2002,628101556.0,X
79,Gross Domestic Product (GDP),2007,1356198462.0,X
80,Gross Domestic Product (GDP),2012,2327401670.0,X
81,Gross Domestic Product (GDP),2017,3217016810.0,X
82,GDP per capita,1972,69.512138,X
83,GDP per capita,1977,142.165279,X
84,GDP per capita,1982,241.263734,X
85,GDP per capita,1987,232.985753,X
86,GDP per capita,1992,191.976063,X
87,GDP per capita,1997,159.168651,X
88,GDP per capita,2002,93.168453,X
89,GDP per capita,2007,170.815038,X
90,GDP per capita,2012,249.72898,X
91,GDP per capita,2017,296.110481,X
92,GDP per capita,2018,292.886814,X
93,"Agriculture, value added (% GDP)",1972,59.297179,X
94,"Agriculture, value added (% GDP)",1977,53.892378,X
95,"Agriculture, value added (% GDP)",1982,51.098901,X
96,"Agriculture, value added (% GDP)",1987,49.061216,X
