Cabo Verde,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,403.0,X
1,Total area of the country (excl. coastal water),1967,403.0,X
2,Total area of the country (excl. coastal water),1972,403.0,X
3,Total area of the country (excl. coastal water),1977,403.0,X
4,Total area of the country (excl. coastal water),1982,403.0,X
5,Total area of the country (excl. coastal water),1987,403.0,X
6,Total area of the country (excl. coastal water),1992,403.0,X
7,Total area of the country (excl. coastal water),1997,403.0,X
8,Total area of the country (excl. coastal water),2002,403.0,X
9,Total area of the country (excl. coastal water),2007,403.0,X
10,Total area of the country (excl. coastal water),2012,403.0,X
11,Total area of the country (excl. coastal water),2017,403.0,E
12,Total area of the country (excl. coastal water),2018,403.0,E
13,Cultivated area (arable land + permanent crops),1962,40.0,X
14,Cultivated area (arable land + permanent crops),1967,40.0,X
15,Cultivated area (arable land + permanent crops),1972,40.0,X
16,Cultivated area (arable land + permanent crops),1977,40.0,X
17,Cultivated area (arable land + permanent crops),1982,40.0,X
18,Cultivated area (arable land + permanent crops),1987,40.0,X
19,Cultivated area (arable land + permanent crops),1992,44.0,X
20,Cultivated area (arable land + permanent crops),1997,47.0,X
21,Cultivated area (arable land + permanent crops),2002,49.0,X
22,Cultivated area (arable land + permanent crops),2007,51.0,X
23,Cultivated area (arable land + permanent crops),2012,59.0,X
24,Cultivated area (arable land + permanent crops),2017,54.0,X
25,Cultivated area (arable land + permanent crops),2018,54.0,X
26,Total population,1962,210.142,X
27,Total population,1967,247.527,X
28,Total population,1972,271.843,X
29,Total population,1977,273.335,X
30,Total population,1982,294.254,X
31,Total population,1987,321.135,X
32,Total population,1992,355.757,X
33,Total population,1997,404.259,X
34,Total population,2002,442.951,X
35,Total population,2007,475.06,X
36,Total population,2012,505.235,X
37,Total population,2017,537.498,X
38,Total population,2018,543.767,X
39,Rural population,1962,174.547,X
40,Rural population,1967,202.339,X
41,Rural population,1972,218.176,X
42,Rural population,1977,214.522,X
43,Rural population,1982,218.401,X
44,Rural population,1987,206.779,X
45,Rural population,1992,194.006,X
46,Rural population,1997,201.486,X
47,Rural population,2002,202.789,X
48,Rural population,2007,197.671,X
49,Rural population,2012,191.091,X
50,Rural population,2017,189.808,X
51,Rural population,2018,189.62,X
52,Urban population,1962,36.32,X
53,Urban population,1967,46.408,X
54,Urban population,1972,55.475,X
55,Urban population,1977,61.245,X
56,Urban population,1982,78.884,X
57,Urban population,1987,118.114,X
58,Urban population,1992,165.084,X
59,Urban population,1997,206.689,X
60,Urban population,2002,249.317,X
61,Urban population,2007,288.767,X
62,Urban population,2012,322.888,X
63,Urban population,2017,356.58,X
64,Urban population,2018,363.715,X
65,Gross Domestic Product (GDP),1972,93068364.0,X
66,Gross Domestic Product (GDP),1977,117274894.0,X
67,Gross Domestic Product (GDP),1982,159961097.0,X
68,Gross Domestic Product (GDP),1987,268566664.0,X
69,Gross Domestic Product (GDP),1992,407654368.0,X
70,Gross Domestic Product (GDP),1997,561064843.0,X
71,Gross Domestic Product (GDP),2002,706213173.0,X
72,Gross Domestic Product (GDP),2007,1513937453.0,X
73,Gross Domestic Product (GDP),2012,1751887839.0,X
74,Gross Domestic Product (GDP),2017,1769786532.0,X
75,GDP per capita,1972,340.098753,X
