Cameroon,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,47544.0,X
1,Total area of the country (excl. coastal water),1967,47544.0,X
2,Total area of the country (excl. coastal water),1972,47544.0,X
3,Total area of the country (excl. coastal water),1977,47544.0,X
4,Total area of the country (excl. coastal water),1982,47544.0,X
5,Total area of the country (excl. coastal water),1987,47544.0,X
6,Total area of the country (excl. coastal water),1992,47544.0,X
7,Total area of the country (excl. coastal water),1997,47544.0,X
8,Total area of the country (excl. coastal water),2002,47544.0,X
9,Total area of the country (excl. coastal water),2007,47544.0,X
10,Total area of the country (excl. coastal water),2012,47544.0,X
11,Total area of the country (excl. coastal water),2017,47544.0,E
12,Total area of the country (excl. coastal water),2018,47544.0,E
13,Cultivated area (arable land + permanent crops),1962,5570.0,X
14,Cultivated area (arable land + permanent crops),1967,5870.0,X
15,Cultivated area (arable land + permanent crops),1972,6095.0,X
16,Cultivated area (arable land + permanent crops),1977,6644.0,X
17,Cultivated area (arable land + permanent crops),1982,7010.0,X
18,Cultivated area (arable land + permanent crops),1987,7210.0,X
19,Cultivated area (arable land + permanent crops),1992,7160.0,X
20,Cultivated area (arable land + permanent crops),1997,7160.0,X
21,Cultivated area (arable land + permanent crops),2002,7160.0,X
22,Cultivated area (arable land + permanent crops),2007,7213.0,X
23,Cultivated area (arable land + permanent crops),2012,7750.0,X
24,Cultivated area (arable land + permanent crops),2017,7750.0,X
25,Cultivated area (arable land + permanent crops),2018,7750.0,X
26,Total population,1962,5398.729,X
27,Total population,1967,6052.42,X
28,Total population,1972,6867.178,X
29,Total population,1977,7887.56,X
30,Total population,1982,9166.816,X
31,Total population,1987,10731.064,X
32,Total population,1992,12499.499,X
33,Total population,1997,14344.449,X
34,Total population,2002,16357.602,X
35,Total population,2007,18730.282,X
36,Total population,2012,21485.265,X
37,Total population,2017,24566.073,X
38,Total population,2018,25216.267,X
39,Rural population,1962,4586.781,X
40,Rural population,1967,4956.503,X
41,Rural population,1972,5298.935,X
42,Rural population,1977,5565.571,X
43,Rural population,1982,6080.095,X
44,Rural population,1987,6637.966,X
45,Rural population,1992,7344.014,X
46,Rural population,1997,7967.381,X
47,Rural population,2002,8567.125,X
48,Rural population,2007,9244.465,X
49,Rural population,2012,9957.503,X
50,Rural population,2017,10637.19,X
51,Rural population,2018,10766.102,X
52,Urban population,1962,813.141,X
53,Urban population,1967,1102.036,X
54,Urban population,1972,1576.293,X
55,Urban population,1977,2325.398,X
56,Urban population,1982,3078.471,X
57,Urban population,1987,4058.308,X
58,Urban population,1992,5064.917,X
59,Urban population,1997,6198.042,X
60,Urban population,2002,7517.761,X
61,Urban population,2007,9150.924,X
62,Urban population,2012,11124.88,X
63,Urban population,2017,13416.537,X
64,Urban population,2018,13912.132,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.6536,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.6263333333,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.5873,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.5873,I
69,Gross Domestic Product (GDP),1962,699373631.0,X
70,Gross Domestic Product (GDP),1967,934078958.0,X
71,Gross Domestic Product (GDP),1972,1903180995.0,X
72,Gross Domestic Product (GDP),1977,4621515678.0,X
73,Gross Domestic Product (GDP),1982,9500798884.0,X
