Central African Republic,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,62298.0,X
1,Total area of the country (excl. coastal water),1967,62298.0,X
2,Total area of the country (excl. coastal water),1972,62298.0,X
3,Total area of the country (excl. coastal water),1977,62298.0,X
4,Total area of the country (excl. coastal water),1982,62298.0,X
5,Total area of the country (excl. coastal water),1987,62298.0,X
6,Total area of the country (excl. coastal water),1992,62298.0,X
7,Total area of the country (excl. coastal water),1997,62298.0,X
8,Total area of the country (excl. coastal water),2002,62298.0,X
9,Total area of the country (excl. coastal water),2007,62298.0,X
10,Total area of the country (excl. coastal water),2012,62298.0,X
11,Total area of the country (excl. coastal water),2017,62298.0,E
12,Total area of the country (excl. coastal water),2018,62298.0,E
13,Cultivated area (arable land + permanent crops),1962,1748.0,X
14,Cultivated area (arable land + permanent crops),1967,1800.0,X
15,Cultivated area (arable land + permanent crops),1972,1850.0,X
16,Cultivated area (arable land + permanent crops),1977,1910.0,X
17,Cultivated area (arable land + permanent crops),1982,1960.0,X
18,Cultivated area (arable land + permanent crops),1987,2005.0,X
19,Cultivated area (arable land + permanent crops),1992,2020.0,X
20,Cultivated area (arable land + permanent crops),1997,2023.0,X
21,Cultivated area (arable land + permanent crops),2002,2024.0,X
22,Cultivated area (arable land + permanent crops),2007,2010.0,X
23,Cultivated area (arable land + permanent crops),2012,1880.0,X
24,Cultivated area (arable land + permanent crops),2017,1880.0,X
25,Cultivated area (arable land + permanent crops),2018,1880.0,X
26,Total population,1962,1551.91,X
27,Total population,1967,1708.302,X
28,Total population,1972,1867.782,X
29,Total population,1977,2039.919,X
30,Total population,1982,2335.333,X
31,Total population,1987,2646.84,X
32,Total population,1992,2959.236,X
33,Total population,1997,3392.436,X
34,Total population,2002,3802.128,X
35,Total population,2007,4198.01,X
36,Total population,2012,4436.416,X
37,Total population,2017,4596.023,X
38,Total population,2018,4666.368,X
39,Rural population,1962,1223.262,X
40,Rural population,1967,1288.952,X
41,Rural population,1972,1344.703,X
42,Rural population,1977,1416.188,X
43,Rural population,1982,1583.56,X
44,Rural population,1987,1757.691,X
45,Rural population,1992,1950.757,X
46,Rural population,1997,2202.057,X
47,Rural population,2002,2430.45,X
48,Rural population,2007,2636.499,X
49,Rural population,2012,2721.724,X
50,Rural population,2017,2749.797,X
51,Rural population,2018,2777.836,X
52,Urban population,1962,333.399,X
53,Urban population,1967,429.651,X
54,Urban population,1972,555.614,X
55,Urban population,1977,694.269,X
56,Urban population,1982,835.284,X
57,Urban population,1987,997.553,X
58,Urban population,1992,1145.05,X
59,Urban population,1997,1315.252,X
60,Urban population,2002,1477.162,X
61,Urban population,2007,1639.301,X
62,Urban population,2012,1768.692,X
63,Urban population,2017,1909.283,X
64,Urban population,2018,1959.587,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.675,I
