Chad,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,128400.0,X
1,Total area of the country (excl. coastal water),1967,128400.0,X
2,Total area of the country (excl. coastal water),1972,128400.0,X
3,Total area of the country (excl. coastal water),1977,128400.0,X
4,Total area of the country (excl. coastal water),1982,128400.0,X
5,Total area of the country (excl. coastal water),1987,128400.0,X
6,Total area of the country (excl. coastal water),1992,128400.0,X
7,Total area of the country (excl. coastal water),1997,128400.0,X
8,Total area of the country (excl. coastal water),2002,128400.0,X
9,Total area of the country (excl. coastal water),2007,128400.0,X
10,Total area of the country (excl. coastal water),2012,128400.0,X
11,Total area of the country (excl. coastal water),2017,128400.0,E
12,Total area of the country (excl. coastal water),2018,128400.0,E
13,Cultivated area (arable land + permanent crops),1962,2900.0,X
14,Cultivated area (arable land + permanent crops),1967,2900.0,X
15,Cultivated area (arable land + permanent crops),1972,2900.0,X
16,Cultivated area (arable land + permanent crops),1977,3100.0,X
17,Cultivated area (arable land + permanent crops),1982,3150.0,X
18,Cultivated area (arable land + permanent crops),1987,3205.0,X
19,Cultivated area (arable land + permanent crops),1992,3370.0,X
20,Cultivated area (arable land + permanent crops),1997,3630.0,X
21,Cultivated area (arable land + permanent crops),2002,3730.0,X
22,Cultivated area (arable land + permanent crops),2007,3931.0,X
23,Cultivated area (arable land + permanent crops),2012,4685.0,X
24,Cultivated area (arable land + permanent crops),2017,5238.0,X
25,Cultivated area (arable land + permanent crops),2018,5238.0,X
26,Total population,1962,3121.236,X
27,Total population,1967,3434.825,X
28,Total population,1972,3815.26,X
29,Total population,1977,4255.248,X
30,Total population,1982,4718.162,X
31,Total population,1987,5412.847,X
32,Total population,1992,6356.748,X
33,Total population,1997,7503.493,X
34,Total population,2002,9019.233,X
35,Total population,2007,10818.024,X
36,Total population,2012,12784.75,X
37,Total population,2017,15016.753,X
38,Total population,2018,15477.729,X
39,Rural population,1962,2895.263,X
40,Rural population,1967,3106.308,X
41,Rural population,1972,3315.325,X
42,Rural population,1977,3513.224,X
43,Rural population,1982,3810.875,X
44,Rural population,1987,4316.33,X
45,Rural population,1992,5000.829,X
46,Rural population,1997,5879.339,X
47,Rural population,2002,7048.105,X
48,Rural population,2007,8419.328,X
49,Rural population,2012,9891.998,X
50,Rural population,2017,11494.121,X
51,Rural population,2018,11812.905,X
52,Urban population,1962,225.953,X
53,Urban population,1967,328.503,X
54,Urban population,1972,499.778,X
55,Urban population,1977,740.765,X
56,Urban population,1982,904.322,X
57,Urban population,1987,1091.757,X
58,Urban population,1992,1348.26,X
59,Urban population,1997,1613.912,X
60,Urban population,2002,1953.584,X
61,Urban population,2007,2356.38,X
62,Urban population,2012,2813.137,X
63,Urban population,2017,3405.873,X
64,Urban population,2018,3540.279,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.7065,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.7065,I
67,Gross Domestic Product (GDP),1962,357635714.0,X
68,Gross Domestic Product (GDP),1967,449826323.0,X
69,Gross Domestic Product (GDP),1972,403013385.0,X
70,Gross Domestic Product (GDP),1977,714485898.0,X
71,Gross Domestic Product (GDP),1982,866823712.0,X
72,Gross Domestic Product (GDP),1987,1379240458.0,X
73,Gross Domestic Product (GDP),1992,1896094855.0,X
74,Gross Domestic Product (GDP),1997,1754815782.0,X
75,Gross Domestic Product (GDP),2002,2260468323.0,X
76,Gross Domestic Product (GDP),2007,8397410683.0,X
77,Gross Domestic Product (GDP),2012,14003839360.0,X
78,Gross Domestic Product (GDP),2017,10394020227.0,X
79,GDP per capita,1972,105.636305,X
80,GDP per capita,1977,167.956687,X
81,GDP per capita,1982,183.83616,X
82,GDP per capita,1987,255.032964,X
83,GDP per capita,1992,298.640459,X
84,GDP per capita,1997,234.186174,X
85,GDP per capita,2002,251.116021,X
86,GDP per capita,2007,779.290853,X
87,GDP per capita,2012,1102.218856,X
88,GDP per capita,2017,697.585531,X
89,GDP per capita,2018,741.697902,X
90,"Agriculture, value added (% GDP)",1962,39.81,X
91,"Agriculture, value added (% GDP)",1967,42.08,X
92,"Agriculture, value added (% GDP)",1972,37.206815,X
93,"Agriculture, value added (% GDP)",1977,37.250694,X
94,"Agriculture, value added (% GDP)",1982,36.69114,X
95,"Agriculture, value added (% GDP)",1987,32.75665,X
96,"Agriculture, value added (% GDP)",1992,32.301237,X
97,"Agriculture, value added (% GDP)",1997,34.90297,X
98,"Agriculture, value added (% GDP)",2002,34.445495,X
99,"Agriculture, value added (% GDP)",2007,24.499453,X
100,"Agriculture, value added (% GDP)",2012,24.384908,X
101,"Agriculture, value added (% GDP)",2017,34.045337,X
102,"Agriculture, value added to GDP",1962,137595945.0,X
103,"Agriculture, value added to GDP",1967,179501005.0,X
104,"Agriculture, value added to GDP",1969,181052806.0,X
105,Number of people undernourished (3-year average),1992,3600.0,X
106,Number of people undernourished (3-year average),1997,3700.0,X
107,Number of people undernourished (3-year average),2002,3400.0,X
108,Number of people undernourished (3-year average),2007,4000.0,X
109,Number of people undernourished (3-year average),2009,4500.0,X
110,Prevalence of undernourishment (3-year average),1992,59.1,X
111,Prevalence of undernourishment (3-year average),1997,50.9,X
112,Prevalence of undernourishment (3-year average),2001,40.1,X
113,Prevalence of undernourishment (3-year average),2009,40.1,X
114,Total population with access to safe drinking-water (JMP),1992,40.8,X
115,Total population with access to safe drinking-water (JMP),1997,43.3,X
116,Total population with access to safe drinking-water (JMP),2002,45.7,X
117,Total population with access to safe drinking-water (JMP),2007,48.2,X
118,Total population with access to safe drinking-water (JMP),2012,50.7,X
119,Total population with access to safe drinking-water (JMP),2017,50.8,I
120,Total population with access to safe drinking-water (JMP),2018,50.8,I
121,Long-term average annual precipitation in volume,1962,413.448,E
122,Long-term average annual precipitation in volume,1967,413.448,E
123,Long-term average annual precipitation in volume,1972,413.448,E
124,Long-term average annual precipitation in volume,1977,413.448,E
125,Long-term average annual precipitation in volume,1982,413.448,E
126,Long-term average annual precipitation in volume,1987,413.448,E
127,Long-term average annual precipitation in volume,1992,413.448,E
128,Long-term average annual precipitation in volume,1997,413.448,E
129,Long-term average annual precipitation in volume,2002,413.448,E
130,Long-term average annual precipitation in volume,2007,413.448,E
131,Long-term average annual precipitation in volume,2012,413.448,E
132,Long-term average annual precipitation in volume,2017,413.448,E
133,Long-term average annual precipitation in volume,2018,413.448,E
134,Interannual variability (WRI),2017,1.9,I
135,Interannual variability (WRI),2018,1.9,I
136,Seasonal variability (WRI),2017,3.8,I
137,Seasonal variability (WRI),2018,3.8,I
138,Flood occurrence (WRI),2017,3.0,I
139,Flood occurrence (WRI),2018,3.0,I
151,Surface water: entering the country (total),2017,30.7,OF
163,Surface water: leaving the country to other countries (total),2017,10.15,OF
164,Groundwater: entering the country (total),1962,0.0,E
165,Groundwater: entering the country (total),1967,0.0,E
166,Groundwater: entering the country (total),1972,0.0,E
167,Groundwater: entering the country (total),1977,0.0,E
168,Groundwater: entering the country (total),1982,0.0,E
169,Groundwater: entering the country (total),1987,0.0,E
170,Groundwater: entering the country (total),1992,0.0,E
171,Groundwater: entering the country (total),1997,0.0,E
172,Groundwater: entering the country (total),2002,0.0,E
173,Groundwater: entering the country (total),2007,0.0,E
174,Groundwater: entering the country (total),2012,0.0,E
175,Groundwater: entering the country (total),2017,0.0,E
176,Groundwater: leaving the country to other countries (total),1962,0.0,OF
177,Groundwater: leaving the country to other countries (total),1967,0.0,OF
178,Groundwater: leaving the country to other countries (total),1972,0.0,OF
179,Groundwater: leaving the country to other countries (total),1977,0.0,OF
180,Groundwater: leaving the country to other countries (total),1982,0.0,OF
181,Groundwater: leaving the country to other countries (total),1987,0.0,OF
182,Groundwater: leaving the country to other countries (total),1992,0.0,OF
183,Groundwater: leaving the country to other countries (total),1997,0.0,OF
184,Groundwater: leaving the country to other countries (total),2002,0.0,OF
185,Groundwater: leaving the country to other countries (total),2007,0.0,OF
186,Groundwater: leaving the country to other countries (total),2012,0.0,OF
187,Groundwater: leaving the country to other countries (total),2017,0.0,OF
188,Dependency ratio,1962,67.1772428884,E
189,Dependency ratio,1967,67.1772428884,E
190,Dependency ratio,1972,67.1772428884,E
191,Dependency ratio,1977,67.1772428884,E
192,Dependency ratio,1982,67.1772428884,E
193,Dependency ratio,1987,67.1772428884,E
194,Dependency ratio,1992,67.1772428884,E
195,Dependency ratio,1997,67.1772428884,E
196,Dependency ratio,2002,67.1772428884,E
197,Dependency ratio,2007,67.1772428884,E
198,Dependency ratio,2012,67.1772428884,E
199,Dependency ratio,2017,67.1772428884,E
200,Dependency ratio,2018,67.1772428884,E
201,Total internal renewable water resources (IRWR),1962,15.0,E
202,Total internal renewable water resources (IRWR),1967,15.0,E
203,Total internal renewable water resources (IRWR),1972,15.0,E
204,Total internal renewable water resources (IRWR),1977,15.0,E
205,Total internal renewable water resources (IRWR),1982,15.0,E
206,Total internal renewable water resources (IRWR),1987,15.0,E
207,Total internal renewable water resources (IRWR),1992,15.0,E
208,Total internal renewable water resources (IRWR),1997,15.0,E
209,Total internal renewable water resources (IRWR),2002,15.0,E
210,Total internal renewable water resources (IRWR),2007,15.0,E
211,Total internal renewable water resources (IRWR),2012,15.0,E
212,Total internal renewable water resources (IRWR),2017,15.0,E
213,Total internal renewable water resources (IRWR),2018,15.0,E
214,Total internal renewable water resources per capita,1962,4805.7884761037,E
215,Total internal renewable water resources per capita,1967,4367.0347106476,E
216,Total internal renewable water resources per capita,1972,3931.5800233798,E
217,Total internal renewable water resources per capita,1977,3525.0589389855,E
218,Total internal renewable water resources per capita,1982,3179.2041053275,E
219,Total internal renewable water resources per capita,1987,2771.1849235716,E
220,Total internal renewable water resources per capita,1992,2359.6971281542,E
221,Total internal renewable water resources per capita,1997,1999.0689669465,E
222,Total internal renewable water resources per capita,2002,1663.112595051,E
223,Total internal renewable water resources per capita,2007,1386.5748495289,E
224,Total internal renewable water resources per capita,2012,1173.2728446,E
225,Total internal renewable water resources per capita,2017,998.8843793329,E
226,Total internal renewable water resources per capita,2018,969.1344253411,E
227,Total renewable surface water,1962,44.2,E
228,Total renewable surface water,1967,44.2,E
229,Total renewable surface water,1972,44.2,E
230,Total renewable surface water,1977,44.2,E
231,Total renewable surface water,1982,44.2,E
232,Total renewable surface water,1987,44.2,E
233,Total renewable surface water,1992,44.2,E
234,Total renewable surface water,1997,44.2,E
235,Total renewable surface water,2002,44.2,E
236,Total renewable surface water,2007,44.2,E
237,Total renewable surface water,2012,44.2,E
238,Total renewable surface water,2017,44.2,E
239,Total renewable surface water,2018,44.2,E
240,Total renewable groundwater,1962,11.5,E
