Chile,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,75610.0,X
1,Total area of the country (excl. coastal water),1967,75610.0,X
2,Total area of the country (excl. coastal water),1972,75610.0,X
3,Total area of the country (excl. coastal water),1977,75610.0,X
4,Total area of the country (excl. coastal water),1982,75610.0,X
5,Total area of the country (excl. coastal water),1987,75610.0,X
6,Total area of the country (excl. coastal water),1992,75610.0,X
7,Total area of the country (excl. coastal water),1997,75610.0,X
8,Total area of the country (excl. coastal water),2002,75610.0,X
9,Total area of the country (excl. coastal water),2007,75610.0,X
10,Total area of the country (excl. coastal water),2012,75610.0,X
11,Total area of the country (excl. coastal water),2017,75609.6,E
12,Total area of the country (excl. coastal water),2018,75609.6,E
13,Cultivated area (arable land + permanent crops),1962,3856.0,X
14,Cultivated area (arable land + permanent crops),1967,3958.0,X
15,Cultivated area (arable land + permanent crops),1972,4200.0,X
16,Cultivated area (arable land + permanent crops),1977,4300.0,X
17,Cultivated area (arable land + permanent crops),1982,3800.0,X
18,Cultivated area (arable land + permanent crops),1987,3313.0,X
19,Cultivated area (arable land + permanent crops),1992,2706.0,X
20,Cultivated area (arable land + permanent crops),1997,2297.0,X
21,Cultivated area (arable land + permanent crops),2002,2065.0,X
22,Cultivated area (arable land + permanent crops),2007,1719.0,X
23,Cultivated area (arable land + permanent crops),2012,1740.0,X
24,Cultivated area (arable land + permanent crops),2017,1742.0,X
25,Total population,1962,8476.897,X
26,Total population,1967,9312.095,X
27,Total population,1972,10103.674,X
28,Total population,1977,10922.779,X
29,Total population,1982,11743.911,X
30,Total population,1987,12642.924,X
31,Total population,1992,13719.819,X
32,Total population,1997,14786.22,X
33,Total population,2002,15684.409,X
34,Total population,2007,16530.195,X
35,Total population,2012,17400.347,X
36,Total population,2017,18470.439,X
37,Total population,2018,18729.16,X
38,Rural population,1962,2465.703,X
39,Rural population,1967,2416.172,X
40,Rural population,1972,2329.059,X
41,Rural population,1977,2200.124,X
42,Rural population,1982,2064.596,X
43,Rural population,1987,2155.522,X
44,Rural population,1992,2246.943,X
45,Rural population,1997,2178.978,X
46,Rural population,2002,2092.618,X
47,Rural population,2007,2160.337,X
48,Rural population,2012,2217.485,X
49,Rural population,2017,2258.558,X
50,Rural population,2018,2262.995,X
51,Urban population,1962,5601.433,X
52,Urban population,1967,6581.153,X
53,Urban population,1972,7593.499,X
54,Urban population,1977,8566.295,X
55,Urban population,1982,9551.24,X
56,Urban population,1987,10438.623,X
57,Urban population,1992,11424.09,X
58,Urban population,1997,12515.857,X
59,Urban population,2002,13531.017,X
60,Urban population,2007,14331.35,X
61,Urban population,2012,15092.261,X
62,Urban population,2017,15796.168,X
63,Urban population,2018,15934.214,X
64,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.4206,I
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.3828,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.3576666667,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.3376,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.3376,I
69,Gross Domestic Product (GDP),1962,5502775895.0,X
70,Gross Domestic Product (GDP),1967,6913560997.0,X
71,Gross Domestic Product (GDP),1972,12510670763.0,X
72,Gross Domestic Product (GDP),1977,14884929049.0,X
73,Gross Domestic Product (GDP),1982,26319059293.0,X
74,Gross Domestic Product (GDP),1987,23831079358.0,X
75,Gross Domestic Product (GDP),1992,48229522833.0,X
76,Gross Domestic Product (GDP),1997,86298816404.0,X
77,Gross Domestic Product (GDP),2002,70098009752.0,X
78,Gross Domestic Product (GDP),2004,99259633927.0,X
79,Gross Domestic Product (GDP),2015,243919085309.0,X
80,GDP per capita,1972,1260.831205,X
81,GDP per capita,1977,1382.532953,X
82,GDP per capita,1982,2265.791226,X
83,GDP per capita,1987,1892.234793,X
84,GDP per capita,1992,3527.862367,X
85,GDP per capita,1997,5872.731229,X
86,GDP per capita,2002,4486.664579,X
87,GDP per capita,2007,10526.878133,X
88,GDP per capita,2012,15431.902825,X
89,GDP per capita,2017,15383.587714,X
90,GDP per capita,2018,16388.839274,X
91,"Agriculture, value added (% GDP)",1962,8.899,X
92,"Agriculture, value added (% GDP)",1967,8.657,X
93,"Agriculture, value added (% GDP)",1972,6.310883,X
94,"Agriculture, value added (% GDP)",1977,7.258776,X
95,"Agriculture, value added (% GDP)",1982,4.642918,X
96,"Agriculture, value added (% GDP)",1987,6.562195,X
97,"Agriculture, value added (% GDP)",1992,6.869781,X
98,"Agriculture, value added (% GDP)",1997,4.949695,X
99,"Agriculture, value added (% GDP)",2002,4.770328,X
100,"Agriculture, value added (% GDP)",2007,3.710499,X
101,"Agriculture, value added (% GDP)",2015,3.638883,X
102,"Agriculture, value added to GDP",1962,454545455.0,X
103,"Agriculture, value added to GDP",1967,568627451.0,X
104,"Agriculture, value added to GDP",1969,546511628.0,X
105,Number of people undernourished (3-year average),1992,1200.0,X
106,Number of people undernourished (3-year average),1997,800.0,X
107,Number of people undernourished (3-year average),2002,500.0,X
108,Number of people undernourished (3-year average),2007,500.0,X
109,Number of people undernourished (3-year average),2012,600.0,X
110,Number of people undernourished (3-year average),2017,600.0,X
111,Number of people undernourished (3-year average),2018,600.0,X
112,Prevalence of undernourishment (3-year average),1992,9.0,X
113,Prevalence of undernourishment (3-year average),1997,5.5,X
114,Prevalence of undernourishment (3-year average),2001,4.7,X
115,Prevalence of undernourishment (3-year average),2006,3.1,X
116,Prevalence of undernourishment (3-year average),2008,3.1,X
117,Prevalence of undernourishment (3-year average),2015,3.1,X
118,Total population with access to safe drinking-water (JMP),1992,91.3,X
119,Total population with access to safe drinking-water (JMP),1997,93.6,X
120,Total population with access to safe drinking-water (JMP),2002,95.6,X
121,Total population with access to safe drinking-water (JMP),2007,97.3,X
122,Total population with access to safe drinking-water (JMP),2012,98.7,X
123,Total population with access to safe drinking-water (JMP),2017,99.0,I
124,Total population with access to safe drinking-water (JMP),2018,99.0,I
125,Long-term average annual precipitation in volume,1962,1151.0,OF
126,Long-term average annual precipitation in volume,1967,1151.0,OF
127,Long-term average annual precipitation in volume,1972,1151.0,OF
128,Long-term average annual precipitation in volume,1977,1151.0,OF
129,Long-term average annual precipitation in volume,1982,1151.0,OF
130,Long-term average annual precipitation in volume,1987,1151.0,OF
131,Long-term average annual precipitation in volume,1992,1151.0,OF
132,Long-term average annual precipitation in volume,1997,1151.0,OF
133,Long-term average annual precipitation in volume,2002,1151.0,OF
134,Long-term average annual precipitation in volume,2007,1151.0,OF
135,Long-term average annual precipitation in volume,2012,1151.0,OF
136,Long-term average annual precipitation in volume,2017,1151.0,OF
137,Long-term average annual precipitation in volume,2018,1150.778112,E
138,Interannual variability (WRI),2017,2.9,I
139,Interannual variability (WRI),2018,2.9,I
140,Seasonal variability (WRI),2017,3.5,I
141,Seasonal variability (WRI),2018,3.5,I
142,Flood occurrence (WRI),2017,2.5,I
143,Flood occurrence (WRI),2018,2.5,I
144,Surface water: entering the country (total),1962,38.06,OF
145,Surface water: entering the country (total),1967,38.06,OF
146,Surface water: entering the country (total),1972,38.06,OF
147,Surface water: entering the country (total),1977,38.06,OF
148,Surface water: entering the country (total),1982,38.06,OF
149,Surface water: entering the country (total),1987,38.06,OF
150,Surface water: entering the country (total),1992,38.06,OF
151,Surface water: entering the country (total),1997,38.06,OF
152,Surface water: entering the country (total),2002,38.06,OF
153,Surface water: entering the country (total),2007,38.06,OF
154,Surface water: entering the country (total),2012,38.06,OF
155,Surface water: entering the country (total),2017,38.06,OF
156,Surface water: leaving the country to other countries (total),1962,3.15,OF
157,Surface water: leaving the country to other countries (total),1967,3.15,OF
158,Surface water: leaving the country to other countries (total),1972,3.15,OF
159,Surface water: leaving the country to other countries (total),1977,3.15,OF
160,Surface water: leaving the country to other countries (total),1982,3.15,OF
161,Surface water: leaving the country to other countries (total),1987,3.15,OF
162,Surface water: leaving the country to other countries (total),1992,3.15,OF
163,Surface water: leaving the country to other countries (total),1997,3.15,OF
164,Surface water: leaving the country to other countries (total),2002,3.15,OF
165,Surface water: leaving the country to other countries (total),2007,3.15,OF
166,Surface water: leaving the country to other countries (total),2012,3.15,OF
167,Surface water: leaving the country to other countries (total),2017,3.15,OF
168,Groundwater: entering the country (total),1962,0.0,OF
169,Groundwater: entering the country (total),1967,0.0,OF
170,Groundwater: entering the country (total),1972,0.0,OF
171,Groundwater: entering the country (total),1977,0.0,OF
172,Groundwater: entering the country (total),1982,0.0,OF
173,Groundwater: entering the country (total),1987,0.0,OF
174,Groundwater: entering the country (total),1992,0.0,OF
175,Groundwater: entering the country (total),1997,0.0,OF
176,Groundwater: entering the country (total),2002,0.0,OF
177,Groundwater: entering the country (total),2007,0.0,OF
178,Groundwater: entering the country (total),2012,0.0,OF
179,Groundwater: entering the country (total),2017,0.0,OF
180,Groundwater: leaving the country to other countries (total),1962,0.0,OF
181,Groundwater: leaving the country to other countries (total),1967,0.0,OF
182,Groundwater: leaving the country to other countries (total),1972,0.0,OF
183,Groundwater: leaving the country to other countries (total),1977,0.0,OF
184,Groundwater: leaving the country to other countries (total),1982,0.0,OF
185,Groundwater: leaving the country to other countries (total),1987,0.0,OF
186,Groundwater: leaving the country to other countries (total),1992,0.0,OF
187,Groundwater: leaving the country to other countries (total),1997,0.0,OF
188,Groundwater: leaving the country to other countries (total),2002,0.0,OF
189,Groundwater: leaving the country to other countries (total),2007,0.0,OF
190,Groundwater: leaving the country to other countries (total),2012,0.0,OF
191,Groundwater: leaving the country to other countries (total),2017,0.0,OF
192,Dependency ratio,1962,4.1232422594,E
193,Dependency ratio,1967,4.1232422594,E
194,Dependency ratio,1972,4.1232422594,E
195,Dependency ratio,1977,4.1232422594,E
196,Dependency ratio,1982,4.1232422594,E
197,Dependency ratio,1987,4.1232422594,E
198,Dependency ratio,1992,4.1232422594,E
199,Dependency ratio,1997,4.1232422594,E
200,Dependency ratio,2002,4.1232422594,E
