,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1962,5110.0,X
1,Total area of the country (excl. coastal water),4100,1967,5110.0,X
2,Total area of the country (excl. coastal water),4100,1972,5110.0,X
3,Total area of the country (excl. coastal water),4100,1977,5110.0,X
4,Total area of the country (excl. coastal water),4100,1982,5110.0,X
5,Total area of the country (excl. coastal water),4100,1987,5110.0,X
6,Total area of the country (excl. coastal water),4100,1992,5110.0,X
7,Total area of the country (excl. coastal water),4100,1997,5110.0,X
8,Total area of the country (excl. coastal water),4100,2002,5110.0,X
9,Total area of the country (excl. coastal water),4100,2007,5110.0,X
10,Total area of the country (excl. coastal water),4100,2012,5110.0,X
11,Total area of the country (excl. coastal water),4100,2017,5110.0,E
12,Total area of the country (excl. coastal water),4100,2018,5110.0,E
13,Cultivated area (arable land + permanent crops),4103,1962,485.0,X
14,Cultivated area (arable land + permanent crops),4103,1967,486.0,X
15,Cultivated area (arable land + permanent crops),4103,1972,497.0,X
16,Cultivated area (arable land + permanent crops),4103,1977,497.0,X
17,Cultivated area (arable land + permanent crops),4103,1982,512.0,X
18,Cultivated area (arable land + permanent crops),4103,1987,526.0,X
19,Cultivated area (arable land + permanent crops),4103,1992,510.0,X
20,Cultivated area (arable land + permanent crops),4103,1997,490.0,X
21,Cultivated area (arable land + permanent crops),4103,2002,490.0,X
22,Cultivated area (arable land + permanent crops),4103,2007,500.0,X
23,Cultivated area (arable land + permanent crops),4103,2012,547.0,X
24,Cultivated area (arable land + permanent crops),4103,2017,579.5,X
25,Cultivated area (arable land + permanent crops),4103,2018,582.5,X
26,Total population,4104,1962,1433.335,X
27,Total population,4104,1967,1696.732,X
28,Total population,4104,1972,1944.169,X
29,Total population,4104,1977,2205.615,X
30,Total population,4104,1982,2523.354,X
31,Total population,4104,1987,2884.851,X
32,Total population,4104,1992,3286.52,X
33,Total population,4104,1997,3718.949,X
34,Total population,4104,2002,4100.925,X
35,Total population,4104,2007,4404.628,X
36,Total population,4104,2012,4688.0,X
37,Total population,4104,2017,4949.954,X
38,Total population,4104,2018,4999.441,X
39,Rural population,4105,1962,939.724,X
40,Rural population,4105,1967,1067.783,X
41,Rural population,4105,1972,1166.903,X
42,Rural population,4105,1977,1279.456,X
43,Rural population,4105,1982,1416.829,X
44,Rural population,4105,1987,1514.695,X
45,Rural population,4105,1992,1569.055,X
46,Rural population,4105,1997,1606.869,X
47,Rural population,4105,2002,1554.034,X
48,Rural population,4105,2007,1390.626,X
49,Rural population,4105,2012,1212.562,X
50,Rural population,4105,2017,1051.813,X
51,Rural population,4105,2018,1023.354,X
52,Urban population,4106,1962,492.861,X
53,Urban population,4106,1967,626.927,X
54,Urban population,4106,1972,780.145,X
55,Urban population,4106,1977,928.269,X
56,Urban population,4106,1982,1104.339,X
57,Urban population,4106,1987,1357.516,X
58,Urban population,4106,1992,1688.411,X
59,Urban population,4106,1997,2075.856,X
60,Urban population,4106,2002,2509.17,X
61,Urban population,4106,2007,2978.843,X
62,Urban population,4106,2012,3441.56,X
63,Urban population,4106,2017,3853.956,X
64,Urban population,4106,2018,3929.845,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2002,0.424,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2007,0.375,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2012,0.3463333333,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2017,0.3492,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2018,0.3492,I
70,Gross Domestic Product (GDP),4112,1962,479181220.0,X
71,Gross Domestic Product (GDP),4112,1967,699456619.0,X
72,Gross Domestic Product (GDP),4112,1972,1574757231.0,X
73,Gross Domestic Product (GDP),4112,1977,3907334923.0,X
74,Gross Domestic Product (GDP),4112,1982,3314911855.0,X
75,Gross Domestic Product (GDP),4112,1987,5764102931.0,X
76,Gross Domestic Product (GDP),4112,1992,8528591307.0,X
77,Gross Domestic Product (GDP),4112,1997,12552206400.0,X
78,Gross Domestic Product (GDP),4112,2002,16504909035.0,X
79,Gross Domestic Product (GDP),4112,2007,26743874711.0,X
80,Gross Domestic Product (GDP),4112,2012,46473131799.0,X
81,Gross Domestic Product (GDP),4112,2016,57157995873.0,X
82,GDP per capita,4458,1972,808.792198,X
83,GDP per capita,4458,1977,1769.846753,X
84,GDP per capita,4458,1982,1314.831798,X
85,GDP per capita,4458,1987,2006.852188,X
86,GDP per capita,4458,1992,2618.167406,X
87,GDP per capita,4458,1997,3408.401768,X
88,GDP per capita,4458,2002,4062.042919,X
89,GDP per capita,4458,2007,6120.623515,X
90,GDP per capita,4458,2012,9985.370345,X
91,GDP per capita,4458,2017,11858.39574,X
92,GDP per capita,4458,2018,12138.824794,X
93,"Agriculture, value added (% GDP)",4113,1972,13.900456,X
94,"Agriculture, value added (% GDP)",4113,1977,15.139923,X
95,"Agriculture, value added (% GDP)",4113,1982,16.944259,X
96,"Agriculture, value added (% GDP)",4113,1987,12.500186,X
97,"Agriculture, value added (% GDP)",4113,1992,11.949614,X
98,"Agriculture, value added (% GDP)",4113,1997,12.565378,X
99,"Agriculture, value added (% GDP)",4113,2002,8.465549,X
100,"Agriculture, value added (% GDP)",4113,2007,7.956962,X
101,"Agriculture, value added (% GDP)",4113,2012,5.40933,X
102,"Agriculture, value added (% GDP)",4113,2016,5.130814,X
103,"Agriculture, value added to GDP",4548,1962,123757553.0,X
104,"Agriculture, value added to GDP",4548,1967,162279245.0,X
105,"Agriculture, value added to GDP",4548,1969,197615094.0,X
106,Number of people undernourished (3-year average),4473,1992,200.0,X
107,Number of people undernourished (3-year average),4473,1997,200.0,X
108,Number of people undernourished (3-year average),4473,2002,200.0,X
109,Number of people undernourished (3-year average),4473,2007,200.0,X
110,Number of people undernourished (3-year average),4473,2012,200.0,X
111,Number of people undernourished (3-year average),4473,2017,200.0,X
112,Number of people undernourished (3-year average),4473,2018,200.0,X
113,Prevalence of undernourishment (3-year average),4474,1992,5.2,X
114,Prevalence of undernourishment (3-year average),4474,1997,5.6,X
115,Prevalence of undernourishment (3-year average),4474,2001,5.1,X
116,Prevalence of undernourishment (3-year average),4474,2014,4.1,X
117,Total population with access to safe drinking-water (JMP),4114,1992,93.3,X
118,Total population with access to safe drinking-water (JMP),4114,1997,94.4,X
119,Total population with access to safe drinking-water (JMP),4114,2002,95.5,X
120,Total population with access to safe drinking-water (JMP),4114,2007,96.6,X
121,Total population with access to safe drinking-water (JMP),4114,2012,97.5,X
122,Total population with access to safe drinking-water (JMP),4114,2017,97.8,I
123,Total population with access to safe drinking-water (JMP),4114,2018,97.8,I
124,Population affected by water related disease,4403,2012,315.9,
125,Population affected by water related disease,4403,2017,315.9,I
126,Population affected by water related disease,4403,2018,315.9,I
127,Long-term average annual precipitation in volume,4150,1962,149.5186,E
128,Long-term average annual precipitation in volume,4150,1967,149.5186,E
129,Long-term average annual precipitation in volume,4150,1972,149.5186,E
130,Long-term average annual precipitation in volume,4150,1977,149.5186,E
131,Long-term average annual precipitation in volume,4150,1982,149.5186,E
132,Long-term average annual precipitation in volume,4150,1987,149.5186,E
133,Long-term average annual precipitation in volume,4150,1992,149.5186,E
134,Long-term average annual precipitation in volume,4150,1997,149.5186,E
135,Long-term average annual precipitation in volume,4150,2002,149.5186,E
136,Long-term average annual precipitation in volume,4150,2007,149.5186,E
137,Long-term average annual precipitation in volume,4150,2012,149.5186,E
138,Long-term average annual precipitation in volume,4150,2017,149.5186,E
139,Long-term average annual precipitation in volume,4150,2018,149.5186,E
140,Interannual variability (WRI),4541,2017,1.0,I
141,Interannual variability (WRI),4541,2018,1.0,I
142,Seasonal variability (WRI),4542,2017,2.4,I
143,Seasonal variability (WRI),4542,2018,2.4,I
144,Flood occurrence (WRI),4543,2017,3.1,I
145,Flood occurrence (WRI),4543,2018,3.1,I
146,Surface water: entering the country (total),4159,1962,0.0,
147,Surface water: entering the country (total),4159,1967,0.0,
148,Surface water: entering the country (total),4159,1972,0.0,
149,Surface water: entering the country (total),4159,1977,0.0,
150,Surface water: entering the country (total),4159,1982,0.0,
151,Surface water: entering the country (total),4159,1987,0.0,
152,Surface water: entering the country (total),4159,1992,0.0,
153,Surface water: entering the country (total),4159,1997,0.0,
154,Surface water: entering the country (total),4159,2002,0.0,
155,Surface water: entering the country (total),4159,2007,0.0,
156,Surface water: entering the country (total),4159,2012,0.0,
157,Surface water: entering the country (total),4159,2017,0.0,
169,Surface water: leaving the country to other countries (total),4171,2017,9.655,
170,Groundwater: entering the country (total),4177,1962,0.0,
171,Groundwater: entering the country (total),4177,1967,0.0,
172,Groundwater: entering the country (total),4177,1972,0.0,
173,Groundwater: entering the country (total),4177,1977,0.0,
174,Groundwater: entering the country (total),4177,1982,0.0,
175,Groundwater: entering the country (total),4177,1987,0.0,
176,Groundwater: entering the country (total),4177,1992,0.0,
177,Groundwater: entering the country (total),4177,1997,0.0,
178,Groundwater: entering the country (total),4177,2002,0.0,
