,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1992,5654.0,X
1,Total area of the country (excl. coastal water),4100,1997,5661.0,X
2,Total area of the country (excl. coastal water),4100,2002,5654.0,X
3,Total area of the country (excl. coastal water),4100,2007,5659.0,X
4,Total area of the country (excl. coastal water),4100,2012,5659.0,X
5,Total area of the country (excl. coastal water),4100,2016,5659.0,X
6,Cultivated area (arable land + permanent crops),4103,1992,1325.0,X
7,Cultivated area (arable land + permanent crops),4103,1997,1108.0,X
8,Cultivated area (arable land + permanent crops),4103,2002,928.0,X
9,Cultivated area (arable land + permanent crops),4103,2007,932.0,X
10,Cultivated area (arable land + permanent crops),4103,2012,985.4,X
11,Cultivated area (arable land + permanent crops),4103,2017,889.0,X
12,Cultivated area (arable land + permanent crops),4103,2018,876.0,X
13,Total population,4104,1992,4732.862,X
14,Total population,4104,1997,4532.401,X
15,Total population,4104,2002,4395.799,X
16,Total population,4104,2007,4362.426,X
17,Total population,4104,2012,4295.878,X
18,Total population,4104,2017,4182.857,X
19,Total population,4104,2018,4156.405,X
20,Rural population,4105,1992,2291.265,X
21,Rural population,4105,1997,2142.075,X
22,Rural population,4105,2002,2030.408,X
23,Rural population,4105,2007,1978.228,X
24,Rural population,4105,2012,1911.684,X
25,Rural population,4105,2017,1815.373,X
26,Rural population,4105,2018,1793.077,X
27,Urban population,4106,1992,2441.597,X
28,Urban population,4106,1997,2390.324,X
29,Urban population,4106,2002,2365.411,X
30,Urban population,4106,2007,2384.038,X
31,Urban population,4106,2012,2384.842,X
32,Urban population,4106,2017,2373.98,X
33,Urban population,4106,2018,2371.706,X
34,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2002,0.2024,I
35,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2007,0.19,I
36,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2012,0.176,I
37,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2017,0.1489,I
38,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2018,0.1489,I
39,Gross Domestic Product (GDP),4112,1997,23854869152.0,X
40,Gross Domestic Product (GDP),4112,2002,26815779791.0,X
41,Gross Domestic Product (GDP),4112,2007,60171353429.0,X
42,Gross Domestic Product (GDP),4112,2012,56494517299.0,X
43,Gross Domestic Product (GDP),4112,2017,55319365464.0,X
44,Gross Domestic Product (GDP),4112,2018,60991183097.0,X
45,GDP per capita,4458,1992,2588.755815,X
46,GDP per capita,4458,1997,5263.188248,X
47,GDP per capita,4458,2002,6100.292071,X
48,GDP per capita,4458,2007,13793.600259,X
49,GDP per capita,4458,2012,13148.882911,X
50,GDP per capita,4458,2017,13204.751536,X
51,GDP per capita,4458,2018,14644.504431,X
52,"Agriculture, value added (% GDP)",4113,1992,8.834951,X
53,"Agriculture, value added (% GDP)",4113,1997,5.280707,X
54,"Agriculture, value added (% GDP)",4113,2002,4.8908,X
55,"Agriculture, value added (% GDP)",4113,2007,3.726651,X
56,"Agriculture, value added (% GDP)",4113,2012,3.34008,X
57,"Agriculture, value added (% GDP)",4113,2017,2.935786,X
58,"Agriculture, value added (% GDP)",4113,2018,2.855609,X
59,Number of people undernourished (3-year average),4473,2002,300.0,X
60,Number of people undernourished (3-year average),4473,2007,100.0,I
61,Number of people undernourished (3-year average),4473,2012,100.0,X
62,Number of people undernourished (3-year average),4473,2017,100.0,I
63,Number of people undernourished (3-year average),4473,2018,100.0,I
64,Prevalence of undernourishment (3-year average),4474,2001,10.4,X
65,Prevalence of undernourishment (3-year average),4474,2007,2.82,I
66,Prevalence of undernourishment (3-year average),4474,2012,2.6,X
67,Prevalence of undernourishment (3-year average),4474,2017,2.5,I
68,Prevalence of undernourishment (3-year average),4474,2018,2.5,I
69,Total population with access to safe drinking-water (JMP),4114,1992,98.2,X
70,Total population with access to safe drinking-water (JMP),4114,1997,98.3,X
71,Total population with access to safe drinking-water (JMP),4114,2002,98.4,X
72,Total population with access to safe drinking-water (JMP),4114,2007,98.9,X
73,Total population with access to safe drinking-water (JMP),4114,2012,99.4,X
74,Total population with access to safe drinking-water (JMP),4114,2017,99.6,I
75,Total population with access to safe drinking-water (JMP),4114,2018,99.6,I
76,Long-term average annual precipitation in volume,4150,1992,62.92902,E
77,Long-term average annual precipitation in volume,4150,1997,63.00693,E
78,Long-term average annual precipitation in volume,4150,2002,62.92902,E
79,Long-term average annual precipitation in volume,4150,2007,62.98467,E
80,Long-term average annual precipitation in volume,4150,2012,62.98467,E
81,Long-term average annual precipitation in volume,4150,2016,62.98467,E
82,Interannual variability (WRI),4541,2017,1.0,I
83,Interannual variability (WRI),4541,2018,1.0,I
84,Seasonal variability (WRI),4542,2017,1.2,I
85,Seasonal variability (WRI),4542,2018,1.2,I
86,Flood occurrence (WRI),4543,2017,3.0,I
87,Flood occurrence (WRI),4543,2018,3.0,I
93,Surface water: entering the country (total),4159,2017,33.47,
94,Surface water: leaving the country to other countries (total),4171,1992,39.7,
95,Surface water: leaving the country to other countries (total),4171,1997,39.7,
96,Surface water: leaving the country to other countries (total),4171,2002,39.7,
97,Surface water: leaving the country to other countries (total),4171,2007,39.7,
98,Surface water: leaving the country to other countries (total),4171,2012,39.7,
99,Surface water: leaving the country to other countries (total),4171,2017,39.7,
100,Groundwater: entering the country (total),4177,1992,0.0,E
101,Groundwater: entering the country (total),4177,1997,0.0,E
102,Groundwater: entering the country (total),4177,2002,0.0,E
103,Groundwater: entering the country (total),4177,2007,0.0,E
104,Groundwater: entering the country (total),4177,2012,0.0,E
105,Groundwater: entering the country (total),4177,2017,0.0,E
106,Dependency ratio,4192,1992,64.2654028436,E
107,Dependency ratio,4192,1997,64.2654028436,E
108,Dependency ratio,4192,2002,64.2654028436,E
109,Dependency ratio,4192,2007,64.2654028436,E
110,Dependency ratio,4192,2012,64.2654028436,E
111,Dependency ratio,4192,2017,64.2654028436,E
112,Dependency ratio,4192,2018,64.2654028436,E
113,Total internal renewable water resources (IRWR),4157,1992,37.7,E
114,Total internal renewable water resources (IRWR),4157,1997,37.7,E
115,Total internal renewable water resources (IRWR),4157,2002,37.7,E
116,Total internal renewable water resources (IRWR),4157,2007,37.7,E
117,Total internal renewable water resources (IRWR),4157,2012,37.7,E
118,Total internal renewable water resources (IRWR),4157,2017,37.7,E
119,Total internal renewable water resources (IRWR),4157,2018,37.7,E
120,Total internal renewable water resources per capita,4158,1992,7965.581924848,E
