Cuba,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,10989.0,X
1,Total area of the country (excl. coastal water),1967,10989.0,X
2,Total area of the country (excl. coastal water),1972,10989.0,X
3,Total area of the country (excl. coastal water),1977,10989.0,X
4,Total area of the country (excl. coastal water),1982,10989.0,X
5,Total area of the country (excl. coastal water),1987,10989.0,X
6,Total area of the country (excl. coastal water),1992,10989.0,X
7,Total area of the country (excl. coastal water),1997,10989.0,X
8,Total area of the country (excl. coastal water),2002,10989.0,X
9,Total area of the country (excl. coastal water),2007,10989.0,X
10,Total area of the country (excl. coastal water),2012,10988.0,X
11,Total area of the country (excl. coastal water),2017,10988.0,E
12,Total area of the country (excl. coastal water),2018,10988.0,E
13,Cultivated area (arable land + permanent crops),1962,1705.0,X
14,Cultivated area (arable land + permanent crops),1967,1922.0,X
15,Cultivated area (arable land + permanent crops),1972,3005.0,X
16,Cultivated area (arable land + permanent crops),1977,3331.0,X
17,Cultivated area (arable land + permanent crops),1982,3400.0,X
18,Cultivated area (arable land + permanent crops),1987,3730.0,X
19,Cultivated area (arable land + permanent crops),1992,4075.0,X
20,Cultivated area (arable land + permanent crops),1997,4184.0,X
21,Cultivated area (arable land + permanent crops),2002,4237.0,X
22,Cultivated area (arable land + permanent crops),2007,3991.0,X
23,Cultivated area (arable land + permanent crops),2012,3554.9,X
24,Cultivated area (arable land + permanent crops),2017,3561.6,X
25,Cultivated area (arable land + permanent crops),2018,3561.6,X
26,Total population,1962,7453.54,X
27,Total population,1967,8266.38,X
28,Total population,1972,9025.345,X
29,Total population,1977,9646.142,X
30,Total population,1982,9940.317,X
31,Total population,1987,10286.643,X
32,Total population,1992,10736.387,X
33,Total population,1997,10989.732,X
34,Total population,2002,11199.651,X
35,Total population,2007,11251.122,X
36,Total population,2012,11257.104,X
37,Total population,2017,11339.254,X
38,Total population,2018,11338.134,X
39,Rural population,1962,3071.371,X
40,Rural population,1967,3329.445,X
41,Rural population,1972,3447.696,X
42,Rural population,1977,3294.856,X
43,Rural population,1982,3035.852,X
44,Rural population,1987,2883.59,X
45,Rural population,1992,2809.254,X
46,Rural population,1997,2795.53,X
47,Rural population,2002,2716.433,X
48,Rural population,2007,2676.725,X
49,Rural population,2012,2642.849,X
50,Rural population,2017,2644.108,X
51,Rural population,2018,2638.265,X
52,Urban population,1962,4379.031,X
53,Urban population,1967,4934.101,X
54,Urban population,1972,5577.604,X
55,Urban population,1977,6339.824,X
56,Urban population,1982,6889.771,X
57,Urban population,1987,7385.977,X
58,Urban population,1992,7924.109,X
59,Urban population,1997,8218.453,X
60,Urban population,2002,8501.565,X
61,Urban population,2007,8626.962,X
62,Urban population,2012,8739.297,X
63,Urban population,2017,8840.528,X
64,Urban population,2018,8850.817,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.403,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.3718,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.3536666667,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.3559,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.3559,I
70,Gross Domestic Product (GDP),1972,8135053335.0,X
71,Gross Domestic Product (GDP),1977,14205988302.0,X
72,Gross Domestic Product (GDP),1982,20953258998.0,X
73,Gross Domestic Product (GDP),1987,25213311971.0,X
74,Gross Domestic Product (GDP),1992,22085593357.0,X
75,Gross Domestic Product (GDP),1997,25364500000.0,X
76,Gross Domestic Product (GDP),2002,33590500000.0,X
77,Gross Domestic Product (GDP),2007,58603800000.0,X
78,Gross Domestic Product (GDP),2012,73141000000.0,X
79,Gross Domestic Product (GDP),2017,96851000000.0,X
80,Gross Domestic Product (GDP),2018,100023000000.0,X
81,GDP per capita,1972,901.360989,X
82,GDP per capita,1977,1474.463947,X
83,GDP per capita,1982,2111.027086,X
84,GDP per capita,1987,2455.148496,X
85,GDP per capita,1992,2057.65829,X
86,GDP per capita,1997,2302.936186,X
87,GDP per capita,2002,2994.339988,X
88,GDP per capita,2007,5184.485381,X
89,GDP per capita,2012,6425.941119,X
90,GDP per capita,2017,8433.092699,X
91,GDP per capita,2018,8705.917496,X
92,"Agriculture, value added (% GDP)",1972,11.179403,X
93,"Agriculture, value added (% GDP)",1977,11.178815,X
94,"Agriculture, value added (% GDP)",1982,11.228678,X
95,"Agriculture, value added (% GDP)",1987,11.655321,X
96,"Agriculture, value added (% GDP)",1992,11.463254,X
97,"Agriculture, value added (% GDP)",1997,7.18721,X
98,"Agriculture, value added (% GDP)",2002,5.945729,X
99,"Agriculture, value added (% GDP)",2007,3.908108,X
100,"Agriculture, value added (% GDP)",2012,3.850098,X
101,"Agriculture, value added (% GDP)",2017,3.800684,X
102,"Agriculture, value added (% GDP)",2018,3.78413,X
103,Number of people undernourished (3-year average),1992,600.0,X
104,Number of people undernourished (3-year average),1997,2200.0,X
105,Number of people undernourished (3-year average),2002,300.0,X
106,Number of people undernourished (3-year average),2007,300.0,I
107,Number of people undernourished (3-year average),2012,300.0,I
108,Number of people undernourished (3-year average),2017,300.0,I
109,Number of people undernourished (3-year average),2018,300.0,I
110,Prevalence of undernourishment (3-year average),1992,5.7,X
111,Prevalence of undernourishment (3-year average),1997,20.1,X
112,Prevalence of undernourishment (3-year average),2002,2.8,X
113,Prevalence of undernourishment (3-year average),2007,2.8,I
114,Prevalence of undernourishment (3-year average),2012,2.8,I
115,Prevalence of undernourishment (3-year average),2017,2.8,I
116,Prevalence of undernourishment (3-year average),2018,2.8,I
117,Total population with access to safe drinking-water (JMP),1997,89.8,X
118,Total population with access to safe drinking-water (JMP),2002,91.2,X
119,Total population with access to safe drinking-water (JMP),2007,92.7,X
120,Total population with access to safe drinking-water (JMP),2012,94.1,X
121,Total population with access to safe drinking-water (JMP),2017,94.9,I
122,Total population with access to safe drinking-water (JMP),2018,94.9,I
123,Population affected by water related disease,1997,1033.0,OF
124,Population affected by water related disease,2002,1033.0,I
125,Population affected by water related disease,2007,1033.0,I
126,Population affected by water related disease,2012,1033.0,I
127,Population affected by water related disease,2017,1033.0,I
128,Population affected by water related disease,2018,1033.0,I
129,Long-term average annual precipitation in volume,1962,146.70315,E
130,Long-term average annual precipitation in volume,1967,146.70315,E
131,Long-term average annual precipitation in volume,1972,146.70315,E
132,Long-term average annual precipitation in volume,1977,146.70315,E
