Czechia,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1997,7887.0,X
1,Total area of the country (excl. coastal water),2002,7887.0,X
2,Total area of the country (excl. coastal water),2007,7887.0,X
3,Total area of the country (excl. coastal water),2012,7887.0,X
4,Total area of the country (excl. coastal water),2017,7887.0,E
5,Cultivated area (arable land + permanent crops),1997,3327.0,X
6,Cultivated area (arable land + permanent crops),2001,3312.0,X
7,Cultivated area (arable land + permanent crops),2017,2543.0,X
8,Cultivated area (arable land + permanent crops),2018,2533.0,X
9,Total population,1997,10338.339,X
10,Total population,2002,10252.261,X
11,Total population,2007,10357.538,X
12,Total population,2012,10581.293,X
13,Total population,2017,10641.034,X
14,Total population,2018,10665.677,X
15,Rural population,1997,2648.516,X
16,Rural population,2002,2685.263,X
17,Rural population,2007,2748.296,X
18,Rural population,2012,2837.581,X
19,Rural population,2017,2795.276,X
20,Rural population,2018,2784.67,X
21,Urban population,1997,7690.077,X
22,Urban population,2002,7567.176,X
23,Urban population,2007,7608.29,X
24,Urban population,2012,7749.174,X
25,Urban population,2017,7823.027,X
26,Urban population,2018,7840.58,X
27,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.1842,I
28,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.1462,I
29,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.1033333333,I
30,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.0914,I
31,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.0914,I
32,GDP per capita,1997,5976.878919,X
33,GDP per capita,2002,7989.413672,X
34,GDP per capita,2007,18271.210375,X
35,GDP per capita,2012,19588.289993,X
36,GDP per capita,2017,20334.091525,X
37,GDP per capita,2018,23079.540049,X
38,Total population with access to safe drinking-water (JMP),1997,99.8,X
39,Total population with access to safe drinking-water (JMP),2002,99.8,X
40,Total population with access to safe drinking-water (JMP),2007,99.9,X
41,Total population with access to safe drinking-water (JMP),2012,100.0,X
42,Total population with access to safe drinking-water (JMP),2017,100.0,I
