,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1962,32246.0,X
1,Total area of the country (excl. coastal water),4100,1967,32246.0,X
2,Total area of the country (excl. coastal water),4100,1972,32246.0,X
3,Total area of the country (excl. coastal water),4100,1977,32246.0,X
4,Total area of the country (excl. coastal water),4100,1982,32246.0,X
5,Total area of the country (excl. coastal water),4100,1987,32246.0,X
6,Total area of the country (excl. coastal water),4100,1992,32246.0,X
7,Total area of the country (excl. coastal water),4100,1997,32246.0,X
8,Total area of the country (excl. coastal water),4100,2002,32246.0,X
9,Total area of the country (excl. coastal water),4100,2007,32246.0,X
10,Total area of the country (excl. coastal water),4100,2012,32246.0,X
11,Total area of the country (excl. coastal water),4100,2017,32246.0,E
12,Total area of the country (excl. coastal water),4100,2018,32246.0,E
13,Cultivated area (arable land + permanent crops),4103,1962,2880.0,X
14,Cultivated area (arable land + permanent crops),4103,1967,3150.0,X
15,Cultivated area (arable land + permanent crops),4103,1972,3310.0,X
16,Cultivated area (arable land + permanent crops),4103,1977,4080.0,X
17,Cultivated area (arable land + permanent crops),4103,1982,4490.0,X
18,Cultivated area (arable land + permanent crops),4103,1987,5400.0,X
19,Cultivated area (arable land + permanent crops),4103,1992,6200.0,X
20,Cultivated area (arable land + permanent crops),4103,1997,6700.0,X
21,Cultivated area (arable land + permanent crops),4103,2002,6600.0,X
22,Cultivated area (arable land + permanent crops),4103,2007,7400.0,X
23,Cultivated area (arable land + permanent crops),4103,2012,7500.0,X
24,Cultivated area (arable land + permanent crops),4103,2017,8000.0,X
25,Cultivated area (arable land + permanent crops),4103,2018,8000.0,X
26,Total population,4104,1962,3770.766,X
27,Total population,4104,1967,4544.164,X
28,Total population,4104,1972,5576.038,X
29,Total population,4104,1977,7026.496,X
30,Total population,4104,1982,8764.989,X
31,Total population,4104,1987,10698.194,X
32,Total population,4104,1992,12812.421,X
33,Total population,4104,1997,15130.663,X
34,Total population,4104,2002,17231.539,X
35,Total population,4104,2007,19171.237,X
36,Total population,4104,2012,21547.188,X
37,Total population,4104,2017,24437.47,X
38,Total population,4104,2018,25069.23,X
39,Rural population,4105,1962,3064.79,X
40,Rural population,4105,1967,3449.164,X
41,Rural population,4105,1972,4032.237,X
42,Rural population,4105,1977,4712.978,X
43,Rural population,4105,1982,5674.533,X
44,Rural population,4105,1987,6794.097,X
45,Rural population,4105,1992,7886.164,X
46,Rural population,4105,1997,8964.306,X
47,Rural population,4105,2002,9728.117,X
48,Rural population,4105,2007,10292.928,X
49,Rural population,4105,2012,11100.787,X
50,Rural population,4105,2017,12068.187,X
51,Rural population,4105,2018,12259.023,X
52,Urban population,4106,1962,776.281,X
53,Urban population,4106,1967,1207.189,X
54,Urban population,4106,1972,1705.044,X
55,Urban population,4106,1977,2535.85,X
56,Urban population,4106,1982,3369.94,X
57,Urban population,4106,1987,4225.554,X
58,Urban population,4106,1992,5276.855,X
59,Urban population,4106,1997,6481.68,X
60,Urban population,4106,2002,7638.4,X
61,Urban population,4106,2007,8793.013,X
62,Urban population,4106,2012,10317.816,X
63,Urban population,4106,2017,12226.563,X
64,Urban population,4106,2018,12646.82,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2007,0.6618,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2012,0.647,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2017,0.6789,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2018,0.6789,I
69,Gross Domestic Product (GDP),4112,1962,645284475.0,X
70,Gross Domestic Product (GDP),4112,1967,1082922726.0,X
71,Gross Domestic Product (GDP),4112,1972,1872163797.0,X
72,Gross Domestic Product (GDP),4112,1977,6265332806.0,X
73,Gross Domestic Product (GDP),4112,1982,7566940615.0,X
74,Gross Domestic Product (GDP),4112,1987,10087624533.0,X
75,Gross Domestic Product (GDP),4112,1992,12032862336.0,X
