Côte d’Ivoire,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,32246.0,X
1,Total area of the country (excl. coastal water),1967,32246.0,X
2,Total area of the country (excl. coastal water),1972,32246.0,X
3,Total area of the country (excl. coastal water),1977,32246.0,X
4,Total area of the country (excl. coastal water),1982,32246.0,X
5,Total area of the country (excl. coastal water),1987,32246.0,X
6,Total area of the country (excl. coastal water),1992,32246.0,X
7,Total area of the country (excl. coastal water),1997,32246.0,X
8,Total area of the country (excl. coastal water),2002,32246.0,X
9,Total area of the country (excl. coastal water),2007,32246.0,X
10,Total area of the country (excl. coastal water),2012,32246.0,X
11,Total area of the country (excl. coastal water),2017,32246.0,E
12,Total area of the country (excl. coastal water),2018,32246.0,E
13,Cultivated area (arable land + permanent crops),1962,2880.0,X
14,Cultivated area (arable land + permanent crops),1967,3150.0,X
15,Cultivated area (arable land + permanent crops),1972,3310.0,X
16,Cultivated area (arable land + permanent crops),1977,4080.0,X
17,Cultivated area (arable land + permanent crops),1982,4490.0,X
18,Cultivated area (arable land + permanent crops),1987,5400.0,X
19,Cultivated area (arable land + permanent crops),1992,6200.0,X
20,Cultivated area (arable land + permanent crops),1997,6700.0,X
21,Cultivated area (arable land + permanent crops),2002,6600.0,X
22,Cultivated area (arable land + permanent crops),2007,7400.0,X
23,Cultivated area (arable land + permanent crops),2012,7500.0,X
24,Cultivated area (arable land + permanent crops),2017,8000.0,X
25,Cultivated area (arable land + permanent crops),2018,8000.0,X
26,Total population,1962,3770.766,X
27,Total population,1967,4544.164,X
28,Total population,1972,5576.038,X
29,Total population,1977,7026.496,X
30,Total population,1982,8764.989,X
31,Total population,1987,10698.194,X
32,Total population,1992,12812.421,X
33,Total population,1997,15130.663,X
34,Total population,2002,17231.539,X
35,Total population,2007,19171.237,X
36,Total population,2012,21547.188,X
37,Total population,2017,24437.47,X
38,Total population,2018,25069.23,X
39,Rural population,1962,3064.79,X
40,Rural population,1967,3449.164,X
41,Rural population,1972,4032.237,X
42,Rural population,1977,4712.978,X
43,Rural population,1982,5674.533,X
44,Rural population,1987,6794.097,X
45,Rural population,1992,7886.164,X
46,Rural population,1997,8964.306,X
47,Rural population,2002,9728.117,X
48,Rural population,2007,10292.928,X
49,Rural population,2012,11100.787,X
50,Rural population,2017,12068.187,X
51,Rural population,2018,12259.023,X
52,Urban population,1962,776.281,X
53,Urban population,1967,1207.189,X
54,Urban population,1972,1705.044,X
55,Urban population,1977,2535.85,X
56,Urban population,1982,3369.94,X
57,Urban population,1987,4225.554,X
58,Urban population,1992,5276.855,X
59,Urban population,1997,6481.68,X
60,Urban population,2002,7638.4,X
61,Urban population,2007,8793.013,X
62,Urban population,2012,10317.816,X
63,Urban population,2017,12226.563,X
64,Urban population,2018,12646.82,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.6618,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.647,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.6789,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.6789,I
69,Gross Domestic Product (GDP),1962,645284475.0,X
70,Gross Domestic Product (GDP),1967,1082922726.0,X
71,Gross Domestic Product (GDP),1972,1872163797.0,X
72,Gross Domestic Product (GDP),1977,6265332806.0,X
73,Gross Domestic Product (GDP),1982,7566940615.0,X
74,Gross Domestic Product (GDP),1987,10087624533.0,X
75,Gross Domestic Product (GDP),1992,12032862336.0,X
76,Gross Domestic Product (GDP),1997,11722143261.0,X
77,Gross Domestic Product (GDP),2002,12346980846.0,X
78,Gross Domestic Product (GDP),2007,20341870862.0,X
79,Gross Domestic Product (GDP),2009,24277494337.0,X
80,GDP per capita,1972,326.315514,X
81,GDP per capita,1977,864.323558,X
82,GDP per capita,1982,836.636984,X
83,GDP per capita,1987,915.421417,X
84,GDP per capita,1992,914.141531,X
85,GDP per capita,1997,758.911944,X
86,GDP per capita,2002,710.964717,X
87,GDP per capita,2007,1065.803927,X
88,GDP per capita,2012,1250.655107,X
89,GDP per capita,2017,1570.209076,X
90,GDP per capita,2018,1727.629024,X
91,"Agriculture, value added (% GDP)",1962,45.9,X
92,"Agriculture, value added (% GDP)",1967,34.76,X
93,"Agriculture, value added (% GDP)",1972,26.520811,X
94,"Agriculture, value added (% GDP)",1977,24.698216,X
95,"Agriculture, value added (% GDP)",1982,26.185179,X
96,"Agriculture, value added (% GDP)",1987,29.158558,X
97,"Agriculture, value added (% GDP)",1992,29.073783,X
98,"Agriculture, value added (% GDP)",1997,23.107765,X
99,"Agriculture, value added (% GDP)",2002,27.270298,X
100,"Agriculture, value added (% GDP)",2007,21.996715,X
101,"Agriculture, value added (% GDP)",2009,21.200218,X
102,"Agriculture, value added to GDP",1962,296211666.0,X
103,"Agriculture, value added to GDP",1967,376421422.0,X
104,"Agriculture, value added to GDP",1969,456992325.0,X
105,Number of people undernourished (3-year average),1992,1300.0,X
106,Number of people undernourished (3-year average),1997,1700.0,X
107,Number of people undernourished (3-year average),2001,3400.0,X
108,Number of people undernourished (3-year average),2007,3800.0,X
109,Number of people undernourished (3-year average),2009,4300.0,X
110,Prevalence of undernourishment (3-year average),1992,10.7,X
111,Prevalence of undernourishment (3-year average),1997,11.5,X
112,Prevalence of undernourishment (3-year average),2001,20.4,X
113,Total population with access to safe drinking-water (JMP),1992,76.3,X
114,Total population with access to safe drinking-water (JMP),1997,77.3,X
115,Total population with access to safe drinking-water (JMP),2002,78.5,X
116,Total population with access to safe drinking-water (JMP),2007,79.8,X
117,Total population with access to safe drinking-water (JMP),2012,81.2,X
118,Total population with access to safe drinking-water (JMP),2017,81.9,I
119,Total population with access to safe drinking-water (JMP),2018,81.9,I
120,Population affected by water related disease,1997,1423.0,OF
121,Population affected by water related disease,2002,1423.0,I
122,Population affected by water related disease,2007,1423.0,I
123,Population affected by water related disease,2012,1423.0,I
124,Population affected by water related disease,2017,1423.0,I
125,Population affected by water related disease,2018,1423.0,I
126,Long-term average annual precipitation in volume,1962,434.67608,E
127,Long-term average annual precipitation in volume,1967,434.67608,E
128,Long-term average annual precipitation in volume,1972,434.67608,E
129,Long-term average annual precipitation in volume,1977,434.67608,E
130,Long-term average annual precipitation in volume,1982,434.67608,E
131,Long-term average annual precipitation in volume,1987,434.67608,E
132,Long-term average annual precipitation in volume,1992,434.67608,E
133,Long-term average annual precipitation in volume,1997,434.67608,E
134,Long-term average annual precipitation in volume,2002,434.67608,E
135,Long-term average annual precipitation in volume,2007,434.67608,E
136,Long-term average annual precipitation in volume,2012,434.67608,E
137,Long-term average annual precipitation in volume,2017,434.67608,E
138,Long-term average annual precipitation in volume,2018,434.67608,E
139,Interannual variability (WRI),2017,1.1,I
140,Interannual variability (WRI),2018,1.1,I
141,Seasonal variability (WRI),2017,2.8,I
142,Seasonal variability (WRI),2018,2.8,I
143,Flood occurrence (WRI),2017,2.3,I
144,Flood occurrence (WRI),2018,2.3,I
156,Surface water: entering the country (total),2017,4.3,OF
168,Surface water: leaving the country to other countries (total),2017,13.2,OF
169,Groundwater: entering the country (total),1962,0.0,OF
170,Groundwater: entering the country (total),1967,0.0,OF
