,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1962,12054.0,X
1,Total area of the country (excl. coastal water),4100,1967,12054.0,X
2,Total area of the country (excl. coastal water),4100,1972,12054.0,X
3,Total area of the country (excl. coastal water),4100,1977,12054.0,X
4,Total area of the country (excl. coastal water),4100,1982,12054.0,X
5,Total area of the country (excl. coastal water),4100,1987,12054.0,X
6,Total area of the country (excl. coastal water),4100,1992,12054.0,X
7,Total area of the country (excl. coastal water),4100,1997,12054.0,X
8,Total area of the country (excl. coastal water),4100,2002,12054.0,X
9,Total area of the country (excl. coastal water),4100,2007,12054.0,X
10,Total area of the country (excl. coastal water),4100,2012,12054.0,X
11,Total area of the country (excl. coastal water),4100,2017,12054.0,E
12,Total area of the country (excl. coastal water),4100,2018,12054.0,E
13,Cultivated area (arable land + permanent crops),4103,1962,2330.0,X
14,Cultivated area (arable land + permanent crops),4103,1967,2330.0,X
15,Cultivated area (arable land + permanent crops),4103,1972,2330.0,X
16,Cultivated area (arable land + permanent crops),4103,1977,2380.0,X
17,Cultivated area (arable land + permanent crops),4103,1982,2465.0,X
18,Cultivated area (arable land + permanent crops),4103,1987,2465.0,X
19,Cultivated area (arable land + permanent crops),4103,1992,2480.0,X
20,Cultivated area (arable land + permanent crops),4103,1997,2500.0,X
21,Cultivated area (arable land + permanent crops),4103,2002,2500.0,X
22,Cultivated area (arable land + permanent crops),4103,2007,2550.0,X
23,Cultivated area (arable land + permanent crops),4103,2012,2580.0,X
24,Cultivated area (arable land + permanent crops),4103,2017,2580.0,X
25,Cultivated area (arable land + permanent crops),4103,2018,2580.0,X
26,Total population,4104,1962,11871.712,X
27,Total population,4104,1967,13222.694,X
28,Total population,4104,1972,15207.771,X
29,Total population,4104,1977,16796.578,X
30,Total population,4104,1982,18008.564,X
31,Total population,4104,1987,19431.986,X
32,Total population,4104,1992,20937.404,X
33,Total population,4104,1997,22335.267,X
34,Total population,4104,2002,23339.453,X
35,Total population,4104,2007,24188.331,X
36,Total population,4104,2012,24800.645,X
37,Total population,4104,2017,25429.825,X
38,Total population,4104,2018,25549.604,X
39,Rural population,4105,1962,6869.469,X
40,Rural population,4105,1967,6997.267,X
41,Rural population,4105,1972,6812.48,X
42,Rural population,4105,1977,7259.48,X
43,Rural population,4105,1982,7708.083,X
44,Rural population,4105,1987,8173.079,X
45,Rural population,4105,1992,8651.524,X
46,Rural population,4105,1997,9118.285,X
47,Rural population,4105,2002,9435.113,X
48,Rural population,4105,2007,9690.536,X
49,Rural population,4105,2012,9758.191,X
50,Rural population,4105,2017,9768.556,X
51,Rural population,4105,2018,9757.856,X
52,Urban population,4106,1962,5002.243,X
53,Urban population,4106,1967,6225.427,X
54,Urban population,4106,1972,8395.291,X
55,Urban population,4106,1977,9537.098,X
56,Urban population,4106,1982,10300.481,X
57,Urban population,4106,1987,11258.907,X
58,Urban population,4106,1992,12285.88,X
59,Urban population,4106,1997,13217.353,X
60,Urban population,4106,2002,13901.568,X
61,Urban population,4106,2007,14512.753,X
62,Urban population,4106,2012,15095.843,X
63,Urban population,4106,2017,15722.409,X
64,Urban population,4106,2018,15852.816,X
65,Gross Domestic Product (GDP),4112,1972,6005511807.0,X
66,Gross Domestic Product (GDP),4112,1977,8757067642.0,X
67,Gross Domestic Product (GDP),4112,1982,12868200913.0,X
68,Gross Domestic Product (GDP),4112,1987,14391200030.0,X
69,Gross Domestic Product (GDP),4112,1992,12457619048.0,X
70,Gross Domestic Product (GDP),4112,1997,10322790698.0,X
71,Gross Domestic Product (GDP),4112,2002,10910000000.0,X
72,Gross Domestic Product (GDP),4112,2007,14374670965.0,X
73,Gross Domestic Product (GDP),4112,2012,15907396534.0,X
74,Gross Domestic Product (GDP),4112,2017,17364724931.0,X
75,Gross Domestic Product (GDP),4112,2018,17487261057.0,X
76,GDP per capita,4458,1972,445.908771,X
77,GDP per capita,4458,1977,588.707343,X
78,GDP per capita,4458,1982,806.863937,X
79,GDP per capita,4458,1987,836.260098,X
80,GDP per capita,4458,1992,593.078745,X
81,GDP per capita,4458,1997,461.766526,X
82,GDP per capita,4458,2002,467.979239,X
83,GDP per capita,4458,2007,596.869383,X
84,GDP per capita,4458,2012,643.217707,X
85,GDP per capita,4458,2017,684.600808,X
86,GDP per capita,4458,2018,686.2093,X
87,"Agriculture, value added (% GDP)",4113,1972,28.267947,X
88,"Agriculture, value added (% GDP)",4113,1977,28.267947,X
89,"Agriculture, value added (% GDP)",4113,1982,28.267947,X
90,"Agriculture, value added (% GDP)",4113,1987,28.267947,X
91,"Agriculture, value added (% GDP)",4113,1992,28.522347,X
92,"Agriculture, value added (% GDP)",4113,1997,28.934606,X
93,"Agriculture, value added (% GDP)",4113,2002,30.217092,X
94,"Agriculture, value added (% GDP)",4113,2007,21.215304,X
95,"Agriculture, value added (% GDP)",4113,2012,23.375959,X
96,"Agriculture, value added (% GDP)",4113,2017,22.825973,X
97,"Agriculture, value added (% GDP)",4113,2018,23.276657,X
98,Number of people undernourished (3-year average),4473,1992,4800.0,X
99,Number of people undernourished (3-year average),4473,1997,7600.0,X
100,Number of people undernourished (3-year average),4473,2001,8600.0,X
101,Number of people undernourished (3-year average),4473,2007,8700.0,X
102,Number of people undernourished (3-year average),4473,2009,9700.0,X
103,Prevalence of undernourishment (3-year average),4474,1992,23.3,X
104,Prevalence of undernourishment (3-year average),4474,1997,34.6,X
105,Prevalence of undernourishment (3-year average),4474,2002,35.7,X
106,Prevalence of undernourishment (3-year average),4474,2005,32.6,X
107,Total population with access to safe drinking-water (JMP),4114,1992,100.0,X
108,Total population with access to safe drinking-water (JMP),4114,1997,99.9,X
109,Total population with access to safe drinking-water (JMP),4114,2002,99.9,X
110,Total population with access to safe drinking-water (JMP),4114,2007,99.8,X
111,Total population with access to safe drinking-water (JMP),4114,2012,99.7,X
112,Total population with access to safe drinking-water (JMP),4114,2017,99.7,I
113,Total population with access to safe drinking-water (JMP),4114,2018,99.7,I
114,Long-term average annual precipitation in volume,4150,1962,127.04916,E
115,Long-term average annual precipitation in volume,4150,1967,127.04916,E
116,Long-term average annual precipitation in volume,4150,1972,127.04916,E
117,Long-term average annual precipitation in volume,4150,1977,127.04916,E
