Dominica,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,75.0,X
1,Total area of the country (excl. coastal water),1967,75.0,X
2,Total area of the country (excl. coastal water),1972,75.0,X
3,Total area of the country (excl. coastal water),1977,75.0,X
4,Total area of the country (excl. coastal water),1982,75.0,X
5,Total area of the country (excl. coastal water),1987,75.0,X
6,Total area of the country (excl. coastal water),1992,75.0,X
7,Total area of the country (excl. coastal water),1997,75.0,X
8,Total area of the country (excl. coastal water),2002,75.0,X
9,Total area of the country (excl. coastal water),2007,75.0,X
10,Total area of the country (excl. coastal water),2012,75.0,X
11,Total area of the country (excl. coastal water),2017,75.0,E
12,Total area of the country (excl. coastal water),2018,75.0,E
13,Cultivated area (arable land + permanent crops),1962,16.0,X
14,Cultivated area (arable land + permanent crops),1967,17.0,X
15,Cultivated area (arable land + permanent crops),1972,17.0,X
16,Cultivated area (arable land + permanent crops),1977,17.0,X
17,Cultivated area (arable land + permanent crops),1982,17.0,X
18,Cultivated area (arable land + permanent crops),1987,17.0,X
19,Cultivated area (arable land + permanent crops),1992,16.0,X
20,Cultivated area (arable land + permanent crops),1997,15.0,X
21,Cultivated area (arable land + permanent crops),2002,20.0,X
22,Cultivated area (arable land + permanent crops),2007,20.0,X
23,Cultivated area (arable land + permanent crops),2012,23.0,X
24,Cultivated area (arable land + permanent crops),2017,23.0,X
25,Cultivated area (arable land + permanent crops),2018,23.0,X
26,Total population,1962,61.982,X
27,Total population,1967,67.686,X
28,Total population,1972,71.731,X
29,Total population,1977,73.44,X
30,Total population,1982,75.003,X
31,Total population,1987,71.842,X
32,Total population,1992,70.544,X
33,Total population,1997,70.599,X
34,Total population,2002,69.837,X
35,Total population,2007,70.795,X
36,Total population,2012,70.965,X
37,Total population,2017,71.458,X
38,Total population,2018,71.625,X
39,Rural population,1962,38.442,X
40,Rural population,1967,41.753,X
41,Rural population,1972,42.851,X
42,Rural population,1977,40.892,X
43,Rural population,1982,37.942,X
44,Rural population,1987,30.31,X
45,Rural population,1992,25.145,X
46,Rural population,1997,24.76,X
47,Rural population,2002,23.957,X
48,Rural population,2007,23.27,X
49,Rural population,2012,22.561,X
50,Rural population,2017,22.044,X
51,Rural population,2018,21.933,X
52,Urban population,1962,23.54,X
53,Urban population,1967,25.933,X
54,Urban population,1972,28.883,X
55,Urban population,1977,32.519,X
56,Urban population,1982,37.228,X
57,Urban population,1987,42.06,X
58,Urban population,1992,45.825,X
59,Urban population,1997,45.993,X
60,Urban population,2002,45.867,X
61,Urban population,2007,47.68,X
62,Urban population,2012,49.483,X
63,Urban population,2017,51.881,X
64,Urban population,2018,52.375,X
65,Gross Domestic Product (GDP),1967,18517831.2,I
66,Gross Domestic Product (GDP),1972,27682791.0,X
67,Gross Domestic Product (GDP),1973,31800423.0,X
68,Gross Domestic Product (GDP),2010,493825926.0,X
69,GDP per capita,1972,385.908924,X
70,GDP per capita,1977,587.384482,X
