,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1962,100145.0,X
1,Total area of the country (excl. coastal water),4100,1967,100145.0,X
2,Total area of the country (excl. coastal water),4100,1972,100145.0,X
3,Total area of the country (excl. coastal water),4100,1977,100145.0,X
4,Total area of the country (excl. coastal water),4100,1982,100145.0,X
5,Total area of the country (excl. coastal water),4100,1987,100145.0,X
6,Total area of the country (excl. coastal water),4100,1992,100145.0,X
7,Total area of the country (excl. coastal water),4100,1997,100145.0,X
8,Total area of the country (excl. coastal water),4100,2002,100145.0,X
9,Total area of the country (excl. coastal water),4100,2007,100145.0,X
10,Total area of the country (excl. coastal water),4100,2012,100145.0,X
11,Total area of the country (excl. coastal water),4100,2017,100145.0,E
12,Total area of the country (excl. coastal water),4100,2018,100145.0,E
13,Cultivated area (arable land + permanent crops),4103,1962,2505.0,X
14,Cultivated area (arable land + permanent crops),4103,1967,2801.0,X
15,Cultivated area (arable land + permanent crops),4103,1972,2855.0,X
16,Cultivated area (arable land + permanent crops),4103,1977,2635.0,X
17,Cultivated area (arable land + permanent crops),4103,1982,2445.24,X
18,Cultivated area (arable land + permanent crops),4103,1987,2547.0,X
19,Cultivated area (arable land + permanent crops),4103,1992,2996.28,X
20,Cultivated area (arable land + permanent crops),4103,1997,3244.92,X
21,Cultivated area (arable land + permanent crops),4103,2002,3424.0,X
22,Cultivated area (arable land + permanent crops),4103,2007,3538.0,X
23,Cultivated area (arable land + permanent crops),4103,2012,3696.0,X
24,Cultivated area (arable land + permanent crops),4103,2017,3835.9688,X
25,Cultivated area (arable land + permanent crops),4103,2018,3835.9688,X
26,Total population,4104,1962,28112.256,X
27,Total population,4104,1967,32056.51,X
28,Total population,4104,1972,36102.659,X
29,Total population,4104,1977,40329.589,X
30,Total population,4104,1982,45539.296,X
31,Total population,4104,1987,51991.7,X
32,Total population,4104,1992,58666.814,X
33,Total population,4104,1997,64892.27,X
34,Total population,4104,2002,71485.043,X
35,Total population,4104,2007,78232.126,X
36,Total population,4104,2012,86422.243,X
37,Total population,4104,2017,96442.591,X
38,Total population,4104,2018,98423.598,X
39,Rural population,4105,1962,17495.938,X
40,Rural population,4105,1967,19390.54,X
41,Rural population,4105,1972,21197.246,X
42,Rural population,4105,1977,23052.903,X
43,Rural population,4105,1982,26023.701,X
44,Rural population,4105,1987,29782.134,X
45,Rural population,4105,1992,34093.157,X
46,Rural population,4105,1997,37932.213,X
47,Rural population,4105,2002,41457.204,X
48,Rural population,4105,2007,45274.468,X
49,Rural population,4105,2012,50100.764,X
50,Rural population,4105,2017,55893.406,X
51,Rural population,4105,2018,56938.212,X
52,Urban population,4106,1962,11010.238,X
53,Urban population,4106,1967,13143.481,X
54,Urban population,4106,1972,15476.396,X
55,Urban population,4106,1977,17973.574,X
56,Urban population,4106,1982,20355.919,X
57,Urban population,4106,1987,23284.095,X
58,Urban population,4106,1992,25942.379,X
59,Urban population,4106,1997,28218.904,X
60,Urban population,4106,2002,31132.914,X
61,Urban population,4106,2007,34262.785,X
62,Urban population,4106,2012,37712.493,X
63,Urban population,4106,2017,41659.745,X
64,Urban population,4106,2018,42437.529,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2002,0.6376,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2007,0.598,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2012,0.583,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2017,0.5726,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2018,0.5726,I
70,Gross Domestic Product (GDP),4112,1962,4003322844.0,X
71,Gross Domestic Product (GDP),4112,1967,5579168510.0,X
72,Gross Domestic Product (GDP),4112,1972,9226975132.0,X
73,Gross Domestic Product (GDP),4112,1977,19135598508.0,X
74,Gross Domestic Product (GDP),4112,1982,15737599956.0,X
75,Gross Domestic Product (GDP),4112,1987,27352280090.0,X
76,Gross Domestic Product (GDP),4112,1992,45789045447.0,X
77,Gross Domestic Product (GDP),4112,1997,81571756042.0,X
78,Gross Domestic Product (GDP),4112,2002,86521730139.0,X
79,Gross Domestic Product (GDP),4112,2007,132165346646.0,X
80,Gross Domestic Product (GDP),4112,2012,276536289418.0,X
81,Gross Domestic Product (GDP),4112,2017,195135299313.0,X
82,Gross Domestic Product (GDP),4112,2018,249751081603.0,X
83,GDP per capita,4458,1972,251.596913,X
84,GDP per capita,4458,1977,466.420709,X
85,GDP per capita,4458,1982,339.321451,X
86,GDP per capita,4458,1987,515.436665,X
87,GDP per capita,4458,1992,762.699036,X
88,GDP per capita,4458,1997,1233.1123,X
89,GDP per capita,4458,2002,1191.921608,X
90,GDP per capita,4458,2007,1661.678543,X
91,GDP per capita,4458,2012,3149.140561,X
92,GDP per capita,4458,2017,2000.297246,X
93,GDP per capita,4458,2018,2513.199691,X
94,"Agriculture, value added (% GDP)",4113,1967,28.56,X
95,"Agriculture, value added (% GDP)",4113,1972,23.782745,X
96,"Agriculture, value added (% GDP)",4113,1977,26.014975,X
97,"Agriculture, value added (% GDP)",4113,1982,19.443661,X
98,"Agriculture, value added (% GDP)",4113,1987,19.464444,X
99,"Agriculture, value added (% GDP)",4113,1992,15.180997,X
100,"Agriculture, value added (% GDP)",4113,1997,13.315672,X
101,"Agriculture, value added (% GDP)",4113,2002,11.734945,X
102,"Agriculture, value added (% GDP)",4113,2007,13.419964,X
103,"Agriculture, value added (% GDP)",4113,2012,11.272631,X
104,"Agriculture, value added (% GDP)",4113,2017,11.485285,X
105,"Agriculture, value added to GDP",4548,1967,1389429456.0,X
106,"Agriculture, value added to GDP",4548,1969,1767796610.0,X
107,Number of people undernourished (3-year average),4473,2002,3700.0,X
108,Number of people undernourished (3-year average),4473,2006,4900.0,X
109,Number of people undernourished (3-year average),4473,2012,4300.0,X
110,Number of people undernourished (3-year average),4473,2013,4500.0,X
