Estonia,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1992,4523.0,X
1,Total area of the country (excl. coastal water),1997,4523.0,X
2,Total area of the country (excl. coastal water),2002,4523.0,X
3,Total area of the country (excl. coastal water),2007,4523.0,X
4,Total area of the country (excl. coastal water),2012,4523.0,X
5,Total area of the country (excl. coastal water),2017,4534.0,E
6,Total area of the country (excl. coastal water),2018,4534.0,E
7,Cultivated area (arable land + permanent crops),1992,1127.0,X
8,Cultivated area (arable land + permanent crops),1997,900.0,X
9,Cultivated area (arable land + permanent crops),2002,631.2,X
10,Cultivated area (arable land + permanent crops),2007,607.6,X
11,Cultivated area (arable land + permanent crops),2012,627.3,X
12,Cultivated area (arable land + permanent crops),2017,688.0,X
13,Cultivated area (arable land + permanent crops),2018,692.0,X
14,Total population,1992,1520.813,X
15,Total population,1997,1409.673,X
16,Total population,2002,1382.732,X
17,Total population,2007,1344.296,X
18,Total population,2012,1323.159,X
19,Total population,2017,1319.39,X
20,Total population,2018,1322.92,X
21,Rural population,1992,443.162,X
22,Rural population,1997,423.989,X
23,Rural population,2002,427.045,X
24,Rural population,2007,423.663,X
25,Rural population,2012,424.323,X
26,Rural population,2017,409.687,X
27,Rural population,2018,406.671,X
28,Urban population,1992,1077.648,X
29,Urban population,1997,985.685,X
30,Urban population,2002,955.687,X
31,Urban population,2007,920.409,X
32,Urban population,2012,900.611,X
33,Urban population,2017,899.945,X
34,Urban population,2018,900.117,X
35,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.2704,I
36,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.21925,I
37,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.164875,I
38,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.1638,I
39,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.1638,I
40,Gross Domestic Product (GDP),2000,5698304099.0,X
41,Gross Domestic Product (GDP),2004,12144348740.0,X
42,Gross Domestic Product (GDP),2015,23048864243.0,X
43,GDP per capita,1992,2850.259461,X
44,GDP per capita,1997,3651.680571,X
45,GDP per capita,2002,5331.870189,X
46,GDP per capita,2007,16696.11391,X
47,GDP per capita,2012,17504.803438,X
48,GDP per capita,2017,20508.891852,X
49,GDP per capita,2018,23528.804365,X
50,"Agriculture, value added (% GDP)",1992,6.792634,X
51,"Agriculture, value added (% GDP)",1997,4.094059,X
52,"Agriculture, value added (% GDP)",2001,3.491403,X
53,"Agriculture, value added (% GDP)",2007,3.926161,X
54,"Agriculture, value added (% GDP)",2012,3.290842,X
55,"Agriculture, value added (% GDP)",2015,2.837302,X
56,Prevalence of undernourishment (3-year average),2002,3.6,X
57,Prevalence of undernourishment (3-year average),2007,3.7,X
58,Prevalence of undernourishment (3-year average),2012,2.7,X
59,Prevalence of undernourishment (3-year average),2017,2.9,X
60,Prevalence of undernourishment (3-year average),2018,2.9,X
61,Total population with access to safe drinking-water (JMP),1992,98.9,X
62,Total population with access to safe drinking-water (JMP),1997,98.9,X
63,Total population with access to safe drinking-water (JMP),2002,99.1,X
64,Total population with access to safe drinking-water (JMP),2007,99.3,X
65,Total population with access to safe drinking-water (JMP),2012,99.5,X
66,Total population with access to safe drinking-water (JMP),2017,99.6,I
67,Total population with access to safe drinking-water (JMP),2018,99.6,I
68,Long-term average annual precipitation in volume,1992,28.31398,E
69,Long-term average annual precipitation in volume,1997,28.31398,E
70,Long-term average annual precipitation in volume,2002,28.31398,E
71,Long-term average annual precipitation in volume,2007,28.31398,E
72,Long-term average annual precipitation in volume,2012,28.31398,E
73,Long-term average annual precipitation in volume,2017,28.38284,E
74,Long-term average annual precipitation in volume,2018,28.38284,E
75,Interannual variability (WRI),2017,2.1,I
76,Interannual variability (WRI),2018,2.1,I
77,Seasonal variability (WRI),2017,1.2,I
78,Seasonal variability (WRI),2018,1.2,I
79,Flood occurrence (WRI),2017,1.1,I
80,Flood occurrence (WRI),2018,1.1,I
81,Surface water: entering the country (total),1992,0.096,OF
82,Surface water: entering the country (total),1997,0.096,OF
83,Surface water: entering the country (total),2002,0.096,OF
84,Surface water: entering the country (total),2007,0.096,OF
85,Surface water: entering the country (total),2012,0.096,OF
86,Surface water: entering the country (total),2017,0.096,OF
92,Surface water: leaving the country to other countries (total),2017,0.096,OF
93,Groundwater: entering the country (total),1992,0.0,E
94,Groundwater: entering the country (total),1997,0.0,E
95,Groundwater: entering the country (total),2002,0.0,E
96,Groundwater: entering the country (total),2007,0.0,E
97,Groundwater: entering the country (total),2012,0.0,E
98,Groundwater: entering the country (total),2017,0.0,E
99,Dependency ratio,1992,0.7496486022,E
100,Dependency ratio,1997,0.7496486022,E
101,Dependency ratio,2002,0.7496486022,E
102,Dependency ratio,2007,0.7496486022,E
103,Dependency ratio,2012,0.7496486022,E
104,Dependency ratio,2017,0.7496486022,E
105,Dependency ratio,2018,0.7496486022,E
106,Total internal renewable water resources (IRWR),1992,12.71,E
107,Total internal renewable water resources (IRWR),1997,12.71,E
108,Total internal renewable water resources (IRWR),2002,12.71,E
109,Total internal renewable water resources (IRWR),2007,12.71,E
