Eswatini,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,1736.0,X
1,Total area of the country (excl. coastal water),1967,1736.0,X
2,Total area of the country (excl. coastal water),1972,1736.0,X
3,Total area of the country (excl. coastal water),1977,1736.0,X
4,Total area of the country (excl. coastal water),1982,1736.0,X
5,Total area of the country (excl. coastal water),1987,1736.0,X
6,Total area of the country (excl. coastal water),1992,1736.0,X
7,Total area of the country (excl. coastal water),1997,1736.0,X
8,Total area of the country (excl. coastal water),2002,1736.0,X
9,Total area of the country (excl. coastal water),2007,1736.0,X
10,Total area of the country (excl. coastal water),2012,1736.0,X
11,Total area of the country (excl. coastal water),2017,1736.0,E
12,Total area of the country (excl. coastal water),2018,1736.0,E
13,Cultivated area (arable land + permanent crops),1962,136.0,X
14,Cultivated area (arable land + permanent crops),1967,155.0,X
15,Cultivated area (arable land + permanent crops),1972,171.0,X
16,Cultivated area (arable land + permanent crops),1977,153.0,X
17,Cultivated area (arable land + permanent crops),1982,141.0,X
18,Cultivated area (arable land + permanent crops),1987,177.0,X
19,Cultivated area (arable land + permanent crops),1992,191.0,X
20,Cultivated area (arable land + permanent crops),1997,191.0,X
21,Cultivated area (arable land + permanent crops),2002,192.0,X
22,Cultivated area (arable land + permanent crops),2007,192.0,X
23,Cultivated area (arable land + permanent crops),2012,190.0,X
24,Cultivated area (arable land + permanent crops),2017,190.0,X
25,Cultivated area (arable land + permanent crops),2018,190.0,X
26,Total population,1962,350.156,X
27,Total population,1967,394.757,X
28,Total population,1972,457.039,X
29,Total population,1977,532.26,X
30,Total population,1982,629.811,X
31,Total population,1987,748.632,X
32,Total population,1992,866.993,X
33,Total population,1997,963.426,X
34,Total population,2002,1019.059,X
35,Total population,2007,1042.652,X
36,Total population,2012,1079.288,X
37,Total population,2017,1124.805,X
38,Total population,2018,1136.281,X
39,Rural population,1962,348.087,X
40,Rural population,1967,379.557,X
41,Rural population,1972,419.04,X
42,Rural population,1977,464.994,X
43,Rural population,1982,529.444,X
44,Rural population,1987,620.86,X
45,Rural population,1992,715.603,X
46,Rural population,1997,772.258,X
47,Rural population,2002,838.528,X
48,Rural population,2007,889.921,X
49,Rural population,2012,962.964,X
50,Rural population,2017,1044.238,X
51,Rural population,2018,1060.246,X
52,Urban population,1962,17.549,X
53,Urban population,1967,31.795,X
54,Urban population,1972,53.19,X
55,Urban population,1977,85.124,X
56,Urban population,1982,109.793,X
57,Urban population,1987,145.847,X
58,Urban population,1992,190.431,X
59,Urban population,1997,231.737,X
60,Urban population,2002,242.402,X
61,Urban population,2007,248.513,X
62,Urban population,2012,285.194,X
63,Urban population,2017,323.016,X
64,Urban population,2018,331.139,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.5986,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.563,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.5333333333,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.5572,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.5572,I
70,Gross Domestic Product (GDP),1962,45927962.0,X
71,Gross Domestic Product (GDP),1967,74759970.0,X
72,Gross Domestic Product (GDP),1972,211230630.0,X
73,Gross Domestic Product (GDP),1977,450391386.0,X
74,Gross Domestic Product (GDP),1982,827560885.0,X
75,Gross Domestic Product (GDP),1987,898369184.0,X
76,Gross Domestic Product (GDP),1992,1474649319.0,X
77,Gross Domestic Product (GDP),1997,1927098015.0,X
78,Gross Domestic Product (GDP),2002,1432221789.0,X
79,Gross Domestic Product (GDP),2007,3469373127.0,X
80,Gross Domestic Product (GDP),2011,4820460413.0,X
81,GDP per capita,1972,447.304556,X
82,GDP per capita,1977,818.717777,X
83,GDP per capita,1982,1294.607298,X
84,GDP per capita,1987,1171.724249,X
85,GDP per capita,1992,1627.587175,X
86,GDP per capita,1997,1919.429893,X
87,GDP per capita,2002,1324.990322,X
88,GDP per capita,2007,3047.496058,X
89,GDP per capita,2012,3915.065544,X
90,GDP per capita,2017,3251.938239,X
91,GDP per capita,2018,3385.567253,X
92,"Agriculture, value added (% GDP)",1962,36.11,X
93,"Agriculture, value added (% GDP)",1967,29.05,X
94,"Agriculture, value added (% GDP)",1972,22.680938,X
