Fiji,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,1827.0,X
1,Total area of the country (excl. coastal water),1967,1827.0,X
2,Total area of the country (excl. coastal water),1972,1827.0,X
3,Total area of the country (excl. coastal water),1977,1827.0,X
4,Total area of the country (excl. coastal water),1982,1827.0,X
5,Total area of the country (excl. coastal water),1987,1827.0,X
6,Total area of the country (excl. coastal water),1992,1827.0,X
7,Total area of the country (excl. coastal water),1997,1827.0,X
8,Total area of the country (excl. coastal water),2002,1827.0,X
9,Total area of the country (excl. coastal water),2007,1827.0,X
10,Total area of the country (excl. coastal water),2012,1827.0,X
11,Total area of the country (excl. coastal water),2017,1827.0,E
12,Total area of the country (excl. coastal water),2018,1827.0,E
13,Cultivated area (arable land + permanent crops),1962,154.0,X
14,Cultivated area (arable land + permanent crops),1967,148.0,X
15,Cultivated area (arable land + permanent crops),1972,150.0,X
16,Cultivated area (arable land + permanent crops),1977,165.0,X
17,Cultivated area (arable land + permanent crops),1982,180.0,X
18,Cultivated area (arable land + permanent crops),1987,210.0,X
19,Cultivated area (arable land + permanent crops),1992,260.0,X
20,Cultivated area (arable land + permanent crops),1997,265.0,X
21,Cultivated area (arable land + permanent crops),2002,253.0,X
22,Cultivated area (arable land + permanent crops),2007,252.0,X
23,Cultivated area (arable land + permanent crops),2012,250.0,X
24,Cultivated area (arable land + permanent crops),2017,250.0,X
25,Cultivated area (arable land + permanent crops),2018,250.0,X
26,Total population,1962,421.665,X
27,Total population,1967,487.981,X
28,Total population,1972,542.844,X
29,Total population,1977,598.296,X
30,Total population,1982,668.28,X
31,Total population,1987,721.783,X
32,Total population,1992,744.469,X
33,Total population,1997,792.736,X
34,Total population,2002,815.257,X
35,Total population,2007,836.19,X
36,Total population,2012,865.069,X
37,Total population,2017,877.459,X
38,Total population,2018,883.483,X
39,Rural population,1962,291.635,X
40,Rural population,1967,323.953,X
41,Rural population,1972,349.909,X
42,Rural population,1977,374.994,X
43,Rural population,1982,413.816,X
44,Rural population,1987,437.895,X
45,Rural population,1992,423.218,X
46,Rural population,1997,422.342,X
47,Rural population,2002,418.511,X
48,Rural population,2007,411.92,X
49,Rural population,2012,408.88,X
50,Rural population,2017,400.76,X
51,Rural population,2018,399.125,X
52,Urban population,1962,129.942,X
53,Urban population,1967,163.96,X
54,Urban population,1972,192.905,X
55,Urban population,1977,223.265,X
56,Urban population,1982,254.382,X
57,Urban population,1987,283.83,X
58,Urban population,1992,321.313,X
59,Urban population,1997,370.518,X
60,Urban population,2002,397.18,X
61,Urban population,2007,422.892,X
62,Urban population,2012,464.716,X
63,Urban population,2017,504.742,X
64,Urban population,2018,513.116,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.3939111111,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.4111888889,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.4181,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.4181,I
69,Gross Domestic Product (GDP),1962,122912941.0,X
70,Gross Domestic Product (GDP),1967,162625886.0,X
71,Gross Domestic Product (GDP),1972,316782827.0,X
