Finland,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,33815.0,X
1,Total area of the country (excl. coastal water),1967,33815.0,X
2,Total area of the country (excl. coastal water),1972,33815.0,X
3,Total area of the country (excl. coastal water),1977,33815.0,X
4,Total area of the country (excl. coastal water),1982,33815.0,X
5,Total area of the country (excl. coastal water),1987,33815.0,X
6,Total area of the country (excl. coastal water),1992,33815.0,X
7,Total area of the country (excl. coastal water),1997,33815.0,X
8,Total area of the country (excl. coastal water),2002,33815.0,X
9,Total area of the country (excl. coastal water),2007,33842.0,X
10,Total area of the country (excl. coastal water),2012,33842.0,X
11,Total area of the country (excl. coastal water),2017,33845.0,E
12,Total area of the country (excl. coastal water),2018,33845.0,E
13,Cultivated area (arable land + permanent crops),1962,2680.1,X
14,Cultivated area (arable land + permanent crops),1967,2743.4,X
15,Cultivated area (arable land + permanent crops),1972,2463.7,X
16,Cultivated area (arable land + permanent crops),1977,2420.6,X
17,Cultivated area (arable land + permanent crops),1982,2327.7,X
18,Cultivated area (arable land + permanent crops),1987,2281.0,X
19,Cultivated area (arable land + permanent crops),1992,2286.5,X
20,Cultivated area (arable land + permanent crops),1997,2128.7,X
21,Cultivated area (arable land + permanent crops),2002,2209.0,X
22,Cultivated area (arable land + permanent crops),2007,2260.9,X
23,Cultivated area (arable land + permanent crops),2012,2253.1,X
24,Cultivated area (arable land + permanent crops),2017,2245.0,X
25,Cultivated area (arable land + permanent crops),2018,2247.0,X
26,Total population,1962,4498.817,X
27,Total population,1967,4588.656,X
28,Total population,1972,4651.172,X
29,Total population,1977,4746.932,X
30,Total population,1982,4835.1,X
31,Total population,1987,4946.373,X
32,Total population,1992,5044.925,X
33,Total population,1997,5151.746,X
34,Total population,2002,5213.366,X
35,Total population,2007,5297.739,X
36,Total population,2012,5414.77,X
37,Total population,2017,5511.371,X
38,Total population,2018,5522.576,X
39,Rural population,1962,1927.221,X
40,Rural population,1967,1776.018,X
41,Rural population,1972,1610.888,X
42,Rural population,1977,1451.465,X
43,Rural population,1982,1287.43,X
44,Rural population,1987,1123.276,X
45,Rural population,1992,1002.53,X
46,Rural population,1997,954.82,X
47,Rural population,2002,912.167,X
48,Rural population,2007,891.744,X
49,Rural population,2012,820.527,X
50,Rural population,2017,810.547,X
51,Rural population,2018,810.217,X
52,Urban population,1962,2571.596,X
53,Urban population,1967,2812.638,X
54,Urban population,1972,3040.284,X
55,Urban population,1977,3295.467,X
56,Urban population,1982,3547.67,X
57,Urban population,1987,3823.097,X
58,Urban population,1992,4042.395,X
59,Urban population,1997,4196.926,X
60,Urban population,2002,4301.206,X
61,Urban population,2007,4406.27,X
62,Urban population,2012,4592.453,X
63,Urban population,2017,4712.684,X
64,Urban population,2018,4732.3,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.0884,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.0842,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.0756666667,I
