,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1962,54909.0,X
1,Total area of the country (excl. coastal water),4100,1967,54909.0,X
2,Total area of the country (excl. coastal water),4100,1972,54909.0,X
3,Total area of the country (excl. coastal water),4100,1977,54909.0,X
4,Total area of the country (excl. coastal water),4100,1982,54909.0,X
5,Total area of the country (excl. coastal water),4100,1987,54909.0,X
6,Total area of the country (excl. coastal water),4100,1992,54909.0,X
7,Total area of the country (excl. coastal water),4100,1997,54909.0,X
8,Total area of the country (excl. coastal water),4100,2002,54909.0,X
9,Total area of the country (excl. coastal water),4100,2007,54909.0,X
10,Total area of the country (excl. coastal water),4100,2012,54909.0,X
11,Total area of the country (excl. coastal water),4100,2017,54908.7,E
12,Total area of the country (excl. coastal water),4100,2018,54908.7,E
13,Cultivated area (arable land + permanent crops),4103,1962,21320.0,X
14,Cultivated area (arable land + permanent crops),4103,1967,19816.0,X
15,Cultivated area (arable land + permanent crops),4103,1972,18632.0,X
16,Cultivated area (arable land + permanent crops),4103,1977,18836.0,X
17,Cultivated area (arable land + permanent crops),4103,1982,19023.0,X
18,Cultivated area (arable land + permanent crops),4103,1987,19459.0,X
19,Cultivated area (arable land + permanent crops),4103,1992,19051.5,X
20,Cultivated area (arable land + permanent crops),4103,1997,19420.9,X
21,Cultivated area (arable land + permanent crops),4103,2002,19499.8,X
22,Cultivated area (arable land + permanent crops),4103,2007,19358.3,X
23,Cultivated area (arable land + permanent crops),4103,2012,19285.5,X
24,Cultivated area (arable land + permanent crops),4103,2017,19463.775,X
25,Cultivated area (arable land + permanent crops),4103,2018,19132.2,X
26,Total population,4104,1962,46907.042,X
27,Total population,4104,1967,49651.083,X
28,Total population,4104,1972,51573.265,X
29,Total population,4104,1977,53208.554,X
30,Total population,4104,1982,54391.471,X
31,Total population,4104,1987,55837.627,X
32,Total population,4104,1992,57147.213,X
33,Total population,4104,1997,58220.659,X
34,Total population,4104,2002,59803.441,X
35,Total population,4104,2007,61869.227,X
36,Total population,4104,2012,63564.221,X
37,Total population,4104,2017,64842.509,X
38,Total population,4104,2018,64990.511,X
39,Rural population,4105,1962,17204.379,X
40,Rural population,4105,1967,15257.908,X
41,Rural population,4105,1972,14559.813,X
42,Rural population,4105,1977,14412.793,X
43,Rural population,4105,1982,14496.258,X
44,Rural population,4105,1987,14678.255,X
45,Rural population,4105,1992,14718.609,X
46,Rural population,4105,1997,14544.158,X
47,Rural population,4105,2002,14224.922,X
48,Rural population,4105,2007,13866.281,X
49,Rural population,4105,2012,13442.096,X
50,Rural population,4105,2017,12879.012,X
51,Rural population,4105,2018,12756.906,X
52,Urban population,4106,1962,29917.003,X
53,Urban population,4106,1967,34534.027,X
54,Urban population,4106,1972,37180.024,X
55,Urban population,4106,1977,39103.42,X
56,Urban population,4106,1982,40051.43,X
57,Urban population,4106,1987,41346.253,X
58,Urban population,4106,1992,42778.365,X
59,Urban population,4106,1997,44219.237,X
60,Urban population,4106,2002,46000.154,X
61,Urban population,4106,2007,48094.669,X
62,Urban population,4106,2012,50197.777,X
63,Urban population,4106,2017,52100.536,X
64,Urban population,4106,2018,52476.365,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2002,0.172,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2007,0.1442,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2012,0.095,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2017,0.0884,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2018,0.0884,I
70,Gross Domestic Product (GDP),4112,1962,76313782252.0,X
71,Gross Domestic Product (GDP),4112,1967,119000000000.0,X
72,Gross Domestic Product (GDP),4112,1972,203484660985.0,X
73,Gross Domestic Product (GDP),4112,1977,410285602701.0,X
74,Gross Domestic Product (GDP),4112,1982,584871786075.0,X
75,Gross Domestic Product (GDP),4112,1987,934146209719.0,X
76,Gross Domestic Product (GDP),4112,1992,1401401633694.0,X
77,Gross Domestic Product (GDP),4112,1997,1452888333012.0,X
78,Gross Domestic Product (GDP),4112,2002,1494354627461.0,X
79,Gross Domestic Product (GDP),4112,2007,2657076867804.0,X
80,Gross Domestic Product (GDP),4112,2012,2683825225093.0,X
81,Gross Domestic Product (GDP),4112,2016,2471285607082.0,X
82,GDP per capita,4458,1972,3842.392858,X
83,GDP per capita,4458,1977,7490.985036,X
84,GDP per capita,4458,1982,10467.159873,X
85,GDP per capita,4458,1987,16246.446272,X
86,GDP per capita,4458,1992,23704.800069,X
87,GDP per capita,4458,1997,24002.669557,X
88,GDP per capita,4458,2002,24044.598089,X
89,GDP per capita,4458,2007,41504.468752,X
90,GDP per capita,4458,2012,40790.635786,X
91,GDP per capita,4458,2017,38566.566085,X
92,GDP per capita,4458,2018,41168.651446,X
93,"Agriculture, value added (% GDP)",4113,1967,8.669,X
94,"Agriculture, value added (% GDP)",4113,1972,6.810789,X
95,"Agriculture, value added (% GDP)",4113,1977,4.345729,X
96,"Agriculture, value added (% GDP)",4113,1982,4.052636,X
97,"Agriculture, value added (% GDP)",4113,1987,3.088145,X
98,"Agriculture, value added (% GDP)",4113,1992,2.592789,X
99,"Agriculture, value added (% GDP)",4113,1997,2.344256,X
100,"Agriculture, value added (% GDP)",4113,2002,2.010859,X
101,"Agriculture, value added (% GDP)",4113,2007,1.612993,X
102,"Agriculture, value added (% GDP)",4113,2012,1.631795,X
103,"Agriculture, value added (% GDP)",4113,2016,1.437115,X
104,"Agriculture, value added to GDP",4548,1962,7472265625.0,X
105,"Agriculture, value added to GDP",4548,1967,9045374178.0,X
106,"Agriculture, value added to GDP",4548,1969,9523263629.0,X
107,Total population with access to safe drinking-water (JMP),4114,1992,100.0,X
108,Total population with access to safe drinking-water (JMP),4114,1997,100.0,X
109,Total population with access to safe drinking-water (JMP),4114,2002,100.0,X
110,Total population with access to safe drinking-water (JMP),4114,2007,100.0,X
111,Total population with access to safe drinking-water (JMP),4114,2012,100.0,X
112,Total population with access to safe drinking-water (JMP),4114,2017,100.0,I
113,Total population with access to safe drinking-water (JMP),4114,2018,100.0,I
114,Long-term average annual precipitation in volume,4150,1962,476.06103,E
115,Long-term average annual precipitation in volume,4150,1967,476.06103,E
116,Long-term average annual precipitation in volume,4150,1972,476.06103,E
117,Long-term average annual precipitation in volume,4150,1977,476.06103,E
118,Long-term average annual precipitation in volume,4150,1982,476.06103,E
119,Long-term average annual precipitation in volume,4150,1987,476.06103,E
120,Long-term average annual precipitation in volume,4150,1992,476.06103,E
121,Long-term average annual precipitation in volume,4150,1997,476.06103,E
122,Long-term average annual precipitation in volume,4150,2002,476.06103,E
123,Long-term average annual precipitation in volume,4150,2007,476.06103,E
124,Long-term average annual precipitation in volume,4150,2012,476.06103,E
125,Long-term average annual precipitation in volume,4150,2017,476.058429,E
126,Long-term average annual precipitation in volume,4150,2018,476.058429,E
127,Interannual variability (WRI),4541,2017,1.2,I
128,Interannual variability (WRI),4541,2018,1.2,I
129,Seasonal variability (WRI),4542,2017,1.5,I
130,Seasonal variability (WRI),4542,2018,1.5,I
131,Flood occurrence (WRI),4543,2017,2.5,I
132,Flood occurrence (WRI),4543,2018,2.5,I
144,Surface water: entering the country (total),4159,2017,11.0,
156,Surface water: leaving the country to other countries (total),4171,2017,18.0,
157,Groundwater: entering the country (total),4177,1962,0.0,E
158,Groundwater: entering the country (total),4177,1967,0.0,E
159,Groundwater: entering the country (total),4177,1972,0.0,E
160,Groundwater: entering the country (total),4177,1977,0.0,E
161,Groundwater: entering the country (total),4177,1982,0.0,E
162,Groundwater: entering the country (total),4177,1987,0.0,E
163,Groundwater: entering the country (total),4177,1992,0.0,E
164,Groundwater: entering the country (total),4177,1997,0.0,E
165,Groundwater: entering the country (total),4177,2002,0.0,E
166,Groundwater: entering the country (total),4177,2007,0.0,E
167,Groundwater: entering the country (total),4177,2012,0.0,E
168,Groundwater: entering the country (total),4177,2017,0.0,E
169,Dependency ratio,4192,1962,5.2132701422,E
170,Dependency ratio,4192,1967,5.2132701422,E
171,Dependency ratio,4192,1972,5.2132701422,E
172,Dependency ratio,4192,1977,5.2132701422,E
173,Dependency ratio,4192,1982,5.2132701422,E
174,Dependency ratio,4192,1987,5.2132701422,E
175,Dependency ratio,4192,1992,5.2132701422,E
176,Dependency ratio,4192,1997,5.2132701422,E
177,Dependency ratio,4192,2002,5.2132701422,E
178,Dependency ratio,4192,2007,5.2132701422,E
179,Dependency ratio,4192,2012,5.2132701422,E
180,Dependency ratio,4192,2017,5.2132701422,E
181,Dependency ratio,4192,2018,5.2132701422,E
182,Total internal renewable water resources (IRWR),4157,1962,200.0,E
183,Total internal renewable water resources (IRWR),4157,1967,200.0,E
184,Total internal renewable water resources (IRWR),4157,1972,200.0,E
185,Total internal renewable water resources (IRWR),4157,1977,200.0,E
186,Total internal renewable water resources (IRWR),4157,1982,200.0,E
187,Total internal renewable water resources (IRWR),4157,1987,200.0,E
188,Total internal renewable water resources (IRWR),4157,1992,200.0,E
189,Total internal renewable water resources (IRWR),4157,1997,200.0,E
190,Total internal renewable water resources (IRWR),4157,2002,200.0,E
191,Total internal renewable water resources (IRWR),4157,2007,200.0,E
192,Total internal renewable water resources (IRWR),4157,2012,200.0,E
193,Total internal renewable water resources (IRWR),4157,2017,200.0,E
194,Total internal renewable water resources (IRWR),4157,2018,200.0,E
195,Total internal renewable water resources per capita,4158,1962,4263.7521248942,E
196,Total internal renewable water resources per capita,4158,1967,4028.1095177722,E
197,Total internal renewable water resources per capita,4158,1972,3877.9782509407,E
198,Total internal renewable water resources per capita,4158,1977,3758.7941217121,E
199,Total internal renewable water resources per capita,4158,1982,3677.0470870332,E
200,Total internal renewable water resources per capita,4158,1987,3581.8141053881,E
201,Total internal renewable water resources per capita,4158,1992,3499.7332240857,E
202,Total internal renewable water resources per capita,4158,1997,3435.2067364954,E
203,Total internal renewable water resources per capita,4158,2002,3344.2891689125,E
204,Total internal renewable water resources per capita,4158,2007,3232.624839486,E
205,Total internal renewable water resources per capita,4158,2012,3146.4241495227,E
206,Total internal renewable water resources per capita,4158,2017,3084.3963795417,E
207,Total internal renewable water resources per capita,4158,2018,3077.3723259385,E
208,Total renewable surface water,4185,1962,209.0,E
209,Total renewable surface water,4185,1967,209.0,E
210,Total renewable surface water,4185,1972,209.0,E
211,Total renewable surface water,4185,1977,209.0,E
212,Total renewable surface water,4185,1982,209.0,E
213,Total renewable surface water,4185,1987,209.0,E
214,Total renewable surface water,4185,1992,209.0,E
215,Total renewable surface water,4185,1997,209.0,E
216,Total renewable surface water,4185,2002,209.0,E
217,Total renewable surface water,4185,2007,209.0,E
218,Total renewable surface water,4185,2012,209.0,E
219,Total renewable surface water,4185,2017,209.0,E
220,Total renewable surface water,4185,2018,209.0,E
221,Total renewable groundwater,4187,1962,120.0,E
222,Total renewable groundwater,4187,1967,120.0,E
223,Total renewable groundwater,4187,1972,120.0,E
224,Total renewable groundwater,4187,1977,120.0,E
225,Total renewable groundwater,4187,1982,120.0,E
226,Total renewable groundwater,4187,1987,120.0,E
227,Total renewable groundwater,4187,1992,120.0,E
228,Total renewable groundwater,4187,1997,120.0,E
229,Total renewable groundwater,4187,2002,120.0,E
230,Total renewable groundwater,4187,2007,120.0,E
231,Total renewable groundwater,4187,2012,120.0,E
232,Total renewable groundwater,4187,2017,120.0,E
233,Total renewable groundwater,4187,2018,120.0,E
234,Total exploitable water resources,4196,1962,100.0,E
235,Total exploitable water resources,4196,1967,100.0,E
236,Total exploitable water resources,4196,1972,100.0,E
237,Total exploitable water resources,4196,1977,100.0,E
238,Total exploitable water resources,4196,1982,100.0,E
239,Total exploitable water resources,4196,1987,100.0,E
240,Total exploitable water resources,4196,1992,100.0,E
241,Total exploitable water resources,4196,1997,100.0,E
242,Total exploitable water resources,4196,2002,100.0,E
243,Total exploitable water resources,4196,2007,100.0,E
244,Total exploitable water resources,4196,2012,100.0,E
245,Total exploitable water resources,4196,2017,100.0,E
246,Total exploitable water resources,4196,2018,100.0,E
247,Water resources: total external renewable,4182,1962,11.0,E
248,Water resources: total external renewable,4182,1967,11.0,E
249,Water resources: total external renewable,4182,1972,11.0,E
250,Water resources: total external renewable,4182,1977,11.0,E
251,Water resources: total external renewable,4182,1982,11.0,E
252,Water resources: total external renewable,4182,1987,11.0,E
253,Water resources: total external renewable,4182,1992,11.0,E
254,Water resources: total external renewable,4182,1997,11.0,E
255,Water resources: total external renewable,4182,2002,11.0,E
256,Water resources: total external renewable,4182,2007,11.0,E
257,Water resources: total external renewable,4182,2012,11.0,E
258,Water resources: total external renewable,4182,2017,11.0,E
259,Water resources: total external renewable,4182,2018,11.0,E
260,Total renewable water resources,4188,1962,211.0,E
261,Total renewable water resources,4188,1967,211.0,E
262,Total renewable water resources,4188,1972,211.0,E
263,Total renewable water resources,4188,1977,211.0,E
264,Total renewable water resources,4188,1982,211.0,E
265,Total renewable water resources,4188,1987,211.0,E
266,Total renewable water resources,4188,1992,211.0,E
267,Total renewable water resources,4188,1997,211.0,E
268,Total renewable water resources,4188,2002,211.0,E
269,Total renewable water resources,4188,2007,211.0,E
270,Total renewable water resources,4188,2012,211.0,E
271,Total renewable water resources,4188,2017,211.0,E
272,Total renewable water resources,4188,2018,211.0,E
273,Total renewable water resources per capita,4190,1962,4498.2584917634,E
274,Total renewable water resources per capita,4190,1967,4249.6555412497,E
275,Total renewable water resources per capita,4190,1972,4091.2670547424,E
276,Total renewable water resources per capita,4190,1977,3965.5277984062,E
277,Total renewable water resources per capita,4190,1982,3879.28467682,E
278,Total renewable water resources per capita,4190,1987,3778.8138811845,E
279,Total renewable water resources per capita,4190,1992,3692.2185514104,E
280,Total renewable water resources per capita,4190,1997,3624.1431070026,E
281,Total renewable water resources per capita,4190,2002,3528.2250732027,E
282,Total renewable water resources per capita,4190,2007,3410.4192056578,E
283,Total renewable water resources per capita,4190,2012,3319.4774777465,E
284,Total renewable water resources per capita,4190,2017,3254.0381804165,E
285,Total renewable water resources per capita,4190,2018,3246.6278038651,E
286,Total agricultural water managed area,4317,1992,2186.0,I
287,Total agricultural water managed area,4317,1997,2559.624,I
288,Total agricultural water managed area,4317,2000,2634.06,E
289,Area equipped for irrigation: total,4313,1992,2186.0,I
290,Area equipped for irrigation: total,4313,1997,2559.624,I
291,Area equipped for irrigation: total,4313,2000,2634.06,E
292,% of agricultural GVA produced by irrigated agriculture,4555,2007,13.0917148957,E
293,% of agricultural GVA produced by irrigated agriculture,4555,2012,12.5859523631,E
294,% of agricultural GVA produced by irrigated agriculture,4555,2017,11.9263284038,E
295,% of agricultural GVA produced by irrigated agriculture,4555,2018,12.1220569221,E
297,Ratio between rainfed and irrigated yields,4557,1966,1.778,I
298,Ratio between rainfed and irrigated yields,4557,1971,1.778,I
299,Ratio between rainfed and irrigated yields,4557,1976,1.778,I
300,Ratio between rainfed and irrigated yields,4557,1981,1.778,I
301,Ratio between rainfed and irrigated yields,4557,1986,1.778,I
302,Ratio between rainfed and irrigated yields,4557,1991,1.778,I
303,Ratio between rainfed and irrigated yields,4557,1996,1.778,I
304,Ratio between rainfed and irrigated yields,4557,2001,1.778,I
305,Ratio between rainfed and irrigated yields,4557,2007,1.778,I
306,Ratio between rainfed and irrigated yields,4557,2011,1.778,I
307,Ratio between rainfed and irrigated yields,4557,2017,1.778,I
308,Ratio between rainfed and irrigated yields,4557,2018,1.778,I
309,Agricultural water withdrawal as % of total renewable water resources,4273,1992,2.3312796209,E
310,Agricultural water withdrawal as % of total renewable water resources,4273,1997,1.5876777251,E
311,Agricultural water withdrawal as % of total renewable water resources,4273,2002,2.0336492891,E
312,Agricultural water withdrawal as % of total renewable water resources,4273,2007,1.8639810427,E
313,Agricultural water withdrawal as % of total renewable water resources,4273,2012,1.3805687204,E
314,Agricultural water withdrawal as % of total renewable water resources,4273,2017,1.3947867299,E
315,Agricultural water withdrawal as % of total renewable water resources,4273,2018,1.3947867299,I
316,Agricultural water withdrawal,4250,1992,4.919,X
317,Agricultural water withdrawal,4250,1997,3.35,X
318,Agricultural water withdrawal,4250,2001,4.767,X
319,Agricultural water withdrawal,4250,2006,4.757,X
320,Agricultural water withdrawal,4250,2012,2.913,
321,Agricultural water withdrawal,4250,2015,3.213,
322,Agricultural water withdrawal,4250,2018,2.943,I
323,Irrigation water requirement,4260,2012,2.351,I
324,Irrigation water requirement,4260,2017,2.351,I
325,Irrigation water requirement,4260,2018,2.351,I
326,Irrigation water withdrawal,4475,1992,4.919,X
327,Irrigation water withdrawal,4475,1997,4.889625,I
328,Irrigation water withdrawal,4475,2001,4.767,X
329,Irrigation water withdrawal,4475,2006,4.757,X
330,Irrigation water withdrawal,4475,2012,2.588,I
331,Irrigation water withdrawal,4475,2017,2.588,I
332,Irrigation water withdrawal,4475,2018,2.588,I
333,Municipal water withdrawal,4251,1987,5.9262857143,I
334,Municipal water withdrawal,4251,1992,5.982,X
335,Municipal water withdrawal,4251,1997,5.89,X
336,Municipal water withdrawal,4251,2002,5.966,X
337,Municipal water withdrawal,4251,2007,5.683,X
338,Municipal water withdrawal,4251,2012,5.38,
339,Municipal water withdrawal,4251,2015,5.216,
340,Municipal water withdrawal,4251,2018,5.391,I
341,Industrial water withdrawal,4252,1987,25.5985714286,I
342,Industrial water withdrawal,4252,1992,28.32,X
343,Industrial water withdrawal,4252,1997,21.1,X
344,Industrial water withdrawal,4252,2002,22.11,X
345,Industrial water withdrawal,4252,2007,21.79,X
346,Industrial water withdrawal,4252,2012,19.77,
347,Industrial water withdrawal,4252,2014,19.9,
348,Industrial water withdrawal,4252,2018,18.673,I
349,Total water withdrawal,4253,1982,32.538,I
350,Total water withdrawal,4253,1987,36.01,I
351,Total water withdrawal,4253,1992,39.221,E
352,Total water withdrawal,4253,1997,30.34,E
353,Total water withdrawal,4253,2002,32.367,E
354,Total water withdrawal,4253,2007,31.406,E
355,Total water withdrawal,4253,2012,28.063,E
