Gabon,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,26767.0,X
1,Total area of the country (excl. coastal water),1967,26767.0,X
2,Total area of the country (excl. coastal water),1972,26767.0,X
3,Total area of the country (excl. coastal water),1977,26767.0,X
4,Total area of the country (excl. coastal water),1982,26767.0,X
5,Total area of the country (excl. coastal water),1987,26767.0,X
6,Total area of the country (excl. coastal water),1992,26767.0,X
7,Total area of the country (excl. coastal water),1997,26767.0,X
8,Total area of the country (excl. coastal water),2002,26767.0,X
9,Total area of the country (excl. coastal water),2007,26767.0,X
10,Total area of the country (excl. coastal water),2012,26767.0,X
11,Total area of the country (excl. coastal water),2017,26767.0,E
12,Total area of the country (excl. coastal water),2018,26767.0,E
13,Cultivated area (arable land + permanent crops),1962,160.0,X
14,Cultivated area (arable land + permanent crops),1967,235.0,X
15,Cultivated area (arable land + permanent crops),1972,315.0,X
16,Cultivated area (arable land + permanent crops),1977,427.0,X
17,Cultivated area (arable land + permanent crops),1982,452.0,X
18,Cultivated area (arable land + permanent crops),1987,452.0,X
19,Cultivated area (arable land + permanent crops),1992,460.0,X
20,Cultivated area (arable land + permanent crops),1997,495.0,X
21,Cultivated area (arable land + permanent crops),2002,495.0,X
22,Cultivated area (arable land + permanent crops),2007,495.0,X
23,Cultivated area (arable land + permanent crops),2012,495.0,X
24,Cultivated area (arable land + permanent crops),2017,495.0,X
25,Cultivated area (arable land + permanent crops),2018,495.0,X
26,Total population,1962,511.287,X
27,Total population,1967,554.059,X
28,Total population,1972,611.704,X
29,Total population,1977,676.255,X
30,Total population,1982,763.93,X
31,Total population,1987,873.867,X
32,Total population,1992,1002.579,X
33,Total population,1997,1141.338,X
34,Total population,2002,1288.315,X
35,Total population,2007,1472.575,X
36,Total population,2012,1749.682,X
37,Total population,2017,2064.823,X
38,Total population,2018,2119.275,X
39,Rural population,1962,409.914,X
40,Rural population,1967,404.938,X
41,Rural population,1972,390.982,X
42,Rural population,1977,355.452,X
43,Rural population,1982,319.229,X
44,Rural population,1987,306.902,X
45,Rural population,1992,283.828,X
46,Rural population,1997,268.565,X
47,Rural population,2002,254.12,X
48,Rural population,2007,242.107,X
49,Rural population,2012,234.816,X
50,Rural population,2017,223.245,X
51,Rural population,2018,219.785,X
52,Urban population,1962,99.892,X
53,Urban population,1967,148.885,X
54,Urban population,1972,222.141,X
55,Urban population,1977,323.322,X
56,Urban population,1982,447.626,X
57,Urban population,1987,569.961,X
58,Urban population,1992,720.848,X
59,Urban population,1997,873.759,X
60,Urban population,2002,1040.289,X
61,Urban population,2007,1247.086,X
62,Urban population,2012,1522.001,X
63,Urban population,2017,1801.892,X
64,Urban population,2018,1847.776,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.535,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.511,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.5137,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.5137,I
69,Gross Domestic Product (GDP),1962,182796536.0,X
70,Gross Domestic Product (GDP),1967,271543680.0,X
71,Gross Domestic Product (GDP),1972,544937223.0,X
72,Gross Domestic Product (GDP),1977,3557496794.0,X
73,Gross Domestic Product (GDP),1982,4581699102.0,X
74,Gross Domestic Product (GDP),1987,4300463929.0,X
75,Gross Domestic Product (GDP),1992,6224479113.0,X
76,Gross Domestic Product (GDP),1997,5951611064.0,X
77,Gross Domestic Product (GDP),2002,5403313830.0,X
78,Gross Domestic Product (GDP),2007,12438957208.0,X
79,Gross Domestic Product (GDP),2012,17171467261.0,X
80,Gross Domestic Product (GDP),2017,14929474265.0,X
81,Gross Domestic Product (GDP),2018,16994077210.0,X
82,GDP per capita,1972,888.789399,X
83,GDP per capita,1977,5241.062259,X
84,GDP per capita,1982,5974.661574,X
85,GDP per capita,1987,4904.373806,X
86,GDP per capita,1992,6195.508914,X
87,GDP per capita,1997,5210.090188,X
88,GDP per capita,2002,4174.348162,X
89,GDP per capita,2007,8352.817404,X
90,GDP per capita,2012,9774.192338,X
91,GDP per capita,2017,7372.081131,X
92,GDP per capita,2018,8219.383713,X
93,"Agriculture, value added (% GDP)",1972,9.072766,X
94,"Agriculture, value added (% GDP)",1977,4.166031,X
95,"Agriculture, value added (% GDP)",1982,4.481467,X
96,"Agriculture, value added (% GDP)",1987,7.684745,X
97,"Agriculture, value added (% GDP)",1992,6.926741,X
98,"Agriculture, value added (% GDP)",1997,6.037792,X
99,"Agriculture, value added (% GDP)",2002,5.605667,X
100,"Agriculture, value added (% GDP)",2007,4.957831,X
101,"Agriculture, value added (% GDP)",2012,3.353676,X
102,"Agriculture, value added (% GDP)",2017,5.264797,X
103,"Agriculture, value added to GDP",1962,65597389.0,X
104,"Agriculture, value added to GDP",1967,65446946.0,X
105,"Agriculture, value added to GDP",1969,59239752.0,X
106,Number of people undernourished (3-year average),1992,100.0,X
107,Number of people undernourished (3-year average),1997,100.0,I
108,Number of people undernourished (3-year average),2002,100.0,X
109,Number of people undernourished (3-year average),2007,200.0,X
110,Number of people undernourished (3-year average),2012,300.0,X
111,Number of people undernourished (3-year average),2017,300.0,X
112,Number of people undernourished (3-year average),2018,300.0,X
113,Prevalence of undernourishment (3-year average),1992,11.7,X
114,Prevalence of undernourishment (3-year average),1997,8.5,X
115,Prevalence of undernourishment (3-year average),2001,10.5,X
116,Total population with access to safe drinking-water (JMP),1997,81.2,X
117,Total population with access to safe drinking-water (JMP),2002,85.6,X
118,Total population with access to safe drinking-water (JMP),2007,89.3,X
119,Total population with access to safe drinking-water (JMP),2012,92.2,X
120,Total population with access to safe drinking-water (JMP),2017,93.2,I
121,Total population with access to safe drinking-water (JMP),2018,93.2,I
122,Long-term average annual precipitation in volume,1962,490.10377,E
123,Long-term average annual precipitation in volume,1967,490.10377,E
124,Long-term average annual precipitation in volume,1972,490.10377,E
125,Long-term average annual precipitation in volume,1977,490.10377,E
126,Long-term average annual precipitation in volume,1982,490.10377,E
127,Long-term average annual precipitation in volume,1987,490.10377,E
128,Long-term average annual precipitation in volume,1992,490.10377,E
129,Long-term average annual precipitation in volume,1997,490.10377,E
130,Long-term average annual precipitation in volume,2002,490.10377,E
131,Long-term average annual precipitation in volume,2007,490.10377,E
132,Long-term average annual precipitation in volume,2012,490.10377,E
133,Long-term average annual precipitation in volume,2017,490.10377,E
134,Long-term average annual precipitation in volume,2018,490.10377,E
135,Interannual variability (WRI),2017,0.9,I
136,Interannual variability (WRI),2018,0.9,I
137,Seasonal variability (WRI),2017,2.1,I
138,Seasonal variability (WRI),2018,2.1,I
139,Flood occurrence (WRI),2017,0.7,I
140,Flood occurrence (WRI),2018,0.7,I
152,Surface water: entering the country (total),2017,2.0,OF
153,Surface water: leaving the country to other countries (total),1962,0.0,
154,Surface water: leaving the country to other countries (total),1967,0.0,
155,Surface water: leaving the country to other countries (total),1972,0.0,
156,Surface water: leaving the country to other countries (total),1977,0.0,
157,Surface water: leaving the country to other countries (total),1982,0.0,
