Germany,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,35697.0,X
1,Total area of the country (excl. coastal water),1967,35697.0,X
2,Total area of the country (excl. coastal water),1972,35697.0,X
3,Total area of the country (excl. coastal water),1977,35697.0,X
4,Total area of the country (excl. coastal water),1982,35697.0,X
5,Total area of the country (excl. coastal water),1987,35697.0,X
6,Total area of the country (excl. coastal water),1992,35697.0,X
7,Total area of the country (excl. coastal water),1997,35703.0,X
8,Total area of the country (excl. coastal water),2002,35704.0,X
9,Total area of the country (excl. coastal water),2007,35710.0,X
10,Total area of the country (excl. coastal water),2012,35717.0,X
11,Total area of the country (excl. coastal water),2017,35725.0,E
12,Total area of the country (excl. coastal water),2018,35725.0,E
13,Cultivated area (arable land + permanent crops),1962,12691.0,X
14,Cultivated area (arable land + permanent crops),1967,12525.0,X
15,Cultivated area (arable land + permanent crops),1972,12444.0,X
16,Cultivated area (arable land + permanent crops),1977,12560.0,X
17,Cultivated area (arable land + permanent crops),1982,12464.0,X
18,Cultivated area (arable land + permanent crops),1987,12390.0,X
19,Cultivated area (arable land + permanent crops),1992,11708.0,X
20,Cultivated area (arable land + permanent crops),1997,12060.0,X
21,Cultivated area (arable land + permanent crops),2002,11997.0,X
22,Cultivated area (arable land + permanent crops),2007,12075.0,X
23,Cultivated area (arable land + permanent crops),2012,12034.0,X
24,Cultivated area (arable land + permanent crops),2017,11971.0,X
25,Cultivated area (arable land + permanent crops),2018,11930.0,X
26,Total population,1962,74489.454,X
27,Total population,1967,77357.255,X
28,Total population,1972,78901.818,X
29,Total population,1977,78687.323,X
30,Total population,1982,77926.011,X
31,Total population,1987,78015.731,X
32,Total population,1992,79963.159,X
33,Total population,1997,81399.251,X
34,Total population,2002,81535.122,X
35,Total population,2007,81277.83,X
36,Total population,2012,80972.628,X
37,Total population,2017,82658.409,X
38,Total population,2018,83124.418,X
39,Rural population,1962,21034.614,X
40,Rural population,1967,21594.406,X
41,Rural population,1972,21785.61,X
42,Rural population,1977,21506.441,X
43,Rural population,1982,20961.916,X
44,Rural population,1987,21202.458,X
45,Rural population,1992,21324.431,X
46,Rural population,1997,20910.931,X
47,Rural population,2002,20097.558,X
48,Rural population,2007,19215.385,X
49,Rural population,2012,18507.405,X
50,Rural population,2017,18672.1,X
51,Rural population,2018,18671.111,X
52,Urban population,1962,53454.528,X
53,Urban population,1967,55758.256,X
54,Urban population,1972,57116.097,X
55,Urban population,1977,57195.36,X
56,Urban population,1982,56982.932,X
57,Urban population,1987,56851.628,X
58,Urban population,1992,58721.726,X
59,Urban population,1997,60588.935,X
60,Urban population,2002,61514.31,X
61,Urban population,2007,62129.072,X
62,Urban population,2012,62558.823,X
63,Urban population,2017,63442.124,X
64,Urban population,2018,63622.346,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.126,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.109,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.063,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.0407,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.0407,I
70,Gross Domestic Product (GDP),1976,519741148215.0,X
71,Gross Domestic Product (GDP),1983,770707786320.0,X
72,Gross Domestic Product (GDP),1992,2131681240867.0,X
73,Gross Domestic Product (GDP),1997,2211967994783.0,X
74,Gross Domestic Product (GDP),2002,2068718227035.0,X
75,Gross Domestic Product (GDP),2007,3421053532018.0,X
76,Gross Domestic Product (GDP),2012,3527344944140.0,X
77,Gross Domestic Product (GDP),2014,3883920155292.0,X
78,GDP per capita,1972,3799.62187,X
79,GDP per capita,1977,7629.957771,X
80,GDP per capita,1982,9963.180072,X
81,GDP per capita,1987,16631.899785,X
82,GDP per capita,1992,26630.650624,X
83,GDP per capita,1997,27140.756216,X
84,GDP per capita,2002,25348.252377,X
85,GDP per capita,2007,42056.381691,X
86,GDP per capita,2012,43511.891834,X
87,GDP per capita,2017,44642.742052,X
88,GDP per capita,2018,47993.473332,X
89,"Agriculture, value added (% GDP)",1972,2.727564,X
90,"Agriculture, value added (% GDP)",1977,2.463878,X
91,"Agriculture, value added (% GDP)",1982,2.023655,X
92,"Agriculture, value added (% GDP)",1987,1.371288,X
93,"Agriculture, value added (% GDP)",1992,1.005429,X
94,"Agriculture, value added (% GDP)",1997,1.031385,X
95,"Agriculture, value added (% GDP)",2002,0.900497,X
96,"Agriculture, value added (% GDP)",2007,0.77886,X
97,"Agriculture, value added (% GDP)",2012,0.847919,X
98,"Agriculture, value added (% GDP)",2014,0.904548,X
99,Total population with access to safe drinking-water (JMP),1992,100.0,X
100,Total population with access to safe drinking-water (JMP),1997,100.0,X
101,Total population with access to safe drinking-water (JMP),2002,100.0,X
102,Total population with access to safe drinking-water (JMP),2007,100.0,X
103,Total population with access to safe drinking-water (JMP),2012,100.0,X
104,Total population with access to safe drinking-water (JMP),2017,100.0,I
105,Total population with access to safe drinking-water (JMP),2018,100.0,I
106,Long-term average annual precipitation in volume,1962,249.879,E
107,Long-term average annual precipitation in volume,1967,249.879,E
108,Long-term average annual precipitation in volume,1972,249.879,E
109,Long-term average annual precipitation in volume,1977,249.879,E
110,Long-term average annual precipitation in volume,1982,249.879,E
111,Long-term average annual precipitation in volume,1987,249.879,E
112,Long-term average annual precipitation in volume,1992,249.879,E
113,Long-term average annual precipitation in volume,1997,249.921,E
114,Long-term average annual precipitation in volume,2002,249.928,E
115,Long-term average annual precipitation in volume,2007,249.97,E
116,Long-term average annual precipitation in volume,2012,250.019,E
117,Long-term average annual precipitation in volume,2017,250.075,E
118,Long-term average annual precipitation in volume,2018,250.075,E
119,Interannual variability (WRI),2017,1.1,I
120,Interannual variability (WRI),2018,1.1,I
121,Seasonal variability (WRI),2017,0.8,I
122,Seasonal variability (WRI),2018,0.8,I
123,Flood occurrence (WRI),2017,2.9,I
124,Flood occurrence (WRI),2018,2.9,I
125,Surface water: entering the country (total),1961,47.0,OF
126,Surface water: entering the country (total),1966,47.0,OF
127,Surface water: entering the country (total),1971,47.0,OF
128,Surface water: entering the country (total),1976,47.0,OF
129,Surface water: entering the country (total),1981,47.0,OF
130,Surface water: entering the country (total),1986,47.0,OF
131,Surface water: entering the country (total),1991,47.0,OF
132,Surface water: entering the country (total),1996,47.0,OF
133,Surface water: entering the country (total),2001,47.0,OF
134,Surface water: entering the country (total),2006,47.0,OF
136,Surface water: entering the country (total),2017,47.0,OF
137,Surface water: leaving the country to other countries (total),1961,90.8,OF
138,Surface water: leaving the country to other countries (total),1966,90.8,OF
139,Surface water: leaving the country to other countries (total),1971,90.8,OF
140,Surface water: leaving the country to other countries (total),1976,90.8,OF
141,Surface water: leaving the country to other countries (total),1981,90.8,OF
142,Surface water: leaving the country to other countries (total),1986,90.8,OF
143,Surface water: leaving the country to other countries (total),1991,90.8,OF
144,Surface water: leaving the country to other countries (total),1996,90.8,OF
145,Surface water: leaving the country to other countries (total),2001,90.8,OF
146,Surface water: leaving the country to other countries (total),2006,90.8,OF
148,Surface water: leaving the country to other countries (total),2017,90.8,OF
149,Groundwater: entering the country (total),1962,0.0,E
150,Groundwater: entering the country (total),1967,0.0,E
151,Groundwater: entering the country (total),1972,0.0,E
152,Groundwater: entering the country (total),1977,0.0,E
153,Groundwater: entering the country (total),1982,0.0,E
154,Groundwater: entering the country (total),1987,0.0,E
155,Groundwater: entering the country (total),1992,0.0,E
156,Groundwater: entering the country (total),1997,0.0,E
157,Groundwater: entering the country (total),2002,0.0,E
158,Groundwater: entering the country (total),2007,0.0,E
159,Groundwater: entering the country (total),2012,0.0,E
160,Groundwater: entering the country (total),2017,0.0,E
161,Groundwater: leaving the country to other countries (total),1962,0.0,OF
162,Groundwater: leaving the country to other countries (total),1967,0.0,OF
163,Groundwater: leaving the country to other countries (total),1972,0.0,OF
164,Groundwater: leaving the country to other countries (total),1977,0.0,OF
165,Groundwater: leaving the country to other countries (total),1982,0.0,OF
166,Groundwater: leaving the country to other countries (total),1987,0.0,OF
167,Groundwater: leaving the country to other countries (total),1992,0.0,OF
168,Groundwater: leaving the country to other countries (total),1997,0.0,OF
169,Groundwater: leaving the country to other countries (total),2002,0.0,OF
170,Groundwater: leaving the country to other countries (total),2007,0.0,OF
171,Groundwater: leaving the country to other countries (total),2012,0.0,OF
172,Groundwater: leaving the country to other countries (total),2017,0.0,OF
173,Dependency ratio,1962,30.5194805195,E
174,Dependency ratio,1967,30.5194805195,E
175,Dependency ratio,1972,30.5194805195,E
176,Dependency ratio,1977,30.5194805195,E
177,Dependency ratio,1982,30.5194805195,E
178,Dependency ratio,1987,30.5194805195,E
179,Dependency ratio,1992,30.5194805195,E
180,Dependency ratio,1997,30.5194805195,E
181,Dependency ratio,2002,30.5194805195,E
182,Dependency ratio,2007,30.5194805195,E
183,Dependency ratio,2012,30.5194805195,E
184,Dependency ratio,2017,30.5194805195,E
185,Dependency ratio,2018,30.5194805195,E
186,Total internal renewable water resources (IRWR),1962,107.0,E
187,Total internal renewable water resources (IRWR),1967,107.0,E
188,Total internal renewable water resources (IRWR),1972,107.0,E
189,Total internal renewable water resources (IRWR),1977,107.0,E
190,Total internal renewable water resources (IRWR),1982,107.0,E
191,Total internal renewable water resources (IRWR),1987,107.0,E
192,Total internal renewable water resources (IRWR),1992,107.0,E
193,Total internal renewable water resources (IRWR),1997,107.0,E
194,Total internal renewable water resources (IRWR),2002,107.0,E
195,Total internal renewable water resources (IRWR),2007,107.0,E
