Ghana,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,23854.0,X
1,Total area of the country (excl. coastal water),1967,23854.0,X
2,Total area of the country (excl. coastal water),1972,23854.0,X
3,Total area of the country (excl. coastal water),1977,23854.0,X
4,Total area of the country (excl. coastal water),1982,23854.0,X
5,Total area of the country (excl. coastal water),1987,23854.0,X
6,Total area of the country (excl. coastal water),1992,23854.0,X
7,Total area of the country (excl. coastal water),1997,23854.0,X
8,Total area of the country (excl. coastal water),2002,23854.0,X
9,Total area of the country (excl. coastal water),2007,23854.0,X
10,Total area of the country (excl. coastal water),2012,23854.0,X
11,Total area of the country (excl. coastal water),2017,23854.0,E
12,Total area of the country (excl. coastal water),2018,23854.0,E
13,Cultivated area (arable land + permanent crops),1962,3300.0,X
14,Cultivated area (arable land + permanent crops),1967,3300.0,X
15,Cultivated area (arable land + permanent crops),1972,3300.0,X
16,Cultivated area (arable land + permanent crops),1977,3500.0,X
17,Cultivated area (arable land + permanent crops),1982,3800.0,X
18,Cultivated area (arable land + permanent crops),1987,4000.0,X
19,Cultivated area (arable land + permanent crops),1992,4320.0,X
20,Cultivated area (arable land + permanent crops),1997,5300.0,X
21,Cultivated area (arable land + permanent crops),2002,6331.0,X
22,Cultivated area (arable land + permanent crops),2003,6535.0,X
23,Total population,1962,7071.971,X
24,Total population,1967,8132.803,X
25,Total population,1972,9229.631,X
26,Total population,1977,10395.452,X
27,Total population,1982,11676.823,X
28,Total population,1987,13552.021,X
29,Total population,1992,15653.336,X
30,Total population,1997,17908.985,X
31,Total population,2002,20246.381,X
32,Total population,2007,22963.946,X
33,Total population,2012,25996.45,X
34,Total population,2017,29121.465,X
35,Total population,2018,29767.102,X
36,Rural population,1962,5360.038,X
37,Rural population,1967,5861.508,X
38,Rural population,1972,6413.733,X
39,Rural population,1977,7082.827,X
40,Rural population,1982,7856.22,X
41,Rural population,1987,8858.182,X
42,Rural population,1992,9602.248,X
43,Rural population,1997,10273.998,X
44,Rural population,2002,10903.66,X
45,Rural population,2007,11652.304,X
46,Rural population,2012,12333.058,X
47,Rural population,2017,12857.864,X
48,Rural population,2018,12946.423,X
49,Urban population,1962,1725.426,X
50,Urban population,1967,2195.936,X
51,Urban population,1972,2669.84,X
52,Urban population,1977,3107.063,X
53,Urban population,1982,3631.886,X
54,Urban population,1987,4623.224,X
55,Urban population,1992,5861.606,X
56,Urban population,1997,7334.814,X
57,Urban population,2002,9020.862,X
58,Urban population,2007,11047.908,X
59,Urban population,2012,13399.991,X
60,Urban population,2017,15975.765,X
61,Urban population,2018,16517.22,X
62,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.5768,I
63,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.5556666667,I
64,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.5537,I
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.5537,I
66,Gross Domestic Product (GDP),1962,1382515654.0,X
67,Gross Domestic Product (GDP),1967,1747187645.0,X
68,Gross Domestic Product (GDP),1972,4481258332.0,X
69,Gross Domestic Product (GDP),1977,5156850046.0,X
70,Gross Domestic Product (GDP),1982,7228610064.0,X
71,Gross Domestic Product (GDP),1987,10082626157.0,X
72,Gross Domestic Product (GDP),1992,14609775909.0,X
73,Gross Domestic Product (GDP),1997,14618192883.0,X
74,Gross Domestic Product (GDP),2002,13079946041.0,X
75,Gross Domestic Product (GDP),2007,32770285942.0,X
76,Gross Domestic Product (GDP),2012,55512769978.0,X
77,Gross Domestic Product (GDP),2017,58994855221.0,X
78,Gross Domestic Product (GDP),2018,65534787301.0,X
79,GDP per capita,1972,493.336524,X
80,GDP per capita,1977,506.075144,X
81,GDP per capita,1982,629.225572,X
82,GDP per capita,1987,747.891292,X
83,GDP per capita,1992,944.76939,X
84,GDP per capita,1997,830.163493,X
85,GDP per capita,2002,656.474772,X
86,GDP per capita,2007,1443.611449,X
87,GDP per capita,2012,2157.25583,X
88,GDP per capita,2017,2046.043362,X
89,GDP per capita,2018,2224.259481,X
90,"Agriculture, value added (% GDP)",1962,42.26,X
91,"Agriculture, value added (% GDP)",1967,45.05,X
