,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1962,34.0,X
1,Total area of the country (excl. coastal water),4100,1967,34.0,X
2,Total area of the country (excl. coastal water),4100,1972,34.0,X
3,Total area of the country (excl. coastal water),4100,1977,34.0,X
4,Total area of the country (excl. coastal water),4100,1982,34.0,X
5,Total area of the country (excl. coastal water),4100,1987,34.0,X
6,Total area of the country (excl. coastal water),4100,1992,34.0,X
7,Total area of the country (excl. coastal water),4100,1997,34.0,X
8,Total area of the country (excl. coastal water),4100,2002,34.0,X
9,Total area of the country (excl. coastal water),4100,2007,34.0,X
10,Total area of the country (excl. coastal water),4100,2012,34.0,X
11,Total area of the country (excl. coastal water),4100,2017,34.0,E
12,Total area of the country (excl. coastal water),4100,2018,34.0,E
13,Cultivated area (arable land + permanent crops),4103,1962,19.0,X
14,Cultivated area (arable land + permanent crops),4103,1967,19.0,X
15,Cultivated area (arable land + permanent crops),4103,1972,18.0,X
16,Cultivated area (arable land + permanent crops),4103,1977,18.0,X
17,Cultivated area (arable land + permanent crops),4103,1982,15.0,X
18,Cultivated area (arable land + permanent crops),4103,1987,12.0,X
19,Cultivated area (arable land + permanent crops),4103,1992,11.0,X
20,Cultivated area (arable land + permanent crops),4103,1997,10.0,X
21,Cultivated area (arable land + permanent crops),4103,2002,12.0,X
22,Cultivated area (arable land + permanent crops),4103,2007,6.0,X
23,Cultivated area (arable land + permanent crops),4103,2012,7.0,X
24,Cultivated area (arable land + permanent crops),4103,2017,7.0,X
25,Cultivated area (arable land + permanent crops),4103,2018,7.0,X
26,Total population,4104,1962,92.484,X
27,Total population,4104,1967,95.02,X
28,Total population,4104,1972,93.983,X
29,Total population,4104,1977,90.227,X
30,Total population,4104,1982,93.122,X
31,Total population,4104,1987,99.436,X
32,Total population,4104,1992,97.165,X
33,Total population,4104,1997,101.567,X
34,Total population,4104,2002,103.634,X
35,Total population,4104,2007,105.19,X
36,Total population,4104,2012,107.446,X
37,Total population,4104,2017,110.874,X
38,Total population,4104,2018,111.454,X
39,Rural population,4105,1962,64.044,X
40,Rural population,4105,1967,64.9,X
41,Rural population,4105,1972,63.545,X
42,Rural population,4105,1977,60.693,X
