,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1962,10889.0,X
1,Total area of the country (excl. coastal water),4100,1967,10889.0,X
2,Total area of the country (excl. coastal water),4100,1972,10889.0,X
3,Total area of the country (excl. coastal water),4100,1977,10889.0,X
4,Total area of the country (excl. coastal water),4100,1982,10889.0,X
5,Total area of the country (excl. coastal water),4100,1987,10889.0,X
6,Total area of the country (excl. coastal water),4100,1992,10889.0,X
7,Total area of the country (excl. coastal water),4100,1997,10889.0,X
8,Total area of the country (excl. coastal water),4100,2002,10889.0,X
9,Total area of the country (excl. coastal water),4100,2007,10889.0,X
10,Total area of the country (excl. coastal water),4100,2012,10889.0,X
11,Total area of the country (excl. coastal water),4100,2017,10889.0,E
12,Total area of the country (excl. coastal water),4100,2018,10889.0,E
13,Cultivated area (arable land + permanent crops),4103,1962,1538.0,X
14,Cultivated area (arable land + permanent crops),4103,1967,1558.0,X
15,Cultivated area (arable land + permanent crops),4103,1972,1580.0,X
16,Cultivated area (arable land + permanent crops),4103,1977,1723.0,X
17,Cultivated area (arable land + permanent crops),4103,1982,1784.0,X
18,Cultivated area (arable land + permanent crops),4103,1987,1785.0,X
19,Cultivated area (arable land + permanent crops),4103,1992,1785.0,X
20,Cultivated area (arable land + permanent crops),4103,1997,1920.0,X
21,Cultivated area (arable land + permanent crops),4103,2002,2025.0,X
22,Cultivated area (arable land + permanent crops),4103,2007,2507.0,X
23,Cultivated area (arable land + permanent crops),4103,2012,2087.16,X
24,Cultivated area (arable land + permanent crops),4103,2017,2045.0,X
25,Cultivated area (arable land + permanent crops),4103,2018,2045.0,X
26,Total population,4104,1962,4464.249,X
27,Total population,4104,1967,5160.609,X
28,Total population,4104,1972,5941.567,X
29,Total population,4104,1977,6765.516,X
30,Total population,4104,1982,7654.819,X
31,Total population,4104,1987,8639.108,X
32,Total population,4104,1992,9708.544,X
33,Total population,4104,1997,10887.634,X
34,Total population,4104,2002,12208.848,X
35,Total population,4104,2007,13700.327,X
36,Total population,4104,2012,15270.771,X
37,Total population,4104,2017,16914.97,X
38,Total population,4104,2018,17247.849,X
39,Rural population,4105,1962,3016.779,X
40,Rural population,4105,1967,3374.647,X
41,Rural population,4105,1972,3792.064,X
42,Rural population,4105,1977,4210.746,X
43,Rural population,4105,1982,4641.088,X
44,Rural population,4105,1987,5096.859,X
45,Rural population,4105,1992,5567.354,X
46,Rural population,4105,1997,6061.866,X
47,Rural population,4105,2002,6592.165,X
48,Rural population,4105,2007,7191.525,X
49,Rural population,4105,2012,7788.239,X
50,Rural population,4105,2017,8341.671,X
51,Rural population,4105,2018,8440.97,X
52,Urban population,4106,1962,1447.47,X
53,Urban population,4106,1967,1785.962,X
54,Urban population,4106,1972,2149.503,X
55,Urban population,4106,1977,2554.77,X
56,Urban population,4106,1982,3013.731,X
57,Urban population,4106,1987,3542.249,X
58,Urban population,4106,1992,4141.19,X
59,Urban population,4106,1997,4825.768,X
