Guinea-Bissau,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,3613.0,X
1,Total area of the country (excl. coastal water),1967,3613.0,X
2,Total area of the country (excl. coastal water),1972,3613.0,X
3,Total area of the country (excl. coastal water),1977,3613.0,X
4,Total area of the country (excl. coastal water),1982,3613.0,X
5,Total area of the country (excl. coastal water),1987,3613.0,X
6,Total area of the country (excl. coastal water),1992,3613.0,X
7,Total area of the country (excl. coastal water),1997,3613.0,X
8,Total area of the country (excl. coastal water),2002,3613.0,X
9,Total area of the country (excl. coastal water),2007,3613.0,X
10,Total area of the country (excl. coastal water),2012,3613.0,X
11,Total area of the country (excl. coastal water),2017,3613.0,E
12,Total area of the country (excl. coastal water),2018,3613.0,E
13,Cultivated area (arable land + permanent crops),1962,278.0,X
14,Cultivated area (arable land + permanent crops),1967,288.0,X
15,Cultivated area (arable land + permanent crops),1972,288.0,X
16,Cultivated area (arable land + permanent crops),1977,299.0,X
17,Cultivated area (arable land + permanent crops),1982,323.0,X
18,Cultivated area (arable land + permanent crops),1987,330.0,X
19,Cultivated area (arable land + permanent crops),1992,367.0,X
20,Cultivated area (arable land + permanent crops),1997,457.0,X
21,Cultivated area (arable land + permanent crops),2002,529.0,X
22,Cultivated area (arable land + permanent crops),2007,530.0,X
23,Cultivated area (arable land + permanent crops),2012,550.0,X
24,Cultivated area (arable land + permanent crops),2017,550.0,X
25,Cultivated area (arable land + permanent crops),2018,550.0,X
26,Total population,1962,628.883,X
27,Total population,1967,669.237,X
28,Total population,1972,732.523,X
29,Total population,1977,771.737,X
30,Total population,1982,810.405,X
31,Total population,1987,912.754,X
32,Total population,1992,1020.35,X
33,Total population,1997,1132.51,X
34,Total population,2002,1254.453,X
35,Total population,2007,1411.543,X
36,Total population,2012,1604.979,X
37,Total population,2017,1828.145,X
38,Total population,2018,1874.303,X
39,Rural population,1962,542.433,X
40,Rural population,1967,574.747,X
41,Rural population,1972,626.893,X
42,Rural population,1977,658.618,X
43,Rural population,1982,666.025,X
44,Rural population,1987,694.379,X
45,Rural population,1992,709.2,X
46,Rural population,1997,765.477,X
47,Rural population,2002,814.873,X
48,Rural population,2007,882.992,X
49,Rural population,2012,968.011,X
50,Rural population,2017,1061.947,X
51,Rural population,2018,1080.274,X
52,Urban population,1962,87.536,X
53,Urban population,1967,98.715,X
54,Urban population,1972,114.597,X
55,Urban population,1977,128.136,X
56,Urban population,1982,166.643,X
57,Urban population,1987,249.238,X
58,Urban population,1992,353.6,X
59,Urban population,1997,414.25,X
60,Urban population,2002,478.65,X
61,Urban population,2007,562.966,X
62,Urban population,2012,670.128,X
63,Urban population,2017,799.336,X
64,Urban population,2018,826.994,X
65,Gross Domestic Product (GDP),1972,326060307.0,X
66,Gross Domestic Product (GDP),1977,392906512.0,X
67,Gross Domestic Product (GDP),1982,418291007.0,X
68,Gross Domestic Product (GDP),1987,499550081.0,X
69,Gross Domestic Product (GDP),1992,684019974.0,X
70,Gross Domestic Product (GDP),1997,412430332.0,X
71,Gross Domestic Product (GDP),2002,408256132.0,X
72,Gross Domestic Product (GDP),2007,695990234.0,X
73,Gross Domestic Product (GDP),2012,989326865.0,X
74,Gross Domestic Product (GDP),2017,1350177012.0,X
75,GDP per capita,1972,439.736621,X
76,GDP per capita,1977,499.401989,X
77,GDP per capita,1982,502.350285,X
78,GDP per capita,1987,529.399196,X
79,GDP per capita,1992,643.601782,X
80,GDP per capita,1997,349.598112,X
81,GDP per capita,2002,315.615673,X
82,GDP per capita,2007,481.335027,X
83,GDP per capita,2012,603.933406,X
84,GDP per capita,2017,725.401249,X
85,GDP per capita,2018,764.899506,X
86,"Agriculture, value added (% GDP)",1972,45.781224,X
87,"Agriculture, value added (% GDP)",1977,46.154401,X
88,"Agriculture, value added (% GDP)",1982,46.759677,X
89,"Agriculture, value added (% GDP)",1987,50.983491,X
90,"Agriculture, value added (% GDP)",1992,47.834619,X
91,"Agriculture, value added (% GDP)",1997,40.092562,X
92,"Agriculture, value added (% GDP)",2002,42.538438,X
93,"Agriculture, value added (% GDP)",2007,43.175693,X
94,"Agriculture, value added (% GDP)",2012,46.89254,X
95,"Agriculture, value added (% GDP)",2017,49.157808,X
96,Number of people undernourished (3-year average),1992,200.0,X
97,Number of people undernourished (3-year average),1997,300.0,X
98,Number of people undernourished (3-year average),2002,300.0,X
99,Number of people undernourished (3-year average),2007,300.0,X
100,Number of people undernourished (3-year average),2012,400.0,X
101,Number of people undernourished (3-year average),2017,500.0,X
102,Number of people undernourished (3-year average),2018,500.0,X
103,Prevalence of undernourishment (3-year average),1992,23.1,X
104,Prevalence of undernourishment (3-year average),1997,22.5,X
105,Prevalence of undernourishment (3-year average),2002,24.4,X
106,Prevalence of undernourishment (3-year average),2007,24.1,X
107,Prevalence of undernourishment (3-year average),2012,22.2,X
108,Prevalence of undernourishment (3-year average),2017,27.4,X
109,Prevalence of undernourishment (3-year average),2018,28.0,X
110,Total population with access to safe drinking-water (JMP),1992,39.1,X
111,Total population with access to safe drinking-water (JMP),1997,47.1,X
112,Total population with access to safe drinking-water (JMP),2002,55.5,X
113,Total population with access to safe drinking-water (JMP),2007,64.3,X
114,Total population with access to safe drinking-water (JMP),2012,73.6,X
115,Total population with access to safe drinking-water (JMP),2017,79.3,I
116,Total population with access to safe drinking-water (JMP),2018,79.3,I
117,Long-term average annual precipitation in volume,1962,56.97701,E
118,Long-term average annual precipitation in volume,1967,56.97701,E
119,Long-term average annual precipitation in volume,1972,56.97701,E
120,Long-term average annual precipitation in volume,1977,56.97701,E
121,Long-term average annual precipitation in volume,1982,56.97701,E
122,Long-term average annual precipitation in volume,1987,56.97701,E
123,Long-term average annual precipitation in volume,1992,56.97701,E
124,Long-term average annual precipitation in volume,1997,56.97701,E
125,Long-term average annual precipitation in volume,2002,56.97701,E
126,Long-term average annual precipitation in volume,2007,56.97701,E
127,Long-term average annual precipitation in volume,2012,56.97701,E
128,Long-term average annual precipitation in volume,2017,56.97701,E
129,Long-term average annual precipitation in volume,2018,56.97701,E
130,Interannual variability (WRI),2017,1.5,I
131,Interannual variability (WRI),2018,1.5,I
132,Seasonal variability (WRI),2017,4.6,I
133,Seasonal variability (WRI),2018,4.6,I
134,Flood occurrence (WRI),2017,1.0,I
135,Flood occurrence (WRI),2018,1.0,I
147,Surface water: entering the country (total),2017,15.4,OF
148,Surface water: leaving the country to other countries (total),1962,0.0,OF
149,Surface water: leaving the country to other countries (total),1967,0.0,OF
150,Surface water: leaving the country to other countries (total),1972,0.0,OF
151,Surface water: leaving the country to other countries (total),1977,0.0,OF
152,Surface water: leaving the country to other countries (total),1982,0.0,OF
153,Surface water: leaving the country to other countries (total),1987,0.0,OF
154,Surface water: leaving the country to other countries (total),1992,0.0,OF
155,Surface water: leaving the country to other countries (total),1997,0.0,OF
156,Surface water: leaving the country to other countries (total),2002,0.0,OF
157,Surface water: leaving the country to other countries (total),2007,0.0,OF
158,Surface water: leaving the country to other countries (total),2012,0.0,OF
159,Surface water: leaving the country to other countries (total),2017,0.0,OF
160,Groundwater: entering the country (total),1962,0.0,E
161,Groundwater: entering the country (total),1967,0.0,E
162,Groundwater: entering the country (total),1972,0.0,E
163,Groundwater: entering the country (total),1977,0.0,E
164,Groundwater: entering the country (total),1982,0.0,E
165,Groundwater: entering the country (total),1987,0.0,E
166,Groundwater: entering the country (total),1992,0.0,E
167,Groundwater: entering the country (total),1997,0.0,E
168,Groundwater: entering the country (total),2002,0.0,E
169,Groundwater: entering the country (total),2007,0.0,E
170,Groundwater: entering the country (total),2012,0.0,E
171,Groundwater: entering the country (total),2017,0.0,E
172,Groundwater: leaving the country to other countries (total),1962,0.0,OF
173,Groundwater: leaving the country to other countries (total),1967,0.0,OF
174,Groundwater: leaving the country to other countries (total),1972,0.0,OF
175,Groundwater: leaving the country to other countries (total),1977,0.0,OF
176,Groundwater: leaving the country to other countries (total),1982,0.0,OF
177,Groundwater: leaving the country to other countries (total),1987,0.0,OF
178,Groundwater: leaving the country to other countries (total),1992,0.0,OF
179,Groundwater: leaving the country to other countries (total),1997,0.0,OF
180,Groundwater: leaving the country to other countries (total),2002,0.0,OF
181,Groundwater: leaving the country to other countries (total),2007,0.0,OF
182,Groundwater: leaving the country to other countries (total),2012,0.0,OF
183,Groundwater: leaving the country to other countries (total),2017,0.0,OF
184,Dependency ratio,1962,49.0445859873,E
185,Dependency ratio,1967,49.0445859873,E
186,Dependency ratio,1972,49.0445859873,E
187,Dependency ratio,1977,49.0445859873,E
188,Dependency ratio,1982,49.0445859873,E
189,Dependency ratio,1987,49.0445859873,E
190,Dependency ratio,1992,49.0445859873,E
191,Dependency ratio,1997,49.0445859873,E
192,Dependency ratio,2002,49.0445859873,E
193,Dependency ratio,2007,49.0445859873,E
194,Dependency ratio,2012,49.0445859873,E
195,Dependency ratio,2017,49.0445859873,E
196,Dependency ratio,2018,49.0445859873,E
197,Total internal renewable water resources (IRWR),1962,16.0,E
198,Total internal renewable water resources (IRWR),1967,16.0,E
199,Total internal renewable water resources (IRWR),1972,16.0,E
200,Total internal renewable water resources (IRWR),1977,16.0,E
201,Total internal renewable water resources (IRWR),1982,16.0,E
202,Total internal renewable water resources (IRWR),1987,16.0,E
203,Total internal renewable water resources (IRWR),1992,16.0,E
204,Total internal renewable water resources (IRWR),1997,16.0,E
205,Total internal renewable water resources (IRWR),2002,16.0,E
206,Total internal renewable water resources (IRWR),2007,16.0,E
207,Total internal renewable water resources (IRWR),2012,16.0,E
208,Total internal renewable water resources (IRWR),2017,16.0,E
209,Total internal renewable water resources (IRWR),2018,16.0,E
210,Total internal renewable water resources per capita,1962,25441.9343502686,E
211,Total internal renewable water resources per capita,1967,23907.8233869317,E
212,Total internal renewable water resources per capita,1972,21842.3175791067,E
213,Total internal renewable water resources per capita,1977,20732.4515994439,E
214,Total internal renewable water resources per capita,1982,19743.2148123469,E
215,Total internal renewable water resources per capita,1987,17529.3671679335,E
216,Total internal renewable water resources per capita,1992,15680.8938109472,E
217,Total internal renewable water resources per capita,1997,14127.9105703261,E
218,Total internal renewable water resources per capita,2002,12754.5631442549,E
219,Total internal renewable water resources per capita,2007,11335.1134184364,E
220,Total internal renewable water resources per capita,2012,9968.9777872483,E
221,Total internal renewable water resources per capita,2017,8752.0410033121,E
222,Total internal renewable water resources per capita,2018,8536.5066374007,E
223,Total renewable surface water,1962,27.4,E
224,Total renewable surface water,1967,27.4,E
225,Total renewable surface water,1972,27.4,E
226,Total renewable surface water,1977,27.4,E
227,Total renewable surface water,1982,27.4,E
228,Total renewable surface water,1987,27.4,E
229,Total renewable surface water,1992,27.4,E
230,Total renewable surface water,1997,27.4,E
231,Total renewable surface water,2002,27.4,E
232,Total renewable surface water,2007,27.4,E
233,Total renewable surface water,2012,27.4,E
234,Total renewable surface water,2017,27.4,E
235,Total renewable surface water,2018,27.4,E
236,Total renewable groundwater,1962,14.0,E
237,Total renewable groundwater,1967,14.0,E
238,Total renewable groundwater,1972,14.0,E
239,Total renewable groundwater,1977,14.0,E
240,Total renewable groundwater,1982,14.0,E
241,Total renewable groundwater,1987,14.0,E
242,Total renewable groundwater,1992,14.0,E
243,Total renewable groundwater,1997,14.0,E
244,Total renewable groundwater,2002,14.0,E
245,Total renewable groundwater,2007,14.0,E
246,Total renewable groundwater,2012,14.0,E
247,Total renewable groundwater,2017,14.0,E
248,Total renewable groundwater,2018,14.0,E
249,Total exploitable water resources,1962,0.35,E
250,Total exploitable water resources,1967,0.35,E
251,Total exploitable water resources,1972,0.35,E
252,Total exploitable water resources,1977,0.35,E
253,Total exploitable water resources,1982,0.35,E
254,Total exploitable water resources,1987,0.35,E
255,Total exploitable water resources,1992,0.35,E
256,Total exploitable water resources,1997,0.35,E
257,Total exploitable water resources,2002,0.35,E
258,Total exploitable water resources,2007,0.35,E
259,Total exploitable water resources,2012,0.35,E
260,Total exploitable water resources,2017,0.35,E
261,Total exploitable water resources,2018,0.35,E
262,Water resources: total external renewable,1962,15.4,E
263,Water resources: total external renewable,1967,15.4,E
264,Water resources: total external renewable,1972,15.4,E
265,Water resources: total external renewable,1977,15.4,E
266,Water resources: total external renewable,1982,15.4,E
267,Water resources: total external renewable,1987,15.4,E
268,Water resources: total external renewable,1992,15.4,E
269,Water resources: total external renewable,1997,15.4,E
270,Water resources: total external renewable,2002,15.4,E
271,Water resources: total external renewable,2007,15.4,E
272,Water resources: total external renewable,2012,15.4,E
273,Water resources: total external renewable,2017,15.4,E
274,Water resources: total external renewable,2018,15.4,E
275,Total renewable water resources,1962,31.4,E
276,Total renewable water resources,1967,31.4,E
277,Total renewable water resources,1972,31.4,E
278,Total renewable water resources,1977,31.4,E
279,Total renewable water resources,1982,31.4,E
280,Total renewable water resources,1987,31.4,E
