,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1962,24586.0,X
1,Total area of the country (excl. coastal water),4100,1967,24586.0,X
2,Total area of the country (excl. coastal water),4100,1972,24586.0,X
3,Total area of the country (excl. coastal water),4100,1977,24586.0,X
4,Total area of the country (excl. coastal water),4100,1982,24586.0,X
5,Total area of the country (excl. coastal water),4100,1987,24586.0,X
6,Total area of the country (excl. coastal water),4100,1992,24586.0,X
7,Total area of the country (excl. coastal water),4100,1997,24586.0,X
8,Total area of the country (excl. coastal water),4100,2002,24586.0,X
9,Total area of the country (excl. coastal water),4100,2007,24586.0,X
10,Total area of the country (excl. coastal water),4100,2012,24586.0,X
11,Total area of the country (excl. coastal water),4100,2017,24586.0,E
12,Total area of the country (excl. coastal water),4100,2018,24586.0,E
13,Cultivated area (arable land + permanent crops),4103,1962,3919.0,X
14,Cultivated area (arable land + permanent crops),4103,1967,3800.0,X
15,Cultivated area (arable land + permanent crops),4103,1972,3681.0,X
16,Cultivated area (arable land + permanent crops),4103,1977,3572.0,X
17,Cultivated area (arable land + permanent crops),4103,1982,3473.0,X
18,Cultivated area (arable land + permanent crops),4103,1987,3374.0,X
19,Cultivated area (arable land + permanent crops),4103,1992,3355.0,X
20,Cultivated area (arable land + permanent crops),4103,1997,3100.0,X
21,Cultivated area (arable land + permanent crops),4103,2002,3040.0,X
22,Cultivated area (arable land + permanent crops),4103,2007,3480.0,X
23,Cultivated area (arable land + permanent crops),4103,2012,3700.0,X
24,Cultivated area (arable land + permanent crops),4103,2017,3800.0,X
25,Cultivated area (arable land + permanent crops),4103,2018,3800.0,X
26,Total population,4104,1962,3611.429,X
27,Total population,4104,1967,3941.053,X
28,Total population,4104,1972,4290.534,X
29,Total population,4104,1977,4628.877,X
30,Total population,4104,1982,5077.082,X
31,Total population,4104,1987,5801.326,X
32,Total population,4104,1992,6716.038,X
33,Total population,4104,1997,7662.075,X
34,Total population,4104,2002,8586.074,X
35,Total population,4104,2007,9518.162,X
36,Total population,4104,2012,10652.031,X
37,Total population,4104,2017,12067.519,X
38,Total population,4104,2018,12414.293,X
39,Rural population,4105,1962,3269.262,X
40,Rural population,4105,1967,3455.545,X
41,Rural population,4105,1972,3553.367,X
42,Rural population,4105,1977,3470.977,X
43,Rural population,4105,1982,3498.557,X
44,Rural population,4105,1987,3918.924,X
45,Rural population,4105,1992,4825.76,X
46,Rural population,4105,1997,5832.294,X
47,Rural population,4105,2002,6266.378,X
48,Rural population,4105,2007,6782.797,X
49,Rural population,4105,2012,7416.978,X
50,Rural population,4105,2017,8165.321,X
51,Rural population,4105,2018,8335.437,X
52,Urban population,4106,1962,421.402,X
53,Urban population,4106,1967,567.941,X
54,Urban population,4106,1972,744.724,X
55,Urban population,4106,1977,927.507,X
56,Urban population,4106,1982,1192.048,X
57,Urban population,4106,1987,1462.559,X
58,Urban population,4106,1992,1933.078,X
59,Urban population,4106,1997,2505.694,X
60,Urban population,4106,2002,2870.967,X
61,Urban population,4106,2007,3313.93,X
62,Urban population,4106,2012,3864.491,X
63,Urban population,4106,2017,4551.855,X
64,Urban population,4106,2018,4717.171,X
65,Gross Domestic Product (GDP),4112,1972,904538719.0,X
