Haiti,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,2775.0,X
1,Total area of the country (excl. coastal water),1967,2775.0,X
2,Total area of the country (excl. coastal water),1972,2775.0,X
3,Total area of the country (excl. coastal water),1977,2775.0,X
4,Total area of the country (excl. coastal water),1982,2775.0,X
5,Total area of the country (excl. coastal water),1987,2775.0,X
6,Total area of the country (excl. coastal water),1992,2775.0,X
7,Total area of the country (excl. coastal water),1997,2775.0,X
8,Total area of the country (excl. coastal water),2002,2775.0,X
9,Total area of the country (excl. coastal water),2007,2775.0,X
10,Total area of the country (excl. coastal water),2012,2775.0,X
11,Total area of the country (excl. coastal water),2017,2775.0,E
12,Total area of the country (excl. coastal water),2018,2775.0,E
13,Cultivated area (arable land + permanent crops),1962,1165.0,X
14,Cultivated area (arable land + permanent crops),1967,1190.0,X
15,Cultivated area (arable land + permanent crops),1972,1084.0,X
16,Cultivated area (arable land + permanent crops),1977,1085.0,X
17,Cultivated area (arable land + permanent crops),1982,1100.0,X
18,Cultivated area (arable land + permanent crops),1987,1100.0,X
19,Cultivated area (arable land + permanent crops),1992,1080.0,X
20,Cultivated area (arable land + permanent crops),1997,1200.0,X
21,Cultivated area (arable land + permanent crops),2002,1180.0,X
22,Cultivated area (arable land + permanent crops),2007,1330.0,X
23,Cultivated area (arable land + permanent crops),2012,1280.0,X
24,Cultivated area (arable land + permanent crops),2017,1350.0,X
25,Cultivated area (arable land + permanent crops),2018,1350.0,X
26,Total population,1962,4019.173,X
27,Total population,1967,4425.303,X
28,Total population,1972,4837.332,X
29,Total population,1977,5294.619,X
30,Total population,1982,5910.227,X
31,Total population,1987,6618.744,X
32,Total population,1992,7319.493,X
33,Total population,1997,8030.726,X
34,Total population,2002,8754.15,X
35,Total population,2007,9495.328,X
36,Total population,2012,10250.93,X
37,Total population,2017,10982.366,X
38,Total population,2018,11123.178,X
39,Rural population,1962,3364.314,X
40,Rural population,1967,3626.244,X
41,Rural population,1972,3885.514,X
42,Rural population,1977,4248.634,X
43,Rural population,1982,4728.75,X
44,Rural population,1987,4984.45,X
45,Rural population,1992,5111.787,X
46,Rural population,1997,5370.79,X
47,Rural population,2002,5394.951,X
48,Rural population,2007,5296.958,X
49,Rural population,2012,5198.418,X
50,Rural population,2017,5013.421,X
51,Rural population,2018,4969.937,X
52,Urban population,1962,658.279,X
53,Urban population,1967,819.286,X
54,Urban population,1972,991.046,X
55,Urban population,1977,1092.785,X
56,Urban population,1982,1226.517,X
57,Urban population,1987,1686.118,X
58,Urban population,1992,2275.188,X
59,Urban population,1997,2741.161,X
60,Urban population,2002,3439.782,X
61,Urban population,2007,4259.931,X
62,Urban population,2012,5090.792,X
63,Urban population,2017,5967.808,X
64,Urban population,2018,6143.008,X
