Honduras,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,11249.0,X
1,Total area of the country (excl. coastal water),1967,11249.0,X
2,Total area of the country (excl. coastal water),1972,11249.0,X
3,Total area of the country (excl. coastal water),1977,11249.0,X
4,Total area of the country (excl. coastal water),1982,11249.0,X
5,Total area of the country (excl. coastal water),1987,11249.0,X
6,Total area of the country (excl. coastal water),1992,11249.0,X
7,Total area of the country (excl. coastal water),1997,11249.0,X
8,Total area of the country (excl. coastal water),2002,11249.0,X
9,Total area of the country (excl. coastal water),2007,11249.0,X
10,Total area of the country (excl. coastal water),2012,11249.0,X
11,Total area of the country (excl. coastal water),2017,11249.0,E
12,Total area of the country (excl. coastal water),2018,11249.0,E
13,Cultivated area (arable land + permanent crops),1962,1490.0,X
14,Cultivated area (arable land + permanent crops),1967,1525.0,X
15,Cultivated area (arable land + permanent crops),1972,1580.0,X
16,Cultivated area (arable land + permanent crops),1977,1745.0,X
17,Cultivated area (arable land + permanent crops),1982,1769.0,X
18,Cultivated area (arable land + permanent crops),1987,1785.0,X
19,Cultivated area (arable land + permanent crops),1992,1855.0,X
20,Cultivated area (arable land + permanent crops),1997,1875.0,X
21,Cultivated area (arable land + permanent crops),2002,1428.0,X
22,Cultivated area (arable land + permanent crops),2007,1460.0,X
23,Cultivated area (arable land + permanent crops),2012,1560.0,X
24,Cultivated area (arable land + permanent crops),2017,1590.0,X
25,Cultivated area (arable land + permanent crops),2018,1596.0,X
26,Total population,1962,2155.647,X
27,Total population,1967,2486.415,X
28,Total population,1972,2882.113,X
29,Total population,1977,3352.825,X
30,Total population,1982,3910.64,X
31,Total population,1987,4542.214,X
32,Total population,1992,5244.678,X
33,Total population,1997,6045.699,X
34,Total population,2002,6929.265,X
35,Total population,2007,7808.518,X
36,Total population,2012,8640.691,X
37,Total population,2017,9429.013,X
38,Total population,2018,9587.522,X
39,Rural population,1962,1640.452,X
40,Rural population,1967,1816.204,X
41,Rural population,1972,2010.386,X
42,Rural population,1977,2239.697,X
43,Rural population,1982,2502.664,X
44,Rural population,1987,2774.726,X
45,Rural population,1992,3072.716,X
46,Rural population,1997,3379.565,X
47,Rural population,2002,3664.258,X
48,Rural population,2007,3861.301,X
49,Rural population,2012,3980.456,X
50,Rural population,2017,4034.31,X
51,Rural population,2018,4040.365,X
52,Urban population,1962,515.2,X
53,Urban population,1967,670.21,X
54,Urban population,1972,871.727,X
55,Urban population,1977,1113.138,X
