Iceland,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,10300.0,X
1,Total area of the country (excl. coastal water),1967,10300.0,X
2,Total area of the country (excl. coastal water),1972,10300.0,X
3,Total area of the country (excl. coastal water),1977,10300.0,X
4,Total area of the country (excl. coastal water),1982,10300.0,X
5,Total area of the country (excl. coastal water),1987,10300.0,X
6,Total area of the country (excl. coastal water),1992,10300.0,X
7,Total area of the country (excl. coastal water),1997,10300.0,X
8,Total area of the country (excl. coastal water),2002,10300.0,X
9,Total area of the country (excl. coastal water),2007,10300.0,X
10,Total area of the country (excl. coastal water),2012,10300.0,X
11,Total area of the country (excl. coastal water),2017,10300.0,E
12,Total area of the country (excl. coastal water),2018,10300.0,E
13,Cultivated area (arable land + permanent crops),1962,120.0,X
14,Cultivated area (arable land + permanent crops),1967,120.0,X
15,Cultivated area (arable land + permanent crops),1972,123.0,X
16,Cultivated area (arable land + permanent crops),1977,129.0,X
17,Cultivated area (arable land + permanent crops),1982,134.0,X
18,Cultivated area (arable land + permanent crops),1987,135.0,X
19,Cultivated area (arable land + permanent crops),1992,136.0,X
20,Cultivated area (arable land + permanent crops),1997,133.0,X
21,Cultivated area (arable land + permanent crops),2002,129.0,X
22,Cultivated area (arable land + permanent crops),2007,125.0,X
23,Cultivated area (arable land + permanent crops),2012,121.2,X
24,Cultivated area (arable land + permanent crops),2017,121.0,X
25,Cultivated area (arable land + permanent crops),2018,121.0,X
26,Total population,1962,182.711,X
27,Total population,1967,197.401,X
28,Total population,1972,209.929,X
29,Total population,1977,222.266,X
30,Total population,1982,233.269,X
31,Total population,1987,247.056,X
32,Total population,1992,260.151,X
33,Total population,1997,272.709,X
34,Total population,2002,285.329,X
35,Total population,2007,305.183,X
36,Total population,2012,325.652,X
37,Total population,2017,334.393,X
38,Total population,2018,336.713,X
39,Rural population,1962,34.172,X
40,Rural population,1967,32.333,X
41,Rural population,1972,30.166,X
42,Rural population,1977,28.17,X
43,Rural population,1982,26.126,X
44,Rural population,1987,24.564,X
45,Rural population,1992,23.123,X
46,Rural population,1997,21.926,X
47,Rural population,2002,20.939,X
48,Rural population,2007,20.516,X
49,Rural population,2012,20.834,X
50,Rural population,2017,20.862,X
51,Rural population,2018,20.899,X
52,Urban population,1962,148.539,X
53,Urban population,1967,165.068,X
54,Urban population,1972,179.763,X
55,Urban population,1977,194.096,X
56,Urban population,1982,207.143,X
57,Urban population,1987,222.492,X
58,Urban population,1992,237.028,X
