,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1962,328726.0,X
1,Total area of the country (excl. coastal water),4100,1967,328726.0,X
2,Total area of the country (excl. coastal water),4100,1972,328726.0,X
3,Total area of the country (excl. coastal water),4100,1977,328726.0,X
4,Total area of the country (excl. coastal water),4100,1982,328726.0,X
5,Total area of the country (excl. coastal water),4100,1987,328726.0,X
6,Total area of the country (excl. coastal water),4100,1992,328726.0,X
7,Total area of the country (excl. coastal water),4100,1997,328726.0,X
8,Total area of the country (excl. coastal water),4100,2002,328726.0,X
9,Total area of the country (excl. coastal water),4100,2007,328726.0,X
10,Total area of the country (excl. coastal water),4100,2012,328726.0,X
11,Total area of the country (excl. coastal water),4100,2016,328726.0,X
12,Cultivated area (arable land + permanent crops),4103,1962,162400.0,X
13,Cultivated area (arable land + permanent crops),4103,1967,163790.0,X
14,Cultivated area (arable land + permanent crops),4103,1972,164986.0,X
15,Cultivated area (arable land + permanent crops),4103,1977,167059.0,X
16,Cultivated area (arable land + permanent crops),4103,1982,168746.0,X
17,Cultivated area (arable land + permanent crops),4103,1987,169705.0,X
18,Cultivated area (arable land + permanent crops),4103,1992,170006.0,X
19,Cultivated area (arable land + permanent crops),4103,1997,170101.0,X
20,Cultivated area (arable land + permanent crops),4103,2002,170032.0,X
21,Cultivated area (arable land + permanent crops),4103,2007,169202.0,X
22,Cultivated area (arable land + permanent crops),4103,2012,169346.0,X
23,Cultivated area (arable land + permanent crops),4103,2014,169463.0,X
24,Total population,4104,1962,469077.19,X
25,Total population,4104,1967,520400.576,X
26,Total population,4104,1972,581087.256,X
27,Total population,4104,1977,652408.776,X
28,Total population,4104,1982,732239.504,X
29,Total population,4104,1987,819682.102,X
30,Total population,4104,1992,909307.016,X
31,Total population,4104,1997,1000900.03,X
32,Total population,4104,2002,1093317.189,X
33,Total population,4104,2007,1183209.472,X
34,Total population,4104,2012,1265780.247,X
35,Total population,4104,2017,1338676.785,X
36,Total population,4104,2018,1352642.28,X
37,Rural population,4105,1962,382619.475,X
38,Rural population,4105,1967,419415.084,X
39,Rural population,4105,1972,461669.934,X
40,Rural population,4105,1977,507210.016,X
41,Rural population,4105,1982,557274.365,X
42,Rural population,4105,1987,614038.065,X
43,Rural population,4105,1992,670596.991,X
44,Rural population,4105,1997,727825.98,X
45,Rural population,4105,2002,782001.968,X
46,Rural population,4105,2007,826881.86,X
47,Rural population,4105,2012,863513.505,X
48,Rural population,4105,2017,889216.746,X
49,Rural population,4105,2018,893272.09,X
50,Urban population,4106,1962,85233.062,X
51,Urban population,4106,1967,99474.695,X
52,Urban population,4106,1972,117741.579,X
53,Urban population,4106,1977,143275.014,X
54,Urban population,4106,1982,172593.648,X
55,Urban population,4106,1987,202754.676,X
56,Urban population,4106,1992,235424.115,X
57,Urban population,4106,1997,269579.338,X
58,Urban population,4106,2002,307805.144,X
59,Urban population,4106,2007,352799.379,X
60,Urban population,4106,2012,399552.347,X
61,Urban population,4106,2017,449963.381,X
62,Urban population,4106,2018,460779.764,X
63,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2007,0.6086,I
64,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2012,0.572,I
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2017,0.5629,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2018,0.5629,I
67,Gross Domestic Product (GDP),4112,1962,42900864970.0,X
68,Gross Domestic Product (GDP),4112,1967,51014155360.0,X
69,Gross Domestic Product (GDP),4112,1972,72744178924.0,X
70,Gross Domestic Product (GDP),4112,1977,119039438267.0,X
71,Gross Domestic Product (GDP),4112,1982,204391186466.0,X
72,Gross Domestic Product (GDP),4112,1987,279184279235.0,X
73,Gross Domestic Product (GDP),4112,1992,293692987227.0,X
74,Gross Domestic Product (GDP),4112,1997,425545042367.0,X
75,Gross Domestic Product (GDP),4112,2002,512774618109.0,X
76,Gross Domestic Product (GDP),4112,2007,1184724488414.0,X
77,Gross Domestic Product (GDP),4112,2012,1860877235564.0,X
78,Gross Domestic Product (GDP),4112,2015,2146758608055.0,X
79,GDP per capita,4458,1972,125.548384,X
80,GDP per capita,4458,1977,183.001042,X
81,GDP per capita,4458,1982,280.038559,X
82,GDP per capita,4458,1987,341.805534,X
83,GDP per capita,4458,1992,324.156894,X
84,GDP per capita,4458,1997,426.652069,X
85,GDP per capita,4458,2002,470.518693,X
86,GDP per capita,4458,2007,1004.275095,X
87,GDP per capita,4458,2012,1473.301833,X
88,GDP per capita,4458,2017,1960.222536,X
89,GDP per capita,4458,2018,2052.618239,X
90,"Agriculture, value added (% GDP)",4113,1962,39.89,X
91,"Agriculture, value added (% GDP)",4113,1967,44.53,X
92,"Agriculture, value added (% GDP)",4113,1972,38.377849,X
93,"Agriculture, value added (% GDP)",4113,1977,35.278469,X
94,"Agriculture, value added (% GDP)",4113,1982,30.566291,X
95,"Agriculture, value added (% GDP)",4113,1987,26.856044,X
96,"Agriculture, value added (% GDP)",4113,1992,26.679464,X
97,"Agriculture, value added (% GDP)",4113,1997,24.3581,X
98,"Agriculture, value added (% GDP)",4113,2002,19.040543,X
99,"Agriculture, value added (% GDP)",4113,2007,16.750125,X
100,"Agriculture, value added (% GDP)",4113,2012,16.845372,X
101,"Agriculture, value added (% GDP)",4113,2015,16.174509,X
102,"Agriculture, value added to GDP",4548,1962,16114985069.0,X
103,"Agriculture, value added to GDP",4548,1967,21358106520.0,X
104,"Agriculture, value added to GDP",4548,1969,24079079520.0,X
105,Number of people undernourished (3-year average),4473,1992,210100.0,X
106,Number of people undernourished (3-year average),4473,1997,199100.0,X
107,Number of people undernourished (3-year average),4473,2001,191200.0,X
108,Prevalence of undernourishment (3-year average),4474,1992,23.7,X
109,Prevalence of undernourishment (3-year average),4474,1997,20.5,X
110,Prevalence of undernourishment (3-year average),4474,2001,18.2,X
111,Prevalence of undernourishment (3-year average),4474,2016,14.7,X
112,Total population with access to safe drinking-water (JMP),4114,1992,72.6,X
113,Total population with access to safe drinking-water (JMP),4114,1997,77.6,X
114,Total population with access to safe drinking-water (JMP),4114,2002,82.5,X
115,Total population with access to safe drinking-water (JMP),4114,2007,87.4,X
116,Total population with access to safe drinking-water (JMP),4114,2012,92.2,X
117,Total population with access to safe drinking-water (JMP),4114,2017,94.1,I
118,Total population with access to safe drinking-water (JMP),4114,2018,94.1,I
119,Population affected by water related disease,4403,1997,34239.5,I
120,Population affected by water related disease,4403,2002,44000.0,I
121,Population affected by water related disease,4403,2007,44000.0,I
122,Population affected by water related disease,4403,2012,44000.0,I
123,Population affected by water related disease,4403,2017,44000.0,I
124,Population affected by water related disease,4403,2018,44000.0,I
125,Long-term average annual precipitation in volume,4150,1962,3560.10258,E
126,Long-term average annual precipitation in volume,4150,1967,3560.10258,E
127,Long-term average annual precipitation in volume,4150,1972,3560.10258,E
128,Long-term average annual precipitation in volume,4150,1977,3560.10258,E
129,Long-term average annual precipitation in volume,4150,1982,3560.10258,E
130,Long-term average annual precipitation in volume,4150,1987,3560.10258,E
131,Long-term average annual precipitation in volume,4150,1992,3560.10258,E
132,Long-term average annual precipitation in volume,4150,1997,3560.10258,E
133,Long-term average annual precipitation in volume,4150,2002,3560.10258,E
134,Long-term average annual precipitation in volume,4150,2007,3560.10258,E
135,Long-term average annual precipitation in volume,4150,2012,3560.10258,E
136,Long-term average annual precipitation in volume,4150,2016,3560.10258,E
137,Interannual variability (WRI),4541,2017,1.7,I
138,Interannual variability (WRI),4541,2018,1.7,I
139,Seasonal variability (WRI),4542,2017,4.2,I
140,Seasonal variability (WRI),4542,2018,4.2,I
141,Flood occurrence (WRI),4543,2017,3.9,I
142,Flood occurrence (WRI),4543,2018,3.9,I
154,Surface water: entering the country (total),4159,2017,635.2,E
166,Surface water: leaving the country to other countries (total),4171,2017,1385.0,E
167,Groundwater: entering the country (total),4177,1962,0.0,
168,Groundwater: entering the country (total),4177,1967,0.0,
169,Groundwater: entering the country (total),4177,1972,0.0,
170,Groundwater: entering the country (total),4177,1977,0.0,
171,Groundwater: entering the country (total),4177,1982,0.0,
172,Groundwater: entering the country (total),4177,1987,0.0,
173,Groundwater: entering the country (total),4177,1992,0.0,
174,Groundwater: entering the country (total),4177,1997,0.0,
175,Groundwater: entering the country (total),4177,2002,0.0,
176,Groundwater: entering the country (total),4177,2007,0.0,
177,Groundwater: entering the country (total),4177,2012,0.0,
178,Groundwater: entering the country (total),4177,2017,0.0,
179,Groundwater: leaving the country to other countries (total),4178,1962,0.0,
180,Groundwater: leaving the country to other countries (total),4178,1967,0.0,
181,Groundwater: leaving the country to other countries (total),4178,1972,0.0,
182,Groundwater: leaving the country to other countries (total),4178,1977,0.0,
183,Groundwater: leaving the country to other countries (total),4178,1982,0.0,
184,Groundwater: leaving the country to other countries (total),4178,1987,0.0,
185,Groundwater: leaving the country to other countries (total),4178,1992,0.0,
186,Groundwater: leaving the country to other countries (total),4178,1997,0.0,
187,Groundwater: leaving the country to other countries (total),4178,2002,0.0,
188,Groundwater: leaving the country to other countries (total),4178,2007,0.0,
189,Groundwater: leaving the country to other countries (total),4178,2012,0.0,
190,Groundwater: leaving the country to other countries (total),4178,2017,0.0,
191,Dependency ratio,4192,1962,30.5208533538,E
192,Dependency ratio,4192,1967,30.5208533538,E
