Iran (Islamic Republic of),Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,174515.0,X
1,Total area of the country (excl. coastal water),1967,174515.0,X
2,Total area of the country (excl. coastal water),1972,174515.0,X
3,Total area of the country (excl. coastal water),1977,174515.0,X
4,Total area of the country (excl. coastal water),1982,174515.0,X
5,Total area of the country (excl. coastal water),1987,174515.0,X
6,Total area of the country (excl. coastal water),1992,174515.0,X
7,Total area of the country (excl. coastal water),1997,174515.0,X
8,Total area of the country (excl. coastal water),2002,174515.0,X
9,Total area of the country (excl. coastal water),2007,174515.0,X
10,Total area of the country (excl. coastal water),2012,174515.0,X
11,Total area of the country (excl. coastal water),2017,174515.0,E
12,Total area of the country (excl. coastal water),2018,174515.0,E
13,Cultivated area (arable land + permanent crops),1962,15290.0,X
14,Cultivated area (arable land + permanent crops),1967,15550.0,X
15,Cultivated area (arable land + permanent crops),1972,16800.0,X
16,Cultivated area (arable land + permanent crops),1977,15693.0,X
17,Cultivated area (arable land + permanent crops),1982,14867.0,X
18,Cultivated area (arable land + permanent crops),1987,16530.0,X
19,Cultivated area (arable land + permanent crops),1992,18287.0,X
20,Cultivated area (arable land + permanent crops),1997,17832.0,X
21,Cultivated area (arable land + permanent crops),2002,17444.0,X
22,Cultivated area (arable land + permanent crops),2007,18549.0,X
23,Cultivated area (arable land + permanent crops),2012,16768.8,X
24,Cultivated area (arable land + permanent crops),2016,16477.0,X
25,Total population,1962,23071.315,X
26,Total population,1967,26317.783,X
27,Total population,1972,30075.297,X
28,Total population,1977,34803.045,X
29,Total population,1982,41869.236,X
30,Total population,1987,51193.782,X
31,Total population,1992,58780.37,X
32,Total population,1997,63136.312,X
33,Total population,2002,67284.796,X
34,Total population,2007,71336.475,X
35,Total population,2012,75539.878,X
36,Total population,2017,80673.883,X
37,Total population,2018,81800.188,X
38,Rural population,1962,14984.755,X
39,Rural population,1967,16170.656,X
40,Rural population,1972,17138.134,X
41,Rural population,1977,18286.193,X
42,Rural population,1982,20449.395,X
43,Rural population,1987,23183.646,X
44,Rural population,1992,24671.788,X
45,Rural population,1997,23922.226,X
46,Rural population,2002,23475.745,X
47,Rural population,2007,22427.746,X
48,Rural population,2012,21594.353,X
49,Rural population,2017,20782.6,X
50,Rural population,2018,20586.68,X
51,Urban population,1962,8086.674,X
52,Urban population,1967,10147.463,X
53,Urban population,1972,12936.164,X
54,Urban population,1977,16524.53,X
55,Urban population,1982,21433.937,X
56,Urban population,1987,28013.836,X
57,Urban population,1992,33588.95,X
58,Urban population,1997,38788.331,X
59,Urban population,2002,44507.585,X
60,Urban population,2007,49603.357,X
61,Urban population,2012,54859.221,X
62,Urban population,2017,60380.188,X
63,Urban population,2018,61425.055,X
64,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.584,I
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.5302,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.5183333333,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.5146,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.5146,I
69,Gross Domestic Product (GDP),1962,4693566416.0,X
70,Gross Domestic Product (GDP),1967,7555383690.0,X
71,Gross Domestic Product (GDP),1972,17153470026.0,X
72,Gross Domestic Product (GDP),1977,80533580566.0,X
