,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1962,7028.0,X
1,Total area of the country (excl. coastal water),4100,1967,7028.0,X
2,Total area of the country (excl. coastal water),4100,1972,7028.0,X
3,Total area of the country (excl. coastal water),4100,1977,7028.0,X
4,Total area of the country (excl. coastal water),4100,1982,7028.0,X
5,Total area of the country (excl. coastal water),4100,1987,7028.0,X
6,Total area of the country (excl. coastal water),4100,1992,7028.0,X
7,Total area of the country (excl. coastal water),4100,1997,7028.0,X
8,Total area of the country (excl. coastal water),4100,2002,7028.0,X
9,Total area of the country (excl. coastal water),4100,2007,7028.0,X
10,Total area of the country (excl. coastal water),4100,2012,7028.0,X
11,Total area of the country (excl. coastal water),4100,2017,7028.0,E
12,Total area of the country (excl. coastal water),4100,2018,7028.0,E
13,Cultivated area (arable land + permanent crops),4103,1962,1570.0,X
14,Cultivated area (arable land + permanent crops),4103,1967,1427.0,X
15,Cultivated area (arable land + permanent crops),4103,1972,1335.0,X
16,Cultivated area (arable land + permanent crops),4103,1977,1185.0,X
17,Cultivated area (arable land + permanent crops),4103,1982,1060.0,X
18,Cultivated area (arable land + permanent crops),4103,1987,983.0,X
19,Cultivated area (arable land + permanent crops),4103,1992,1006.0,X
20,Cultivated area (arable land + permanent crops),4103,1997,1038.0,X
21,Cultivated area (arable land + permanent crops),4103,2002,1179.0,X
22,Cultivated area (arable land + permanent crops),4103,2007,468.45,X
23,Cultivated area (arable land + permanent crops),4103,2012,483.61,X
24,Cultivated area (arable land + permanent crops),4103,2017,462.0,X
25,Cultivated area (arable land + permanent crops),4103,2018,452.0,X
26,Total population,4104,1962,2792.374,X
27,Total population,4104,1967,2846.347,X
28,Total population,4104,1972,2986.566,X
29,Total population,4104,1977,3242.768,X
30,Total population,4104,1982,3453.786,X
31,Total population,4104,1987,3515.828,X
32,Total population,4104,1992,3529.853,X
33,Total population,4104,1997,3651.096,X
34,Total population,4104,2002,3907.998,X
35,Total population,4104,2007,4324.641,X
36,Total population,4104,2012,4608.198,X
37,Total population,4104,2017,4753.279,X
38,Total population,4104,2018,4818.69,X
39,Rural population,4105,1962,1536.686,X
40,Rural population,4105,1967,1506.012,X
41,Rural population,4105,1972,1436.06,X
42,Rural population,4105,1977,1503.568,X
43,Rural population,4105,1982,1549.571,X
44,Rural population,4105,1987,1551.83,X
45,Rural population,4105,1992,1532.593,X
46,Rural population,4105,1997,1543.686,X
47,Rural population,4105,2002,1604.488,X
48,Rural population,4105,2007,1717.899,X
