Israel,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,2207.0,X
1,Total area of the country (excl. coastal water),1967,2207.0,X
2,Total area of the country (excl. coastal water),1972,2207.0,X
3,Total area of the country (excl. coastal water),1977,2207.0,X
4,Total area of the country (excl. coastal water),1982,2207.0,X
5,Total area of the country (excl. coastal water),1987,2207.0,X
6,Total area of the country (excl. coastal water),1992,2207.0,X
7,Total area of the country (excl. coastal water),1997,2207.0,X
8,Total area of the country (excl. coastal water),2002,2207.0,X
9,Total area of the country (excl. coastal water),2007,2207.0,X
10,Total area of the country (excl. coastal water),2012,2207.0,X
11,Total area of the country (excl. coastal water),2017,2207.0,E
12,Total area of the country (excl. coastal water),2018,2207.0,E
13,Cultivated area (arable land + permanent crops),1962,391.0,X
14,Cultivated area (arable land + permanent crops),1967,411.0,X
15,Cultivated area (arable land + permanent crops),1972,411.0,X
16,Cultivated area (arable land + permanent crops),1977,413.0,X
17,Cultivated area (arable land + permanent crops),1982,420.0,X
18,Cultivated area (arable land + permanent crops),1987,428.0,X
19,Cultivated area (arable land + permanent crops),1992,432.0,X
20,Cultivated area (arable land + permanent crops),1997,419.0,X
21,Cultivated area (arable land + permanent crops),2002,433.0,X
22,Cultivated area (arable land + permanent crops),2007,381.1,X
23,Cultivated area (arable land + permanent crops),2012,386.2,X
24,Cultivated area (arable land + permanent crops),2017,483.0,X
25,Cultivated area (arable land + permanent crops),2018,483.3,X
26,Total population,1962,2234.199,X
27,Total population,1967,2619.105,X
28,Total population,1972,2996.482,X
29,Total population,1977,3472.118,X
30,Total population,1982,3838.113,X
31,Total population,1987,4167.127,X
32,Total population,1992,4752.824,X
33,Total population,1997,5566.553,X
34,Total population,2002,6169.313,X
35,Total population,2007,6847.141,X
36,Total population,2012,7614.952,X
37,Total population,2017,8243.848,X
38,Total population,2018,8381.516,X
39,Rural population,1962,481.08,X
40,Rural population,1967,469.527,X
41,Rural population,1972,444.426,X
42,Rural population,1977,440.931,X
43,Rural population,1982,416.036,X
44,Rural population,1987,419.78,X
45,Rural population,1992,453.711,X
46,Rural population,1997,506.347,X
47,Rural population,2002,540.933,X
48,Rural population,2007,578.65,X
49,Rural population,2012,619.009,X
50,Rural population,2017,637.763,X
51,Rural population,2018,640.922,X
52,Urban population,1962,1783.229,X
53,Urban population,1967,2183.17,X
54,Urban population,1972,2589.496,X
55,Urban population,1977,3072.598,X
56,Urban population,1982,3467.431,X
57,Urban population,1987,3796.399,X
58,Urban population,1992,4355.147,X
59,Urban population,1997,5125.197,X
60,Urban population,2002,5698.352,X
61,Urban population,2007,6344.035,X
62,Urban population,2012,7080.096,X
63,Urban population,2017,7683.807,X
64,Urban population,2018,7811.919,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.1836,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.1598,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.115,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.1009,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.1009,I
70,Gross Domestic Product (GDP),1962,2596551757.0,X
71,Gross Domestic Product (GDP),1967,3921085398.0,X
72,Gross Domestic Product (GDP),1969,4568013078.0,X
73,Gross Domestic Product (GDP),1997,114693679940.0,X
74,Gross Domestic Product (GDP),2002,121123190240.0,X
75,Gross Domestic Product (GDP),2007,178960054876.0,X
76,Gross Domestic Product (GDP),2012,257180148510.0,X
77,Gross Domestic Product (GDP),2017,353253408372.0,X
78,Gross Domestic Product (GDP),2018,370587978546.0,X
79,GDP per capita,1972,2762.062183,X
80,GDP per capita,1977,4723.621475,X
81,GDP per capita,1982,7162.7047,X
82,GDP per capita,1987,9694.8341,X
83,GDP per capita,1992,15689.139408,X
84,GDP per capita,1997,20366.293851,X
85,GDP per capita,2002,19412.992072,X
86,GDP per capita,2007,25851.249172,X
87,GDP per capita,2012,33403.901948,X
88,GDP per capita,2017,42450.331893,X
89,GDP per capita,2018,43841.825316,X
90,"Agriculture, value added (% GDP)",1997,1.520697,X
91,"Agriculture, value added (% GDP)",1999,1.468809,X
92,Total population with access to safe drinking-water (JMP),1992,100.0,X
93,Total population with access to safe drinking-water (JMP),1997,100.0,X
94,Total population with access to safe drinking-water (JMP),2002,100.0,X
95,Total population with access to safe drinking-water (JMP),2007,100.0,X
96,Total population with access to safe drinking-water (JMP),2012,100.0,X
97,Total population with access to safe drinking-water (JMP),2017,100.0,I
98,Total population with access to safe drinking-water (JMP),2018,100.0,I
99,Long-term average annual precipitation in volume,1962,9.60045,E
100,Long-term average annual precipitation in volume,1967,9.60045,E
101,Long-term average annual precipitation in volume,1972,9.60045,E
102,Long-term average annual precipitation in volume,1977,9.60045,E
103,Long-term average annual precipitation in volume,1982,9.60045,E
104,Long-term average annual precipitation in volume,1987,9.60045,E
105,Long-term average annual precipitation in volume,1992,9.60045,E
106,Long-term average annual precipitation in volume,1997,9.60045,E
107,Long-term average annual precipitation in volume,2002,9.60045,E
108,Long-term average annual precipitation in volume,2007,9.60045,E
109,Long-term average annual precipitation in volume,2012,9.60045,E
110,Long-term average annual precipitation in volume,2017,9.60045,E
111,Long-term average annual precipitation in volume,2018,9.60045,E
112,Interannual variability (WRI),2017,2.7,I
113,Interannual variability (WRI),2018,2.7,I
114,Seasonal variability (WRI),2017,3.0,I
115,Seasonal variability (WRI),2018,3.0,I
116,Flood occurrence (WRI),2017,2.9,I
117,Flood occurrence (WRI),2018,2.9,I
118,Surface water: entering the country (total),1961,0.305,OF
119,Surface water: entering the country (total),1966,0.305,OF
120,Surface water: entering the country (total),1971,0.305,OF
121,Surface water: entering the country (total),1976,0.305,OF
122,Surface water: entering the country (total),1981,0.305,OF
123,Surface water: entering the country (total),1986,0.305,OF
124,Surface water: entering the country (total),1991,0.305,OF
125,Surface water: entering the country (total),1996,0.305,OF
126,Surface water: entering the country (total),2001,0.305,OF
127,Surface water: entering the country (total),2006,0.305,OF
129,Surface water: entering the country (total),2017,0.305,OF
130,Surface water: leaving the country to other countries (total),1961,0.015,OF
131,Surface water: leaving the country to other countries (total),1966,0.015,OF
132,Surface water: leaving the country to other countries (total),1971,0.015,OF
133,Surface water: leaving the country to other countries (total),1976,0.015,OF
134,Surface water: leaving the country to other countries (total),1981,0.015,OF
135,Surface water: leaving the country to other countries (total),1986,0.015,OF
136,Surface water: leaving the country to other countries (total),1991,0.015,OF
137,Surface water: leaving the country to other countries (total),1996,0.015,OF
138,Surface water: leaving the country to other countries (total),2001,0.015,OF
139,Surface water: leaving the country to other countries (total),2006,0.015,OF
141,Surface water: leaving the country to other countries (total),2017,0.015,OF
142,Groundwater: entering the country (total),1961,0.725,OF
143,Groundwater: entering the country (total),1966,0.725,OF
144,Groundwater: entering the country (total),1971,0.725,OF
145,Groundwater: entering the country (total),1976,0.725,OF
146,Groundwater: entering the country (total),1981,0.725,OF
147,Groundwater: entering the country (total),1986,0.725,OF
148,Groundwater: entering the country (total),1991,0.725,OF
149,Groundwater: entering the country (total),1996,0.725,OF
150,Groundwater: entering the country (total),2001,0.725,OF
151,Groundwater: entering the country (total),2006,0.725,OF
153,Groundwater: entering the country (total),2017,0.725,OF
154,Groundwater: leaving the country to other countries (total),1962,0.025,OF
155,Groundwater: leaving the country to other countries (total),1967,0.025,OF
156,Groundwater: leaving the country to other countries (total),1972,0.025,OF
157,Groundwater: leaving the country to other countries (total),1977,0.025,OF
158,Groundwater: leaving the country to other countries (total),1982,0.025,OF
159,Groundwater: leaving the country to other countries (total),1987,0.025,OF
160,Groundwater: leaving the country to other countries (total),1992,0.025,OF
161,Groundwater: leaving the country to other countries (total),1997,0.025,OF
162,Groundwater: leaving the country to other countries (total),2002,0.025,OF
163,Groundwater: leaving the country to other countries (total),2007,0.025,OF
164,Groundwater: leaving the country to other countries (total),2012,0.025,OF
165,Groundwater: leaving the country to other countries (total),2017,0.025,OF
166,Dependency ratio,1962,57.8651685393,E
167,Dependency ratio,1967,57.8651685393,E
168,Dependency ratio,1972,57.8651685393,E
169,Dependency ratio,1977,57.8651685393,E
170,Dependency ratio,1982,57.8651685393,E
171,Dependency ratio,1987,57.8651685393,E
172,Dependency ratio,1992,57.8651685393,E
173,Dependency ratio,1997,57.8651685393,E
174,Dependency ratio,2002,57.8651685393,E
175,Dependency ratio,2007,57.8651685393,E
176,Dependency ratio,2012,57.8651685393,E
177,Dependency ratio,2017,57.8651685393,E
178,Dependency ratio,2018,57.8651685393,E
179,Total internal renewable water resources (IRWR),1962,0.75,E
180,Total internal renewable water resources (IRWR),1967,0.75,E
181,Total internal renewable water resources (IRWR),1972,0.75,E
182,Total internal renewable water resources (IRWR),1977,0.75,E
183,Total internal renewable water resources (IRWR),1982,0.75,E
184,Total internal renewable water resources (IRWR),1987,0.75,E
185,Total internal renewable water resources (IRWR),1992,0.75,E
186,Total internal renewable water resources (IRWR),1997,0.75,E
187,Total internal renewable water resources (IRWR),2002,0.75,E
188,Total internal renewable water resources (IRWR),2007,0.75,E
189,Total internal renewable water resources (IRWR),2012,0.75,E
190,Total internal renewable water resources (IRWR),2017,0.75,E
191,Total internal renewable water resources (IRWR),2018,0.75,E
192,Total internal renewable water resources per capita,1962,335.6907777687,E
193,Total internal renewable water resources per capita,1967,286.3573625341,E
194,Total internal renewable water resources per capita,1972,250.2935108571,E
195,Total internal renewable water resources per capita,1977,216.0064836506,E
196,Total internal renewable water resources per capita,1982,195.4085249705,E
197,Total internal renewable water resources per capita,1987,179.9801157968,E
198,Total internal renewable water resources per capita,1992,157.8009200425,E
199,Total internal renewable water resources per capita,1997,134.733290063,E
200,Total internal renewable water resources per capita,2002,121.5694518985,E
201,Total internal renewable water resources per capita,2007,109.5347678688,E
202,Total internal renewable water resources per capita,2012,98.4904435379,E
203,Total internal renewable water resources per capita,2017,90.9769321317,E
204,Total internal renewable water resources per capita,2018,89.4826186575,E
205,Total renewable surface water,1962,0.555,E
206,Total renewable surface water,1967,0.555,E
207,Total renewable surface water,1972,0.555,E
208,Total renewable surface water,1977,0.555,E
209,Total renewable surface water,1982,0.555,E
210,Total renewable surface water,1987,0.555,E
211,Total renewable surface water,1992,0.555,E
212,Total renewable surface water,1997,0.555,E
213,Total renewable surface water,2002,0.555,E
214,Total renewable surface water,2007,0.555,E
215,Total renewable surface water,2012,0.555,E
216,Total renewable surface water,2017,0.555,E
217,Total renewable surface water,2018,0.555,E
218,Total renewable groundwater,1962,1.225,E
219,Total renewable groundwater,1967,1.225,E
220,Total renewable groundwater,1972,1.225,E
221,Total renewable groundwater,1977,1.225,E
222,Total renewable groundwater,1982,1.225,E
223,Total renewable groundwater,1987,1.225,E
224,Total renewable groundwater,1992,1.225,E
225,Total renewable groundwater,1997,1.225,E
226,Total renewable groundwater,2002,1.225,E
227,Total renewable groundwater,2007,1.225,E
228,Total renewable groundwater,2012,1.225,E
229,Total renewable groundwater,2017,1.225,E
230,Total renewable groundwater,2018,1.225,E
231,Total exploitable water resources,1962,1.636,E
232,Total exploitable water resources,1967,1.636,E
233,Total exploitable water resources,1972,1.636,E
234,Total exploitable water resources,1977,1.636,E
