Italy,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,30134.0,X
1,Total area of the country (excl. coastal water),1967,30134.0,X
2,Total area of the country (excl. coastal water),1972,30134.0,X
3,Total area of the country (excl. coastal water),1977,30134.0,X
4,Total area of the country (excl. coastal water),1982,30134.0,X
5,Total area of the country (excl. coastal water),1987,30134.0,X
6,Total area of the country (excl. coastal water),1992,30134.0,X
7,Total area of the country (excl. coastal water),1997,30134.0,X
8,Total area of the country (excl. coastal water),2002,30134.0,X
9,Total area of the country (excl. coastal water),2007,30134.0,X
10,Total area of the country (excl. coastal water),2012,30134.0,X
11,Total area of the country (excl. coastal water),2016,30134.0,X
12,Cultivated area (arable land + permanent crops),1962,15570.0,X
13,Cultivated area (arable land + permanent crops),1967,15213.0,X
14,Cultivated area (arable land + permanent crops),1972,12305.0,X
15,Cultivated area (arable land + permanent crops),1977,12335.0,X
16,Cultivated area (arable land + permanent crops),1982,12415.0,X
17,Cultivated area (arable land + permanent crops),1987,12070.0,X
18,Cultivated area (arable land + permanent crops),1992,11629.0,X
19,Cultivated area (arable land + permanent crops),1997,10974.0,X
20,Cultivated area (arable land + permanent crops),2002,10894.0,X
21,Cultivated area (arable land + permanent crops),2007,9702.0,X
22,Cultivated area (arable land + permanent crops),2012,9560.0,X
23,Cultivated area (arable land + permanent crops),2017,9218.27,X
24,Cultivated area (arable land + permanent crops),2018,9160.0,X
25,Total population,1962,50442.339,X
26,Total population,1967,52433.489,X
27,Total population,1972,54258.741,X
28,Total population,1977,55777.88,X
29,Total population,1982,56644.863,X
30,Total population,1987,57007.741,X
31,Total population,1992,57145.306,X
32,Total population,1997,56903.64,X
33,Total population,2002,57182.519,X
34,Total population,2007,58747.861,X
35,Total population,2012,59879.471,X
36,Total population,2017,60673.701,X
37,Total population,2018,60627.291,X
38,Rural population,1962,20015.852,X
39,Rural population,1967,19513.959,X
40,Rural population,1972,18991.166,X
41,Rural population,1977,18962.954,X
42,Rural population,1982,18781.09,X
43,Rural population,1987,18961.534,X
44,Rural population,1992,19019.878,X
45,Rural population,1997,18846.806,X
