Kazakhstan,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1992,272490.0,X
1,Total area of the country (excl. coastal water),1997,272490.0,X
2,Total area of the country (excl. coastal water),2002,272490.0,X
3,Total area of the country (excl. coastal water),2007,272490.0,X
4,Total area of the country (excl. coastal water),2012,272490.0,X
5,Total area of the country (excl. coastal water),2017,272490.2,E
6,Total area of the country (excl. coastal water),2018,272490.2,E
7,Cultivated area (arable land + permanent crops),1992,35201.0,X
8,Cultivated area (arable land + permanent crops),1997,32691.8,X
9,Cultivated area (arable land + permanent crops),2002,28468.9,X
10,Cultivated area (arable land + permanent crops),2007,28755.6,X
11,Cultivated area (arable land + permanent crops),2012,29459.7,X
12,Cultivated area (arable land + permanent crops),2017,29789.1,X
13,Cultivated area (arable land + permanent crops),2018,29880.4,X
14,Total population,1992,16302.806,X
15,Total population,1997,15406.003,X
16,Total population,2002,14976.188,X
17,Total population,2007,15702.104,X
18,Total population,2012,16751.525,X
19,Total population,2017,18080.019,X
20,Total population,2018,18319.618,X
21,Rural population,1992,7238.014,X
22,Rural population,1997,6861.509,X
23,Rural population,2002,6609.578,X
24,Rural population,2007,6873.733,X
25,Rural population,2012,7280.687,X
26,Rural population,2017,7766.771,X
27,Rural population,2018,7834.88,X
28,Urban population,1992,9243.099,X
29,Urban population,1997,8720.243,X
30,Urban population,2002,8496.067,X
31,Urban population,2007,8967.622,X
32,Urban population,2012,9640.492,X
33,Urban population,2017,10437.728,X
34,Urban population,2018,10568.98,X
35,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.3918,I
36,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.3566,I
37,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.328,I
38,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.2672,I
39,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.2672,I
40,Gross Domestic Product (GDP),1997,22165932063.0,X
41,Gross Domestic Product (GDP),2002,24636596624.0,X
42,Gross Domestic Product (GDP),2007,104849915344.0,X
43,Gross Domestic Product (GDP),2012,207998568866.0,X
44,Gross Domestic Product (GDP),2017,166805788967.0,X
45,Gross Domestic Product (GDP),2018,179339977517.0,X
46,GDP per capita,1992,1605.112644,X
47,GDP per capita,1997,1422.557108,X
48,GDP per capita,2002,1630.952973,X
49,GDP per capita,2007,6618.74665,X
50,GDP per capita,2012,12292.203094,X
51,GDP per capita,2017,9162.888194,X
52,GDP per capita,2018,9744.693641,X
53,"Agriculture, value added (% GDP)",1992,23.098365,X
54,"Agriculture, value added (% GDP)",1997,11.406779,X
55,"Agriculture, value added (% GDP)",2002,7.995891,X
56,"Agriculture, value added (% GDP)",2007,5.660292,X
57,"Agriculture, value added (% GDP)",2012,4.28833,X
58,"Agriculture, value added (% GDP)",2017,4.516985,X
59,"Agriculture, value added (% GDP)",2018,4.395858,X
60,Number of people undernourished (3-year average),2002,1000.0,X
61,Number of people undernourished (3-year average),2007,1000.0,X
62,Number of people undernourished (3-year average),2012,500.0,X
63,Number of people undernourished (3-year average),2013,500.0,X
64,Prevalence of undernourishment (3-year average),2001,5.8,X
65,Prevalence of undernourishment (3-year average),2005,7.5,X
66,Prevalence of undernourishment (3-year average),2012,3.2,X
