,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1962,58037.0,X
1,Total area of the country (excl. coastal water),4100,1967,58037.0,X
2,Total area of the country (excl. coastal water),4100,1972,58037.0,X
3,Total area of the country (excl. coastal water),4100,1977,58037.0,X
4,Total area of the country (excl. coastal water),4100,1982,58037.0,X
5,Total area of the country (excl. coastal water),4100,1987,58037.0,X
6,Total area of the country (excl. coastal water),4100,1992,58037.0,X
7,Total area of the country (excl. coastal water),4100,1997,58037.0,X
8,Total area of the country (excl. coastal water),4100,2002,58037.0,X
9,Total area of the country (excl. coastal water),4100,2007,58037.0,X
10,Total area of the country (excl. coastal water),4100,2012,58037.0,X
11,Total area of the country (excl. coastal water),4100,2017,58037.0,E
12,Total area of the country (excl. coastal water),4100,2018,58037.0,E
13,Cultivated area (arable land + permanent crops),4103,1962,3905.0,X
14,Cultivated area (arable land + permanent crops),4103,1967,3930.0,X
15,Cultivated area (arable land + permanent crops),4103,1972,3955.0,X
16,Cultivated area (arable land + permanent crops),4103,1977,4280.0,X
17,Cultivated area (arable land + permanent crops),4103,1982,4280.0,X
18,Cultivated area (arable land + permanent crops),4103,1987,5135.0,X
19,Cultivated area (arable land + permanent crops),4103,1992,5772.0,X
20,Cultivated area (arable land + permanent crops),4103,1997,5294.0,X
21,Cultivated area (arable land + permanent crops),4103,2002,5518.0,X
22,Cultivated area (arable land + permanent crops),4103,2007,5770.0,X
23,Cultivated area (arable land + permanent crops),4103,2012,6430.0,X
24,Cultivated area (arable land + permanent crops),4103,2017,6330.0,X
25,Cultivated area (arable land + permanent crops),4103,2018,6330.0,X
26,Total population,4104,1962,8647.011,X
27,Total population,4104,1967,10187.478,X
28,Total population,4104,1972,12146.068,X
29,Total population,4104,1977,14638.89,X
30,Total population,4104,1982,17736.326,X
31,Total population,4104,1987,21382.112,X
32,Total population,4104,1992,25326.078,X
33,Total population,4104,1997,29415.659,X
34,Total population,4104,2002,33751.739,X
35,Total population,4104,2007,38705.932,X
36,Total population,4104,2012,44343.467,X
37,Total population,4104,2017,50221.142,X
38,Total population,4104,2018,51392.565,X
39,Rural population,4105,1962,7958.161,X
40,Rural population,4105,1967,9219.376,X
41,Rural population,4105,1972,10719.963,X
42,Rural population,4105,1977,12478.06,X
43,Rural population,4105,1982,14788.542,X
44,Rural population,4105,1987,17680.897,X
45,Rural population,4105,1992,20634.704,X
46,Rural population,4105,1997,23482.301,X
47,Rural population,4105,2002,26374.762,X
48,Rural population,4105,2007,29547.088,X
49,Rural population,4105,2012,33007.2,X
50,Rural population,4105,2017,36498.515,X
51,Rural population,4105,2018,37179.074,X
52,Urban population,4106,1962,670.811,X
53,Urban population,4106,1967,935.108,X
54,Urban population,4106,1972,1363.225,X
55,Urban population,4106,1977,2050.233,X
56,Urban population,4106,1982,2770.888,X
57,Urban population,4106,1987,3438.421,X
58,Urban population,4106,1992,4329.249,X
59,Urban population,4106,1997,5471.813,X
60,Urban population,4106,2002,6839.247,X
61,Urban population,4106,2007,8538.821,X
62,Urban population,4106,2012,10639.429,X
63,Urban population,4106,2017,13201.347,X
64,Urban population,4106,2018,13771.805,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2002,0.666,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2007,0.6276,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2012,0.5673333333,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2017,0.5522,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2018,0.5522,I
70,Gross Domestic Product (GDP),4112,1962,868111400.0,X
71,Gross Domestic Product (GDP),4112,1967,1232559506.0,X
72,Gross Domestic Product (GDP),4112,1972,3129426215.0,X
73,Gross Domestic Product (GDP),4112,1977,6649694546.0,X
74,Gross Domestic Product (GDP),4112,1982,9553271324.0,X
75,Gross Domestic Product (GDP),4112,1987,11831200665.0,X
76,Gross Domestic Product (GDP),4112,1992,11800663792.0,X
77,Gross Domestic Product (GDP),4112,1997,14958503707.0,X
78,Gross Domestic Product (GDP),4112,2002,15092273297.0,X
79,Gross Domestic Product (GDP),4112,2007,31959312214.0,X
80,Gross Domestic Product (GDP),4112,2012,50410158302.0,X
81,Gross Domestic Product (GDP),4112,2016,69188776302.0,X
82,GDP per capita,4458,1972,258.990112,X
83,GDP per capita,4458,1977,457.706528,X
84,GDP per capita,4458,1982,544.053612,X
85,GDP per capita,4458,1987,560.207515,X
86,GDP per capita,4458,1992,472.70814,X
87,GDP per capita,4458,1997,516.627921,X
88,GDP per capita,4458,2002,454.39481,X
89,GDP per capita,4458,2007,839.137441,X
90,GDP per capita,4458,2012,1154.961092,X
91,GDP per capita,4458,2017,1584.659911,X
92,GDP per capita,4458,2018,1725.302554,X
93,"Agriculture, value added (% GDP)",4113,1962,40.6,X
94,"Agriculture, value added (% GDP)",4113,1967,36.51,X
95,"Agriculture, value added (% GDP)",4113,1972,31.12237,X
96,"Agriculture, value added (% GDP)",4113,1977,35.936103,X
97,"Agriculture, value added (% GDP)",4113,1982,28.018694,X
98,"Agriculture, value added (% GDP)",4113,1987,26.299336,X
99,"Agriculture, value added (% GDP)",4113,1992,22.253336,X
100,"Agriculture, value added (% GDP)",4113,1997,24.378375,X
101,"Agriculture, value added (% GDP)",4113,2002,22.281041,X
102,"Agriculture, value added (% GDP)",4113,2007,20.586653,X
103,"Agriculture, value added (% GDP)",4113,2012,26.139893,X
104,"Agriculture, value added (% GDP)",4113,2016,31.072331,X
105,"Agriculture, value added to GDP",4548,1962,326185869.0,X
106,"Agriculture, value added to GDP",4548,1967,414847834.0,X
107,"Agriculture, value added to GDP",4548,1969,450603819.0,X
108,Number of people undernourished (3-year average),4473,1992,7900.0,X
109,Number of people undernourished (3-year average),4473,1997,9500.0,X
110,Number of people undernourished (3-year average),4473,2002,10600.0,X
111,Number of people undernourished (3-year average),4473,2014,10100.0,X
112,Prevalence of undernourishment (3-year average),4474,1992,32.4,X
113,Prevalence of undernourishment (3-year average),4474,1997,33.6,X
114,Prevalence of undernourishment (3-year average),4474,2001,31.3,X
115,Total population with access to safe drinking-water (JMP),4114,1992,44.6,X
116,Total population with access to safe drinking-water (JMP),4114,1997,49.1,X
117,Total population with access to safe drinking-water (JMP),4114,2002,53.5,X
118,Total population with access to safe drinking-water (JMP),4114,2007,57.7,X
119,Total population with access to safe drinking-water (JMP),4114,2012,61.6,X
120,Total population with access to safe drinking-water (JMP),4114,2017,63.2,I
121,Total population with access to safe drinking-water (JMP),4114,2018,63.2,I
122,Long-term average annual precipitation in volume,4150,1962,365.6331,E
123,Long-term average annual precipitation in volume,4150,1967,365.6331,E
124,Long-term average annual precipitation in volume,4150,1972,365.6331,E
125,Long-term average annual precipitation in volume,4150,1977,365.6331,E
126,Long-term average annual precipitation in volume,4150,1982,365.6331,E
127,Long-term average annual precipitation in volume,4150,1987,365.6331,E
128,Long-term average annual precipitation in volume,4150,1992,365.6331,E
129,Long-term average annual precipitation in volume,4150,1997,365.6331,E
130,Long-term average annual precipitation in volume,4150,2002,365.6331,E
131,Long-term average annual precipitation in volume,4150,2007,365.6331,E
132,Long-term average annual precipitation in volume,4150,2012,365.6331,E
133,Long-term average annual precipitation in volume,4150,2017,365.6331,E
134,Long-term average annual precipitation in volume,4150,2018,365.6331,E
135,Interannual variability (WRI),4541,2017,3.2,I
136,Interannual variability (WRI),4541,2018,3.2,I
137,Seasonal variability (WRI),4542,2017,1.9,I
138,Seasonal variability (WRI),4542,2018,1.9,I
139,Flood occurrence (WRI),4543,2017,3.8,I
140,Flood occurrence (WRI),4543,2018,3.8,I
141,Surface water: entering the country (total),4159,1961,10.0,
142,Surface water: entering the country (total),4159,1966,10.0,
143,Surface water: entering the country (total),4159,1971,10.0,
144,Surface water: entering the country (total),4159,1976,10.0,
145,Surface water: entering the country (total),4159,1981,10.0,
146,Surface water: entering the country (total),4159,1986,10.0,
147,Surface water: entering the country (total),4159,1991,10.0,
148,Surface water: entering the country (total),4159,1996,10.0,
149,Surface water: entering the country (total),4159,2001,10.0,
150,Surface water: entering the country (total),4159,2006,10.0,
152,Surface water: entering the country (total),4159,2017,10.0,
164,Surface water: leaving the country to other countries (total),4171,2017,8.9,
165,Groundwater: entering the country (total),4177,1962,0.0,
166,Groundwater: entering the country (total),4177,1967,0.0,
167,Groundwater: entering the country (total),4177,1972,0.0,
168,Groundwater: entering the country (total),4177,1977,0.0,
169,Groundwater: entering the country (total),4177,1982,0.0,
170,Groundwater: entering the country (total),4177,1987,0.0,
171,Groundwater: entering the country (total),4177,1992,0.0,
172,Groundwater: entering the country (total),4177,1997,0.0,
173,Groundwater: entering the country (total),4177,2002,0.0,
174,Groundwater: entering the country (total),4177,2007,0.0,
175,Groundwater: entering the country (total),4177,2012,0.0,
