Kiribati,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,81.0,X
1,Total area of the country (excl. coastal water),1967,81.0,X
2,Total area of the country (excl. coastal water),1972,81.0,X
3,Total area of the country (excl. coastal water),1977,81.0,X
4,Total area of the country (excl. coastal water),1982,81.0,X
5,Total area of the country (excl. coastal water),1987,81.0,X
6,Total area of the country (excl. coastal water),1992,81.0,X
7,Total area of the country (excl. coastal water),1997,81.0,X
8,Total area of the country (excl. coastal water),2002,81.0,X
9,Total area of the country (excl. coastal water),2007,81.0,X
10,Total area of the country (excl. coastal water),2012,81.0,X
11,Total area of the country (excl. coastal water),2017,81.0,E
12,Total area of the country (excl. coastal water),2018,81.0,E
13,Cultivated area (arable land + permanent crops),1962,39.0,X
14,Cultivated area (arable land + permanent crops),1967,38.0,X
15,Cultivated area (arable land + permanent crops),1972,38.0,X
16,Cultivated area (arable land + permanent crops),1977,38.0,X
17,Cultivated area (arable land + permanent crops),1982,38.0,X
18,Cultivated area (arable land + permanent crops),1987,39.0,X
19,Cultivated area (arable land + permanent crops),1992,39.0,X
20,Cultivated area (arable land + permanent crops),1997,37.0,X
21,Cultivated area (arable land + permanent crops),2002,34.0,X
22,Cultivated area (arable land + permanent crops),2007,34.0,X
23,Cultivated area (arable land + permanent crops),2012,34.0,X
24,Cultivated area (arable land + permanent crops),2017,34.0,X
25,Cultivated area (arable land + permanent crops),2018,34.0,X
26,Total population,1962,43.281,X
27,Total population,1967,48.417,X
28,Total population,1972,52.78,X
29,Total population,1977,56.764,X
30,Total population,1982,60.887,X
31,Total population,1987,67.248,X
32,Total population,1992,74.766,X
33,Total population,1997,80.187,X
34,Total population,2002,87.305,X
35,Total population,2007,96.527,X
36,Total population,2012,106.37,X
37,Total population,2017,114.158,X
38,Total population,2018,115.847,X
39,Rural population,1962,35.696,X
40,Rural population,1967,38.218,X
41,Rural population,1972,38.744,X
42,Rural population,1977,39.242,X
43,Rural population,1982,40.949,X
44,Rural population,1987,44.314,X
45,Rural population,1992,48.185,X
46,Rural population,1997,49.111,X
47,Rural population,2002,49.355,X
48,Rural population,2007,53.1,X
49,Rural population,2012,54.285,X
50,Rural population,2017,54.402,X
51,Rural population,2018,54.403,X
52,Urban population,1962,7.606,X
53,Urban population,1967,10.219,X
54,Urban population,1972,14.08,X
55,Urban population,1977,17.568,X
56,Urban population,1982,19.971,X
57,Urban population,1987,22.947,X
58,Urban population,1992,26.584,X
59,Urban population,1997,31.073,X
60,Urban population,2002,37.988,X
61,Urban population,2007,43.211,X
62,Urban population,2012,52.328,X
63,Urban population,2017,61.996,X
64,Urban population,2018,64.011,X
65,Gross Domestic Product (GDP),1972,27169698.0,X
66,Gross Domestic Product (GDP),1977,54541384.0,X
67,Gross Domestic Product (GDP),1982,38920792.0,X
68,Gross Domestic Product (GDP),1987,33677323.0,X
69,Gross Domestic Product (GDP),1992,48085720.0,X
70,Gross Domestic Product (GDP),1997,67227736.0,X
71,Gross Domestic Product (GDP),2002,73728349.0,X
72,Gross Domestic Product (GDP),2007,132674383.0,X
73,Gross Domestic Product (GDP),2012,190122806.0,X
74,Gross Domestic Product (GDP),2016,181549598.0,X
75,GDP per capita,1972,514.34382,X
76,GDP per capita,1977,960.066616,X
77,GDP per capita,1982,638.883647,X
78,GDP per capita,1987,500.696137,X
79,GDP per capita,1992,643.12375,X
80,GDP per capita,1997,838.418338,X
81,GDP per capita,2002,844.124307,X
82,GDP per capita,2007,1377.562099,X
83,GDP per capita,2012,1783.298528,X
84,GDP per capita,2017,1594.344097,X
85,GDP per capita,2018,1592.082641,X
86,"Agriculture, value added (% GDP)",1972,12.990133,X
87,"Agriculture, value added (% GDP)",1977,15.497325,X
88,"Agriculture, value added (% GDP)",1982,36.801934,X
89,"Agriculture, value added (% GDP)",1987,31.929424,X
90,"Agriculture, value added (% GDP)",1992,26.860352,X
91,"Agriculture, value added (% GDP)",1997,20.999956,X
92,"Agriculture, value added (% GDP)",2002,21.816466,X
93,"Agriculture, value added (% GDP)",2007,23.165235,X
94,"Agriculture, value added (% GDP)",2012,24.351036,X
95,"Agriculture, value added (% GDP)",2016,26.310322,X
96,Prevalence of undernourishment (3-year average),1992,7.5,X
97,Prevalence of undernourishment (3-year average),1997,6.1,X
98,Prevalence of undernourishment (3-year average),2002,4.4,X
99,Total population with access to safe drinking-water (JMP),1992,51.0,X
100,Total population with access to safe drinking-water (JMP),1997,55.4,X
101,Total population with access to safe drinking-water (JMP),2002,60.3,X
102,Total population with access to safe drinking-water (JMP),2007,63.5,X
103,Total population with access to safe drinking-water (JMP),2012,66.7,X
104,Total population with access to safe drinking-water (JMP),2017,66.9,I
105,Total population with access to safe drinking-water (JMP),2018,66.9,I
106,Surface water: entering the country (total),1962,0.0,OF
107,Surface water: entering the country (total),1967,0.0,OF
108,Surface water: entering the country (total),1972,0.0,OF
109,Surface water: entering the country (total),1977,0.0,OF
110,Surface water: entering the country (total),1982,0.0,OF
111,Surface water: entering the country (total),1987,0.0,OF
112,Surface water: entering the country (total),1992,0.0,OF
113,Surface water: entering the country (total),1997,0.0,OF
114,Surface water: entering the country (total),2002,0.0,OF
115,Surface water: entering the country (total),2007,0.0,OF
116,Surface water: entering the country (total),2012,0.0,OF
117,Surface water: entering the country (total),2017,0.0,OF
118,Surface water: leaving the country to other countries (total),1962,0.0,OF
119,Surface water: leaving the country to other countries (total),1967,0.0,OF
120,Surface water: leaving the country to other countries (total),1972,0.0,OF
121,Surface water: leaving the country to other countries (total),1977,0.0,OF
122,Surface water: leaving the country to other countries (total),1982,0.0,OF
123,Surface water: leaving the country to other countries (total),1987,0.0,OF
124,Surface water: leaving the country to other countries (total),1992,0.0,OF
125,Surface water: leaving the country to other countries (total),1997,0.0,OF
126,Surface water: leaving the country to other countries (total),2002,0.0,OF
127,Surface water: leaving the country to other countries (total),2007,0.0,OF
128,Surface water: leaving the country to other countries (total),2012,0.0,OF
129,Surface water: leaving the country to other countries (total),2017,0.0,OF
130,Groundwater: entering the country (total),1962,0.0,OF
131,Groundwater: entering the country (total),1967,0.0,OF
132,Groundwater: entering the country (total),1972,0.0,OF
133,Groundwater: entering the country (total),1977,0.0,OF
134,Groundwater: entering the country (total),1982,0.0,OF
135,Groundwater: entering the country (total),1987,0.0,OF
136,Groundwater: entering the country (total),1992,0.0,OF
137,Groundwater: entering the country (total),1997,0.0,OF
138,Groundwater: entering the country (total),2002,0.0,OF
139,Groundwater: entering the country (total),2007,0.0,OF
140,Groundwater: entering the country (total),2012,0.0,OF
141,Groundwater: entering the country (total),2017,0.0,OF
142,Groundwater: leaving the country to other countries (total),1962,0.0,OF
143,Groundwater: leaving the country to other countries (total),1967,0.0,OF
144,Groundwater: leaving the country to other countries (total),1972,0.0,OF
145,Groundwater: leaving the country to other countries (total),1977,0.0,OF
146,Groundwater: leaving the country to other countries (total),1982,0.0,OF
147,Groundwater: leaving the country to other countries (total),1987,0.0,OF
148,Groundwater: leaving the country to other countries (total),1992,0.0,OF
149,Groundwater: leaving the country to other countries (total),1997,0.0,OF
150,Groundwater: leaving the country to other countries (total),2002,0.0,OF
151,Groundwater: leaving the country to other countries (total),2007,0.0,OF
152,Groundwater: leaving the country to other countries (total),2012,0.0,OF
153,Groundwater: leaving the country to other countries (total),2017,0.0,OF
154,Dependency ratio,1962,0.0,OF
155,Dependency ratio,1967,0.0,OF
156,Dependency ratio,1972,0.0,OF
157,Dependency ratio,1977,0.0,OF
158,Dependency ratio,1982,0.0,OF
159,Dependency ratio,1987,0.0,OF
160,Dependency ratio,1992,0.0,OF
161,Dependency ratio,1997,0.0,OF
162,Dependency ratio,2002,0.0,OF
163,Dependency ratio,2007,0.0,OF
164,Dependency ratio,2012,0.0,OF
165,Dependency ratio,2017,0.0,OF
166,Total renewable surface water,1962,0.0,E
167,Total renewable surface water,1967,0.0,E
168,Total renewable surface water,1972,0.0,E
169,Total renewable surface water,1977,0.0,E
170,Total renewable surface water,1982,0.0,E
171,Total renewable surface water,1987,0.0,E
172,Total renewable surface water,1992,0.0,E
173,Total renewable surface water,1997,0.0,E
174,Total renewable surface water,2002,0.0,E
175,Total renewable surface water,2007,0.0,E
176,Total renewable surface water,2012,0.0,E
177,Total renewable surface water,2017,0.0,E
178,Total renewable surface water,2018,0.0,E
179,Total renewable groundwater,1962,0.0,E
180,Total renewable groundwater,1967,0.0,E
181,Total renewable groundwater,1972,0.0,E
182,Total renewable groundwater,1977,0.0,E
183,Total renewable groundwater,1982,0.0,E
184,Total renewable groundwater,1987,0.0,E
185,Total renewable groundwater,1992,0.0,E
186,Total renewable groundwater,1997,0.0,E
187,Total renewable groundwater,2002,0.0,E
188,Total renewable groundwater,2007,0.0,E
189,Total renewable groundwater,2012,0.0,E
190,Total renewable groundwater,2017,0.0,E
191,Total renewable groundwater,2018,0.0,E
192,Water resources: total external renewable,1962,0.0,E
193,Water resources: total external renewable,1967,0.0,E
194,Water resources: total external renewable,1972,0.0,E
195,Water resources: total external renewable,1977,0.0,E
196,Water resources: total external renewable,1982,0.0,E
197,Water resources: total external renewable,1987,0.0,E
198,Water resources: total external renewable,1992,0.0,E
199,Water resources: total external renewable,1997,0.0,E
200,Water resources: total external renewable,2002,0.0,E
201,Water resources: total external renewable,2007,0.0,E
202,Water resources: total external renewable,2012,0.0,E
203,Water resources: total external renewable,2017,0.0,E
204,Water resources: total external renewable,2018,0.0,E
205,Total renewable water resources,1962,0.0,E
206,Total renewable water resources,1967,0.0,E
207,Total renewable water resources,1972,0.0,E
208,Total renewable water resources,1977,0.0,E
209,Total renewable water resources,1982,0.0,E
210,Total renewable water resources,1987,0.0,E
211,Total renewable water resources,1992,0.0,E
212,Total renewable water resources,1997,0.0,E
213,Total renewable water resources,2002,0.0,E
214,Total renewable water resources,2007,0.0,E
215,Total renewable water resources,2012,0.0,E
216,Total renewable water resources,2017,0.0,E
217,Total renewable water resources,2018,0.0,E
218,Total renewable water resources per capita,1962,0.0,E
219,Total renewable water resources per capita,1967,0.0,E
220,Total renewable water resources per capita,1972,0.0,E
221,Total renewable water resources per capita,1977,0.0,E
222,Total renewable water resources per capita,1982,0.0,E
223,Total renewable water resources per capita,1987,0.0,E
224,Total renewable water resources per capita,1992,0.0,E
225,Total renewable water resources per capita,1997,0.0,E
226,Total renewable water resources per capita,2002,0.0,E
227,Total renewable water resources per capita,2007,0.0,E
228,Total renewable water resources per capita,2012,0.0,E
229,Total renewable water resources per capita,2017,0.0,E
230,Total renewable water resources per capita,2018,0.0,E
