Kuwait,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,1782.0,X
1,Total area of the country (excl. coastal water),1967,1782.0,X
2,Total area of the country (excl. coastal water),1972,1782.0,X
3,Total area of the country (excl. coastal water),1977,1782.0,X
4,Total area of the country (excl. coastal water),1982,1782.0,X
5,Total area of the country (excl. coastal water),1987,1782.0,X
6,Total area of the country (excl. coastal water),1992,1782.0,X
7,Total area of the country (excl. coastal water),1997,1782.0,X
8,Total area of the country (excl. coastal water),2002,1782.0,X
9,Total area of the country (excl. coastal water),2007,1782.0,X
10,Total area of the country (excl. coastal water),2012,1782.0,X
11,Total area of the country (excl. coastal water),2017,1782.0,E
12,Total area of the country (excl. coastal water),2018,1782.0,E
13,Cultivated area (arable land + permanent crops),1962,1.0,X
14,Cultivated area (arable land + permanent crops),1967,1.0,X
15,Cultivated area (arable land + permanent crops),1972,1.0,X
16,Cultivated area (arable land + permanent crops),1977,1.0,X
17,Cultivated area (arable land + permanent crops),1982,2.0,X
18,Cultivated area (arable land + permanent crops),1987,4.0,X
19,Cultivated area (arable land + permanent crops),1992,5.0,X
20,Cultivated area (arable land + permanent crops),1997,7.0,X
21,Cultivated area (arable land + permanent crops),2002,15.0,X
22,Cultivated area (arable land + permanent crops),2007,15.0,X
23,Cultivated area (arable land + permanent crops),2012,16.0,X
24,Cultivated area (arable land + permanent crops),2017,15.4,X
25,Cultivated area (arable land + permanent crops),2018,14.0,X
26,Total population,1962,337.348,X
27,Total population,1967,577.164,X
28,Total population,1972,851.916,X
29,Total population,1977,1153.583,X
30,Total population,1982,1507.645,X
31,Total population,1987,1938.909,X
32,Total population,1992,1912.433,X
33,Total population,1997,1710.256,X
34,Total population,2002,2136.997,X
35,Total population,2007,2504.019,X
36,Total population,2012,3348.853,X
37,Total population,2017,4056.099,X
38,Total population,2018,4137.312,X
39,Rural population,1962,78.957,X
40,Rural population,1967,103.752,X
41,Rural population,1972,109.46,X
42,Rural population,1977,93.216,X
43,Rural population,1982,54.193,X
44,Rural population,1987,40.184,X
45,Rural population,1992,38.299,X
46,Rural population,1997,25.266,X
47,Rural population,2002,0.0,X
48,Rural population,2007,0.0,X
49,Rural population,2012,0.0,X
50,Rural population,2017,0.0,X
51,Rural population,2018,0.0,X
52,Urban population,1962,259.339,X
53,Urban population,1967,475.255,X
54,Urban population,1972,745.144,X
55,Urban population,1977,1063.817,X
56,Urban population,1982,1457.121,X
57,Urban population,1987,1902.626,X
58,Urban population,1992,1878.578,X
59,Urban population,1997,1690.048,X
60,Urban population,2002,2143.833,X
61,Urban population,2007,2503.41,X
62,Urban population,2012,3395.556,X
63,Urban population,2017,4136.528,X
64,Urban population,2018,4197.128,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.4978,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.3294,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.28,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.3873,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.3873,I
70,Gross Domestic Product (GDP),1962,1828179057.0,X
71,Gross Domestic Product (GDP),1967,2441598923.0,X
72,Gross Domestic Product (GDP),1972,4447500673.0,X
73,Gross Domestic Product (GDP),1977,14139849159.0,X
74,Gross Domestic Product (GDP),1982,21583058729.0,X
75,Gross Domestic Product (GDP),1987,22367499123.0,X
76,Gross Domestic Product (GDP),1992,19868859615.0,X
77,Gross Domestic Product (GDP),1997,30351196173.0,X
78,Gross Domestic Product (GDP),2002,38135756834.0,X
79,Gross Domestic Product (GDP),2007,114635467558.0,X
80,Gross Domestic Product (GDP),2012,174047199613.0,X
81,Gross Domestic Product (GDP),2015,114584570272.0,X
82,GDP per capita,1972,5204.165524,X
83,GDP per capita,1977,12220.78295,X
84,GDP per capita,1982,14280.989079,X
85,GDP per capita,1987,11512.962731,X
86,GDP per capita,1992,10365.224068,X
87,GDP per capita,1997,17694.250833,X
88,GDP per capita,2002,17788.585601,X
89,GDP per capita,2007,45791.727107,X
90,GDP per capita,2012,51257.349198,X
91,GDP per capita,2017,28897.241961,X
92,GDP per capita,2018,33760.739169,X
93,"Agriculture, value added (% GDP)",1972,0.205058,X
94,"Agriculture, value added (% GDP)",1977,0.197433,X
95,"Agriculture, value added (% GDP)",1982,0.370132,X
96,"Agriculture, value added (% GDP)",1987,0.481309,X
97,"Agriculture, value added (% GDP)",1992,0.257467,X
98,"Agriculture, value added (% GDP)",1997,0.391007,X
99,"Agriculture, value added (% GDP)",2002,0.517688,X
100,"Agriculture, value added (% GDP)",2007,0.214849,X
101,"Agriculture, value added (% GDP)",2012,0.359181,X
102,"Agriculture, value added (% GDP)",2015,0.536652,X
103,Number of people undernourished (3-year average),1992,800.0,X
104,Number of people undernourished (3-year average),1997,195.2380952381,I
105,Number of people undernourished (3-year average),2002,171.4285714286,I
106,Number of people undernourished (3-year average),2007,147.619047619,I
107,Number of people undernourished (3-year average),2012,123.8095238095,I
108,Number of people undernourished (3-year average),2017,100.0,X
109,Number of people undernourished (3-year average),2018,100.0,X
110,Prevalence of undernourishment (3-year average),1992,39.4,X
111,Prevalence of undernourishment (3-year average),1997,5.4,X
112,Prevalence of undernourishment (3-year average),2017,2.6,X
113,Prevalence of undernourishment (3-year average),2018,2.8,X
114,Total population with access to safe drinking-water (JMP),1992,99.0,X
115,Total population with access to safe drinking-water (JMP),1997,99.0,X
116,Total population with access to safe drinking-water (JMP),2002,99.0,X
117,Total population with access to safe drinking-water (JMP),2007,99.0,X
118,Total population with access to safe drinking-water (JMP),2012,99.0,X
119,Total population with access to safe drinking-water (JMP),2017,99.0,I
120,Total population with access to safe drinking-water (JMP),2018,99.0,I
121,Long-term average annual precipitation in volume,1962,2.15622,E
122,Long-term average annual precipitation in volume,1967,2.15622,E
123,Long-term average annual precipitation in volume,1972,2.15622,E
124,Long-term average annual precipitation in volume,1977,2.15622,E
125,Long-term average annual precipitation in volume,1982,2.15622,E
126,Long-term average annual precipitation in volume,1987,2.15622,E
127,Long-term average annual precipitation in volume,1992,2.15622,E
128,Long-term average annual precipitation in volume,1997,2.15622,E
129,Long-term average annual precipitation in volume,2002,2.15622,E
130,Long-term average annual precipitation in volume,2007,2.15622,E
131,Long-term average annual precipitation in volume,2012,2.15622,E
132,Long-term average annual precipitation in volume,2017,2.15622,E
133,Long-term average annual precipitation in volume,2018,2.15622,E
134,Interannual variability (WRI),2017,2.7,I
135,Interannual variability (WRI),2018,2.7,I
136,Seasonal variability (WRI),2017,0.4,I
137,Seasonal variability (WRI),2018,0.4,I
138,Flood occurrence (WRI),2017,0.6,I
139,Flood occurrence (WRI),2018,0.6,I
140,Surface water: entering the country (total),1962,0.0,OF
141,Surface water: entering the country (total),1967,0.0,OF
142,Surface water: entering the country (total),1972,0.0,OF
143,Surface water: entering the country (total),1977,0.0,OF
144,Surface water: entering the country (total),1982,0.0,OF
145,Surface water: entering the country (total),1987,0.0,OF
146,Surface water: entering the country (total),1992,0.0,OF
147,Surface water: entering the country (total),1997,0.0,OF
148,Surface water: entering the country (total),2002,0.0,OF
149,Surface water: entering the country (total),2007,0.0,OF
150,Surface water: entering the country (total),2012,0.0,OF
151,Surface water: entering the country (total),2017,0.0,OF
152,Surface water: leaving the country to other countries (total),1962,0.0,OF
153,Surface water: leaving the country to other countries (total),1967,0.0,OF
154,Surface water: leaving the country to other countries (total),1972,0.0,OF
155,Surface water: leaving the country to other countries (total),1977,0.0,OF
156,Surface water: leaving the country to other countries (total),1982,0.0,OF
157,Surface water: leaving the country to other countries (total),1987,0.0,OF
158,Surface water: leaving the country to other countries (total),1992,0.0,OF
159,Surface water: leaving the country to other countries (total),1997,0.0,OF
160,Surface water: leaving the country to other countries (total),2002,0.0,OF
161,Surface water: leaving the country to other countries (total),2007,0.0,OF
162,Surface water: leaving the country to other countries (total),2012,0.0,OF
163,Surface water: leaving the country to other countries (total),2017,0.0,OF
164,Groundwater: entering the country (total),1961,0.02,OF
165,Groundwater: entering the country (total),1966,0.02,OF
166,Groundwater: entering the country (total),1971,0.02,OF
167,Groundwater: entering the country (total),1976,0.02,OF
168,Groundwater: entering the country (total),1981,0.02,OF
169,Groundwater: entering the country (total),1986,0.02,OF
170,Groundwater: entering the country (total),1991,0.02,OF
171,Groundwater: entering the country (total),1996,0.02,OF
172,Groundwater: entering the country (total),2001,0.02,OF
173,Groundwater: entering the country (total),2006,0.02,OF
175,Groundwater: entering the country (total),2017,0.02,OF
176,Groundwater: leaving the country to other countries (total),1962,0.0,OF
177,Groundwater: leaving the country to other countries (total),1967,0.0,OF
178,Groundwater: leaving the country to other countries (total),1972,0.0,OF
179,Groundwater: leaving the country to other countries (total),1977,0.0,OF
180,Groundwater: leaving the country to other countries (total),1982,0.0,OF
181,Groundwater: leaving the country to other countries (total),1987,0.0,OF
182,Groundwater: leaving the country to other countries (total),1992,0.0,OF
183,Groundwater: leaving the country to other countries (total),1997,0.0,OF
184,Groundwater: leaving the country to other countries (total),2002,0.0,OF
185,Groundwater: leaving the country to other countries (total),2007,0.0,OF
186,Groundwater: leaving the country to other countries (total),2012,0.0,OF
187,Groundwater: leaving the country to other countries (total),2017,0.0,OF
188,Dependency ratio,1962,100.0,E
189,Dependency ratio,1967,100.0,E
190,Dependency ratio,1972,100.0,E
191,Dependency ratio,1977,100.0,E
192,Dependency ratio,1982,100.0,E
193,Dependency ratio,1987,100.0,E
194,Dependency ratio,1992,100.0,E
195,Dependency ratio,1997,100.0,E
196,Dependency ratio,2002,100.0,E
197,Dependency ratio,2007,100.0,E
198,Dependency ratio,2012,100.0,E
199,Dependency ratio,2017,100.0,E
200,Dependency ratio,2018,100.0,E
201,Total internal renewable water resources (IRWR),1962,0.0,E
202,Total internal renewable water resources (IRWR),1967,0.0,E
203,Total internal renewable water resources (IRWR),1972,0.0,E
204,Total internal renewable water resources (IRWR),1977,0.0,E
205,Total internal renewable water resources (IRWR),1982,0.0,E
206,Total internal renewable water resources (IRWR),1987,0.0,E
207,Total internal renewable water resources (IRWR),1992,0.0,E
208,Total internal renewable water resources (IRWR),1997,0.0,E
209,Total internal renewable water resources (IRWR),2002,0.0,E
210,Total internal renewable water resources (IRWR),2007,0.0,E
211,Total internal renewable water resources (IRWR),2012,0.0,E
212,Total internal renewable water resources (IRWR),2017,0.0,E
213,Total internal renewable water resources (IRWR),2018,0.0,E
214,Total internal renewable water resources per capita,1962,0.0,E
215,Total internal renewable water resources per capita,1967,0.0,E
216,Total internal renewable water resources per capita,1972,0.0,E
217,Total internal renewable water resources per capita,1977,0.0,E
218,Total internal renewable water resources per capita,1982,0.0,E
219,Total internal renewable water resources per capita,1987,0.0,E
220,Total internal renewable water resources per capita,1992,0.0,E
221,Total internal renewable water resources per capita,1997,0.0,E
222,Total internal renewable water resources per capita,2002,0.0,E
223,Total internal renewable water resources per capita,2007,0.0,E
224,Total internal renewable water resources per capita,2012,0.0,E
225,Total internal renewable water resources per capita,2017,0.0,E
226,Total internal renewable water resources per capita,2018,0.0,E
227,Total renewable surface water,1962,0.0,E
228,Total renewable surface water,1967,0.0,E
229,Total renewable surface water,1972,0.0,E
230,Total renewable surface water,1977,0.0,E
231,Total renewable surface water,1982,0.0,E
232,Total renewable surface water,1987,0.0,E
233,Total renewable surface water,1992,0.0,E
234,Total renewable surface water,1997,0.0,E
235,Total renewable surface water,2002,0.0,E
236,Total renewable surface water,2007,0.0,E
237,Total renewable surface water,2012,0.0,E
238,Total renewable surface water,2017,0.0,E
239,Total renewable surface water,2018,0.0,E
240,Total renewable groundwater,1962,0.02,E
241,Total renewable groundwater,1967,0.02,E
242,Total renewable groundwater,1972,0.02,E
243,Total renewable groundwater,1977,0.02,E
244,Total renewable groundwater,1982,0.02,E
245,Total renewable groundwater,1987,0.02,E
246,Total renewable groundwater,1992,0.02,E
247,Total renewable groundwater,1997,0.02,E
248,Total renewable groundwater,2002,0.02,E
249,Total renewable groundwater,2007,0.02,E
250,Total renewable groundwater,2012,0.02,E
251,Total renewable groundwater,2017,0.02,E
252,Total renewable groundwater,2018,0.02,E
253,Water resources: total external renewable,1962,0.02,E
254,Water resources: total external renewable,1967,0.02,E
255,Water resources: total external renewable,1972,0.02,E
256,Water resources: total external renewable,1977,0.02,E
257,Water resources: total external renewable,1982,0.02,E
258,Water resources: total external renewable,1987,0.02,E
259,Water resources: total external renewable,1992,0.02,E
260,Water resources: total external renewable,1997,0.02,E
261,Water resources: total external renewable,2002,0.02,E
262,Water resources: total external renewable,2007,0.02,E
263,Water resources: total external renewable,2012,0.02,E
264,Water resources: total external renewable,2017,0.02,E
265,Water resources: total external renewable,2018,0.02,E
266,Total renewable water resources,1962,0.02,E
267,Total renewable water resources,1967,0.02,E
268,Total renewable water resources,1972,0.02,E
269,Total renewable water resources,1977,0.02,E
270,Total renewable water resources,1982,0.02,E
271,Total renewable water resources,1987,0.02,E
