Latvia,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1992,6456.0,X
1,Total area of the country (excl. coastal water),1997,6456.0,X
2,Total area of the country (excl. coastal water),2002,6456.0,X
3,Total area of the country (excl. coastal water),2007,6456.0,X
4,Total area of the country (excl. coastal water),2012,6448.0,X
5,Total area of the country (excl. coastal water),2016,6449.0,X
6,Cultivated area (arable land + permanent crops),1992,1710.0,X
7,Cultivated area (arable land + permanent crops),1997,1094.0,X
8,Cultivated area (arable land + permanent crops),2002,985.0,X
9,Cultivated area (arable land + permanent crops),2007,1198.0,X
10,Cultivated area (arable land + permanent crops),2012,1184.0,X
11,Cultivated area (arable land + permanent crops),2017,1298.0,X
12,Cultivated area (arable land + permanent crops),2018,1303.0,X
13,Total population,1992,2620.254,X
14,Total population,1997,2453.307,X
15,Total population,2002,2332.53,X
16,Total population,2007,2198.089,X
17,Total population,2012,2069.016,X
18,Total population,2017,1951.097,X
19,Total population,2018,1928.459,X
20,Rural population,1992,816.156,X
21,Rural population,1997,770.337,X
22,Rural population,2002,749.886,X
23,Rural population,2007,705.716,X
24,Rural population,2012,663.369,X
25,Rural population,2017,622.436,X
26,Rural population,2018,614.843,X
27,Urban population,1992,1804.09,X
28,Urban population,1997,1682.965,X
29,Urban population,2002,1582.606,X
30,Urban population,2007,1492.802,X
31,Urban population,2012,1403.005,X
32,Urban population,2017,1327.234,X
33,Urban population,2018,1315.095,X
34,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.2656,I
35,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.2292,I
36,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.232,I
37,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.1666,I
38,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.1666,I
39,GDP per capita,1992,2267.509005,X
40,GDP per capita,1997,2653.040137,X
41,GDP per capita,2002,4085.70217,X
42,GDP per capita,2007,14054.779299,X
43,GDP per capita,2012,13635.782216,X
44,GDP per capita,2017,15527.246924,X
45,GDP per capita,2018,17837.899634,X
46,Number of people undernourished (3-year average),2002,100.0,X
47,Number of people undernourished (3-year average),2007,100.0,I
48,Number of people undernourished (3-year average),2012,100.0,I
49,Number of people undernourished (3-year average),2017,100.0,I
50,Number of people undernourished (3-year average),2018,100.0,I
51,Prevalence of undernourishment (3-year average),2002,4.6,X
52,Prevalence of undernourishment (3-year average),2007,2.8,I
53,Prevalence of undernourishment (3-year average),2012,2.8,I
54,Prevalence of undernourishment (3-year average),2017,2.8,I
55,Prevalence of undernourishment (3-year average),2018,2.8,I
56,Total population with access to safe drinking-water (JMP),1992,98.3,X
57,Total population with access to safe drinking-water (JMP),1997,98.3,X
58,Total population with access to safe drinking-water (JMP),2002,98.3,X
59,Total population with access to safe drinking-water (JMP),2007,98.7,X
60,Total population with access to safe drinking-water (JMP),2012,99.1,X
61,Total population with access to safe drinking-water (JMP),2017,99.3,I
62,Total population with access to safe drinking-water (JMP),2018,99.3,I
63,Long-term average annual precipitation in volume,1992,43.06152,E
64,Long-term average annual precipitation in volume,1997,43.06152,E
65,Long-term average annual precipitation in volume,2002,43.06152,E
66,Long-term average annual precipitation in volume,2007,43.06152,E
67,Long-term average annual precipitation in volume,2012,43.00816,E
68,Long-term average annual precipitation in volume,2016,43.01483,E
69,Interannual variability (WRI),2017,1.5,I
70,Interannual variability (WRI),2018,1.5,I
71,Seasonal variability (WRI),2017,1.0,I
72,Seasonal variability (WRI),2018,1.0,I
73,Flood occurrence (WRI),2017,1.8,I
74,Flood occurrence (WRI),2018,1.8,I
80,Surface water: entering the country (total),2017,18.0,OF
81,Surface water: leaving the country to other countries (total),1992,0.678,OF
82,Surface water: leaving the country to other countries (total),1997,0.678,OF
83,Surface water: leaving the country to other countries (total),2002,0.678,OF
84,Surface water: leaving the country to other countries (total),2007,0.678,OF
85,Surface water: leaving the country to other countries (total),2012,0.678,OF
86,Surface water: leaving the country to other countries (total),2017,0.678,OF
87,Groundwater: entering the country (total),1992,0.0,E
88,Groundwater: entering the country (total),1997,0.0,E
89,Groundwater: entering the country (total),2002,0.0,E
90,Groundwater: entering the country (total),2007,0.0,E
91,Groundwater: entering the country (total),2012,0.0,E
92,Groundwater: entering the country (total),2017,0.0,E
93,Groundwater: leaving the country to other countries (total),1992,0.0,E
94,Groundwater: leaving the country to other countries (total),1997,0.0,E
95,Groundwater: leaving the country to other countries (total),2002,0.0,E
96,Groundwater: leaving the country to other countries (total),2007,0.0,E
97,Groundwater: leaving the country to other countries (total),2012,0.0,E
98,Groundwater: leaving the country to other countries (total),2017,0.0,E
99,Dependency ratio,1992,51.5168860904,E
100,Dependency ratio,1997,51.5168860904,E
101,Dependency ratio,2002,51.5168860904,E
102,Dependency ratio,2007,51.5168860904,E
103,Dependency ratio,2012,51.5168860904,E
104,Dependency ratio,2017,51.5168860904,E
105,Dependency ratio,2018,51.5168860904,E
106,Total internal renewable water resources (IRWR),1992,16.94,E
107,Total internal renewable water resources (IRWR),1997,16.94,E
108,Total internal renewable water resources (IRWR),2002,16.94,E
109,Total internal renewable water resources (IRWR),2007,16.94,E
110,Total internal renewable water resources (IRWR),2012,16.94,E
111,Total internal renewable water resources (IRWR),2017,16.94,E
112,Total internal renewable water resources (IRWR),2018,16.94,E
113,Total internal renewable water resources per capita,1992,6465.022093278,E
114,Total internal renewable water resources per capita,1997,6904.9654201451,E
115,Total internal renewable water resources per capita,2002,7262.5003751292,E
116,Total internal renewable water resources per capita,2007,7706.6943149254,E
117,Total internal renewable water resources per capita,2012,8187.4668924745,E
118,Total internal renewable water resources per capita,2017,8682.2951396061,E
119,Total internal renewable water resources per capita,2018,8784.2157909502,E
120,Total renewable surface water,1992,34.54,E
121,Total renewable surface water,1997,34.54,E
122,Total renewable surface water,2002,34.54,E
123,Total renewable surface water,2007,34.54,E
124,Total renewable surface water,2012,34.54,E
125,Total renewable surface water,2017,34.54,E
126,Total renewable surface water,2018,34.54,E
127,Total renewable groundwater,1992,4.7,E
128,Total renewable groundwater,1997,4.7,E
129,Total renewable groundwater,2002,4.7,E
130,Total renewable groundwater,2007,4.7,E
131,Total renewable groundwater,2012,4.7,E
132,Total renewable groundwater,2017,4.7,E
133,Total renewable groundwater,2018,4.7,E
134,Total exploitable water resources,1992,1.8,E
135,Total exploitable water resources,1997,1.8,E
136,Total exploitable water resources,2002,1.8,E
137,Total exploitable water resources,2007,1.8,E
138,Total exploitable water resources,2012,1.8,E
139,Total exploitable water resources,2017,1.8,E
140,Total exploitable water resources,2018,1.8,E
141,Water resources: total external renewable,1992,18.0,E
142,Water resources: total external renewable,1997,18.0,E
143,Water resources: total external renewable,2002,18.0,E
144,Water resources: total external renewable,2007,18.0,E
145,Water resources: total external renewable,2012,18.0,E
146,Water resources: total external renewable,2017,18.0,E
147,Water resources: total external renewable,2018,18.0,E
148,Total renewable water resources,1992,34.94,E
149,Total renewable water resources,1997,34.94,E
150,Total renewable water resources,2002,34.94,E
151,Total renewable water resources,2007,34.94,E
152,Total renewable water resources,2012,34.94,E
153,Total renewable water resources,2017,34.94,E
154,Total renewable water resources,2018,34.94,E
155,Total renewable water resources per capita,1992,13334.5851203738,E
156,Total renewable water resources per capita,1997,14242.0006953879,E
157,Total renewable water resources per capita,2002,14979.4429224919,E
158,Total renewable water resources per capita,2007,15895.6257003242,E
159,Total renewable water resources per capita,2012,16887.254617654,E
160,Total renewable water resources per capita,2017,17907.8743906633,E
161,Total renewable water resources per capita,2018,18118.0932547697,E
162,Total agricultural water managed area,2002,0.9533333333,I
163,Total agricultural water managed area,2007,0.83,E
164,Total agricultural water managed area,2012,0.8,I
165,Total agricultural water managed area,2017,0.672,I
166,Total agricultural water managed area,2018,0.672,I
167,Area equipped for irrigation: total,2002,0.9533333333,I
168,Area equipped for irrigation: total,2006,0.81,I
169,Area equipped for irrigation: total,2012,0.8,I
170,Area equipped for irrigation: total,2017,0.672,I
171,Area equipped for irrigation: total,2018,0.672,I
172,% of agricultural GVA produced by irrigated agriculture,2007,0.09197966,E
173,% of agricultural GVA produced by irrigated agriculture,2012,0.0930668144,E
174,% of agricultural GVA produced by irrigated agriculture,2017,0.084896032,E
175,% of agricultural GVA produced by irrigated agriculture,2018,0.0845703811,E
177,Ratio between rainfed and irrigated yields,1996,1.778,I
178,Ratio between rainfed and irrigated yields,2001,1.778,I
179,Ratio between rainfed and irrigated yields,2007,1.778,I
180,Ratio between rainfed and irrigated yields,2011,1.778,I
181,Ratio between rainfed and irrigated yields,2017,1.778,I
182,Ratio between rainfed and irrigated yields,2018,1.778,I
183,Agricultural water withdrawal as % of total renewable water resources,1997,0.1172295363,I
184,Agricultural water withdrawal as % of total renewable water resources,2002,0.1522610189,E
185,Agricultural water withdrawal as % of total renewable water resources,2007,0.1448196909,E
186,Agricultural water withdrawal as % of total renewable water resources,2012,0.1167716085,E
187,Agricultural water withdrawal as % of total renewable water resources,2016,0.1662850601,E
188,Agricultural water withdrawal as % of total renewable water resources,2018,0.1549227247,E
189,Agricultural water withdrawal,1997,0.04096,I
190,Agricultural water withdrawal,2001,0.0466,X
191,Agricultural water withdrawal,2006,0.0501,X
192,Agricultural water withdrawal,2011,0.04276,I
193,Agricultural water withdrawal,2016,0.0581,OF
194,Irrigation water requirement,2012,0.0355,I
195,Irrigation water requirement,2017,0.0355,I
196,Irrigation water requirement,2018,0.0355,I
197,Irrigation water withdrawal,2015,0.0003,OF
198,Municipal water withdrawal,2007,0.125,X
199,Municipal water withdrawal,2012,0.1631,X
200,Municipal water withdrawal,2015,0.0924,OF
201,Industrial water withdrawal,2007,0.0426,X
202,Industrial water withdrawal,2012,0.0563,X
203,Industrial water withdrawal,2015,0.035,OF
