Lesotho,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,3036.0,X
1,Total area of the country (excl. coastal water),1967,3036.0,X
2,Total area of the country (excl. coastal water),1972,3036.0,X
3,Total area of the country (excl. coastal water),1977,3036.0,X
4,Total area of the country (excl. coastal water),1982,3036.0,X
5,Total area of the country (excl. coastal water),1987,3036.0,X
6,Total area of the country (excl. coastal water),1992,3036.0,X
7,Total area of the country (excl. coastal water),1997,3036.0,X
8,Total area of the country (excl. coastal water),2002,3036.0,X
9,Total area of the country (excl. coastal water),2007,3036.0,X
10,Total area of the country (excl. coastal water),2012,3036.0,X
11,Total area of the country (excl. coastal water),2017,3036.0,E
12,Total area of the country (excl. coastal water),2018,3036.0,E
13,Cultivated area (arable land + permanent crops),1962,356.0,X
14,Cultivated area (arable land + permanent crops),1967,363.0,X
15,Cultivated area (arable land + permanent crops),1972,359.0,X
16,Cultivated area (arable land + permanent crops),1977,292.0,X
17,Cultivated area (arable land + permanent crops),1982,292.0,X
18,Cultivated area (arable land + permanent crops),1987,330.0,X
19,Cultivated area (arable land + permanent crops),1992,336.0,X
20,Cultivated area (arable land + permanent crops),1997,329.0,X
21,Cultivated area (arable land + permanent crops),2002,304.0,X
22,Cultivated area (arable land + permanent crops),2007,329.0,X
23,Cultivated area (arable land + permanent crops),2012,285.3,X
24,Cultivated area (arable land + permanent crops),2017,418.0,X
25,Cultivated area (arable land + permanent crops),2018,433.3,X
26,Total population,1962,869.136,X
27,Total population,1967,962.273,X
28,Total population,1972,1077.095,X
29,Total population,1977,1228.536,X
30,Total population,1982,1415.367,X
31,Total population,1987,1596.394,X
32,Total population,1992,1782.285,X
33,Total population,1997,1968.044,X
34,Total population,2002,2029.829,X
35,Total population,2007,1986.922,X
36,Total population,2012,2014.994,X
37,Total population,2017,2091.534,X
38,Total population,2018,2108.328,X
39,Rural population,1962,842.789,X
40,Rural population,1967,899.377,X
41,Rural population,1972,974.364,X
42,Rural population,1977,1074.323,X
43,Rural population,1982,1217.988,X
44,Rural population,1987,1336.39,X
45,Rural population,1992,1415.284,X
46,Rural population,1997,1483.682,X
47,Rural population,2002,1510.496,X
48,Rural population,2007,1520.337,X
49,Rural population,2012,1552.732,X
50,Rural population,2017,1614.034,X
51,Rural population,2018,1625.909,X
52,Urban population,1962,39.381,X
53,Urban population,1967,72.135,X
54,Urban population,1972,101.976,X
55,Urban population,1977,136.476,X
56,Urban population,1982,159.358,X
57,Urban population,1987,189.07,X
58,Urban population,1992,251.837,X
59,Urban population,1997,326.771,X
60,Urban population,2002,391.816,X
61,Urban population,2007,461.95,X
62,Urban population,2012,537.196,X
63,Urban population,2017,619.305,X
64,Urban population,2018,637.101,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.5928,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.5736,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.5583333333,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.5406,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.5406,I
70,Gross Domestic Product (GDP),1962,41859163.0,X
71,Gross Domestic Product (GDP),1967,59260815.0,X
72,Gross Domestic Product (GDP),1969,65966681.0,X
73,GDP per capita,1972,89.777876,X
74,GDP per capita,1977,185.233941,X
75,GDP per capita,1982,299.66308,X
76,GDP per capita,1987,291.450418,X
77,GDP per capita,1992,503.581432,X
78,GDP per capita,1997,575.288533,X
79,GDP per capita,2002,393.503601,X
80,GDP per capita,2007,918.545265,X
81,GDP per capita,2012,1281.625455,X
82,GDP per capita,2017,1154.64483,X
83,GDP per capita,2018,1162.716412,X
84,"Agriculture, value added (% GDP)",1962,94.85,X
85,"Agriculture, value added (% GDP)",1967,48.56,X
86,"Agriculture, value added (% GDP)",1969,45.76,X
87,"Agriculture, value added to GDP",1962,36913482.0,X
88,"Agriculture, value added to GDP",1967,27283774.0,X
89,"Agriculture, value added to GDP",1969,27818844.0,X
90,Number of people undernourished (3-year average),1992,300.0,X
91,Number of people undernourished (3-year average),1997,300.0,X
92,Number of people undernourished (3-year average),2002,400.0,X
93,Number of people undernourished (3-year average),2007,300.0,X
94,Number of people undernourished (3-year average),2012,200.0,X
95,Number of people undernourished (3-year average),2014,300.0,X
96,Prevalence of undernourishment (3-year average),1992,15.6,X
97,Prevalence of undernourishment (3-year average),1997,16.6,X
98,Prevalence of undernourishment (3-year average),2001,13.6,X
99,Total population with access to safe drinking-water (JMP),1992,77.6,X
100,Total population with access to safe drinking-water (JMP),1997,78.4,X
101,Total population with access to safe drinking-water (JMP),2002,79.3,X
102,Total population with access to safe drinking-water (JMP),2007,80.3,X
103,Total population with access to safe drinking-water (JMP),2012,81.2,X
104,Total population with access to safe drinking-water (JMP),2017,81.8,I
105,Total population with access to safe drinking-water (JMP),2018,81.8,I
106,Long-term average annual precipitation in volume,1962,23.92368,E
107,Long-term average annual precipitation in volume,1967,23.92368,E
108,Long-term average annual precipitation in volume,1972,23.92368,E
109,Long-term average annual precipitation in volume,1977,23.92368,E
110,Long-term average annual precipitation in volume,1982,23.92368,E
111,Long-term average annual precipitation in volume,1987,23.92368,E
112,Long-term average annual precipitation in volume,1992,23.92368,E
113,Long-term average annual precipitation in volume,1997,23.92368,E
114,Long-term average annual precipitation in volume,2002,23.92368,E
115,Long-term average annual precipitation in volume,2007,23.92368,E
116,Long-term average annual precipitation in volume,2012,23.92368,E
117,Long-term average annual precipitation in volume,2017,23.92368,E
118,Long-term average annual precipitation in volume,2018,23.92368,E
119,Interannual variability (WRI),2017,3.2,I
120,Interannual variability (WRI),2018,3.2,I
121,Seasonal variability (WRI),2017,1.9,I
122,Seasonal variability (WRI),2018,1.9,I
123,Flood occurrence (WRI),2017,3.3,I
124,Flood occurrence (WRI),2018,3.3,I
125,Surface water: entering the country (total),1962,0.0,OF
126,Surface water: entering the country (total),1967,0.0,OF
127,Surface water: entering the country (total),1972,0.0,OF
128,Surface water: entering the country (total),1977,0.0,OF
129,Surface water: entering the country (total),1982,0.0,OF
130,Surface water: entering the country (total),1987,0.0,OF
131,Surface water: entering the country (total),1992,0.0,OF
132,Surface water: entering the country (total),1997,0.0,OF
133,Surface water: entering the country (total),2002,0.0,OF
134,Surface water: entering the country (total),2007,0.0,OF
135,Surface water: entering the country (total),2012,0.0,OF
136,Surface water: entering the country (total),2017,0.0,OF
137,Surface water: leaving the country to other countries (total),1962,5.2,OF
138,Surface water: leaving the country to other countries (total),1967,5.2,OF
139,Surface water: leaving the country to other countries (total),1972,5.2,OF
140,Surface water: leaving the country to other countries (total),1977,5.2,OF
141,Surface water: leaving the country to other countries (total),1982,5.2,OF
142,Surface water: leaving the country to other countries (total),1987,5.2,OF
143,Surface water: leaving the country to other countries (total),1992,5.2,OF
144,Surface water: leaving the country to other countries (total),1997,5.2,OF
145,Surface water: leaving the country to other countries (total),2002,5.2,OF
146,Surface water: leaving the country to other countries (total),2007,5.2,OF
147,Surface water: leaving the country to other countries (total),2012,5.2,OF
148,Surface water: leaving the country to other countries (total),2017,5.2,OF
149,Groundwater: entering the country (total),1962,0.0,E
150,Groundwater: entering the country (total),1967,0.0,E
151,Groundwater: entering the country (total),1972,0.0,E
152,Groundwater: entering the country (total),1977,0.0,E
153,Groundwater: entering the country (total),1982,0.0,E
154,Groundwater: entering the country (total),1987,0.0,E
155,Groundwater: entering the country (total),1992,0.0,E
156,Groundwater: entering the country (total),1997,0.0,E
157,Groundwater: entering the country (total),2002,0.0,E
158,Groundwater: entering the country (total),2007,0.0,E
159,Groundwater: entering the country (total),2012,0.0,E
160,Groundwater: entering the country (total),2017,0.0,E
161,Groundwater: leaving the country to other countries (total),1962,0.0,OF
162,Groundwater: leaving the country to other countries (total),1967,0.0,OF
163,Groundwater: leaving the country to other countries (total),1972,0.0,OF
164,Groundwater: leaving the country to other countries (total),1977,0.0,OF
165,Groundwater: leaving the country to other countries (total),1982,0.0,OF
166,Groundwater: leaving the country to other countries (total),1987,0.0,OF
167,Groundwater: leaving the country to other countries (total),1992,0.0,OF
168,Groundwater: leaving the country to other countries (total),1997,0.0,OF
169,Groundwater: leaving the country to other countries (total),2002,0.0,OF
170,Groundwater: leaving the country to other countries (total),2007,0.0,OF
171,Groundwater: leaving the country to other countries (total),2012,0.0,OF
172,Groundwater: leaving the country to other countries (total),2017,0.0,OF
173,Dependency ratio,1962,0.0,E
174,Dependency ratio,1967,0.0,E
175,Dependency ratio,1972,0.0,E
176,Dependency ratio,1977,0.0,E
177,Dependency ratio,1982,0.0,E
178,Dependency ratio,1987,0.0,E
179,Dependency ratio,1992,0.0,E
180,Dependency ratio,1997,0.0,E
181,Dependency ratio,2002,0.0,E
182,Dependency ratio,2007,0.0,E
183,Dependency ratio,2012,0.0,E
184,Dependency ratio,2017,0.0,E
185,Dependency ratio,2018,0.0,E
186,Total internal renewable water resources (IRWR),1962,5.23,E
187,Total internal renewable water resources (IRWR),1967,5.23,E
188,Total internal renewable water resources (IRWR),1972,5.23,E
189,Total internal renewable water resources (IRWR),1977,5.23,E
190,Total internal renewable water resources (IRWR),1982,5.23,E
191,Total internal renewable water resources (IRWR),1987,5.23,E
192,Total internal renewable water resources (IRWR),1992,5.23,E
193,Total internal renewable water resources (IRWR),1997,5.23,E
