,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1962,175954.0,X
1,Total area of the country (excl. coastal water),4100,1967,175954.0,X
2,Total area of the country (excl. coastal water),4100,1972,175954.0,X
3,Total area of the country (excl. coastal water),4100,1977,175954.0,X
4,Total area of the country (excl. coastal water),4100,1982,175954.0,X
5,Total area of the country (excl. coastal water),4100,1987,175954.0,X
6,Total area of the country (excl. coastal water),4100,1992,175954.0,X
7,Total area of the country (excl. coastal water),4100,1997,175954.0,X
8,Total area of the country (excl. coastal water),4100,2002,175954.0,X
9,Total area of the country (excl. coastal water),4100,2007,175954.0,X
10,Total area of the country (excl. coastal water),4100,2012,175954.0,X
11,Total area of the country (excl. coastal water),4100,2017,175954.0,E
12,Total area of the country (excl. coastal water),4100,2018,175954.0,E
13,Cultivated area (arable land + permanent crops),4103,1962,1983.0,X
14,Cultivated area (arable land + permanent crops),4103,1967,2005.0,X
15,Cultivated area (arable land + permanent crops),4103,1972,2038.0,X
16,Cultivated area (arable land + permanent crops),4103,1977,2065.0,X
17,Cultivated area (arable land + permanent crops),4103,1982,2092.0,X
18,Cultivated area (arable land + permanent crops),4103,1987,2140.0,X
19,Cultivated area (arable land + permanent crops),4103,1992,2165.0,X
20,Cultivated area (arable land + permanent crops),4103,1997,2366.0,X
21,Cultivated area (arable land + permanent crops),4103,2002,2150.0,X
22,Cultivated area (arable land + permanent crops),4103,2007,2085.0,X
23,Cultivated area (arable land + permanent crops),4103,2012,2055.0,X
24,Cultivated area (arable land + permanent crops),4103,2017,2050.0,X
25,Cultivated area (arable land + permanent crops),4103,2018,2050.0,X
26,Total population,4104,1962,1550.813,X
27,Total population,4104,1967,1878.877,X
28,Total population,4104,1972,2327.49,X
29,Total population,4104,1977,2865.637,X
30,Total population,4104,1982,3480.454,X
31,Total population,4104,1987,4109.725,X
32,Total population,4104,1992,4650.885,X
33,Total population,4104,1997,5118.007,X
34,Total population,4104,2002,5531.089,X
35,Total population,4104,2007,5974.787,X
