Liechtenstein,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,16.0,X
1,Total area of the country (excl. coastal water),1967,16.0,X
2,Total area of the country (excl. coastal water),1972,16.0,X
3,Total area of the country (excl. coastal water),1977,16.0,X
4,Total area of the country (excl. coastal water),1982,16.0,X
5,Total area of the country (excl. coastal water),1987,16.0,X
6,Total area of the country (excl. coastal water),1992,16.0,X
7,Total area of the country (excl. coastal water),1997,16.0,X
8,Total area of the country (excl. coastal water),2002,16.0,X
9,Total area of the country (excl. coastal water),2007,16.0,X
10,Total area of the country (excl. coastal water),2012,16.0,X
11,Total area of the country (excl. coastal water),2017,16.0,E
12,Total area of the country (excl. coastal water),2018,16.0,E
13,Cultivated area (arable land + permanent crops),1962,4.0,X
14,Cultivated area (arable land + permanent crops),1967,4.0,X
15,Cultivated area (arable land + permanent crops),1972,4.0,X
16,Cultivated area (arable land + permanent crops),1977,4.0,X
17,Cultivated area (arable land + permanent crops),1982,4.0,X
18,Cultivated area (arable land + permanent crops),1987,4.0,X
19,Cultivated area (arable land + permanent crops),1992,4.0,X
20,Cultivated area (arable land + permanent crops),1997,4.0,X
21,Cultivated area (arable land + permanent crops),2001,3.9,X
22,Total population,1962,17.289,X
23,Total population,1967,19.691,X
24,Total population,1972,22.151,X
25,Total population,1977,24.448,X
26,Total population,1982,26.536,X
27,Total population,1987,27.837,X
28,Total population,1992,29.553,X
29,Total population,1997,31.83,X
30,Total population,2002,33.879,X
31,Total population,2007,35.217,X
32,Total population,2012,36.615,X
33,Total population,2017,37.8,X
34,Total population,2018,37.91,X
35,Rural population,1962,13.814,X
36,Rural population,1967,15.938,X
37,Rural population,1972,18.085,X
38,Rural population,1977,19.966,X
39,Rural population,1982,21.731,X
40,Rural population,1987,22.981,X
41,Rural population,1992,24.56,X
42,Rural population,1997,26.746,X
43,Rural population,2002,28.947,X
44,Rural population,2007,30.155,X
45,Rural population,2012,31.295,X
46,Rural population,2017,32.493,X
47,Rural population,2018,32.685,X
48,Urban population,1962,3.476,X
49,Urban population,1967,3.753,X
50,Urban population,1972,4.066,X
51,Urban population,1977,4.474,X
52,Urban population,1982,4.784,X
53,Urban population,1987,4.821,X
54,Urban population,1992,4.937,X
55,Urban population,1997,5.092,X
56,Urban population,2002,5.071,X
57,Urban population,2007,5.167,X
58,Urban population,2012,5.25,X
59,Urban population,2017,5.429,X
60,Urban population,2018,5.47,X
61,Gross Domestic Product (GDP),1972,153393256.0,X
62,Gross Domestic Product (GDP),1977,375994027.0,X
63,Gross Domestic Product (GDP),1982,628590316.0,X
64,Gross Domestic Product (GDP),1987,1270065533.0,X
65,Gross Domestic Product (GDP),1992,2033116060.0,X
66,Gross Domestic Product (GDP),1997,2563442673.0,X
67,Gross Domestic Product (GDP),2002,2973606261.0,X
68,Gross Domestic Product (GDP),2007,5089173411.0,X
69,Gross Domestic Product (GDP),2012,6034435862.0,X
70,Gross Domestic Product (GDP),2016,6237299538.0,X
71,GDP per capita,1972,6924.890773,X
72,GDP per capita,1977,15384.370999,X
73,GDP per capita,1982,23706.970239,X
74,GDP per capita,1987,45682.524029,X
75,GDP per capita,1992,68926.197934,X
76,GDP per capita,1997,80515.191703,X
77,GDP per capita,2002,87412.730359,X
78,GDP per capita,2007,144079.423913,X
79,GDP per capita,2012,165123.433093,X
80,GDP per capita,2017,172799.804725,X
81,GDP per capita,2018,178107.197671,X
82,"Agriculture, value added (% GDP)",2016,0.115519,X
83,Interannual variability (WRI),2017,0.8,I
84,Interannual variability (WRI),2018,0.8,I
85,Seasonal variability (WRI),2017,0.9,I
86,Seasonal variability (WRI),2018,0.9,I
87,Flood occurrence (WRI),2017,3.3,I
88,Flood occurrence (WRI),2018,3.3,I
89,Total renewable surface water,1962,0.0,E
90,Total renewable surface water,1967,0.0,E
91,Total renewable surface water,1972,0.0,E
92,Total renewable surface water,1977,0.0,E
93,Total renewable surface water,1982,0.0,E
94,Total renewable surface water,1987,0.0,E
95,Total renewable surface water,1992,0.0,E
96,Total renewable surface water,1997,0.0,E
97,Total renewable surface water,2002,0.0,E
98,Total renewable surface water,2007,0.0,E
99,Total renewable surface water,2012,0.0,E
100,Total renewable surface water,2017,0.0,E
101,Total renewable surface water,2018,0.0,E
102,Water resources: total external renewable,1962,0.0,E
103,Water resources: total external renewable,1967,0.0,E
104,Water resources: total external renewable,1972,0.0,E
105,Water resources: total external renewable,1977,0.0,E
106,Water resources: total external renewable,1982,0.0,E
107,Water resources: total external renewable,1987,0.0,E
108,Water resources: total external renewable,1992,0.0,E
109,Water resources: total external renewable,1997,0.0,E
110,Water resources: total external renewable,2002,0.0,E
111,Water resources: total external renewable,2007,0.0,E
112,Water resources: total external renewable,2012,0.0,E
113,Water resources: total external renewable,2017,0.0,E
114,Water resources: total external renewable,2018,0.0,E
115,Total renewable water resources,1962,0.0,E
116,Total renewable water resources,1967,0.0,E
117,Total renewable water resources,1972,0.0,E
118,Total renewable water resources,1977,0.0,E
119,Total renewable water resources,1982,0.0,E
120,Total renewable water resources,1987,0.0,E
121,Total renewable water resources,1992,0.0,E
122,Total renewable water resources,1997,0.0,E
123,Total renewable water resources,2002,0.0,E
124,Total renewable water resources,2007,0.0,E
125,Total renewable water resources,2012,0.0,E
126,Total renewable water resources,2017,0.0,E
127,Total renewable water resources,2018,0.0,E
128,Total renewable water resources per capita,1962,0.0,E
129,Total renewable water resources per capita,1967,0.0,E
130,Total renewable water resources per capita,1972,0.0,E
131,Total renewable water resources per capita,1977,0.0,E
132,Total renewable water resources per capita,1982,0.0,E
133,Total renewable water resources per capita,1987,0.0,E
134,Total renewable water resources per capita,1992,0.0,E
135,Total renewable water resources per capita,1997,0.0,E
136,Total renewable water resources per capita,2002,0.0,E
137,Total renewable water resources per capita,2007,0.0,E
138,Total renewable water resources per capita,2012,0.0,E
139,Total renewable water resources per capita,2017,0.0,E
140,Total renewable water resources per capita,2018,0.0,E
141,Municipal water withdrawal,2017,0.0079,OF
142,Municipal water withdrawal,2018,0.0079,I
143,Treated municipal wastewater,2017,0.0105,OF
144,Treated municipal wastewater,2018,0.0105,I
145,SDG 6.4.1. Services Water Use Efficiency,2017,441.8708319005,E
146,SDG 6.4.1. Services Water Use Efficiency,2018,474.2210839485,E
