,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1992,2571.0,X
1,Total area of the country (excl. coastal water),4100,1997,2571.0,X
2,Total area of the country (excl. coastal water),4100,2002,2571.0,X
3,Total area of the country (excl. coastal water),4100,2007,2571.0,X
4,Total area of the country (excl. coastal water),4100,2012,2571.0,X
5,Total area of the country (excl. coastal water),4100,2017,2571.0,E
6,Total area of the country (excl. coastal water),4100,2018,2571.0,E
7,Cultivated area (arable land + permanent crops),4103,1992,662.0,X
8,Cultivated area (arable land + permanent crops),4103,1997,647.0,X
9,Cultivated area (arable land + permanent crops),4103,2002,543.0,X
10,Cultivated area (arable land + permanent crops),4103,2007,467.0,X
11,Cultivated area (arable land + permanent crops),4103,2012,450.0,X
12,Cultivated area (arable land + permanent crops),4103,2017,457.0,X
13,Cultivated area (arable land + permanent crops),4103,2018,459.0,X
14,Total population,4104,1992,1988.659,X
15,Total population,4104,1997,1999.598,X
16,Total population,4104,2002,2048.928,X
17,Total population,4104,2007,2065.426,X
18,Total population,4104,2012,2074.278,X
19,Total population,4104,2017,2081.996,X
20,Total population,4104,2018,2082.957,X
21,Rural population,4105,1992,820.046,X
22,Rural population,4105,1997,816.387,X
23,Rural population,4105,2002,857.876,X
24,Rural population,4105,2007,882.7,X
25,Rural population,4105,2012,889.234,X
26,Rural population,4105,2017,880.172,X
27,Rural population,4105,2018,876.488,X
28,Urban population,4106,1992,1168.613,X
29,Urban population,4106,1997,1183.212,X
30,Urban population,4106,2002,1191.052,X
31,Urban population,4106,2007,1182.758,X
32,Urban population,4106,2012,1184.802,X
33,Urban population,4106,2017,1202.988,X
34,Urban population,4106,2018,1208.563,X
35,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2017,0.1636,I
36,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2018,0.1636,I
37,Gross Domestic Product (GDP),4112,1992,2739202118.0,X
38,Gross Domestic Product (GDP),4112,1997,3912995037.0,X
39,Gross Domestic Product (GDP),4112,2002,4018349891.0,X
40,Gross Domestic Product (GDP),4112,2007,8336484627.0,X
41,Gross Domestic Product (GDP),4112,2012,9745267306.0,X
42,Gross Domestic Product (GDP),4112,2016,10672464612.0,X
43,Gross Domestic Product (GDP),4112,2018,12628852781.0,X
44,GDP per capita,4458,1992,1377.411672,X
45,GDP per capita,4458,1997,1956.889875,X
46,GDP per capita,4458,2002,1961.196241,X
47,GDP per capita,4458,2007,4036.143377,X
48,GDP per capita,4458,2012,4698.697277,X
49,GDP per capita,4458,2017,5427.843757,X
50,GDP per capita,4458,2018,6056.855579,X
51,"Agriculture, value added (% GDP)",4113,1992,13.38106,X
52,"Agriculture, value added (% GDP)",4113,1997,11.018167,X
53,"Agriculture, value added (% GDP)",4113,2002,10.170548,X
54,"Agriculture, value added (% GDP)",4113,2007,8.932407,X
55,"Agriculture, value added (% GDP)",4113,2012,9.104852,X
56,"Agriculture, value added (% GDP)",4113,2015,9.727006,X
57,Number of people undernourished (3-year average),4473,2002,200.0,X
58,Number of people undernourished (3-year average),4473,2007,100.0,X
59,Number of people undernourished (3-year average),4473,2012,100.0,I
60,Number of people undernourished (3-year average),4473,2017,100.0,I
61,Number of people undernourished (3-year average),4473,2018,100.0,I
62,Prevalence of undernourishment (3-year average),4474,2001,7.9,X
63,Prevalence of undernourishment (3-year average),4474,2006,5.0,X
64,Prevalence of undernourishment (3-year average),4474,2011,3.4,X
65,Prevalence of undernourishment (3-year average),4474,2015,3.5,X
66,Total population with access to safe drinking-water (JMP),4114,1992,99.3,X
67,Total population with access to safe drinking-water (JMP),4114,1997,99.3,X
68,Total population with access to safe drinking-water (JMP),4114,2002,99.3,X
69,Total population with access to safe drinking-water (JMP),4114,2007,99.3,X
70,Total population with access to safe drinking-water (JMP),4114,2012,99.4,X
71,Total population with access to safe drinking-water (JMP),4114,2017,99.4,I
72,Total population with access to safe drinking-water (JMP),4114,2018,99.4,I
73,Long-term average annual precipitation in volume,4150,1992,15.91449,E
74,Long-term average annual precipitation in volume,4150,1997,15.91449,E
75,Long-term average annual precipitation in volume,4150,2002,15.91449,E
76,Long-term average annual precipitation in volume,4150,2007,15.91449,E
77,Long-term average annual precipitation in volume,4150,2012,15.91449,E
78,Long-term average annual precipitation in volume,4150,2017,15.91449,E
79,Long-term average annual precipitation in volume,4150,2018,15.91449,E
