Madagascar,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,58704.0,X
1,Total area of the country (excl. coastal water),1967,58704.0,X
2,Total area of the country (excl. coastal water),1972,58704.0,X
3,Total area of the country (excl. coastal water),1977,58704.0,X
4,Total area of the country (excl. coastal water),1982,58704.0,X
5,Total area of the country (excl. coastal water),1987,58704.0,X
6,Total area of the country (excl. coastal water),1992,58704.0,X
7,Total area of the country (excl. coastal water),1997,58704.0,X
8,Total area of the country (excl. coastal water),2002,58704.0,X
9,Total area of the country (excl. coastal water),2007,58704.0,X
10,Total area of the country (excl. coastal water),2012,58730.0,X
11,Total area of the country (excl. coastal water),2017,58729.5,E
12,Total area of the country (excl. coastal water),2018,58729.5,E
13,Cultivated area (arable land + permanent crops),1962,2170.0,X
14,Cultivated area (arable land + permanent crops),1967,2295.0,X
15,Cultivated area (arable land + permanent crops),1972,2420.0,X
16,Cultivated area (arable land + permanent crops),1977,2929.0,X
17,Cultivated area (arable land + permanent crops),1982,3100.0,X
18,Cultivated area (arable land + permanent crops),1987,3240.0,X
19,Cultivated area (arable land + permanent crops),1992,3370.0,X
20,Cultivated area (arable land + permanent crops),1997,3490.0,X
21,Cultivated area (arable land + permanent crops),2002,3550.0,X
22,Cultivated area (arable land + permanent crops),2007,3600.0,X
23,Cultivated area (arable land + permanent crops),2012,3600.0,X
24,Cultivated area (arable land + permanent crops),2017,3600.0,X
25,Cultivated area (arable land + permanent crops),2018,3600.0,X
26,Total population,1962,5352.503,X
27,Total population,1967,6073.526,X
28,Total population,1972,6946.62,X
29,Total population,1977,7998.164,X
30,Total population,1982,9234.129,X
31,Total population,1987,10647.754,X
32,Total population,1992,12301.336,X
33,Total population,1997,14347.854,X
34,Total population,2002,16765.117,X
35,Total population,2007,19433.53,X
36,Total population,2012,22346.645,X
37,Total population,2017,25570.512,X
38,Total population,2018,26262.313,X
39,Rural population,1962,4747.182,X
40,Rural population,1967,5279.445,X
41,Rural population,1972,5907.143,X
42,Rural population,1977,6623.765,X
43,Rural population,1982,7437.09,X
44,Rural population,1987,8309.568,X
45,Rural population,1992,9265.206,X
46,Rural population,1997,10571.361,X
47,Rural population,2002,12127.427,X
48,Rural population,2007,13595.04,X
49,Rural population,2012,14921.525,X
50,Rural population,2017,16231.87,X
51,Rural population,2018,16495.525,X
52,Urban population,1962,605.321,X
53,Urban population,1967,794.081,X
54,Urban population,1972,1039.477,X
55,Urban population,1977,1374.399,X
56,Urban population,1982,1797.039,X
57,Urban population,1987,2338.186,X
58,Urban population,1992,3036.13,X
59,Urban population,1997,3776.493,X
60,Urban population,2002,4637.69,X
61,Urban population,2007,5838.483,X
62,Urban population,2012,7425.048,X
63,Urban population,2017,9339.025,X
64,Urban population,2018,9767.285,X
65,Gross Domestic Product (GDP),1962,739286907.0,X
66,Gross Domestic Product (GDP),1967,956436931.0,X
67,Gross Domestic Product (GDP),1972,1300600232.0,X
68,Gross Domestic Product (GDP),1977,2232898097.0,X
69,Gross Domestic Product (GDP),1982,3337802722.0,X
70,Gross Domestic Product (GDP),1987,3006705987.0,X
71,Gross Domestic Product (GDP),1992,3511106556.0,X
72,Gross Domestic Product (GDP),1997,4116180192.0,X
73,Gross Domestic Product (GDP),2002,5104912870.0,X
74,Gross Domestic Product (GDP),2007,8524620891.0,X
75,Gross Domestic Product (GDP),2012,11578975064.0,X
76,Gross Domestic Product (GDP),2017,13176313594.0,X
77,GDP per capita,1972,187.227779,X
78,GDP per capita,1977,279.176333,X
79,GDP per capita,1982,361.463731,X
80,GDP per capita,1987,282.379363,X
81,GDP per capita,1992,285.424815,X
82,GDP per capita,1997,286.884728,X
83,GDP per capita,2002,304.496108,X
84,GDP per capita,2007,438.655456,X
85,GDP per capita,2012,518.154397,X
86,GDP per capita,2017,515.285585,X
87,GDP per capita,2018,527.386601,X
88,"Agriculture, value added (% GDP)",1967,25.16,X
89,"Agriculture, value added (% GDP)",1972,32.417319,X
90,"Agriculture, value added (% GDP)",1977,41.825811,X
91,"Agriculture, value added (% GDP)",1982,43.364479,X
92,"Agriculture, value added (% GDP)",1987,36.389644,X
93,"Agriculture, value added (% GDP)",1992,35.653098,X
94,"Agriculture, value added (% GDP)",1997,33.952969,X
95,"Agriculture, value added (% GDP)",2002,34.71894,X
96,"Agriculture, value added (% GDP)",2007,28.067013,X
97,"Agriculture, value added (% GDP)",2012,28.000612,X
98,"Agriculture, value added (% GDP)",2017,24.550138,X
99,"Agriculture, value added to GDP",1967,218587244.0,X
100,"Agriculture, value added to GDP",1969,226077751.0,X
101,Number of people undernourished (3-year average),1992,3300.0,X
102,Number of people undernourished (3-year average),1997,4700.0,X
103,Number of people undernourished (3-year average),2002,5500.0,X
104,Number of people undernourished (3-year average),2007,5900.0,X
105,Number of people undernourished (3-year average),2009,6100.0,X
106,Number of people undernourished (3-year average),2017,10300.0,X
107,Prevalence of undernourishment (3-year average),1992,27.3,X
108,Prevalence of undernourishment (3-year average),1997,33.8,X
109,Prevalence of undernourishment (3-year average),2001,34.4,X
110,Prevalence of undernourishment (3-year average),2016,40.2,X
111,Total population with access to safe drinking-water (JMP),1992,31.4,X
112,Total population with access to safe drinking-water (JMP),1997,35.6,X
113,Total population with access to safe drinking-water (JMP),2002,39.6,X
114,Total population with access to safe drinking-water (JMP),2007,44.0,X
115,Total population with access to safe drinking-water (JMP),2012,48.7,X
116,Total population with access to safe drinking-water (JMP),2017,51.5,I
117,Total population with access to safe drinking-water (JMP),2018,51.5,I
118,Long-term average annual precipitation in volume,1962,888.19152,E
119,Long-term average annual precipitation in volume,1967,888.19152,E
120,Long-term average annual precipitation in volume,1972,888.19152,E
121,Long-term average annual precipitation in volume,1977,888.19152,E
122,Long-term average annual precipitation in volume,1982,888.19152,E
123,Long-term average annual precipitation in volume,1987,888.19152,E
124,Long-term average annual precipitation in volume,1992,888.19152,E
125,Long-term average annual precipitation in volume,1997,888.19152,E
126,Long-term average annual precipitation in volume,2002,888.19152,E
127,Long-term average annual precipitation in volume,2007,888.19152,E
