Malawi,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,11848.0,X
1,Total area of the country (excl. coastal water),1967,11848.0,X
2,Total area of the country (excl. coastal water),1972,11848.0,X
3,Total area of the country (excl. coastal water),1977,11848.0,X
4,Total area of the country (excl. coastal water),1982,11848.0,X
5,Total area of the country (excl. coastal water),1987,11848.0,X
6,Total area of the country (excl. coastal water),1992,11848.0,X
7,Total area of the country (excl. coastal water),1997,11848.0,X
8,Total area of the country (excl. coastal water),2002,11848.0,X
9,Total area of the country (excl. coastal water),2007,11848.0,X
10,Total area of the country (excl. coastal water),2012,11848.0,X
11,Total area of the country (excl. coastal water),2017,11848.0,E
12,Total area of the country (excl. coastal water),2018,11848.0,E
13,Cultivated area (arable land + permanent crops),1962,1460.0,X
14,Cultivated area (arable land + permanent crops),1967,1765.0,X
15,Cultivated area (arable land + permanent crops),1972,2067.0,X
16,Cultivated area (arable land + permanent crops),1977,2075.0,X
17,Cultivated area (arable land + permanent crops),1982,2190.0,X
18,Cultivated area (arable land + permanent crops),1987,2270.0,X
19,Cultivated area (arable land + permanent crops),1992,2430.0,X
20,Cultivated area (arable land + permanent crops),1997,2580.0,X
21,Cultivated area (arable land + permanent crops),2002,2980.0,X
22,Cultivated area (arable land + permanent crops),2007,3135.0,X
23,Cultivated area (arable land + permanent crops),2012,3735.0,X
24,Cultivated area (arable land + permanent crops),2017,3800.0,X
25,Cultivated area (arable land + permanent crops),2018,3800.0,X
26,Total population,1962,3839.043,X
27,Total population,1967,4350.452,X
28,Total population,1972,4958.549,X
29,Total population,1977,5717.953,X
30,Total population,1982,6565.985,X
31,Total population,1987,8141.146,X
32,Total population,1992,9685.973,X
33,Total population,1997,10264.906,X
34,Total population,2002,11713.664,X
35,Total population,2007,13341.806,X
36,Total population,2012,15396.015,X
37,Total population,2017,17670.196,X
38,Total population,2018,18143.217,X
39,Rural population,1962,3610.722,X
40,Rural population,1967,4038.289,X
41,Rural population,1972,4536.385,X
42,Rural population,1977,5155.173,X
43,Rural population,1982,5869.641,X
44,Rural population,1987,7256.017,X
45,Rural population,1992,8540.958,X
46,Rural population,1997,8928.182,X
47,Rural population,2002,10237.35,X
48,Rural population,2007,11732.355,X
49,Rural population,2012,13551.942,X
50,Rural population,2017,15509.514,X
