Maldives,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,30.0,X
1,Total area of the country (excl. coastal water),1967,30.0,X
2,Total area of the country (excl. coastal water),1972,30.0,X
3,Total area of the country (excl. coastal water),1977,30.0,X
4,Total area of the country (excl. coastal water),1982,30.0,X
5,Total area of the country (excl. coastal water),1987,30.0,X
6,Total area of the country (excl. coastal water),1992,30.0,X
7,Total area of the country (excl. coastal water),1997,30.0,X
8,Total area of the country (excl. coastal water),2002,30.0,X
9,Total area of the country (excl. coastal water),2007,30.0,X
10,Total area of the country (excl. coastal water),2012,30.0,X
11,Total area of the country (excl. coastal water),2017,30.0,E
12,Total area of the country (excl. coastal water),2018,30.0,E
13,Cultivated area (arable land + permanent crops),1962,4.0,X
14,Cultivated area (arable land + permanent crops),1967,4.0,X
15,Cultivated area (arable land + permanent crops),1972,5.0,X
16,Cultivated area (arable land + permanent crops),1977,6.0,X
17,Cultivated area (arable land + permanent crops),1982,7.0,X
18,Cultivated area (arable land + permanent crops),1987,7.0,X
19,Cultivated area (arable land + permanent crops),1992,7.0,X
20,Cultivated area (arable land + permanent crops),1997,7.0,X
21,Cultivated area (arable land + permanent crops),2002,11.0,X
22,Cultivated area (arable land + permanent crops),2005,8.0,X
23,Total population,1962,94.905,X
24,Total population,1967,107.478,X
25,Total population,1972,123.354,X
26,Total population,1977,144.631,X
27,Total population,1982,169.851,X
28,Total population,1987,203.028,X
29,Total population,1992,236.265,X
30,Total population,1997,263.842,X
31,Total population,2002,294.186,X
32,Total population,2007,335.169,X
33,Total population,2012,397.237,X
34,Total population,2017,496.402,X
35,Total population,2018,515.696,X
36,Rural population,1962,84.222,X
37,Rural population,1967,95.347,X
38,Rural population,1972,106.335,X
39,Rural population,1977,115.849,X
40,Rural population,1982,129.893,X
41,Rural population,1987,151.027,X
42,Rural population,1992,175.459,X
43,Rural population,1997,194.561,X
44,Rural population,2002,205.915,X
45,Rural population,2007,217.772,X
46,Rural population,2012,242.277,X
47,Rural population,2017,264.503,X
48,Rural population,2018,267.408,X
49,Urban population,1962,10.716,X
50,Urban population,1967,12.191,X
51,Urban population,1972,17.106,X
52,Urban population,1977,28.887,X
53,Urban population,1982,40.067,X
54,Urban population,1987,52.097,X
55,Urban population,1992,60.731,X
56,Urban population,1997,69.714,X
57,Urban population,2002,88.426,X
58,Urban population,2007,118.298,X
59,Urban population,2012,143.926,X
60,Urban population,2017,171.827,X
61,Urban population,2018,176.851,X
62,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.3944,I
63,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.3053333333,I
64,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.2427,I
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.2427,I
66,Gross Domestic Product (GDP),1972,55149915.0,X
67,Gross Domestic Product (GDP),1977,45748942.0,X
68,Gross Domestic Product (GDP),1982,125127146.0,X
69,Gross Domestic Product (GDP),1987,184330462.0,X
70,Gross Domestic Product (GDP),1992,371832352.0,X
71,Gross Domestic Product (GDP),1997,721416106.0,X
72,Gross Domestic Product (GDP),2002,913325489.0,X
73,Gross Domestic Product (GDP),2007,1868383460.0,X
74,Gross Domestic Product (GDP),2012,2886163937.0,X
75,Gross Domestic Product (GDP),2013,3295009230.0,X
76,GDP per capita,1972,446.771452,X
77,GDP per capita,1977,316.085438,X
78,GDP per capita,1982,736.215263,X
79,GDP per capita,1987,907.477512,X
80,GDP per capita,1992,1574.293374,X
81,GDP per capita,1997,2729.79323,X
82,GDP per capita,2002,3102.950282,X
83,GDP per capita,2007,5559.506828,X
84,GDP per capita,2012,7473.178449,X
85,GDP per capita,2017,10854.169233,X
86,GDP per capita,2018,11991.753119,X
87,"Agriculture, value added (% GDP)",1972,19.076544,X
88,"Agriculture, value added (% GDP)",1977,19.71263,X
89,"Agriculture, value added (% GDP)",1982,13.651673,X
90,"Agriculture, value added (% GDP)",1987,9.714913,X
91,"Agriculture, value added (% GDP)",1992,7.83396,X
92,"Agriculture, value added (% GDP)",1997,5.82962,X
93,"Agriculture, value added (% GDP)",2002,6.011581,X
94,"Agriculture, value added (% GDP)",2007,6.165356,X
95,"Agriculture, value added (% GDP)",2012,5.190605,X
96,"Agriculture, value added (% GDP)",2013,5.413434,X
97,Prevalence of undernourishment (3-year average),1992,12.2,X
98,Prevalence of undernourishment (3-year average),1997,10.5,X
99,Prevalence of undernourishment (3-year average),2002,14.6,X
