Mauritania,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,103070.0,X
1,Total area of the country (excl. coastal water),1967,103070.0,X
2,Total area of the country (excl. coastal water),1972,103070.0,X
3,Total area of the country (excl. coastal water),1977,103070.0,X
4,Total area of the country (excl. coastal water),1982,103070.0,X
5,Total area of the country (excl. coastal water),1987,103070.0,X
6,Total area of the country (excl. coastal water),1992,103070.0,X
7,Total area of the country (excl. coastal water),1997,103070.0,X
8,Total area of the country (excl. coastal water),2002,103070.0,X
9,Total area of the country (excl. coastal water),2007,103070.0,X
10,Total area of the country (excl. coastal water),2012,103070.0,X
11,Total area of the country (excl. coastal water),2017,103070.0,E
12,Total area of the country (excl. coastal water),2018,103070.0,E
13,Cultivated area (arable land + permanent crops),1962,272.0,X
14,Cultivated area (arable land + permanent crops),1967,273.0,X
15,Cultivated area (arable land + permanent crops),1972,243.0,X
16,Cultivated area (arable land + permanent crops),1977,200.0,X
17,Cultivated area (arable land + permanent crops),1982,254.0,X
18,Cultivated area (arable land + permanent crops),1987,345.0,X
19,Cultivated area (arable land + permanent crops),1992,428.0,X
20,Cultivated area (arable land + permanent crops),1997,500.0,X
21,Cultivated area (arable land + permanent crops),2002,412.0,X
22,Cultivated area (arable land + permanent crops),2007,411.0,X
23,Cultivated area (arable land + permanent crops),2012,411.0,X
24,Cultivated area (arable land + permanent crops),2017,411.0,X
25,Cultivated area (arable land + permanent crops),2018,411.0,X
26,Total population,1962,901.686,X
27,Total population,1967,1047.344,X
28,Total population,1972,1217.446,X
29,Total population,1977,1411.14,X
30,Total population,1982,1633.652,X
31,Total population,1987,1879.763,X
32,Total population,1992,2142.645,X
33,Total population,1997,2433.563,X
34,Total population,2002,2778.099,X
35,Total population,2007,3202.517,X
36,Total population,2012,3706.555,X
37,Total population,2017,4282.57,X
38,Total population,2018,4403.313,X
39,Rural population,1962,836.156,X
40,Rural population,1967,929.047,X
41,Rural population,1972,1013.661,X
42,Rural population,1977,1079.128,X
43,Rural population,1982,1132.795,X
44,Rural population,1987,1154.305,X
45,Rural population,1992,1304.671,X
46,Rural population,1997,1521.035,X
47,Rural population,2002,1738.864,X
48,Rural population,2007,1858.724,X
49,Rural population,2012,1976.397,X
50,Rural population,2017,2085.278,X
51,Rural population,2018,2103.324,X
52,Urban population,1962,73.018,X
53,Urban population,1967,123.239,X
