Mexico,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,196438.0,X
1,Total area of the country (excl. coastal water),1967,196438.0,X
2,Total area of the country (excl. coastal water),1972,196438.0,X
3,Total area of the country (excl. coastal water),1977,196438.0,X
4,Total area of the country (excl. coastal water),1982,196438.0,X
5,Total area of the country (excl. coastal water),1987,196438.0,X
6,Total area of the country (excl. coastal water),1992,196438.0,X
7,Total area of the country (excl. coastal water),1997,196438.0,X
8,Total area of the country (excl. coastal water),2002,196438.0,X
9,Total area of the country (excl. coastal water),2007,196438.0,X
10,Total area of the country (excl. coastal water),2012,196438.0,X
11,Total area of the country (excl. coastal water),2017,196438.0,E
12,Total area of the country (excl. coastal water),2018,196438.0,E
13,Cultivated area (arable land + permanent crops),1962,20680.0,X
14,Cultivated area (arable land + permanent crops),1967,20340.0,X
15,Cultivated area (arable land + permanent crops),1972,19209.0,X
16,Cultivated area (arable land + permanent crops),1977,19406.0,X
17,Cultivated area (arable land + permanent crops),1982,19800.0,X
18,Cultivated area (arable land + permanent crops),1987,21470.0,X
19,Cultivated area (arable land + permanent crops),1992,24757.0,X
20,Cultivated area (arable land + permanent crops),1997,25182.0,X
21,Cultivated area (arable land + permanent crops),2002,25708.0,X
22,Cultivated area (arable land + permanent crops),2007,26145.0,X
23,Total population,1962,40195.319,X
24,Total population,1967,46956.208,X
25,Total population,1972,54689.943,X
26,Total population,1977,62869.903,X
27,Total population,1982,71058.654,X
28,Total population,1987,79200.081,X
29,Total population,1992,87075.138,X
30,Total population,1997,94611.002,X
31,Total population,2002,101684.758,X
32,Total population,2007,109170.502,X
33,Total population,2012,117274.155,X
34,Total population,2017,124777.324,X
35,Total population,2018,126190.788,X
36,Rural population,1962,19337.786,X
37,Rural population,1967,20590.505,X
38,Rural population,1972,21895.858,X
39,Rural population,1977,23025.914,X
40,Rural population,1982,23671.155,X
41,Rural population,1987,24181.059,X
42,Rural population,1992,24686.09,X
43,Rural population,1997,25362.769,X
44,Rural population,2002,25708.164,X
45,Rural population,2007,25812.028,X
46,Rural population,2012,26092.527,X
47,Rural population,2017,26004.525,X
48,Rural population,2018,25947.576,X
49,Urban population,1962,21311.802,X
50,Urban population,1967,26839.307,X
51,Urban population,1972,33582.293,X
52,Urban population,1977,41319.97,X
53,Urban population,1982,48931.378,X
54,Urban population,1987,56321.993,X
55,Urban population,1992,64142.22,X
56,Urban population,1997,71918.97,X
57,Urban population,2002,78647.444,X
58,Urban population,2007,86024.318,X
59,Urban population,2012,94735.78,X
60,Urban population,2017,103158.751,X
61,Urban population,2018,104811.498,X
62,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.4676,I
63,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.4196,I
64,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.3863333333,I
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.3728,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.3728,I
67,Gross Domestic Product (GDP),1962,15221053213.0,X
68,Gross Domestic Product (GDP),1967,26556372081.0,X
69,Gross Domestic Product (GDP),1970,45224639955.0,X
70,Gross Domestic Product (GDP),1981,304282590794.0,X
71,Gross Domestic Product (GDP),1984,213771224536.0,X
72,Gross Domestic Product (GDP),1997,500416010942.0,X
73,Gross Domestic Product (GDP),2002,772109710671.0,X
74,Gross Domestic Product (GDP),2007,1052697085016.0,X
75,Gross Domestic Product (GDP),2012,1201093787127.0,X
76,Gross Domestic Product (GDP),2015,1170567081952.0,X
77,GDP per capita,1972,1036.196431,X
78,GDP per capita,1977,1620.047906,X
79,GDP per capita,1982,2912.684508,X
80,GDP per capita,1987,2121.035513,X
81,GDP per capita,1992,4673.561951,X
82,GDP per capita,1997,5143.987105,X
83,GDP per capita,2002,7398.832947,X
84,GDP per capita,2007,9412.835117,X
85,GDP per capita,2012,9940.500012,X
86,GDP per capita,2017,8967.170167,X
87,GDP per capita,2018,9356.145765,X
88,"Agriculture, value added (% GDP)",1967,12.29,X
89,"Agriculture, value added (% GDP)",1970,10.60829,X
90,"Agriculture, value added (% GDP)",1982,6.486744,X
91,"Agriculture, value added (% GDP)",1987,7.687226,X
92,"Agriculture, value added (% GDP)",1992,5.865052,X
93,"Agriculture, value added (% GDP)",1997,4.450287,X
94,"Agriculture, value added (% GDP)",2002,3.278282,X
95,"Agriculture, value added (% GDP)",2007,3.181715,X
96,"Agriculture, value added (% GDP)",2012,3.173925,X
97,"Agriculture, value added (% GDP)",2015,3.19646,X
98,"Agriculture, value added to GDP",1967,3119800000.0,X
99,"Agriculture, value added to GDP",1969,3393408000.0,X
100,Number of people undernourished (3-year average),1992,6000.0,X
101,Number of people undernourished (3-year average),1997,5900.0,X
102,Number of people undernourished (3-year average),2002,3300.0,X
103,Number of people undernourished (3-year average),2006,4700.0,X
104,Number of people undernourished (3-year average),2010,5400.0,X
105,Prevalence of undernourishment (3-year average),1992,6.9,X
106,Prevalence of undernourishment (3-year average),1997,6.1,X
107,Prevalence of undernourishment (3-year average),2002,3.3,X
108,Prevalence of undernourishment (3-year average),2007,4.1,X
109,Prevalence of undernourishment (3-year average),2010,4.8,X
110,Total population with access to safe drinking-water (JMP),1992,83.6,X
111,Total population with access to safe drinking-water (JMP),1997,86.8,X
112,Total population with access to safe drinking-water (JMP),2002,89.7,X
113,Total population with access to safe drinking-water (JMP),2007,92.5,X
114,Total population with access to safe drinking-water (JMP),2012,95.1,X
115,Total population with access to safe drinking-water (JMP),2017,96.1,I
116,Total population with access to safe drinking-water (JMP),2018,96.1,I
117,Long-term average annual precipitation in volume,1962,1489.0,OF
118,Long-term average annual precipitation in volume,1967,1489.0,OF
119,Long-term average annual precipitation in volume,1972,1489.0,OF
120,Long-term average annual precipitation in volume,1977,1489.0,OF
121,Long-term average annual precipitation in volume,1982,1489.0,OF
122,Long-term average annual precipitation in volume,1987,1489.0,OF
123,Long-term average annual precipitation in volume,1992,1489.0,OF
124,Long-term average annual precipitation in volume,1997,1489.0,OF
125,Long-term average annual precipitation in volume,2002,1489.0,OF
126,Long-term average annual precipitation in volume,2007,1489.0,OF
127,Long-term average annual precipitation in volume,2012,1489.0,OF
128,Long-term average annual precipitation in volume,2017,1489.0,OF
129,Long-term average annual precipitation in volume,2018,1489.00004,E
130,Interannual variability (WRI),2017,2.5,I
131,Interannual variability (WRI),2018,2.5,I
132,Seasonal variability (WRI),2017,3.1,I
133,Seasonal variability (WRI),2018,3.1,I
