Morocco,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,44655.0,X
1,Total area of the country (excl. coastal water),1967,44655.0,X
2,Total area of the country (excl. coastal water),1972,44655.0,X
3,Total area of the country (excl. coastal water),1977,44655.0,X
4,Total area of the country (excl. coastal water),1982,44655.0,X
5,Total area of the country (excl. coastal water),1987,44655.0,X
6,Total area of the country (excl. coastal water),1992,44655.0,X
7,Total area of the country (excl. coastal water),1997,44655.0,X
8,Total area of the country (excl. coastal water),2002,44655.0,X
9,Total area of the country (excl. coastal water),2007,44655.0,X
10,Total area of the country (excl. coastal water),2012,44655.0,X
11,Total area of the country (excl. coastal water),2017,44655.0,E
12,Total area of the country (excl. coastal water),2018,44655.0,E
13,Cultivated area (arable land + permanent crops),1962,6980.0,X
14,Cultivated area (arable land + permanent crops),1967,7338.0,X
15,Cultivated area (arable land + permanent crops),1972,7570.0,X
16,Cultivated area (arable land + permanent crops),1977,7900.0,X
17,Cultivated area (arable land + permanent crops),1982,8277.0,X
18,Cultivated area (arable land + permanent crops),1987,8766.0,X
19,Cultivated area (arable land + permanent crops),1992,9716.0,X
20,Cultivated area (arable land + permanent crops),1997,9895.0,X
21,Cultivated area (arable land + permanent crops),2002,9283.0,X
22,Cultivated area (arable land + permanent crops),2007,8960.0,X
23,Cultivated area (arable land + permanent crops),2012,9403.0,X
24,Cultivated area (arable land + permanent crops),2015,9047.0,X
25,Total population,1962,13094.888,X
26,Total population,1967,14954.031,X
27,Total population,1972,16696.891,X
28,Total population,1977,18620.093,X
29,Total population,1982,20984.009,X
30,Total population,1987,23447.252,X
31,Total population,1992,25711.406,X
32,Total population,1997,27754.571,X
33,Total population,2002,29454.768,X
34,Total population,2007,31163.673,X
35,Total population,2012,33241.9,X
36,Total population,2017,35581.255,X
37,Total population,2018,36029.093,X
38,Rural population,1962,9121.188,X
39,Rural population,1967,10032.659,X
40,Rural population,1972,10739.03,X
41,Rural population,1977,11350.123,X
42,Rural population,1982,12056.422,X
43,Rural population,1987,12637.255,X
44,Rural population,1992,12936.038,X
45,Rural population,1997,13259.103,X
46,Rural population,2002,13578.75,X
47,Rural population,2007,13640.554,X
48,Rural population,2012,13619.442,X
49,Rural population,2017,13613.878,X
50,Rural population,2018,13589.062,X
51,Urban population,1962,3973.63,X
52,Urban population,1967,4918.144,X
53,Urban population,1972,5955.973,X
54,Urban population,1977,7286.854,X
55,Urban population,1982,8960.396,X
56,Urban population,1987,10860.511,X
57,Urban population,1992,12855.456,X
58,Urban population,1997,14566.798,X
59,Urban population,2002,15933.618,X
60,Urban population,2007,17585.327,X
61,Urban population,2012,19714.347,X
62,Urban population,2017,22125.702,X
63,Urban population,2018,22602.743,X
64,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.6036,I
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.5022,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.4686666667,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.5249,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.5249,I
69,Gross Domestic Product (GDP),1962,2379611063.0,X
70,Gross Domestic Product (GDP),1967,3046339295.0,X
71,Gross Domestic Product (GDP),1972,5969547339.0,X
72,Gross Domestic Product (GDP),1977,12973193373.0,X
73,Gross Domestic Product (GDP),1982,18109357741.0,X
74,Gross Domestic Product (GDP),1987,21958663937.0,X
75,Gross Domestic Product (GDP),1992,33403918960.0,X
76,Gross Domestic Product (GDP),1997,39231483632.0,X
77,Gross Domestic Product (GDP),2002,42468910881.0,X
78,Gross Domestic Product (GDP),2007,79040973268.0,X
79,Gross Domestic Product (GDP),2012,98265835438.0,X
80,Gross Domestic Product (GDP),2016,103311901731.0,X
81,GDP per capita,1972,357.564916,X
82,GDP per capita,1977,696.099661,X
83,GDP per capita,1982,861.660302,X
84,GDP per capita,1987,934.500068,X
85,GDP per capita,1992,1295.15254,X
86,GDP per capita,1997,1409.890865,X
87,GDP per capita,2002,1439.020782,X
88,GDP per capita,2007,2531.264795,X
