,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1962,67659.0,X
1,Total area of the country (excl. coastal water),4100,1967,67659.0,X
2,Total area of the country (excl. coastal water),4100,1972,67659.0,X
3,Total area of the country (excl. coastal water),4100,1977,67659.0,X
4,Total area of the country (excl. coastal water),4100,1982,67659.0,X
5,Total area of the country (excl. coastal water),4100,1987,67659.0,X
6,Total area of the country (excl. coastal water),4100,1992,67659.0,X
7,Total area of the country (excl. coastal water),4100,1997,67659.0,X
8,Total area of the country (excl. coastal water),4100,2002,67659.0,X
9,Total area of the country (excl. coastal water),4100,2007,67659.0,X
10,Total area of the country (excl. coastal water),4100,2012,67659.0,X
11,Total area of the country (excl. coastal water),4100,2017,67663.0,E
12,Cultivated area (arable land + permanent crops),4103,1962,10140.0,X
13,Cultivated area (arable land + permanent crops),4103,1967,10387.0,X
14,Cultivated area (arable land + permanent crops),4103,1972,10440.0,X
15,Cultivated area (arable land + permanent crops),4103,1977,9994.0,X
16,Cultivated area (arable land + permanent crops),4103,1982,10080.0,X
17,Cultivated area (arable land + permanent crops),4103,1987,10060.0,X
18,Cultivated area (arable land + permanent crops),4103,1992,10039.0,X
19,Cultivated area (arable land + permanent crops),4103,1997,10154.0,X
20,Cultivated area (arable land + permanent crops),4103,2002,10611.0,X
21,Cultivated area (arable land + permanent crops),4103,2007,11678.0,X
22,Cultivated area (arable land + permanent crops),4103,2012,12242.0,X
23,Cultivated area (arable land + permanent crops),4103,2017,12571.6,X
24,Cultivated area (arable land + permanent crops),4103,2018,12590.3,X
25,Total population,4104,1962,22697.667,X
26,Total population,4104,1967,25410.06,X
27,Total population,4104,1972,28570.097,X
28,Total population,4104,1977,32026.742,X
29,Total population,4104,1982,35734.272,X
30,Total population,4104,1987,39404.335,X
31,Total population,4104,1992,42401.684,X
32,Total population,4104,1997,45027.233,X
33,Total population,4104,2002,47702.171,X
34,Total population,4104,2007,49621.475,X
35,Total population,4104,2012,51413.704,X
36,Total population,4104,2017,53382.523,X
37,Total population,4104,2018,53708.32,X
38,Rural population,4105,1962,17538.064,X
39,Rural population,4105,1967,19202.465,X
40,Rural population,4105,1972,21145.982,X
41,Rural population,4105,1977,23687.599,X
42,Rural population,4105,1982,26540.215,X
43,Rural population,4105,1987,29111.822,X
44,Rural population,4105,1992,31036.131,X
45,Rural population,4105,1997,32620.926,X
46,Rural population,4105,2002,34228.006,X
47,Rural population,4105,2007,35246.67,X
48,Rural population,4105,2012,36064.794,X
49,Rural population,4105,2017,37187.526,X
50,Rural population,4105,2018,37387.374,X
51,Urban population,4106,1962,4359.956,X
52,Urban population,4106,1967,5322.083,X
53,Urban population,4106,1972,6534.162,X
54,Urban population,4106,1977,7456.725,X
55,Urban population,4106,1982,8377.68,X
56,Urban population,4106,1987,9561.419,X
57,Urban population,4106,1992,10675.334,X
58,Urban population,4106,1997,11750.599,X
59,Urban population,4106,2002,12912.214,X
60,Urban population,4106,2007,13924.916,X
61,Urban population,4106,2012,14921.72,X
62,Urban population,4106,2017,16183.083,X
63,Urban population,4106,2018,16468.361,X
64,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2012,0.4396666667,I
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2017,0.4134,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2018,0.4134,I
67,GDP per capita,4458,1972,92.260755,X
68,GDP per capita,4458,1977,134.55728,X
69,GDP per capita,4458,1982,173.900388,X
70,GDP per capita,4458,1987,126.9511,X
71,GDP per capita,4458,1992,143.03603,X
72,GDP per capita,4458,1997,203.803353,X
73,GDP per capita,4458,2002,219.963624,X
74,GDP per capita,4458,2007,370.793923,X
75,GDP per capita,4458,2012,1196.664441,X
76,GDP per capita,4458,2017,1245.826398,X
77,GDP per capita,4458,2018,1350.738003,X
78,"Agriculture, value added (% GDP)",4113,1967,37.7,X
79,"Agriculture, value added (% GDP)",4113,1969,38.57,X
80,Number of people undernourished (3-year average),4473,1992,26800.0,X
81,Number of people undernourished (3-year average),4473,1997,27000.0,X
82,Number of people undernourished (3-year average),4473,2001,22200.0,X
83,Number of people undernourished (3-year average),4473,2005,14700.0,X
84,Prevalence of undernourishment (3-year average),4474,1992,62.6,X
85,Prevalence of undernourishment (3-year average),4474,1997,58.7,X
86,Prevalence of undernourishment (3-year average),4474,2001,48.3,X
87,Prevalence of undernourishment (3-year average),4474,2003,34.8,X
88,Total population with access to safe drinking-water (JMP),4114,1992,58.6,X
89,Total population with access to safe drinking-water (JMP),4114,1997,63.2,X
90,Total population with access to safe drinking-water (JMP),4114,2002,68.9,X
91,Total population with access to safe drinking-water (JMP),4114,2007,74.6,X
92,Total population with access to safe drinking-water (JMP),4114,2012,80.3,X
93,Total population with access to safe drinking-water (JMP),4114,2017,80.6,I
94,Total population with access to safe drinking-water (JMP),4114,2018,80.6,I
95,Long-term average annual precipitation in volume,4150,1962,1414.74969,E
96,Long-term average annual precipitation in volume,4150,1967,1414.74969,E
97,Long-term average annual precipitation in volume,4150,1972,1414.74969,E
98,Long-term average annual precipitation in volume,4150,1977,1414.74969,E
99,Long-term average annual precipitation in volume,4150,1982,1414.74969,E
100,Long-term average annual precipitation in volume,4150,1987,1414.74969,E
101,Long-term average annual precipitation in volume,4150,1992,1414.74969,E
102,Long-term average annual precipitation in volume,4150,1997,1414.74969,E
103,Long-term average annual precipitation in volume,4150,2002,1414.74969,E
104,Long-term average annual precipitation in volume,4150,2007,1414.74969,E
105,Long-term average annual precipitation in volume,4150,2012,1414.74969,E
106,Long-term average annual precipitation in volume,4150,2017,1414.83333,E
107,Interannual variability (WRI),4541,2017,0.8,I
108,Interannual variability (WRI),4541,2018,0.8,I
109,Seasonal variability (WRI),4542,2017,3.7,I
110,Seasonal variability (WRI),4542,2018,3.7,I
111,Flood occurrence (WRI),4543,2017,3.2,I
112,Flood occurrence (WRI),4543,2018,3.2,I
113,Surface water: entering the country (total),4159,1961,128.2,
114,Surface water: entering the country (total),4159,1966,128.2,
115,Surface water: entering the country (total),4159,1971,128.2,
116,Surface water: entering the country (total),4159,1976,128.2,
117,Surface water: entering the country (total),4159,1981,128.2,
118,Surface water: entering the country (total),4159,1986,128.2,
119,Surface water: entering the country (total),4159,1991,128.2,
120,Surface water: entering the country (total),4159,1996,128.2,
121,Surface water: entering the country (total),4159,2001,128.2,
122,Surface water: entering the country (total),4159,2006,128.2,
124,Surface water: entering the country (total),4159,2017,128.2,
136,Surface water: leaving the country to other countries (total),4171,2017,17.6,
137,Groundwater: entering the country (total),4177,1962,0.0,E
138,Groundwater: entering the country (total),4177,1967,0.0,E
139,Groundwater: entering the country (total),4177,1972,0.0,E
140,Groundwater: entering the country (total),4177,1977,0.0,E
141,Groundwater: entering the country (total),4177,1982,0.0,E
142,Groundwater: entering the country (total),4177,1987,0.0,E
143,Groundwater: entering the country (total),4177,1992,0.0,E
144,Groundwater: entering the country (total),4177,1997,0.0,E
145,Groundwater: entering the country (total),4177,2002,0.0,E
146,Groundwater: entering the country (total),4177,2007,0.0,E
147,Groundwater: entering the country (total),4177,2012,0.0,E
148,Groundwater: entering the country (total),4177,2017,0.0,E
149,Dependency ratio,4192,1962,14.1291317006,E
150,Dependency ratio,4192,1967,14.1291317006,E
151,Dependency ratio,4192,1972,14.1291317006,E
152,Dependency ratio,4192,1977,14.1291317006,E
153,Dependency ratio,4192,1982,14.1291317006,E
154,Dependency ratio,4192,1987,14.1291317006,E
155,Dependency ratio,4192,1992,14.1291317006,E
156,Dependency ratio,4192,1997,14.1291317006,E
157,Dependency ratio,4192,2002,14.1291317006,E
158,Dependency ratio,4192,2007,14.1291317006,E
159,Dependency ratio,4192,2012,14.1291317006,E
160,Dependency ratio,4192,2017,14.1291317006,E
161,Dependency ratio,4192,2018,14.1291317006,E
162,Total internal renewable water resources (IRWR),4157,1962,1002.8,E
163,Total internal renewable water resources (IRWR),4157,1967,1002.8,E
164,Total internal renewable water resources (IRWR),4157,1972,1002.8,E
165,Total internal renewable water resources (IRWR),4157,1977,1002.8,E
166,Total internal renewable water resources (IRWR),4157,1982,1002.8,E
167,Total internal renewable water resources (IRWR),4157,1987,1002.8,E
168,Total internal renewable water resources (IRWR),4157,1992,1002.8,E
169,Total internal renewable water resources (IRWR),4157,1997,1002.8,E
170,Total internal renewable water resources (IRWR),4157,2002,1002.8,E
171,Total internal renewable water resources (IRWR),4157,2007,1002.8,E
172,Total internal renewable water resources (IRWR),4157,2012,1002.8,E
173,Total internal renewable water resources (IRWR),4157,2017,1002.8,E
174,Total internal renewable water resources (IRWR),4157,2018,1002.8,E
175,Total internal renewable water resources per capita,4158,1962,44180.7521451434,E
176,Total internal renewable water resources per capita,4158,1967,39464.6844596195,E
177,Total internal renewable water resources per capita,4158,1972,35099.6358185273,E
178,Total internal renewable water resources per capita,4158,1977,31311.3335099774,E
179,Total internal renewable water resources per capita,4158,1982,28062.6956665019,E
180,Total internal renewable water resources per capita,4158,1987,25448.9766164053,E
181,Total internal renewable water resources per capita,4158,1992,23650.0040894602,E
182,Total internal renewable water resources per capita,4158,1997,22270.9665503985,E
183,Total internal renewable water resources per capita,4158,2002,21022.1040044488,E
184,Total internal renewable water resources per capita,4158,2007,20208.9921752628,E
185,Total internal renewable water resources per capita,4158,2012,19504.5274310522,E
186,Total internal renewable water resources per capita,4158,2017,18785.1743163207,E
187,Total internal renewable water resources per capita,4158,2018,18671.2226336627,E
188,Total renewable surface water,4185,1962,1157.1,E
189,Total renewable surface water,4185,1967,1157.1,E
190,Total renewable surface water,4185,1972,1157.1,E
191,Total renewable surface water,4185,1977,1157.1,E
192,Total renewable surface water,4185,1982,1157.1,E
193,Total renewable surface water,4185,1987,1157.1,E
194,Total renewable surface water,4185,1992,1157.1,E
195,Total renewable surface water,4185,1997,1157.1,E
196,Total renewable surface water,4185,2002,1157.1,E
197,Total renewable surface water,4185,2007,1157.1,E
198,Total renewable surface water,4185,2012,1157.1,E
199,Total renewable surface water,4185,2017,1157.1,E
200,Total renewable surface water,4185,2018,1157.1,E
201,Total renewable groundwater,4187,1962,453.7,E
202,Total renewable groundwater,4187,1967,453.7,E
203,Total renewable groundwater,4187,1972,453.7,E
204,Total renewable groundwater,4187,1977,453.7,E
205,Total renewable groundwater,4187,1982,453.7,E
206,Total renewable groundwater,4187,1987,453.7,E
207,Total renewable groundwater,4187,1992,453.7,E
208,Total renewable groundwater,4187,1997,453.7,E
209,Total renewable groundwater,4187,2002,453.7,E
210,Total renewable groundwater,4187,2007,453.7,E
211,Total renewable groundwater,4187,2012,453.7,E
212,Total renewable groundwater,4187,2017,453.7,E
213,Total renewable groundwater,4187,2018,453.7,E
214,Water resources: total external renewable,4182,1962,165.0,E
215,Water resources: total external renewable,4182,1967,165.0,E
216,Water resources: total external renewable,4182,1972,165.0,E
217,Water resources: total external renewable,4182,1977,165.0,E
218,Water resources: total external renewable,4182,1982,165.0,E
219,Water resources: total external renewable,4182,1987,165.0,E
220,Water resources: total external renewable,4182,1992,165.0,E
221,Water resources: total external renewable,4182,1997,165.0,E
222,Water resources: total external renewable,4182,2002,165.0,E
223,Water resources: total external renewable,4182,2007,165.0,E
224,Water resources: total external renewable,4182,2012,165.0,E
225,Water resources: total external renewable,4182,2017,165.0,E
226,Water resources: total external renewable,4182,2018,165.0,E
227,Total renewable water resources,4188,1962,1167.8,E
228,Total renewable water resources,4188,1967,1167.8,E
229,Total renewable water resources,4188,1972,1167.8,E
230,Total renewable water resources,4188,1977,1167.8,E
231,Total renewable water resources,4188,1982,1167.8,E
232,Total renewable water resources,4188,1987,1167.8,E
233,Total renewable water resources,4188,1992,1167.8,E
234,Total renewable water resources,4188,1997,1167.8,E
235,Total renewable water resources,4188,2002,1167.8,E
236,Total renewable water resources,4188,2007,1167.8,E
237,Total renewable water resources,4188,2012,1167.8,E
238,Total renewable water resources,4188,2017,1167.8,E
239,Total renewable water resources,4188,2018,1167.8,E
240,Total renewable water resources per capita,4190,1962,51450.2217342426,E
241,Total renewable water resources per capita,4190,1967,45958.1756202071,E
242,Total renewable water resources per capita,4190,1972,40874.9049749464,E
243,Total renewable water resources per capita,4190,1977,36463.2780942876,E
244,Total renewable water resources per capita,4190,1982,32680.1116866184,E
245,Total renewable water resources per capita,4190,1987,29636.3331597907,E
