Namibia,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,82429.0,X
1,Total area of the country (excl. coastal water),1967,82429.0,X
2,Total area of the country (excl. coastal water),1972,82429.0,X
3,Total area of the country (excl. coastal water),1977,82429.0,X
4,Total area of the country (excl. coastal water),1982,82429.0,X
5,Total area of the country (excl. coastal water),1987,82429.0,X
6,Total area of the country (excl. coastal water),1992,82429.0,X
7,Total area of the country (excl. coastal water),1997,82429.0,X
8,Total area of the country (excl. coastal water),2002,82429.0,X
9,Total area of the country (excl. coastal water),2007,82429.0,X
10,Total area of the country (excl. coastal water),2012,82429.0,X
11,Total area of the country (excl. coastal water),2017,82429.0,E
12,Total area of the country (excl. coastal water),2018,82429.0,E
13,Cultivated area (arable land + permanent crops),1962,642.0,X
14,Cultivated area (arable land + permanent crops),1967,649.0,X
15,Cultivated area (arable land + permanent crops),1972,653.0,X
16,Cultivated area (arable land + permanent crops),1977,655.0,X
17,Cultivated area (arable land + permanent crops),1982,657.0,X
18,Cultivated area (arable land + permanent crops),1987,662.0,X
19,Cultivated area (arable land + permanent crops),1992,662.0,X
20,Cultivated area (arable land + permanent crops),1997,820.0,X
21,Cultivated area (arable land + permanent crops),2002,820.0,X
22,Cultivated area (arable land + permanent crops),2007,808.0,X
23,Cultivated area (arable land + permanent crops),2012,809.0,X
24,Cultivated area (arable land + permanent crops),2017,810.0,X
25,Cultivated area (arable land + permanent crops),2018,810.0,X
26,Total population,1962,665.115,X
27,Total population,1967,753.688,X
28,Total population,1972,868.958,X
29,Total population,1977,992.956,X
30,Total population,1982,1105.104,X
31,Total population,1987,1286.797,X
32,Total population,1992,1516.958,X
33,Total population,1997,1698.032,X
34,Total population,2002,1851.523,X
35,Total population,2007,2006.514,X
36,Total population,2012,2194.783,X
37,Total population,2017,2402.633,X
38,Total population,2018,2448.301,X
39,Rural population,1962,514.041,X
40,Rural population,1967,568.271,X
41,Rural population,1972,640.09,X
42,Rural population,1977,719.394,X
43,Rural population,1982,785.824,X
44,Rural population,1987,911.099,X
45,Rural population,1992,1084.796,X
46,Rural population,1997,1216.821,X
47,Rural population,2002,1299.607,X
48,Rural population,2007,1277.117,X
49,Rural population,2012,1274.757,X
50,Rural population,2017,1292.108,X
51,Rural population,2018,1293.06,X
52,Urban population,1962,118.613,X
53,Urban population,1967,150.414,X
54,Urban population,1972,189.351,X
55,Urban population,1977,229.799,X
56,Urban population,1982,270.542,X
57,Urban population,1987,334.891,X
58,Urban population,1992,428.925,X
59,Urban population,1997,542.173,X
60,Urban population,2002,662.54,X
61,Urban population,2007,802.798,X
62,Urban population,2012,989.177,X
63,Urban population,2017,1241.686,X
64,Urban population,2018,1294.741,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.5126,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.4902,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.457,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.401,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.401,I
70,Gross Domestic Product (GDP),1972,677273580.0,X
71,Gross Domestic Product (GDP),1977,1193853054.0,X
72,Gross Domestic Product (GDP),1982,2116038518.0,X
73,Gross Domestic Product (GDP),1987,2296341239.0,X
74,Gross Domestic Product (GDP),1992,3424716523.0,X
75,Gross Domestic Product (GDP),1997,4102682851.0,X
76,Gross Domestic Product (GDP),2002,3275655390.0,X
77,Gross Domestic Product (GDP),2007,8740909018.0,X
78,Gross Domestic Product (GDP),2011,12409574913.0,X
79,GDP per capita,1972,816.542202,X
80,GDP per capita,1977,1257.755855,X
81,GDP per capita,1982,2003.130087,X
82,GDP per capita,1987,1842.985288,X
83,GDP per capita,1992,2262.448974,X
84,GDP per capita,1997,2332.402982,X
85,GDP per capita,2002,1669.424049,X
86,GDP per capita,2007,4202.531843,X
87,GDP per capita,2012,5749.426723,X
88,GDP per capita,2017,5354.102245,X
89,GDP per capita,2018,5610.397958,X
90,"Agriculture, value added (% GDP)",1972,8.340957,X
91,"Agriculture, value added (% GDP)",1977,8.278665,X
92,"Agriculture, value added (% GDP)",1982,8.46914,X
93,"Agriculture, value added (% GDP)",1987,9.14982,X
94,"Agriculture, value added (% GDP)",1992,7.093191,X
95,"Agriculture, value added (% GDP)",1997,8.618726,X
96,"Agriculture, value added (% GDP)",2002,10.264449,X
97,"Agriculture, value added (% GDP)",2007,8.546891,X
98,"Agriculture, value added (% GDP)",2011,8.231879,X
99,Number of people undernourished (3-year average),1992,500.0,X
100,Number of people undernourished (3-year average),1997,700.0,X
101,Number of people undernourished (3-year average),2002,200.0,X
102,Number of people undernourished (3-year average),2005,300.0,X
103,Prevalence of undernourishment (3-year average),1992,35.9,X
104,Prevalence of undernourishment (3-year average),1997,39.2,X
105,Prevalence of undernourishment (3-year average),2001,26.2,X
106,Total population with access to safe drinking-water (JMP),1992,71.3,X
107,Total population with access to safe drinking-water (JMP),1997,75.9,X
108,Total population with access to safe drinking-water (JMP),2002,80.3,X
109,Total population with access to safe drinking-water (JMP),2007,84.8,X
110,Total population with access to safe drinking-water (JMP),2012,88.8,X
111,Total population with access to safe drinking-water (JMP),2017,91.0,I
112,Total population with access to safe drinking-water (JMP),2018,91.0,I
113,Long-term average annual precipitation in volume,1962,234.92265,E
114,Long-term average annual precipitation in volume,1967,234.92265,E
115,Long-term average annual precipitation in volume,1972,234.92265,E
116,Long-term average annual precipitation in volume,1977,234.92265,E
117,Long-term average annual precipitation in volume,1982,234.92265,E
118,Long-term average annual precipitation in volume,1987,234.92265,E
119,Long-term average annual precipitation in volume,1992,234.92265,E
120,Long-term average annual precipitation in volume,1997,234.92265,E
121,Long-term average annual precipitation in volume,2002,234.92265,E
122,Long-term average annual precipitation in volume,2007,234.92265,E
123,Long-term average annual precipitation in volume,2012,234.92265,E
124,Long-term average annual precipitation in volume,2017,234.92265,E
125,Long-term average annual precipitation in volume,2018,234.92265,E
126,Interannual variability (WRI),2017,3.6,I
127,Interannual variability (WRI),2018,3.6,I
128,Seasonal variability (WRI),2017,2.5,I
129,Seasonal variability (WRI),2018,2.5,I
130,Flood occurrence (WRI),2017,2.1,I
