,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1962,14718.0,X
1,Total area of the country (excl. coastal water),4100,1967,14718.0,X
2,Total area of the country (excl. coastal water),4100,1972,14718.0,X
3,Total area of the country (excl. coastal water),4100,1977,14718.0,X
4,Total area of the country (excl. coastal water),4100,1982,14718.0,X
5,Total area of the country (excl. coastal water),4100,1987,14718.0,X
6,Total area of the country (excl. coastal water),4100,1992,14718.0,X
7,Total area of the country (excl. coastal water),4100,1997,14718.0,X
8,Total area of the country (excl. coastal water),4100,2002,14718.0,X
9,Total area of the country (excl. coastal water),4100,2007,14718.0,X
10,Total area of the country (excl. coastal water),4100,2012,14718.0,X
11,Total area of the country (excl. coastal water),4100,2017,14718.0,E
12,Total area of the country (excl. coastal water),4100,2018,14718.0,E
13,Cultivated area (arable land + permanent crops),4103,1962,1831.0,X
14,Cultivated area (arable land + permanent crops),4103,1967,1845.0,X
15,Cultivated area (arable land + permanent crops),4103,1972,2082.0,X
16,Cultivated area (arable land + permanent crops),4103,1977,2254.0,X
17,Cultivated area (arable land + permanent crops),4103,1982,2320.6,X
18,Cultivated area (arable land + permanent crops),4103,1987,2338.6,X
19,Cultivated area (arable land + permanent crops),4103,1992,2365.2,X
20,Cultivated area (arable land + permanent crops),4103,1997,2426.2,X
21,Cultivated area (arable land + permanent crops),4103,2002,2455.0,X
22,Cultivated area (arable land + permanent crops),4103,2007,2375.0,X
23,Cultivated area (arable land + permanent crops),4103,2012,2326.0,X
24,Cultivated area (arable land + permanent crops),4103,2017,2325.7,X
25,Cultivated area (arable land + permanent crops),4103,2018,2325.7,X
26,Total population,4104,1962,10433.145,X
27,Total population,4104,1967,11382.967,X
28,Total population,4104,1972,12583.14,X
29,Total population,4104,1977,14028.536,X
30,Total population,4104,1982,15729.431,X
31,Total population,4104,1987,17623.693,X
32,Total population,4104,1992,19938.32,X
33,Total population,4104,1997,22584.775,X
34,Total population,4104,2002,24725.627,X
35,Total population,4104,2007,26382.581,X
36,Total population,4104,2012,26989.163,X
37,Total population,4104,2017,27632.681,X
38,Total population,4104,2018,28095.714,X
39,Rural population,4105,1962,10009.134,X
40,Rural population,4105,1967,10884.137,X
41,Rural population,4105,1972,11974.739,X
42,Rural population,4105,1977,13187.928,X
43,Rural population,4105,1982,14574.738,X
44,Rural population,4105,1987,16092.209,X
45,Rural population,4105,1992,17879.028,X
46,Rural population,4105,1997,19740.147,X
47,Rural population,4105,2002,21068.143,X
48,Rural population,4105,2007,22078.011,X
49,Rural population,4105,2012,22822.896,X
50,Rural population,4105,2017,23638.57,X
51,Rural population,4105,2018,23776.364,X
52,Urban population,4106,1962,375.07,X
53,Urban population,4106,1967,432.689,X
54,Urban population,4106,1972,524.69,X
55,Urban population,4106,1977,738.332,X
56,Urban population,4106,1982,1032.498,X
57,Urban population,4106,1987,1388.712,X
58,Urban population,4106,1992,1894.744,X
59,Urban population,4106,1997,2649.656,X
60,Urban population,4106,2002,3498.199,X
61,Urban population,4106,2007,4136.836,X
62,Urban population,4106,2012,4827.029,X
63,Urban population,4106,2017,5666.428,X
64,Urban population,4106,2018,5847.671,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2002,0.6468,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2007,0.5764,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2012,0.4846666667,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2017,0.4886,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2018,0.4886,I
70,Gross Domestic Product (GDP),4112,1962,574091104.0,X
71,Gross Domestic Product (GDP),4112,1967,841974030.0,X
72,Gross Domestic Product (GDP),4112,1972,1230799317.0,X
73,Gross Domestic Product (GDP),4112,1977,1484057785.0,X
74,Gross Domestic Product (GDP),4112,1982,2511868658.0,X
75,Gross Domestic Product (GDP),4112,1987,3142208817.0,X
76,Gross Domestic Product (GDP),4112,1992,3756770670.0,X
77,Gross Domestic Product (GDP),4112,1997,5191233802.0,X
78,Gross Domestic Product (GDP),4112,2002,5899626934.0,X
79,Gross Domestic Product (GDP),4112,2007,10958769836.0,X
80,Gross Domestic Product (GDP),4112,2012,17927227200.0,X
81,Gross Domestic Product (GDP),4112,2016,20982333290.0,X
82,GDP per capita,4458,1972,98.468443,X
83,GDP per capita,4458,1977,106.565423,X
84,GDP per capita,4458,1982,160.942569,X
85,GDP per capita,4458,1987,179.750759,X
86,GDP per capita,4458,1992,189.987559,X
87,GDP per capita,4458,1997,231.857056,X
88,GDP per capita,4458,2002,240.15081,X
89,GDP per capita,4458,2007,418.036765,X
90,GDP per capita,4458,2012,648.364406,X
91,GDP per capita,4458,2017,873.142986,X
92,GDP per capita,4458,2018,939.453255,X
93,"Agriculture, value added (% GDP)",4113,1967,67.19,X
94,"Agriculture, value added (% GDP)",4113,1972,67.519998,X
95,"Agriculture, value added (% GDP)",4113,1977,57.695997,X
